sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,blockOrder,accuracy,reactionTime,blockName,responseKey,trialType
89427,R_1CNHUi9RgqSHYt6,1,6,20,-0.364000,0.15,1,1,false,6322,Trend,Q,training
89427,R_1CNHUi9RgqSHYt6,2,54,20,0.267900,0.15,1,1,true,6656,Trend,Q,training
89427,R_1CNHUi9RgqSHYt6,3,40,8,0.176300,0.15,1,1,false,3685,Trend,P,training
89427,R_1CNHUi9RgqSHYt6,4,36,16,0.087500,0.15,1,1,true,7134,Trend,Q,training
89427,R_1CNHUi9RgqSHYt6,5,31,22,-0.087500,0.15,1,1,true,2298,Trend,P,training
89427,R_1CNHUi9RgqSHYt6,6,33,10,0.087500,0.15,1,1,true,3652,Trend,Q,training
89427,R_1CNHUi9RgqSHYt6,7,17,10,-0.176300,0.15,1,1,true,1994,Trend,P,training
89427,R_1CNHUi9RgqSHYt6,8,13,18,-0.267900,0.15,1,1,true,2901,Trend,P,training
89427,R_1CNHUi9RgqSHYt6,9,2,12,-0.364000,0.15,1,1,true,3608,Trend,P,training
89427,R_1CNHUi9RgqSHYt6,10,16,8,-0.176300,0.15,1,1,true,2294,Trend,P,training
89427,R_1CNHUi9RgqSHYt6,11,31,22,-0.364000,0.15,1,1,true,2579,Trend,P,main
89427,R_1CNHUi9RgqSHYt6,12,126,22,-0.087500,0.15,1,1,true,2561,Trend,P,main
89427,R_1CNHUi9RgqSHYt6,13,55,18,-0.267900,0.15,1,1,true,1176,Trend,P,main
89427,R_1CNHUi9RgqSHYt6,14,176,16,0.176300,0.15,1,1,true,2861,Trend,Q,main
89427,R_1CNHUi9RgqSHYt6,15,20,18,-0.364000,0.15,1,1,true,1600,Trend,P,main
89427,R_1CNHUi9RgqSHYt6,16,43,12,-0.267900,0.15,1,1,true,1562,Trend,P,main
89427,R_1CNHUi9RgqSHYt6,17,52,18,-0.267900,0.15,1,1,true,1268,Trend,P,main
89427,R_1CNHUi9RgqSHYt6,18,10,12,-0.364000,0.15,1,1,true,863,Trend,P,main
89427,R_1CNHUi9RgqSHYt6,19,67,8,-0.176300,0.15,1,1,true,1142,Trend,P,main
89427,R_1CNHUi9RgqSHYt6,20,151,18,0.087500,0.15,1,1,true,6133,Trend,Q,main
89427,R_1CNHUi9RgqSHYt6,21,94,22,-0.176300,0.15,1,1,true,1179,Trend,P,main
89427,R_1CNHUi9RgqSHYt6,22,164,10,0.176300,0.15,1,1,false,4038,Trend,P,main
89427,R_1CNHUi9RgqSHYt6,23,227,8,0.364000,0.15,1,1,false,5798,Trend,P,main
89427,R_1CNHUi9RgqSHYt6,24,88,20,-0.176300,0.15,1,1,true,1654,Trend,P,main
89427,R_1CNHUi9RgqSHYt6,25,252,22,0.364000,0.15,1,1,false,690,Trend,P,main
89427,R_1CNHUi9RgqSHYt6,26,119,18,-0.087500,0.15,1,1,true,1381,Trend,P,main
89427,R_1CNHUi9RgqSHYt6,27,196,10,0.267900,0.15,1,1,true,4810,Trend,Q,main
89427,R_1CNHUi9RgqSHYt6,28,8,12,-0.364000,0.15,1,1,true,729,Trend,P,main
89427,R_1CNHUi9RgqSHYt6,29,207,14,0.267900,0.15,1,1,true,989,Trend,Q,main
89427,R_1CNHUi9RgqSHYt6,30,105,12,-0.087500,0.15,1,1,true,609,Trend,P,main
89427,R_1CNHUi9RgqSHYt6,31,134,10,0.087500,0.15,1,1,true,712,Trend,Q,main
89427,R_1CNHUi9RgqSHYt6,32,253,22,0.364000,0.15,1,1,true,1609,Trend,Q,main
89427,R_1CNHUi9RgqSHYt6,33,166,10,0.176300,0.15,1,1,true,729,Trend,Q,main
89427,R_1CNHUi9RgqSHYt6,34,243,16,0.364000,0.15,1,1,true,508,Trend,Q,main
89427,R_1CNHUi9RgqSHYt6,35,19,16,-0.364000,0.15,1,1,true,699,Trend,P,main
89427,R_1CNHUi9RgqSHYt6,36,127,22,-0.087500,0.15,1,1,true,632,Trend,P,main
89427,R_1CNHUi9RgqSHYt6,37,49,16,-0.267900,0.15,1,1,true,659,Trend,P,main
89427,R_1CNHUi9RgqSHYt6,38,17,16,-0.364000,0.15,1,1,true,825,Trend,P,main
89427,R_1CNHUi9RgqSHYt6,39,158,22,0.087500,0.15,1,1,true,764,Trend,Q,main
89427,R_1CNHUi9RgqSHYt6,40,208,16,0.267900,0.15,1,1,false,1222,Trend,P,main
89427,R_1CNHUi9RgqSHYt6,41,65,8,-0.176300,0.15,1,1,true,975,Trend,P,main
89427,R_1CNHUi9RgqSHYt6,42,216,20,0.267900,0.15,1,1,true,1005,Trend,Q,main
89427,R_1CNHUi9RgqSHYt6,43,12,14,-0.364000,0.15,1,1,true,984,Trend,P,main
89427,R_1CNHUi9RgqSHYt6,44,161,8,0.176300,0.15,1,1,true,539,Trend,Q,main
89427,R_1CNHUi9RgqSHYt6,45,195,8,0.267900,0.15,1,1,true,565,Trend,Q,main
89427,R_1CNHUi9RgqSHYt6,46,3,8,-0.364000,0.15,1,1,true,695,Trend,P,main
89427,R_1CNHUi9RgqSHYt6,47,9,12,-0.364000,0.15,1,1,true,2453,Trend,P,main
89427,R_1CNHUi9RgqSHYt6,48,27,20,-0.364000,0.15,1,1,true,2608,Trend,P,main
89427,R_1CNHUi9RgqSHYt6,49,11,12,-0.364000,0.15,1,1,true,2912,Trend,P,main
89427,R_1CNHUi9RgqSHYt6,50,75,12,-0.176300,0.15,1,1,true,1106,Trend,P,main
89427,R_1CNHUi9RgqSHYt6,51,33,8,-0.267900,0.15,1,1,false,1003,Trend,Q,main
89427,R_1CNHUi9RgqSHYt6,52,97,8,-0.087500,0.15,1,1,true,1391,Trend,P,main
89427,R_1CNHUi9RgqSHYt6,53,15,14,-0.364000,0.15,1,1,true,1310,Trend,P,main
89427,R_1CNHUi9RgqSHYt6,54,149,18,0.087500,0.15,1,1,true,710,Trend,Q,main
89427,R_1CNHUi9RgqSHYt6,55,51,16,-0.267900,0.15,1,1,true,891,Trend,P,main
89427,R_1CNHUi9RgqSHYt6,56,57,20,-0.267900,0.15,1,1,true,861,Trend,P,main
89427,R_1CNHUi9RgqSHYt6,57,254,22,0.364000,0.15,1,1,true,559,Trend,Q,main
89427,R_1CNHUi9RgqSHYt6,58,233,12,0.364000,0.15,1,1,true,556,Trend,Q,main
89427,R_1CNHUi9RgqSHYt6,59,85,18,-0.176300,0.15,1,1,true,744,Trend,P,main
89427,R_1CNHUi9RgqSHYt6,60,34,8,-0.267900,0.15,1,1,true,1063,Trend,P,main
89427,R_1CNHUi9RgqSHYt6,61,239,14,0.364000,0.15,1,1,true,831,Trend,Q,main
89427,R_1CNHUi9RgqSHYt6,62,217,20,0.267900,0.15,1,1,true,460,Trend,Q,main
89427,R_1CNHUi9RgqSHYt6,63,36,10,-0.267900,0.15,1,1,true,1011,Trend,P,main
89427,R_1CNHUi9RgqSHYt6,64,73,12,-0.176300,0.15,1,1,true,1030,Trend,P,main
