sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,blockOrder,accuracy,reactionTime,blockName,responseKey,trialType
97368,R_3e3OTEdKPVZUCOO,1,1,10,-0.364000,0.15,2,1,true,4285,Trend,Q,training
97368,R_3e3OTEdKPVZUCOO,2,41,10,0.176300,0.15,2,1,true,817,Trend,P,training
97368,R_3e3OTEdKPVZUCOO,3,57,10,0.364000,0.15,2,1,true,1258,Trend,P,training
97368,R_3e3OTEdKPVZUCOO,4,0,8,-0.364000,0.15,2,1,false,984,Trend,P,training
97368,R_3e3OTEdKPVZUCOO,5,7,22,-0.364000,0.15,2,1,true,819,Trend,Q,training
97368,R_3e3OTEdKPVZUCOO,6,59,14,0.364000,0.15,2,1,true,587,Trend,P,training
97368,R_3e3OTEdKPVZUCOO,7,10,12,-0.267900,0.15,2,1,true,766,Trend,Q,training
97368,R_3e3OTEdKPVZUCOO,8,35,14,0.087500,0.15,2,1,false,862,Trend,Q,training
97368,R_3e3OTEdKPVZUCOO,9,32,8,0.087500,0.15,2,1,true,671,Trend,P,training
97368,R_3e3OTEdKPVZUCOO,10,23,22,-0.176300,0.15,2,1,true,1468,Trend,Q,training
97368,R_3e3OTEdKPVZUCOO,11,232,12,0.364000,0.15,2,1,true,758,Trend,P,main
97368,R_3e3OTEdKPVZUCOO,12,20,18,-0.364000,0.15,2,1,true,1588,Trend,Q,main
97368,R_3e3OTEdKPVZUCOO,13,188,22,0.176300,0.15,2,1,true,516,Trend,P,main
97368,R_3e3OTEdKPVZUCOO,14,97,8,-0.087500,0.15,2,1,true,749,Trend,Q,main
97368,R_3e3OTEdKPVZUCOO,15,202,12,0.267900,0.15,2,1,true,779,Trend,P,main
97368,R_3e3OTEdKPVZUCOO,16,3,8,-0.364000,0.15,2,1,true,1172,Trend,Q,main
97368,R_3e3OTEdKPVZUCOO,17,185,20,0.176300,0.15,2,1,true,651,Trend,P,main
97368,R_3e3OTEdKPVZUCOO,18,59,20,-0.267900,0.15,2,1,true,512,Trend,Q,main
97368,R_3e3OTEdKPVZUCOO,19,194,8,0.267900,0.15,2,1,true,497,Trend,P,main
97368,R_3e3OTEdKPVZUCOO,20,5,10,-0.364000,0.15,2,1,true,574,Trend,Q,main
97368,R_3e3OTEdKPVZUCOO,21,76,14,-0.176300,0.15,2,1,true,565,Trend,Q,main
97368,R_3e3OTEdKPVZUCOO,22,36,10,-0.267900,0.15,2,1,true,687,Trend,Q,main
97368,R_3e3OTEdKPVZUCOO,23,234,12,0.364000,0.15,2,1,true,499,Trend,P,main
97368,R_3e3OTEdKPVZUCOO,24,14,14,-0.364000,0.15,2,1,true,809,Trend,Q,main
97368,R_3e3OTEdKPVZUCOO,25,33,8,-0.267900,0.15,2,1,true,705,Trend,Q,main
97368,R_3e3OTEdKPVZUCOO,26,40,12,-0.267900,0.15,2,1,true,557,Trend,Q,main
