sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,blockOrder,accuracy,reactionTime,blockName,responseKey,trialType
97550,R_3iyFkiPb3S4r7t8,1,36,16,0.087500,0.15,2,2,false,9457,Big/Small,Q,training
97550,R_3iyFkiPb3S4r7t8,2,7,22,-0.364000,0.15,2,2,true,1933,Big/Small,P,training
97550,R_3iyFkiPb3S4r7t8,3,37,18,0.087500,0.15,2,2,true,1867,Big/Small,P,training
97550,R_3iyFkiPb3S4r7t8,4,16,8,-0.176300,0.15,2,2,true,582,Big/Small,Q,training
97550,R_3iyFkiPb3S4r7t8,5,60,16,0.364000,0.15,2,2,true,1066,Big/Small,P,training
97550,R_3iyFkiPb3S4r7t8,6,32,8,0.087500,0.15,2,2,true,554,Big/Small,Q,training
97550,R_3iyFkiPb3S4r7t8,7,33,10,0.087500,0.15,2,2,true,482,Big/Small,Q,training
97550,R_3iyFkiPb3S4r7t8,8,12,16,-0.267900,0.15,2,2,true,1148,Big/Small,P,training
97550,R_3iyFkiPb3S4r7t8,9,55,22,0.267900,0.15,2,2,true,669,Big/Small,P,training
97550,R_3iyFkiPb3S4r7t8,10,52,16,0.267900,0.15,2,2,true,1315,Big/Small,P,training
97550,R_3iyFkiPb3S4r7t8,11,219,20,0.267900,0.15,2,2,true,831,Big/Small,P,main
97550,R_3iyFkiPb3S4r7t8,12,168,12,0.176300,0.15,2,2,true,897,Big/Small,Q,main
97550,R_3iyFkiPb3S4r7t8,13,121,20,-0.087500,0.15,2,2,true,743,Big/Small,P,main
97550,R_3iyFkiPb3S4r7t8,14,62,22,-0.267900,0.15,2,2,true,753,Big/Small,P,main
97550,R_3iyFkiPb3S4r7t8,15,98,8,-0.087500,0.15,2,2,true,572,Big/Small,Q,main
97550,R_3iyFkiPb3S4r7t8,16,27,20,-0.364000,0.15,2,2,true,884,Big/Small,P,main
97550,R_3iyFkiPb3S4r7t8,17,215,18,0.267900,0.15,2,2,true,959,Big/Small,P,main
97550,R_3iyFkiPb3S4r7t8,18,206,14,0.267900,0.15,2,2,true,1212,Big/Small,Q,main
97550,R_3iyFkiPb3S4r7t8,19,34,8,-0.267900,0.15,2,2,true,610,Big/Small,Q,main
97550,R_3iyFkiPb3S4r7t8,20,163,8,0.176300,0.15,2,2,true,676,Big/Small,Q,main
97550,R_3iyFkiPb3S4r7t8,21,63,22,-0.267900,0.15,2,2,true,738,Big/Small,P,main
97550,R_3iyFkiPb3S4r7t8,22,23,18,-0.364000,0.15,2,2,true,692,Big/Small,P,main
97550,R_3iyFkiPb3S4r7t8,23,49,16,-0.267900,0.15,2,2,true,835,Big/Small,P,main
97550,R_3iyFkiPb3S4r7t8,24,190,22,0.176300,0.15,2,2,true,674,Big/Small,P,main
97550,R_3iyFkiPb3S4r7t8,25,253,22,0.364000,0.15,2,2,true,541,Big/Small,P,main
97550,R_3iyFkiPb3S4r7t8,26,208,16,0.267900,0.15,2,2,false,816,Big/Small,Q,main
97550,R_3iyFkiPb3S4r7t8,27,178,16,0.176300,0.15,2,2,true,581,Big/Small,P,main
97550,R_3iyFkiPb3S4r7t8,28,192,8,0.267900,0.15,2,2,true,586,Big/Small,Q,main
97550,R_3iyFkiPb3S4r7t8,29,6,10,-0.364000,0.15,2,2,true,608,Big/Small,Q,main
