sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,blockOrder,accuracy,reactionTime,blockName,responseKey,trialType
96933,R_3sSxoT9MQFL2Oq5,1,42,12,0.176300,0.15,2,1,false,8496,Trend,Q,training
96933,R_3sSxoT9MQFL2Oq5,2,12,16,-0.267900,0.15,2,1,true,3423,Trend,Q,training
96933,R_3sSxoT9MQFL2Oq5,3,63,22,0.364000,0.15,2,1,true,2698,Trend,P,training
96933,R_3sSxoT9MQFL2Oq5,4,39,22,0.087500,0.15,2,1,false,1453,Trend,Q,training
96933,R_3sSxoT9MQFL2Oq5,5,19,14,-0.176300,0.15,2,1,true,383,Trend,Q,training
96933,R_3sSxoT9MQFL2Oq5,6,28,16,-0.087500,0.15,2,1,false,587,Trend,P,training
96933,R_3sSxoT9MQFL2Oq5,7,2,12,-0.364000,0.15,2,1,true,1714,Trend,Q,training
96933,R_3sSxoT9MQFL2Oq5,8,30,20,-0.087500,0.15,2,1,true,717,Trend,Q,training
96933,R_3sSxoT9MQFL2Oq5,9,57,10,0.364000,0.15,2,1,true,763,Trend,P,training
96933,R_3sSxoT9MQFL2Oq5,10,50,12,0.267900,0.15,2,1,true,962,Trend,P,training
96933,R_3sSxoT9MQFL2Oq5,11,155,20,0.087500,0.15,2,1,true,658,Trend,P,main
96933,R_3sSxoT9MQFL2Oq5,12,232,12,0.364000,0.15,2,1,true,84,Trend,P,main
96933,R_3sSxoT9MQFL2Oq5,13,129,8,0.087500,0.15,2,1,true,825,Trend,P,main
96933,R_3sSxoT9MQFL2Oq5,14,195,8,0.267900,0.15,2,1,true,841,Trend,P,main
96933,R_3sSxoT9MQFL2Oq5,15,106,12,-0.087500,0.15,2,1,true,1099,Trend,Q,main
96933,R_3sSxoT9MQFL2Oq5,16,172,14,0.176300,0.15,2,1,true,601,Trend,P,main
96933,R_3sSxoT9MQFL2Oq5,17,170,12,0.176300,0.15,2,1,true,1087,Trend,P,main
96933,R_3sSxoT9MQFL2Oq5,18,2,8,-0.364000,0.15,2,1,true,815,Trend,Q,main
96933,R_3sSxoT9MQFL2Oq5,19,188,22,0.176300,0.15,2,1,true,683,Trend,P,main
96933,R_3sSxoT9MQFL2Oq5,20,149,18,0.087500,0.15,2,1,true,911,Trend,P,main
96933,R_3sSxoT9MQFL2Oq5,21,69,10,-0.176300,0.15,2,1,true,730,Trend,Q,main
96933,R_3sSxoT9MQFL2Oq5,22,37,10,-0.267900,0.15,2,1,true,913,Trend,Q,main
96933,R_3sSxoT9MQFL2Oq5,23,27,20,-0.364000,0.15,2,1,true,744,Trend,Q,main
96933,R_3sSxoT9MQFL2Oq5,24,248,20,0.364000,0.15,2,1,true,665,Trend,P,main
96933,R_3sSxoT9MQFL2Oq5,25,85,18,-0.176300,0.15,2,1,true,838,Trend,Q,main
96933,R_3sSxoT9MQFL2Oq5,26,190,22,0.176300,0.15,2,1,true,765,Trend,P,main
96933,R_3sSxoT9MQFL2Oq5,27,238,14,0.364000,0.15,2,1,true,875,Trend,P,main
96933,R_3sSxoT9MQFL2Oq5,28,215,18,0.267900,0.15,2,1,true,1140,Trend,P,main
96933,R_3sSxoT9MQFL2Oq5,29,217,20,0.267900,0.15,2,1,true,818,Trend,P,main
96933,R_3sSxoT9MQFL2Oq5,30,189,22,0.176300,0.15,2,1,true,807,Trend,P,main
96933,R_3sSxoT9MQFL2Oq5,31,58,20,-0.267900,0.15,2,1,true,782,Trend,Q,main
96933,R_3sSxoT9MQFL2Oq5,32,246,18,0.364000,0.15,2,1,true,762,Trend,P,main
96933,R_3sSxoT9MQFL2Oq5,33,165,10,0.176300,0.15,2,1,false,1006,Trend,Q,main
96933,R_3sSxoT9MQFL2Oq5,34,250,20,0.364000,0.15,2,1,true,497,Trend,P,main
96933,R_3sSxoT9MQFL2Oq5,35,229,10,0.364000,0.15,2,1,true,714,Trend,P,main
96933,R_3sSxoT9MQFL2Oq5,36,224,8,0.364000,0.15,2,1,true,714,Trend,P,main
96933,R_3sSxoT9MQFL2Oq5,37,132,10,0.087500,0.15,2,1,true,863,Trend,P,main
96933,R_3sSxoT9MQFL2Oq5,38,1,8,-0.364000,0.15,2,1,true,939,Trend,Q,main
96933,R_3sSxoT9MQFL2Oq5,39,102,10,-0.087500,0.15,2,1,true,874,Trend,Q,main
96933,R_3sSxoT9MQFL2Oq5,40,136,12,0.087500,0.15,2,1,true,733,Trend,P,main
96933,R_3sSxoT9MQFL2Oq5,41,162,8,0.176300,0.15,2,1,true,627,Trend,P,main
96933,R_3sSxoT9MQFL2Oq5,42,71,10,-0.176300,0.15,2,1,false,84,Trend,P,main
96933,R_3sSxoT9MQFL2Oq5,43,89,20,-0.176300,0.15,2,1,false,294,Trend,P,main
96933,R_3sSxoT9MQFL2Oq5,44,182,18,0.176300,0.15,2,1,true,380,Trend,P,main
96933,R_3sSxoT9MQFL2Oq5,45,93,22,-0.176300,0.15,2,1,false,306,Trend,P,main
96933,R_3sSxoT9MQFL2Oq5,46,29,22,-0.364000,0.15,2,1,true,1398,Trend,Q,main
96933,R_3sSxoT9MQFL2Oq5,47,126,22,-0.087500,0.15,2,1,true,532,Trend,Q,main
96933,R_3sSxoT9MQFL2Oq5,48,142,14,0.087500,0.15,2,1,false,972,Trend,Q,main
96933,R_3sSxoT9MQFL2Oq5,49,112,16,-0.087500,0.15,2,1,true,630,Trend,Q,main
96933,R_3sSxoT9MQFL2Oq5,50,34,8,-0.267900,0.15,2,1,false,585,Trend,P,main
96933,R_3sSxoT9MQFL2Oq5,51,254,22,0.364000,0.15,2,1,true,518,Trend,P,main
96933,R_3sSxoT9MQFL2Oq5,52,72,12,-0.176300,0.15,2,1,false,83,Trend,P,main
96933,R_3sSxoT9MQFL2Oq5,53,151,18,0.087500,0.15,2,1,true,429,Trend,P,main
96933,R_3sSxoT9MQFL2Oq5,54,103,10,-0.087500,0.15,2,1,false,688,Trend,P,main
96933,R_3sSxoT9MQFL2Oq5,55,4,10,-0.364000,0.15,2,1,true,464,Trend,Q,main
96933,R_3sSxoT9MQFL2Oq5,56,121,20,-0.087500,0.15,2,1,true,696,Trend,Q,main
96933,R_3sSxoT9MQFL2Oq5,57,15,14,-0.364000,0.15,2,1,true,923,Trend,Q,main
96933,R_3sSxoT9MQFL2Oq5,58,166,10,0.176300,0.15,2,1,true,503,Trend,P,main
96933,R_3sSxoT9MQFL2Oq5,59,231,10,0.364000,0.15,2,1,true,808,Trend,P,main
96933,R_3sSxoT9MQFL2Oq5,60,96,8,-0.087500,0.15,2,1,false,959,Trend,P,main
96933,R_3sSxoT9MQFL2Oq5,61,45,14,-0.267900,0.15,2,1,true,895,Trend,Q,main
96933,R_3sSxoT9MQFL2Oq5,62,22,18,-0.364000,0.15,2,1,true,728,Trend,Q,main
96933,R_3sSxoT9MQFL2Oq5,63,39,10,-0.267900,0.15,2,1,true,897,Trend,Q,main
96933,R_3sSxoT9MQFL2Oq5,64,148,18,0.087500,0.15,2,1,true,878,Trend,P,main
96933,R_3sSxoT9MQFL2Oq5,65,161,8,0.176300,0.15,2,1,true,682,Trend,P,main
96933,R_3sSxoT9MQFL2Oq5,66,128,8,0.087500,0.15,2,1,true,912,Trend,P,main
96933,R_3sSxoT9MQFL2Oq5,67,94,22,-0.176300,0.15,2,1,true,1034,Trend,Q,main
