sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,blockOrder,accuracy,reactionTime,blockName,responseKey,trialType
96176,R_5CU7a5fuLrESXD3,1,44,16,0.176300,0.15,2,1,true,12573,Trend,P,training
96176,R_5CU7a5fuLrESXD3,2,12,16,-0.267900,0.15,2,1,false,8323,Trend,P,training
96176,R_5CU7a5fuLrESXD3,3,28,16,-0.087500,0.15,2,1,true,7848,Trend,Q,training
96176,R_5CU7a5fuLrESXD3,4,4,16,-0.364000,0.15,2,1,true,26697,Trend,Q,training
96176,R_5CU7a5fuLrESXD3,5,57,10,0.364000,0.15,2,1,true,1062,Trend,P,training
96176,R_5CU7a5fuLrESXD3,6,23,22,-0.176300,0.15,2,1,true,3010,Trend,Q,training
96176,R_5CU7a5fuLrESXD3,7,47,22,0.176300,0.15,2,1,false,3888,Trend,Q,training
96176,R_5CU7a5fuLrESXD3,8,58,12,0.364000,0.15,2,1,true,2778,Trend,P,training
96176,R_5CU7a5fuLrESXD3,9,37,18,0.087500,0.15,2,1,false,6513,Trend,Q,training
96176,R_5CU7a5fuLrESXD3,10,46,20,0.176300,0.15,2,1,false,2287,Trend,Q,training
96176,R_5CU7a5fuLrESXD3,11,109,14,-0.087500,0.15,2,1,true,1089,Trend,Q,main
96176,R_5CU7a5fuLrESXD3,12,130,8,0.087500,0.15,2,1,true,1052,Trend,P,main
96176,R_5CU7a5fuLrESXD3,13,182,18,0.176300,0.15,2,1,true,692,Trend,P,main
96176,R_5CU7a5fuLrESXD3,14,118,18,-0.087500,0.15,2,1,true,670,Trend,Q,main
96176,R_5CU7a5fuLrESXD3,15,243,16,0.364000,0.15,2,1,true,494,Trend,P,main
96176,R_5CU7a5fuLrESXD3,16,187,20,0.176300,0.15,2,1,false,1558,Trend,Q,main
96176,R_5CU7a5fuLrESXD3,17,204,14,0.267900,0.15,2,1,true,978,Trend,P,main
96176,R_5CU7a5fuLrESXD3,18,196,10,0.267900,0.15,2,1,true,1004,Trend,P,main
96176,R_5CU7a5fuLrESXD3,19,69,10,-0.176300,0.15,2,1,true,868,Trend,Q,main
96176,R_5CU7a5fuLrESXD3,20,172,14,0.176300,0.15,2,1,true,897,Trend,P,main
