sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,blockOrder,accuracy,reactionTime,blockName,responseKey,trialType
88323,R_5n3ARcbS5yx4TMB,1,36,16,0.087500,0.15,1,2,false,3883,Big/Small,P,training
88323,R_5n3ARcbS5yx4TMB,2,22,20,-0.176300,0.15,1,2,false,3030,Big/Small,P,training
88323,R_5n3ARcbS5yx4TMB,3,31,22,-0.087500,0.15,1,2,false,3410,Big/Small,P,training
88323,R_5n3ARcbS5yx4TMB,4,15,22,-0.267900,0.15,1,2,false,2716,Big/Small,P,training
88323,R_5n3ARcbS5yx4TMB,5,34,12,0.087500,0.15,1,2,false,2432,Big/Small,Q,training
88323,R_5n3ARcbS5yx4TMB,6,60,16,0.364000,0.15,1,2,true,2135,Big/Small,Q,training
88323,R_5n3ARcbS5yx4TMB,7,40,8,0.176300,0.15,1,2,false,2227,Big/Small,Q,training
88323,R_5n3ARcbS5yx4TMB,8,0,8,-0.364000,0.15,1,2,true,5768,Big/Small,P,training
88323,R_5n3ARcbS5yx4TMB,9,59,14,0.364000,0.15,1,2,true,4141,Big/Small,P,training
88323,R_5n3ARcbS5yx4TMB,10,30,20,-0.087500,0.15,1,2,true,3187,Big/Small,Q,training
88323,R_5n3ARcbS5yx4TMB,11,150,18,0.087500,0.15,1,2,true,2754,Big/Small,Q,main
88323,R_5n3ARcbS5yx4TMB,12,71,10,-0.176300,0.15,1,2,true,4021,Big/Small,P,main
88323,R_5n3ARcbS5yx4TMB,13,178,16,0.176300,0.15,1,2,true,3333,Big/Small,Q,main
88323,R_5n3ARcbS5yx4TMB,14,24,20,-0.364000,0.15,1,2,true,3833,Big/Small,Q,main
88323,R_5n3ARcbS5yx4TMB,15,52,18,-0.267900,0.15,1,2,true,2463,Big/Small,Q,main
88323,R_5n3ARcbS5yx4TMB,16,107,12,-0.087500,0.15,1,2,true,2113,Big/Small,P,main
88323,R_5n3ARcbS5yx4TMB,17,42,12,-0.267900,0.15,1,2,false,2963,Big/Small,Q,main
88323,R_5n3ARcbS5yx4TMB,18,174,14,0.176300,0.15,1,2,true,2540,Big/Small,P,main
88323,R_5n3ARcbS5yx4TMB,19,2,8,-0.364000,0.15,1,2,true,2125,Big/Small,P,main
88323,R_5n3ARcbS5yx4TMB,20,181,18,0.176300,0.15,1,2,true,2073,Big/Small,Q,main
88323,R_5n3ARcbS5yx4TMB,21,228,10,0.364000,0.15,1,2,true,3007,Big/Small,P,main
88323,R_5n3ARcbS5yx4TMB,22,186,20,0.176300,0.15,1,2,true,2393,Big/Small,Q,main
88323,R_5n3ARcbS5yx4TMB,23,137,12,0.087500,0.15,1,2,true,2220,Big/Small,P,main
88323,R_5n3ARcbS5yx4TMB,24,128,8,0.087500,0.15,1,2,true,2055,Big/Small,P,main
88323,R_5n3ARcbS5yx4TMB,25,90,20,-0.176300,0.15,1,2,true,2148,Big/Small,Q,main
88323,R_5n3ARcbS5yx4TMB,26,231,10,0.364000,0.15,1,2,true,2153,Big/Small,P,main
88323,R_5n3ARcbS5yx4TMB,27,151,18,0.087500,0.15,1,2,true,2103,Big/Small,Q,main
88323,R_5n3ARcbS5yx4TMB,28,79,14,-0.176300,0.15,1,2,true,2074,Big/Small,P,main
88323,R_5n3ARcbS5yx4TMB,29,195,8,0.267900,0.15,1,2,true,2088,Big/Small,P,main
88323,R_5n3ARcbS5yx4TMB,30,19,16,-0.364000,0.15,1,2,false,5058,Big/Small,P,main
88323,R_5n3ARcbS5yx4TMB,31,41,12,-0.267900,0.15,1,2,true,2273,Big/Small,P,main
88323,R_5n3ARcbS5yx4TMB,32,187,20,0.176300,0.15,1,2,true,2563,Big/Small,Q,main
