sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,blockOrder,accuracy,reactionTime,blockName,responseKey,trialType
97346,R_6a114U5tiMoqcQp,1,61,18,0.364000,0.15,2,1,true,16884,Trend,P,training
97346,R_6a114U5tiMoqcQp,2,18,12,-0.176300,0.15,2,1,true,4222,Trend,Q,training
97346,R_6a114U5tiMoqcQp,3,58,12,0.364000,0.15,2,1,true,2306,Trend,P,training
97346,R_6a114U5tiMoqcQp,4,63,22,0.364000,0.15,2,1,true,2005,Trend,P,training
97346,R_6a114U5tiMoqcQp,5,55,22,0.267900,0.15,2,1,false,3761,Trend,Q,training
97346,R_6a114U5tiMoqcQp,6,36,16,0.087500,0.15,2,1,true,2338,Trend,P,training
97346,R_6a114U5tiMoqcQp,7,19,14,-0.176300,0.15,2,1,true,3290,Trend,Q,training
97346,R_6a114U5tiMoqcQp,8,52,16,0.267900,0.15,2,1,true,2116,Trend,P,training
97346,R_6a114U5tiMoqcQp,9,41,10,0.176300,0.15,2,1,true,916,Trend,P,training
97346,R_6a114U5tiMoqcQp,10,12,16,-0.267900,0.15,2,1,false,298,Trend,P,training
97346,R_6a114U5tiMoqcQp,11,96,8,-0.087500,0.15,2,1,true,2786,Trend,Q,main
97346,R_6a114U5tiMoqcQp,12,114,16,-0.087500,0.15,2,1,true,1282,Trend,Q,main
97346,R_6a114U5tiMoqcQp,13,218,20,0.267900,0.15,2,1,true,584,Trend,P,main
97346,R_6a114U5tiMoqcQp,14,144,16,0.087500,0.15,2,1,true,688,Trend,P,main
97346,R_6a114U5tiMoqcQp,15,169,12,0.176300,0.15,2,1,true,667,Trend,P,main
97346,R_6a114U5tiMoqcQp,16,222,22,0.267900,0.15,2,1,true,550,Trend,P,main
97346,R_6a114U5tiMoqcQp,17,156,22,0.087500,0.15,2,1,true,711,Trend,P,main
97346,R_6a114U5tiMoqcQp,18,46,14,-0.267900,0.15,2,1,true,696,Trend,Q,main
97346,R_6a114U5tiMoqcQp,19,89,20,-0.176300,0.15,2,1,false,757,Trend,P,main
97346,R_6a114U5tiMoqcQp,20,199,10,0.267900,0.15,2,1,false,1017,Trend,Q,main
97346,R_6a114U5tiMoqcQp,21,229,10,0.364000,0.15,2,1,true,1301,Trend,P,main
97346,R_6a114U5tiMoqcQp,22,148,18,0.087500,0.15,2,1,true,1261,Trend,P,main
97346,R_6a114U5tiMoqcQp,23,99,8,-0.087500,0.15,2,1,true,852,Trend,Q,main
97346,R_6a114U5tiMoqcQp,24,183,18,0.176300,0.15,2,1,false,1822,Trend,Q,main
97346,R_6a114U5tiMoqcQp,25,84,18,-0.176300,0.15,2,1,true,2690,Trend,Q,main
97346,R_6a114U5tiMoqcQp,26,231,10,0.364000,0.15,2,1,true,631,Trend,P,main
97346,R_6a114U5tiMoqcQp,27,66,8,-0.176300,0.15,2,1,true,1151,Trend,Q,main
97346,R_6a114U5tiMoqcQp,28,9,12,-0.364000,0.15,2,1,false,3357,Trend,P,main
97346,R_6a114U5tiMoqcQp,29,171,12,0.176300,0.15,2,1,true,811,Trend,P,main
97346,R_6a114U5tiMoqcQp,30,210,16,0.267900,0.15,2,1,true,699,Trend,P,main
97346,R_6a114U5tiMoqcQp,31,13,14,-0.364000,0.15,2,1,true,927,Trend,Q,main
97346,R_6a114U5tiMoqcQp,32,68,10,-0.176300,0.15,2,1,true,972,Trend,Q,main
97346,R_6a114U5tiMoqcQp,33,55,18,-0.267900,0.15,2,1,true,636,Trend,Q,main
97346,R_6a114U5tiMoqcQp,34,224,8,0.364000,0.15,2,1,true,717,Trend,P,main
97346,R_6a114U5tiMoqcQp,35,27,20,-0.364000,0.15,2,1,false,1410,Trend,P,main
97346,R_6a114U5tiMoqcQp,36,33,8,-0.267900,0.15,2,1,false,1189,Trend,P,main
97346,R_6a114U5tiMoqcQp,37,88,20,-0.176300,0.15,2,1,true,943,Trend,Q,main
97346,R_6a114U5tiMoqcQp,38,76,14,-0.176300,0.15,2,1,true,779,Trend,Q,main
97346,R_6a114U5tiMoqcQp,39,62,22,-0.267900,0.15,2,1,true,623,Trend,Q,main
97346,R_6a114U5tiMoqcQp,40,42,12,-0.267900,0.15,2,1,true,730,Trend,Q,main
97346,R_6a114U5tiMoqcQp,41,164,10,0.176300,0.15,2,1,true,940,Trend,P,main
97346,R_6a114U5tiMoqcQp,42,203,12,0.267900,0.15,2,1,true,621,Trend,P,main
97346,R_6a114U5tiMoqcQp,43,95,22,-0.176300,0.15,2,1,false,1597,Trend,P,main
97346,R_6a114U5tiMoqcQp,44,61,22,-0.267900,0.15,2,1,true,1042,Trend,Q,main
97346,R_6a114U5tiMoqcQp,45,43,12,-0.267900,0.15,2,1,true,1121,Trend,Q,main
97346,R_6a114U5tiMoqcQp,46,115,16,-0.087500,0.15,2,1,true,763,Trend,Q,main
97346,R_6a114U5tiMoqcQp,47,129,8,0.087500,0.15,2,1,true,1015,Trend,P,main
97346,R_6a114U5tiMoqcQp,48,41,12,-0.267900,0.15,2,1,true,1315,Trend,Q,main
97346,R_6a114U5tiMoqcQp,49,213,18,0.267900,0.15,2,1,true,1173,Trend,P,main
97346,R_6a114U5tiMoqcQp,50,123,20,-0.087500,0.15,2,1,false,793,Trend,P,main
97346,R_6a114U5tiMoqcQp,51,24,20,-0.364000,0.15,2,1,true,1036,Trend,Q,main
97346,R_6a114U5tiMoqcQp,52,141,14,0.087500,0.15,2,1,false,753,Trend,Q,main
97346,R_6a114U5tiMoqcQp,53,177,16,0.176300,0.15,2,1,false,734,Trend,Q,main
97346,R_6a114U5tiMoqcQp,54,234,12,0.364000,0.15,2,1,true,1689,Trend,P,main
97346,R_6a114U5tiMoqcQp,55,2,8,-0.364000,0.15,2,1,false,3850,Trend,P,main
97346,R_6a114U5tiMoqcQp,56,17,16,-0.364000,0.15,2,1,false,883,Trend,P,main
97346,R_6a114U5tiMoqcQp,57,131,8,0.087500,0.15,2,1,true,665,Trend,P,main
97346,R_6a114U5tiMoqcQp,58,51,16,-0.267900,0.15,2,1,false,692,Trend,P,main
97346,R_6a114U5tiMoqcQp,59,108,14,-0.087500,0.15,2,1,false,659,Trend,P,main
97346,R_6a114U5tiMoqcQp,60,190,22,0.176300,0.15,2,1,true,848,Trend,P,main
97346,R_6a114U5tiMoqcQp,61,16,16,-0.364000,0.15,2,1,true,993,Trend,Q,main
97346,R_6a114U5tiMoqcQp,62,168,12,0.176300,0.15,2,1,true,747,Trend,P,main
97346,R_6a114U5tiMoqcQp,63,248,20,0.364000,0.15,2,1,true,603,Trend,P,main
97346,R_6a114U5tiMoqcQp,64,101,10,-0.087500,0.15,2,1,true,839,Trend,Q,main
97346,R_6a114U5tiMoqcQp,65,147,16,0.087500,0.15,2,1,true,830,Trend,P,main
97346,R_6a114U5tiMoqcQp,66,246,18,0.364000,0.15,2,1,true,661,Trend,P,main
97346,R_6a114U5tiMoqcQp,67,135,10,0.087500,0.15,2,1,true,584,Trend,P,main
97346,R_6a114U5tiMoqcQp,68,36,10,-0.267900,0.15,2,1,true,718,Trend,Q,main
97346,R_6a114U5tiMoqcQp,69,83,16,-0.176300,0.15,2,1,true,699,Trend,Q,main
97346,R_6a114U5tiMoqcQp,70,166,10,0.176300,0.15,2,1,true,891,Trend,P,main
97346,R_6a114U5tiMoqcQp,71,182,18,0.176300,0.15,2,1,true,652,Trend,P,main
97346,R_6a114U5tiMoqcQp,72,154,20,0.087500,0.15,2,1,true,718,Trend,P,main
97346,R_6a114U5tiMoqcQp,73,238,14,0.364000,0.15,2,1,true,588,Trend,P,main
97346,R_6a114U5tiMoqcQp,74,50,16,-0.267900,0.15,2,1,false,888,Trend,P,main
97346,R_6a114U5tiMoqcQp,75,35,8,-0.267900,0.15,2,1,true,648,Trend,Q,main
97346,R_6a114U5tiMoqcQp,76,54,18,-0.267900,0.15,2,1,true,580,Trend,Q,main
97346,R_6a114U5tiMoqcQp,77,52,18,-0.267900,0.15,2,1,true,646,Trend,Q,main
97346,R_6a114U5tiMoqcQp,78,134,10,0.087500,0.15,2,1,true,584,Trend,P,main
97346,R_6a114U5tiMoqcQp,79,253,22,0.364000,0.15,2,1,true,566,Trend,P,main
97346,R_6a114U5tiMoqcQp,80,77,14,-0.176300,0.15,2,1,true,707,Trend,Q,main
97346,R_6a114U5tiMoqcQp,81,163,8,0.176300,0.15,2,1,true,872,Trend,P,main
97346,R_6a114U5tiMoqcQp,82,236,14,0.364000,0.15,2,1,true,792,Trend,P,main
97346,R_6a114U5tiMoqcQp,83,178,16,0.176300,0.15,2,1,true,655,Trend,P,main
97346,R_6a114U5tiMoqcQp,84,104,12,-0.087500,0.15,2,1,true,984,Trend,Q,main
97346,R_6a114U5tiMoqcQp,85,60,22,-0.267900,0.15,2,1,true,530,Trend,Q,main
97346,R_6a114U5tiMoqcQp,86,7,10,-0.364000,0.15,2,1,false,1112,Trend,P,main
97346,R_6a114U5tiMoqcQp,87,230,10,0.364000,0.15,2,1,true,598,Trend,P,main
97346,R_6a114U5tiMoqcQp,88,209,16,0.267900,0.15,2,1,true,515,Trend,P,main
97346,R_6a114U5tiMoqcQp,89,14,14,-0.364000,0.15,2,1,true,768,Trend,Q,main
97346,R_6a114U5tiMoqcQp,90,240,16,0.364000,0.15,2,1,true,682,Trend,P,main
97346,R_6a114U5tiMoqcQp,91,216,20,0.267900,0.15,2,1,true,591,Trend,P,main
97346,R_6a114U5tiMoqcQp,92,37,10,-0.267900,0.15,2,1,true,680,Trend,Q,main
97346,R_6a114U5tiMoqcQp,93,93,22,-0.176300,0.15,2,1,false,766,Trend,P,main
97346,R_6a114U5tiMoqcQp,94,8,12,-0.364000,0.15,2,1,false,572,Trend,P,main
97346,R_6a114U5tiMoqcQp,95,117,18,-0.087500,0.15,2,1,false,642,Trend,P,main
97346,R_6a114U5tiMoqcQp,96,103,10,-0.087500,0.15,2,1,false,1139,Trend,P,main
97346,R_6a114U5tiMoqcQp,97,187,20,0.176300,0.15,2,1,true,542,Trend,P,main
97346,R_6a114U5tiMoqcQp,98,87,18,-0.176300,0.15,2,1,false,685,Trend,P,main
97346,R_6a114U5tiMoqcQp,99,245,18,0.364000,0.15,2,1,true,495,Trend,P,main
97346,R_6a114U5tiMoqcQp,100,116,18,-0.087500,0.15,2,1,true,849,Trend,Q,main
97346,R_6a114U5tiMoqcQp,101,226,8,0.364000,0.15,2,1,true,797,Trend,P,main
97346,R_6a114U5tiMoqcQp,102,85,18,-0.176300,0.15,2,1,true,931,Trend,Q,main
97346,R_6a114U5tiMoqcQp,103,221,22,0.267900,0.15,2,1,true,828,Trend,P,main
97346,R_6a114U5tiMoqcQp,104,165,10,0.176300,0.15,2,1,false,1064,Trend,Q,main
97346,R_6a114U5tiMoqcQp,105,161,8,0.176300,0.15,2,1,true,876,Trend,P,main
97346,R_6a114U5tiMoqcQp,106,127,22,-0.087500,0.15,2,1,true,1189,Trend,Q,main
97346,R_6a114U5tiMoqcQp,107,212,18,0.267900,0.15,2,1,true,660,Trend,P,main
97346,R_6a114U5tiMoqcQp,108,192,8,0.267900,0.15,2,1,true,1163,Trend,P,main
97346,R_6a114U5tiMoqcQp,109,70,10,-0.176300,0.15,2,1,true,624,Trend,Q,main
97346,R_6a114U5tiMoqcQp,110,38,10,-0.267900,0.15,2,1,true,571,Trend,Q,main
97346,R_6a114U5tiMoqcQp,111,191,22,0.176300,0.15,2,1,true,933,Trend,P,main
97346,R_6a114U5tiMoqcQp,112,233,12,0.364000,0.15,2,1,true,583,Trend,P,main
97346,R_6a114U5tiMoqcQp,113,105,12,-0.087500,0.15,2,1,true,883,Trend,Q,main
97346,R_6a114U5tiMoqcQp,114,15,14,-0.364000,0.15,2,1,true,790,Trend,Q,main
97346,R_6a114U5tiMoqcQp,115,158,22,0.087500,0.15,2,1,true,862,Trend,P,main
97346,R_6a114U5tiMoqcQp,116,159,22,0.087500,0.15,2,1,true,1178,Trend,P,main
97346,R_6a114U5tiMoqcQp,117,82,16,-0.176300,0.15,2,1,false,82,Trend,P,main
97346,R_6a114U5tiMoqcQp,118,23,18,-0.364000,0.15,2,1,true,1023,Trend,Q,main
97346,R_6a114U5tiMoqcQp,119,204,14,0.267900,0.15,2,1,true,1012,Trend,P,main
97346,R_6a114U5tiMoqcQp,120,205,14,0.267900,0.15,2,1,true,702,Trend,P,main
97346,R_6a114U5tiMoqcQp,121,186,20,0.176300,0.15,2,1,true,869,Trend,P,main
97346,R_6a114U5tiMoqcQp,122,30,22,-0.364000,0.15,2,1,true,899,Trend,Q,main
97346,R_6a114U5tiMoqcQp,123,219,20,0.267900,0.15,2,1,true,713,Trend,P,main
97346,R_6a114U5tiMoqcQp,124,252,22,0.364000,0.15,2,1,true,627,Trend,P,main
97346,R_6a114U5tiMoqcQp,125,31,22,-0.364000,0.15,2,1,true,499,Trend,Q,main
97346,R_6a114U5tiMoqcQp,126,207,14,0.267900,0.15,2,1,true,656,Trend,P,main
97346,R_6a114U5tiMoqcQp,127,145,16,0.087500,0.15,2,1,true,1207,Trend,P,main
97346,R_6a114U5tiMoqcQp,128,235,12,0.364000,0.15,2,1,true,778,Trend,P,main
97346,R_6a114U5tiMoqcQp,129,65,8,-0.176300,0.15,2,1,true,996,Trend,Q,main
97346,R_6a114U5tiMoqcQp,130,19,16,-0.364000,0.15,2,1,true,599,Trend,Q,main
97346,R_6a114U5tiMoqcQp,131,102,10,-0.087500,0.15,2,1,false,1177,Trend,P,main
97346,R_6a114U5tiMoqcQp,132,215,18,0.267900,0.15,2,1,true,821,Trend,P,main
97346,R_6a114U5tiMoqcQp,133,125,22,-0.087500,0.15,2,1,true,1004,Trend,Q,main
97346,R_6a114U5tiMoqcQp,134,232,12,0.364000,0.15,2,1,true,709,Trend,P,main
