sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,blockOrder,accuracy,reactionTime,blockName,responseKey,trialType
96235,R_6qrwO4y8Ip3ArhJ,1,25,10,-0.087500,0.15,1,2,true,1368,Big/Small,P,training
96235,R_6qrwO4y8Ip3ArhJ,2,4,16,-0.364000,0.15,1,2,false,1191,Big/Small,P,training
96235,R_6qrwO4y8Ip3ArhJ,3,5,18,-0.364000,0.15,1,2,true,886,Big/Small,Q,training
96235,R_6qrwO4y8Ip3ArhJ,4,14,20,-0.267900,0.15,1,2,true,1234,Big/Small,Q,training
96235,R_6qrwO4y8Ip3ArhJ,5,38,20,0.087500,0.15,1,2,true,1184,Big/Small,Q,training
96235,R_6qrwO4y8Ip3ArhJ,6,62,20,0.364000,0.15,1,2,true,1394,Big/Small,Q,training
96235,R_6qrwO4y8Ip3ArhJ,7,30,20,-0.087500,0.15,1,2,false,1528,Big/Small,P,training
96235,R_6qrwO4y8Ip3ArhJ,8,2,12,-0.364000,0.15,1,2,true,874,Big/Small,P,training
96235,R_6qrwO4y8Ip3ArhJ,9,48,8,0.267900,0.15,1,2,true,758,Big/Small,P,training
96235,R_6qrwO4y8Ip3ArhJ,10,47,22,0.176300,0.15,1,2,true,633,Big/Small,Q,training
96235,R_6qrwO4y8Ip3ArhJ,11,219,20,0.267900,0.15,1,2,true,1055,Big/Small,Q,main
96235,R_6qrwO4y8Ip3ArhJ,12,234,12,0.364000,0.15,1,2,true,756,Big/Small,P,main
96235,R_6qrwO4y8Ip3ArhJ,13,139,12,0.087500,0.15,1,2,true,876,Big/Small,P,main
96235,R_6qrwO4y8Ip3ArhJ,14,86,18,-0.176300,0.15,1,2,true,654,Big/Small,Q,main
96235,R_6qrwO4y8Ip3ArhJ,15,134,10,0.087500,0.15,1,2,true,644,Big/Small,P,main
96235,R_6qrwO4y8Ip3ArhJ,16,4,10,-0.364000,0.15,1,2,true,984,Big/Small,P,main
96235,R_6qrwO4y8Ip3ArhJ,17,32,8,-0.267900,0.15,1,2,true,825,Big/Small,P,main
96235,R_6qrwO4y8Ip3ArhJ,18,53,18,-0.267900,0.15,1,2,true,779,Big/Small,Q,main
96235,R_6qrwO4y8Ip3ArhJ,19,196,10,0.267900,0.15,1,2,true,602,Big/Small,P,main
96235,R_6qrwO4y8Ip3ArhJ,20,118,18,-0.087500,0.15,1,2,true,679,Big/Small,Q,main
96235,R_6qrwO4y8Ip3ArhJ,21,106,12,-0.087500,0.15,1,2,true,788,Big/Small,P,main
96235,R_6qrwO4y8Ip3ArhJ,22,142,14,0.087500,0.15,1,2,true,1003,Big/Small,P,main
96235,R_6qrwO4y8Ip3ArhJ,23,39,10,-0.267900,0.15,1,2,true,762,Big/Small,P,main
96235,R_6qrwO4y8Ip3ArhJ,24,52,18,-0.267900,0.15,1,2,true,651,Big/Small,Q,main
96235,R_6qrwO4y8Ip3ArhJ,25,1,8,-0.364000,0.15,1,2,true,654,Big/Small,P,main
96235,R_6qrwO4y8Ip3ArhJ,26,237,14,0.364000,0.15,1,2,true,1147,Big/Small,P,main
96235,R_6qrwO4y8Ip3ArhJ,27,43,12,-0.267900,0.15,1,2,true,838,Big/Small,P,main
96235,R_6qrwO4y8Ip3ArhJ,28,130,8,0.087500,0.15,1,2,true,719,Big/Small,P,main
96235,R_6qrwO4y8Ip3ArhJ,29,21,18,-0.364000,0.15,1,2,true,704,Big/Small,Q,main
96235,R_6qrwO4y8Ip3ArhJ,30,148,18,0.087500,0.15,1,2,true,4079,Big/Small,Q,main
96235,R_6qrwO4y8Ip3ArhJ,31,73,12,-0.176300,0.15,1,2,true,964,Big/Small,P,main
96235,R_6qrwO4y8Ip3ArhJ,32,242,16,0.364000,0.15,1,2,true,1174,Big/Small,Q,main
96235,R_6qrwO4y8Ip3ArhJ,33,92,22,-0.176300,0.15,1,2,true,734,Big/Small,Q,main
96235,R_6qrwO4y8Ip3ArhJ,34,178,16,0.176300,0.15,1,2,false,709,Big/Small,P,main
96235,R_6qrwO4y8Ip3ArhJ,35,12,14,-0.364000,0.15,1,2,false,807,Big/Small,Q,main
96235,R_6qrwO4y8Ip3ArhJ,36,222,22,0.267900,0.15,1,2,true,763,Big/Small,Q,main
96235,R_6qrwO4y8Ip3ArhJ,37,179,16,0.176300,0.15,1,2,true,608,Big/Small,Q,main
96235,R_6qrwO4y8Ip3ArhJ,38,28,22,-0.364000,0.15,1,2,true,663,Big/Small,Q,main
96235,R_6qrwO4y8Ip3ArhJ,39,70,10,-0.176300,0.15,1,2,true,508,Big/Small,P,main
96235,R_6qrwO4y8Ip3ArhJ,40,97,8,-0.087500,0.15,1,2,true,594,Big/Small,P,main
96235,R_6qrwO4y8Ip3ArhJ,41,168,12,0.176300,0.15,1,2,true,601,Big/Small,P,main
96235,R_6qrwO4y8Ip3ArhJ,42,217,20,0.267900,0.15,1,2,true,832,Big/Small,Q,main
96235,R_6qrwO4y8Ip3ArhJ,43,56,20,-0.267900,0.15,1,2,true,1070,Big/Small,Q,main
96235,R_6qrwO4y8Ip3ArhJ,44,175,14,0.176300,0.15,1,2,true,812,Big/Small,P,main
96235,R_6qrwO4y8Ip3ArhJ,45,101,10,-0.087500,0.15,1,2,true,665,Big/Small,P,main
96235,R_6qrwO4y8Ip3ArhJ,46,135,10,0.087500,0.15,1,2,true,816,Big/Small,P,main
96235,R_6qrwO4y8Ip3ArhJ,47,129,8,0.087500,0.15,1,2,true,677,Big/Small,P,main
96235,R_6qrwO4y8Ip3ArhJ,48,26,20,-0.364000,0.15,1,2,true,609,Big/Small,Q,main
96235,R_6qrwO4y8Ip3ArhJ,49,251,20,0.364000,0.15,1,2,true,655,Big/Small,Q,main
96235,R_6qrwO4y8Ip3ArhJ,50,90,20,-0.176300,0.15,1,2,true,856,Big/Small,Q,main
96235,R_6qrwO4y8Ip3ArhJ,51,60,22,-0.267900,0.15,1,2,true,533,Big/Small,Q,main
96235,R_6qrwO4y8Ip3ArhJ,52,20,18,-0.364000,0.15,1,2,true,562,Big/Small,Q,main
96235,R_6qrwO4y8Ip3ArhJ,53,245,18,0.364000,0.15,1,2,true,539,Big/Small,Q,main
96235,R_6qrwO4y8Ip3ArhJ,54,186,20,0.176300,0.15,1,2,true,545,Big/Small,Q,main
96235,R_6qrwO4y8Ip3ArhJ,55,180,18,0.176300,0.15,1,2,true,525,Big/Small,Q,main
96235,R_6qrwO4y8Ip3ArhJ,56,170,12,0.176300,0.15,1,2,true,698,Big/Small,P,main
96235,R_6qrwO4y8Ip3ArhJ,57,100,10,-0.087500,0.15,1,2,true,652,Big/Small,P,main
96235,R_6qrwO4y8Ip3ArhJ,58,243,16,0.364000,0.15,1,2,false,776,Big/Small,P,main
96235,R_6qrwO4y8Ip3ArhJ,59,182,18,0.176300,0.15,1,2,true,675,Big/Small,Q,main
96235,R_6qrwO4y8Ip3ArhJ,60,103,10,-0.087500,0.15,1,2,true,658,Big/Small,P,main
96235,R_6qrwO4y8Ip3ArhJ,61,116,18,-0.087500,0.15,1,2,false,858,Big/Small,P,main
96235,R_6qrwO4y8Ip3ArhJ,62,244,18,0.364000,0.15,1,2,false,973,Big/Small,P,main
96235,R_6qrwO4y8Ip3ArhJ,63,221,22,0.267900,0.15,1,2,false,1734,Big/Small,P,main
96235,R_6qrwO4y8Ip3ArhJ,64,22,18,-0.364000,0.15,1,2,false,1173,Big/Small,P,main
96235,R_6qrwO4y8Ip3ArhJ,65,117,18,-0.087500,0.15,1,2,false,926,Big/Small,P,main
96235,R_6qrwO4y8Ip3ArhJ,66,122,20,-0.087500,0.15,1,2,true,858,Big/Small,Q,main
96235,R_6qrwO4y8Ip3ArhJ,67,169,12,0.176300,0.15,1,2,true,656,Big/Small,P,main
96235,R_6qrwO4y8Ip3ArhJ,68,69,10,-0.176300,0.15,1,2,true,683,Big/Small,P,main
