sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,blockOrder,accuracy,reactionTime,blockName,responseKey,trialType
96915,R_7atjjmoZTEaUiSl,1,36,16,0.087500,0.15,2,2,true,8226,Big/Small,P,training
96915,R_7atjjmoZTEaUiSl,2,42,12,0.176300,0.15,2,2,true,1345,Big/Small,Q,training
96915,R_7atjjmoZTEaUiSl,3,56,8,0.364000,0.15,2,2,true,1046,Big/Small,Q,training
96915,R_7atjjmoZTEaUiSl,4,59,14,0.364000,0.15,2,2,false,962,Big/Small,P,training
96915,R_7atjjmoZTEaUiSl,5,34,12,0.087500,0.15,2,2,true,2139,Big/Small,Q,training
96915,R_7atjjmoZTEaUiSl,6,9,10,-0.267900,0.15,2,2,true,682,Big/Small,Q,training
96915,R_7atjjmoZTEaUiSl,7,16,8,-0.176300,0.15,2,2,true,701,Big/Small,Q,training
96915,R_7atjjmoZTEaUiSl,8,49,10,0.267900,0.15,2,2,true,643,Big/Small,Q,training
96915,R_7atjjmoZTEaUiSl,9,22,20,-0.176300,0.15,2,2,true,595,Big/Small,P,training
96915,R_7atjjmoZTEaUiSl,10,11,14,-0.267900,0.15,2,2,false,663,Big/Small,P,training
96915,R_7atjjmoZTEaUiSl,11,193,8,0.267900,0.15,2,2,true,535,Big/Small,Q,main
96915,R_7atjjmoZTEaUiSl,12,50,16,-0.267900,0.15,2,2,true,701,Big/Small,P,main
96915,R_7atjjmoZTEaUiSl,13,134,10,0.087500,0.15,2,2,true,811,Big/Small,Q,main
96915,R_7atjjmoZTEaUiSl,14,130,8,0.087500,0.15,2,2,true,813,Big/Small,Q,main
96915,R_7atjjmoZTEaUiSl,15,1,8,-0.364000,0.15,2,2,true,814,Big/Small,Q,main
96915,R_7atjjmoZTEaUiSl,16,166,10,0.176300,0.15,2,2,true,712,Big/Small,Q,main
96915,R_7atjjmoZTEaUiSl,17,173,14,0.176300,0.15,2,2,false,488,Big/Small,P,main
96915,R_7atjjmoZTEaUiSl,18,217,20,0.267900,0.15,2,2,true,544,Big/Small,P,main
96915,R_7atjjmoZTEaUiSl,19,121,20,-0.087500,0.15,2,2,true,452,Big/Small,P,main
96915,R_7atjjmoZTEaUiSl,20,242,16,0.364000,0.15,2,2,true,655,Big/Small,P,main
96915,R_7atjjmoZTEaUiSl,21,92,22,-0.176300,0.15,2,2,true,452,Big/Small,P,main
96915,R_7atjjmoZTEaUiSl,22,67,8,-0.176300,0.15,2,2,true,677,Big/Small,Q,main
96915,R_7atjjmoZTEaUiSl,23,223,22,0.267900,0.15,2,2,true,722,Big/Small,P,main
96915,R_7atjjmoZTEaUiSl,24,209,16,0.267900,0.15,2,2,false,474,Big/Small,Q,main
96915,R_7atjjmoZTEaUiSl,25,118,18,-0.087500,0.15,2,2,true,757,Big/Small,P,main
96915,R_7atjjmoZTEaUiSl,26,45,14,-0.267900,0.15,2,2,true,814,Big/Small,Q,main
96915,R_7atjjmoZTEaUiSl,27,251,20,0.364000,0.15,2,2,true,903,Big/Small,P,main
96915,R_7atjjmoZTEaUiSl,28,182,18,0.176300,0.15,2,2,true,895,Big/Small,P,main
96915,R_7atjjmoZTEaUiSl,29,73,12,-0.176300,0.15,2,2,true,1269,Big/Small,Q,main
96915,R_7atjjmoZTEaUiSl,30,180,18,0.176300,0.15,2,2,true,614,Big/Small,P,main
96915,R_7atjjmoZTEaUiSl,31,20,18,-0.364000,0.15,2,2,true,627,Big/Small,P,main
96915,R_7atjjmoZTEaUiSl,32,103,10,-0.087500,0.15,2,2,true,594,Big/Small,Q,main
96915,R_7atjjmoZTEaUiSl,33,47,14,-0.267900,0.15,2,2,true,1438,Big/Small,Q,main
96915,R_7atjjmoZTEaUiSl,34,248,20,0.364000,0.15,2,2,true,870,Big/Small,P,main
96915,R_7atjjmoZTEaUiSl,35,24,20,-0.364000,0.15,2,2,true,754,Big/Small,P,main
96915,R_7atjjmoZTEaUiSl,36,9,12,-0.364000,0.15,2,2,false,551,Big/Small,P,main
96915,R_7atjjmoZTEaUiSl,37,175,14,0.176300,0.15,2,2,false,1309,Big/Small,P,main
96915,R_7atjjmoZTEaUiSl,38,63,22,-0.267900,0.15,2,2,false,597,Big/Small,Q,main
96915,R_7atjjmoZTEaUiSl,39,152,20,0.087500,0.15,2,2,true,1711,Big/Small,P,main
96915,R_7atjjmoZTEaUiSl,40,227,8,0.364000,0.15,2,2,true,753,Big/Small,Q,main
96915,R_7atjjmoZTEaUiSl,41,219,20,0.267900,0.15,2,2,true,547,Big/Small,P,main
96915,R_7atjjmoZTEaUiSl,42,178,16,0.176300,0.15,2,2,true,885,Big/Small,P,main
96915,R_7atjjmoZTEaUiSl,43,26,20,-0.364000,0.15,2,2,true,602,Big/Small,P,main
96915,R_7atjjmoZTEaUiSl,44,213,18,0.267900,0.15,2,2,true,487,Big/Small,P,main
96915,R_7atjjmoZTEaUiSl,45,14,14,-0.364000,0.15,2,2,true,1256,Big/Small,Q,main
96915,R_7atjjmoZTEaUiSl,46,36,10,-0.267900,0.15,2,2,true,571,Big/Small,Q,main
96915,R_7atjjmoZTEaUiSl,47,46,14,-0.267900,0.15,2,2,false,1174,Big/Small,P,main
96915,R_7atjjmoZTEaUiSl,48,199,10,0.267900,0.15,2,2,true,600,Big/Small,Q,main
96915,R_7atjjmoZTEaUiSl,49,27,20,-0.364000,0.15,2,2,true,574,Big/Small,P,main
96915,R_7atjjmoZTEaUiSl,50,11,12,-0.364000,0.15,2,2,true,651,Big/Small,Q,main
96915,R_7atjjmoZTEaUiSl,51,220,22,0.267900,0.15,2,2,true,548,Big/Small,P,main
96915,R_7atjjmoZTEaUiSl,52,18,16,-0.364000,0.15,2,2,true,871,Big/Small,P,main
96915,R_7atjjmoZTEaUiSl,53,136,12,0.087500,0.15,2,2,true,652,Big/Small,Q,main
96915,R_7atjjmoZTEaUiSl,54,100,10,-0.087500,0.15,2,2,true,578,Big/Small,Q,main
96915,R_7atjjmoZTEaUiSl,55,69,10,-0.176300,0.15,2,2,true,457,Big/Small,Q,main
96915,R_7atjjmoZTEaUiSl,56,32,8,-0.267900,0.15,2,2,true,465,Big/Small,Q,main
96915,R_7atjjmoZTEaUiSl,57,143,14,0.087500,0.15,2,2,false,656,Big/Small,P,main
96915,R_7atjjmoZTEaUiSl,58,231,10,0.364000,0.15,2,2,true,744,Big/Small,Q,main
96915,R_7atjjmoZTEaUiSl,59,221,22,0.267900,0.15,2,2,true,757,Big/Small,P,main
96915,R_7atjjmoZTEaUiSl,60,195,8,0.267900,0.15,2,2,true,546,Big/Small,Q,main
96915,R_7atjjmoZTEaUiSl,61,96,8,-0.087500,0.15,2,2,true,639,Big/Small,Q,main
96915,R_7atjjmoZTEaUiSl,62,8,12,-0.364000,0.15,2,2,true,824,Big/Small,Q,main
96915,R_7atjjmoZTEaUiSl,63,215,18,0.267900,0.15,2,2,true,494,Big/Small,P,main
96915,R_7atjjmoZTEaUiSl,64,197,10,0.267900,0.15,2,2,true,616,Big/Small,Q,main
96915,R_7atjjmoZTEaUiSl,65,116,18,-0.087500,0.15,2,2,true,554,Big/Small,P,main
96915,R_7atjjmoZTEaUiSl,66,234,12,0.364000,0.15,2,2,true,463,Big/Small,Q,main
