sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
86295,R_1MXRwW1SQiN7PTX,1,7,22,-0.140500,0.15,2,1,true,1833,Trend,Q,training
86295,R_1MXRwW1SQiN7PTX,2,27,14,-0.034900,0.15,2,1,true,866,Trend,Q,training
86295,R_1MXRwW1SQiN7PTX,3,1,10,-0.140500,0.15,2,1,true,570,Trend,Q,training
86295,R_1MXRwW1SQiN7PTX,4,34,12,0.034900,0.15,2,1,false,653,Trend,Q,training
86295,R_1MXRwW1SQiN7PTX,5,57,10,0.140500,0.15,2,1,true,552,Trend,P,training
86295,R_1MXRwW1SQiN7PTX,6,56,8,0.140500,0.15,2,1,true,650,Trend,P,training
86295,R_1MXRwW1SQiN7PTX,7,11,14,-0.105100,0.15,2,1,false,1137,Trend,P,training
86295,R_1MXRwW1SQiN7PTX,8,8,8,-0.105100,0.15,2,1,true,820,Trend,Q,training
86295,R_1MXRwW1SQiN7PTX,9,28,16,-0.034900,0.15,2,1,true,1676,Trend,Q,training
86295,R_1MXRwW1SQiN7PTX,10,43,14,0.069900,0.15,2,1,true,825,Trend,P,training
86295,R_1MXRwW1SQiN7PTX,11,502,20,0.140500,0.15,2,1,true,1461,Trend,P,main
86295,R_1MXRwW1SQiN7PTX,12,251,22,-0.034900,0.15,2,1,true,797,Trend,Q,main
86295,R_1MXRwW1SQiN7PTX,13,466,12,0.140500,0.15,2,1,true,750,Trend,P,main
86295,R_1MXRwW1SQiN7PTX,14,476,14,0.140500,0.15,2,1,true,993,Trend,P,main
86295,R_1MXRwW1SQiN7PTX,15,288,16,0.034900,0.15,2,1,false,771,Trend,Q,main
86295,R_1MXRwW1SQiN7PTX,16,320,8,0.069900,0.15,2,1,true,597,Trend,P,main
86295,R_1MXRwW1SQiN7PTX,17,156,14,-0.069900,0.15,2,1,true,364,Trend,Q,main
86295,R_1MXRwW1SQiN7PTX,18,180,20,-0.069900,0.15,2,1,true,775,Trend,Q,main
86295,R_1MXRwW1SQiN7PTX,19,302,18,0.034900,0.15,2,1,false,1167,Trend,Q,main
86295,R_1MXRwW1SQiN7PTX,20,117,20,-0.105100,0.15,2,1,true,808,Trend,Q,main
86295,R_1MXRwW1SQiN7PTX,21,175,18,-0.069900,0.15,2,1,true,958,Trend,Q,main
86295,R_1MXRwW1SQiN7PTX,22,310,20,0.034900,0.15,2,1,true,1453,Trend,P,main
86295,R_1MXRwW1SQiN7PTX,23,410,14,0.105100,0.15,2,1,true,1057,Trend,P,main
86295,R_1MXRwW1SQiN7PTX,24,353,16,0.069900,0.15,2,1,true,1048,Trend,P,main
86295,R_1MXRwW1SQiN7PTX,25,119,20,-0.105100,0.15,2,1,false,876,Trend,P,main
86295,R_1MXRwW1SQiN7PTX,26,233,18,-0.034900,0.15,2,1,true,1160,Trend,Q,main
86295,R_1MXRwW1SQiN7PTX,27,187,22,-0.069900,0.15,2,1,false,762,Trend,P,main
86295,R_1MXRwW1SQiN7PTX,28,482,16,0.140500,0.15,2,1,false,927,Trend,Q,main
86295,R_1MXRwW1SQiN7PTX,29,327,8,0.069900,0.15,2,1,false,2617,Trend,Q,main
86295,R_1MXRwW1SQiN7PTX,30,155,14,-0.069900,0.15,2,1,true,764,Trend,Q,main
86295,R_1MXRwW1SQiN7PTX,31,396,10,0.105100,0.15,2,1,true,630,Trend,P,main
86295,R_1MXRwW1SQiN7PTX,32,401,12,0.105100,0.15,2,1,true,951,Trend,P,main
86295,R_1MXRwW1SQiN7PTX,33,34,16,-0.140500,0.15,2,1,true,864,Trend,Q,main
86295,R_1MXRwW1SQiN7PTX,34,412,14,0.105100,0.15,2,1,true,1174,Trend,P,main
86295,R_1MXRwW1SQiN7PTX,35,279,12,0.034900,0.15,2,1,true,636,Trend,P,main
86295,R_1MXRwW1SQiN7PTX,36,211,12,-0.034900,0.15,2,1,true,674,Trend,Q,main
86295,R_1MXRwW1SQiN7PTX,37,290,16,0.034900,0.15,2,1,true,503,Trend,P,main
86295,R_1MXRwW1SQiN7PTX,38,105,18,-0.105100,0.15,2,1,true,2100,Trend,Q,main
86295,R_1MXRwW1SQiN7PTX,39,40,18,-0.140500,0.15,2,1,true,975,Trend,Q,main
86295,R_1MXRwW1SQiN7PTX,40,338,12,0.069900,0.15,2,1,true,711,Trend,P,main
86295,R_1MXRwW1SQiN7PTX,41,124,22,-0.105100,0.15,2,1,true,666,Trend,Q,main
86295,R_1MXRwW1SQiN7PTX,42,487,16,0.140500,0.15,2,1,true,1200,Trend,P,main
86295,R_1MXRwW1SQiN7PTX,43,297,18,0.034900,0.15,2,1,true,888,Trend,P,main
86295,R_1MXRwW1SQiN7PTX,44,367,18,0.069900,0.15,2,1,true,2536,Trend,P,main
86295,R_1MXRwW1SQiN7PTX,45,240,20,-0.034900,0.15,2,1,false,1073,Trend,P,main
86295,R_1MXRwW1SQiN7PTX,46,393,10,0.105100,0.15,2,1,true,764,Trend,P,main
86295,R_1MXRwW1SQiN7PTX,47,220,14,-0.034900,0.15,2,1,true,1088,Trend,Q,main
86295,R_1MXRwW1SQiN7PTX,48,364,18,0.069900,0.15,2,1,true,755,Trend,P,main
86295,R_1MXRwW1SQiN7PTX,49,415,14,0.105100,0.15,2,1,true,1239,Trend,P,main
86295,R_1MXRwW1SQiN7PTX,50,213,12,-0.034900,0.15,2,1,false,897,Trend,P,main
86295,R_1MXRwW1SQiN7PTX,51,273,12,0.034900,0.15,2,1,true,673,Trend,P,main
86295,R_1MXRwW1SQiN7PTX,52,142,10,-0.069900,0.15,2,1,true,759,Trend,Q,main
86295,R_1MXRwW1SQiN7PTX,53,99,16,-0.105100,0.15,2,1,true,724,Trend,Q,main
86295,R_1MXRwW1SQiN7PTX,54,120,22,-0.105100,0.15,2,1,true,1061,Trend,Q,main
86295,R_1MXRwW1SQiN7PTX,55,454,8,0.140500,0.15,2,1,true,720,Trend,P,main
86295,R_1MXRwW1SQiN7PTX,56,247,20,-0.034900,0.15,2,1,true,692,Trend,Q,main
86295,R_1MXRwW1SQiN7PTX,57,179,20,-0.069900,0.15,2,1,true,1380,Trend,Q,main
86295,R_1MXRwW1SQiN7PTX,58,209,12,-0.034900,0.15,2,1,true,759,Trend,Q,main
86295,R_1MXRwW1SQiN7PTX,59,295,16,0.034900,0.15,2,1,false,723,Trend,Q,main
86295,R_1MXRwW1SQiN7PTX,60,260,8,0.034900,0.15,2,1,false,1224,Trend,Q,main
86295,R_1MXRwW1SQiN7PTX,61,221,14,-0.034900,0.15,2,1,true,677,Trend,Q,main
86295,R_1MXRwW1SQiN7PTX,62,237,18,-0.034900,0.15,2,1,true,751,Trend,Q,main
86295,R_1MXRwW1SQiN7PTX,63,153,14,-0.069900,0.15,2,1,false,704,Trend,P,main
