sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
88396,R_1mXjnK8MUZq67rF,1,13,18,-0.105100,0.15,2,2,true,7726,Number,P,training
88396,R_1mXjnK8MUZq67rF,2,2,12,-0.140500,0.15,2,2,true,1857,Number,Q,training
88396,R_1mXjnK8MUZq67rF,3,5,18,-0.140500,0.15,2,2,true,2698,Number,P,training
88396,R_1mXjnK8MUZq67rF,4,23,22,-0.069900,0.15,2,2,true,2339,Number,P,training
88396,R_1mXjnK8MUZq67rF,5,39,22,0.034900,0.15,2,2,true,790,Number,P,training
88396,R_1mXjnK8MUZq67rF,6,36,16,0.034900,0.15,2,2,false,883,Number,Q,training
88396,R_1mXjnK8MUZq67rF,7,16,8,-0.069900,0.15,2,2,true,892,Number,Q,training
88396,R_1mXjnK8MUZq67rF,8,11,14,-0.105100,0.15,2,2,false,1582,Number,P,training
88396,R_1mXjnK8MUZq67rF,9,27,14,-0.034900,0.15,2,2,true,1486,Number,Q,training
88396,R_1mXjnK8MUZq67rF,10,34,12,0.034900,0.15,2,2,false,2563,Number,P,training
88396,R_1mXjnK8MUZq67rF,11,499,20,0.140500,0.15,2,2,true,1046,Number,P,main
88396,R_1mXjnK8MUZq67rF,12,82,12,-0.105100,0.15,2,2,true,2575,Number,Q,main
88396,R_1mXjnK8MUZq67rF,13,378,22,0.069900,0.15,2,2,true,765,Number,P,main
88396,R_1mXjnK8MUZq67rF,14,439,20,0.105100,0.15,2,2,true,1326,Number,P,main
88396,R_1mXjnK8MUZq67rF,15,432,20,0.105100,0.15,2,2,true,1122,Number,P,main
88396,R_1mXjnK8MUZq67rF,16,342,12,0.069900,0.15,2,2,true,1289,Number,Q,main
88396,R_1mXjnK8MUZq67rF,17,201,10,-0.034900,0.15,2,2,true,673,Number,Q,main
88396,R_1mXjnK8MUZq67rF,18,205,10,-0.034900,0.15,2,2,true,796,Number,Q,main
88396,R_1mXjnK8MUZq67rF,19,381,22,0.069900,0.15,2,2,true,814,Number,P,main
88396,R_1mXjnK8MUZq67rF,20,210,12,-0.034900,0.15,2,2,false,931,Number,P,main
88396,R_1mXjnK8MUZq67rF,21,148,12,-0.069900,0.15,2,2,false,610,Number,P,main
88396,R_1mXjnK8MUZq67rF,22,181,20,-0.069900,0.15,2,2,true,644,Number,P,main
88396,R_1mXjnK8MUZq67rF,23,238,18,-0.034900,0.15,2,2,true,729,Number,P,main
88396,R_1mXjnK8MUZq67rF,24,508,22,0.140500,0.15,2,2,true,674,Number,P,main
88396,R_1mXjnK8MUZq67rF,25,346,14,0.069900,0.15,2,2,false,660,Number,P,main
88396,R_1mXjnK8MUZq67rF,26,413,14,0.105100,0.15,2,2,true,1508,Number,Q,main
88396,R_1mXjnK8MUZq67rF,27,497,20,0.140500,0.15,2,2,true,726,Number,P,main
88396,R_1mXjnK8MUZq67rF,28,218,14,-0.034900,0.15,2,2,true,2287,Number,Q,main
88396,R_1mXjnK8MUZq67rF,29,458,10,0.140500,0.15,2,2,true,673,Number,Q,main
88396,R_1mXjnK8MUZq67rF,30,94,14,-0.105100,0.15,2,2,true,971,Number,Q,main
88396,R_1mXjnK8MUZq67rF,31,454,8,0.140500,0.15,2,2,true,745,Number,Q,main
88396,R_1mXjnK8MUZq67rF,32,112,20,-0.105100,0.15,2,2,true,760,Number,P,main
88396,R_1mXjnK8MUZq67rF,33,17,12,-0.140500,0.15,2,2,true,779,Number,Q,main
88396,R_1mXjnK8MUZq67rF,34,150,12,-0.069900,0.15,2,2,true,996,Number,Q,main
88396,R_1mXjnK8MUZq67rF,35,254,22,-0.034900,0.15,2,2,true,571,Number,P,main
88396,R_1mXjnK8MUZq67rF,36,84,12,-0.105100,0.15,2,2,false,626,Number,P,main
88396,R_1mXjnK8MUZq67rF,37,134,8,-0.069900,0.15,2,2,true,704,Number,Q,main
88396,R_1mXjnK8MUZq67rF,38,331,10,0.069900,0.15,2,2,true,860,Number,Q,main
88396,R_1mXjnK8MUZq67rF,39,18,12,-0.140500,0.15,2,2,true,899,Number,Q,main
88396,R_1mXjnK8MUZq67rF,40,189,22,-0.069900,0.15,2,2,true,643,Number,P,main
88396,R_1mXjnK8MUZq67rF,41,122,22,-0.105100,0.15,2,2,true,583,Number,P,main
88396,R_1mXjnK8MUZq67rF,42,459,10,0.140500,0.15,2,2,true,746,Number,Q,main
88396,R_1mXjnK8MUZq67rF,43,377,22,0.069900,0.15,2,2,true,702,Number,P,main
88396,R_1mXjnK8MUZq67rF,44,343,12,0.069900,0.15,2,2,false,1495,Number,P,main
88396,R_1mXjnK8MUZq67rF,45,23,12,-0.140500,0.15,2,2,false,903,Number,P,main
88396,R_1mXjnK8MUZq67rF,46,275,12,0.034900,0.15,2,2,true,715,Number,Q,main
88396,R_1mXjnK8MUZq67rF,47,83,12,-0.105100,0.15,2,2,true,740,Number,Q,main
88396,R_1mXjnK8MUZq67rF,48,507,22,0.140500,0.15,2,2,true,786,Number,P,main
88396,R_1mXjnK8MUZq67rF,49,117,20,-0.105100,0.15,2,2,true,608,Number,P,main
88396,R_1mXjnK8MUZq67rF,50,171,18,-0.069900,0.15,2,2,true,482,Number,P,main
88396,R_1mXjnK8MUZq67rF,51,409,14,0.105100,0.15,2,2,false,445,Number,P,main
88396,R_1mXjnK8MUZq67rF,52,474,14,0.140500,0.15,2,2,false,623,Number,P,main
88396,R_1mXjnK8MUZq67rF,53,51,20,-0.140500,0.15,2,2,false,496,Number,Q,main
88396,R_1mXjnK8MUZq67rF,54,240,20,-0.034900,0.15,2,2,true,771,Number,P,main
88396,R_1mXjnK8MUZq67rF,55,448,8,0.140500,0.15,2,2,true,606,Number,Q,main
88396,R_1mXjnK8MUZq67rF,56,142,10,-0.069900,0.15,2,2,true,746,Number,Q,main
88396,R_1mXjnK8MUZq67rF,57,71,8,-0.105100,0.15,2,2,true,623,Number,Q,main
88396,R_1mXjnK8MUZq67rF,58,470,12,0.140500,0.15,2,2,true,1001,Number,Q,main
88396,R_1mXjnK8MUZq67rF,59,68,8,-0.105100,0.15,2,2,true,907,Number,Q,main
88396,R_1mXjnK8MUZq67rF,60,386,8,0.105100,0.15,2,2,true,1152,Number,Q,main
88396,R_1mXjnK8MUZq67rF,61,312,22,0.034900,0.15,2,2,true,637,Number,P,main
88396,R_1mXjnK8MUZq67rF,62,34,16,-0.140500,0.15,2,2,true,1021,Number,P,main
88396,R_1mXjnK8MUZq67rF,63,406,12,0.105100,0.15,2,2,false,953,Number,P,main
88396,R_1mXjnK8MUZq67rF,64,9,10,-0.140500,0.15,2,2,true,877,Number,Q,main
88396,R_1mXjnK8MUZq67rF,65,116,20,-0.105100,0.15,2,2,true,662,Number,P,main
88396,R_1mXjnK8MUZq67rF,66,104,18,-0.105100,0.15,2,2,true,526,Number,P,main
88396,R_1mXjnK8MUZq67rF,67,24,14,-0.140500,0.15,2,2,false,742,Number,P,main
88396,R_1mXjnK8MUZq67rF,68,407,12,0.105100,0.15,2,2,true,716,Number,Q,main
88396,R_1mXjnK8MUZq67rF,69,143,10,-0.069900,0.15,2,2,true,610,Number,Q,main
88396,R_1mXjnK8MUZq67rF,70,36,16,-0.140500,0.15,2,2,false,990,Number,Q,main
88396,R_1mXjnK8MUZq67rF,71,195,8,-0.034900,0.15,2,2,true,715,Number,Q,main
88396,R_1mXjnK8MUZq67rF,72,380,22,0.069900,0.15,2,2,false,403,Number,Q,main
88396,R_1mXjnK8MUZq67rF,73,42,18,-0.140500,0.15,2,2,true,734,Number,P,main
88396,R_1mXjnK8MUZq67rF,74,460,10,0.140500,0.15,2,2,true,680,Number,Q,main
88396,R_1mXjnK8MUZq67rF,75,456,10,0.140500,0.15,2,2,true,797,Number,Q,main
88396,R_1mXjnK8MUZq67rF,76,63,22,-0.140500,0.15,2,2,true,463,Number,P,main
88396,R_1mXjnK8MUZq67rF,77,278,12,0.034900,0.15,2,2,true,871,Number,Q,main
88396,R_1mXjnK8MUZq67rF,78,81,12,-0.105100,0.15,2,2,true,899,Number,Q,main
88396,R_1mXjnK8MUZq67rF,79,32,16,-0.140500,0.15,2,2,false,776,Number,Q,main
88396,R_1mXjnK8MUZq67rF,80,446,22,0.105100,0.15,2,2,true,547,Number,P,main
88396,R_1mXjnK8MUZq67rF,81,206,10,-0.034900,0.15,2,2,true,789,Number,Q,main
88396,R_1mXjnK8MUZq67rF,82,288,16,0.034900,0.15,2,2,true,637,Number,P,main
88396,R_1mXjnK8MUZq67rF,83,461,10,0.140500,0.15,2,2,true,920,Number,Q,main
88396,R_1mXjnK8MUZq67rF,84,95,14,-0.105100,0.15,2,2,false,564,Number,P,main
88396,R_1mXjnK8MUZq67rF,85,193,8,-0.034900,0.15,2,2,true,888,Number,Q,main
88396,R_1mXjnK8MUZq67rF,86,337,12,0.069900,0.15,2,2,true,779,Number,Q,main
88396,R_1mXjnK8MUZq67rF,87,440,22,0.105100,0.15,2,2,true,937,Number,P,main
88396,R_1mXjnK8MUZq67rF,88,92,14,-0.105100,0.15,2,2,true,2883,Number,Q,main
88396,R_1mXjnK8MUZq67rF,89,368,20,0.069900,0.15,2,2,true,748,Number,P,main
