sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
96139,R_3iRY8lTFg0t6zst,1,17,10,-0.069900,0.15,2,1,false,1195,Trend,P,training
96139,R_3iRY8lTFg0t6zst,2,8,8,-0.105100,0.15,2,1,true,871,Trend,Q,training
96139,R_3iRY8lTFg0t6zst,3,55,22,0.105100,0.15,2,1,true,1328,Trend,P,training
96139,R_3iRY8lTFg0t6zst,4,63,22,0.140500,0.15,2,1,true,1242,Trend,P,training
96139,R_3iRY8lTFg0t6zst,5,28,16,-0.034900,0.15,2,1,false,1647,Trend,P,training
96139,R_3iRY8lTFg0t6zst,6,46,20,0.069900,0.15,2,1,false,3623,Trend,Q,training
96139,R_3iRY8lTFg0t6zst,7,30,20,-0.034900,0.15,2,1,true,881,Trend,Q,training
96139,R_3iRY8lTFg0t6zst,8,43,14,0.069900,0.15,2,1,true,610,Trend,P,training
96139,R_3iRY8lTFg0t6zst,9,57,10,0.140500,0.15,2,1,true,749,Trend,P,training
96139,R_3iRY8lTFg0t6zst,10,5,18,-0.140500,0.15,2,1,true,532,Trend,Q,training
96139,R_3iRY8lTFg0t6zst,11,201,10,-0.034900,0.15,2,1,false,779,Trend,P,main
96139,R_3iRY8lTFg0t6zst,12,338,12,0.069900,0.15,2,1,true,736,Trend,P,main
96139,R_3iRY8lTFg0t6zst,13,467,12,0.140500,0.15,2,1,false,948,Trend,Q,main
96139,R_3iRY8lTFg0t6zst,14,142,10,-0.069900,0.15,2,1,true,807,Trend,Q,main
96139,R_3iRY8lTFg0t6zst,15,320,8,0.069900,0.15,2,1,true,1572,Trend,P,main
96139,R_3iRY8lTFg0t6zst,16,93,14,-0.105100,0.15,2,1,true,680,Trend,Q,main
96139,R_3iRY8lTFg0t6zst,17,303,18,0.034900,0.15,2,1,true,1060,Trend,P,main
96139,R_3iRY8lTFg0t6zst,18,118,20,-0.105100,0.15,2,1,true,1301,Trend,Q,main
96139,R_3iRY8lTFg0t6zst,19,255,22,-0.034900,0.15,2,1,false,746,Trend,P,main
96139,R_3iRY8lTFg0t6zst,20,451,8,0.140500,0.15,2,1,true,1252,Trend,P,main
96139,R_3iRY8lTFg0t6zst,21,228,16,-0.034900,0.15,2,1,true,1007,Trend,Q,main
96139,R_3iRY8lTFg0t6zst,22,396,10,0.105100,0.15,2,1,true,559,Trend,P,main
96139,R_3iRY8lTFg0t6zst,23,502,20,0.140500,0.15,2,1,true,674,Trend,P,main
96139,R_3iRY8lTFg0t6zst,24,405,12,0.105100,0.15,2,1,true,699,Trend,P,main
96139,R_3iRY8lTFg0t6zst,25,380,22,0.069900,0.15,2,1,true,866,Trend,P,main
96139,R_3iRY8lTFg0t6zst,26,461,10,0.140500,0.15,2,1,true,854,Trend,P,main
96139,R_3iRY8lTFg0t6zst,27,134,8,-0.069900,0.15,2,1,true,838,Trend,Q,main
96139,R_3iRY8lTFg0t6zst,28,280,14,0.034900,0.15,2,1,true,828,Trend,P,main
96139,R_3iRY8lTFg0t6zst,29,182,20,-0.069900,0.15,2,1,true,785,Trend,Q,main
96139,R_3iRY8lTFg0t6zst,30,486,16,0.140500,0.15,2,1,true,706,Trend,P,main
96139,R_3iRY8lTFg0t6zst,31,207,10,-0.034900,0.15,2,1,true,540,Trend,Q,main
96139,R_3iRY8lTFg0t6zst,32,136,10,-0.069900,0.15,2,1,true,829,Trend,Q,main
96139,R_3iRY8lTFg0t6zst,33,455,8,0.140500,0.15,2,1,true,509,Trend,P,main
96139,R_3iRY8lTFg0t6zst,34,431,18,0.105100,0.15,2,1,false,634,Trend,Q,main
96139,R_3iRY8lTFg0t6zst,35,388,8,0.105100,0.15,2,1,true,607,Trend,P,main
96139,R_3iRY8lTFg0t6zst,36,369,20,0.069900,0.15,2,1,false,895,Trend,Q,main
96139,R_3iRY8lTFg0t6zst,37,4,8,-0.140500,0.15,2,1,true,918,Trend,Q,main
96139,R_3iRY8lTFg0t6zst,38,281,14,0.034900,0.15,2,1,false,672,Trend,Q,main
96139,R_3iRY8lTFg0t6zst,39,217,14,-0.034900,0.15,2,1,false,841,Trend,P,main
96139,R_3iRY8lTFg0t6zst,40,91,14,-0.105100,0.15,2,1,true,612,Trend,Q,main
96139,R_3iRY8lTFg0t6zst,41,483,16,0.140500,0.15,2,1,true,765,Trend,P,main
96139,R_3iRY8lTFg0t6zst,42,9,10,-0.140500,0.15,2,1,true,540,Trend,Q,main
96139,R_3iRY8lTFg0t6zst,43,65,8,-0.105100,0.15,2,1,true,622,Trend,Q,main
96139,R_3iRY8lTFg0t6zst,44,351,14,0.069900,0.15,2,1,true,758,Trend,P,main
96139,R_3iRY8lTFg0t6zst,45,473,14,0.140500,0.15,2,1,false,758,Trend,Q,main
96139,R_3iRY8lTFg0t6zst,46,237,18,-0.034900,0.15,2,1,true,942,Trend,Q,main
