sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
96305,R_522OysizKbm1GCS,1,55,22,0.105100,0.15,1,2,true,1415,Number,Q,training
96305,R_522OysizKbm1GCS,2,0,8,-0.140500,0.15,1,2,true,481,Number,P,training
96305,R_522OysizKbm1GCS,3,4,16,-0.140500,0.15,1,2,false,466,Number,P,training
96305,R_522OysizKbm1GCS,4,17,10,-0.069900,0.15,1,2,true,485,Number,P,training
96305,R_522OysizKbm1GCS,5,61,18,0.140500,0.15,1,2,true,408,Number,Q,training
96305,R_522OysizKbm1GCS,6,14,20,-0.105100,0.15,1,2,true,815,Number,Q,training
96305,R_522OysizKbm1GCS,7,41,10,0.069900,0.15,1,2,false,1323,Number,Q,training
96305,R_522OysizKbm1GCS,8,46,20,0.069900,0.15,1,2,true,564,Number,Q,training
96305,R_522OysizKbm1GCS,9,25,10,-0.034900,0.15,1,2,false,760,Number,Q,training
96305,R_522OysizKbm1GCS,10,63,22,0.140500,0.15,1,2,true,728,Number,Q,training
96305,R_522OysizKbm1GCS,11,12,10,-0.140500,0.15,1,2,true,846,Number,P,main
96305,R_522OysizKbm1GCS,12,385,8,0.105100,0.15,1,2,true,457,Number,P,main
96305,R_522OysizKbm1GCS,13,472,14,0.140500,0.15,1,2,false,966,Number,Q,main
96305,R_522OysizKbm1GCS,14,36,16,-0.140500,0.15,1,2,false,747,Number,P,main
96305,R_522OysizKbm1GCS,15,475,14,0.140500,0.15,1,2,false,588,Number,Q,main
96305,R_522OysizKbm1GCS,16,406,12,0.105100,0.15,1,2,true,843,Number,P,main
96305,R_522OysizKbm1GCS,17,209,12,-0.034900,0.15,1,2,true,1241,Number,P,main
96305,R_522OysizKbm1GCS,18,40,18,-0.140500,0.15,1,2,false,715,Number,P,main
96305,R_522OysizKbm1GCS,19,429,18,0.105100,0.15,1,2,true,506,Number,Q,main
96305,R_522OysizKbm1GCS,20,1,8,-0.140500,0.15,1,2,true,584,Number,P,main
96305,R_522OysizKbm1GCS,21,167,16,-0.069900,0.15,1,2,false,603,Number,P,main
96305,R_522OysizKbm1GCS,22,102,16,-0.105100,0.15,1,2,true,586,Number,Q,main
96305,R_522OysizKbm1GCS,23,77,10,-0.105100,0.15,1,2,true,677,Number,P,main
96305,R_522OysizKbm1GCS,24,407,12,0.105100,0.15,1,2,false,587,Number,Q,main
96305,R_522OysizKbm1GCS,25,372,20,0.069900,0.15,1,2,true,750,Number,Q,main
96305,R_522OysizKbm1GCS,26,128,8,-0.069900,0.15,1,2,true,557,Number,P,main
