sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
87059,R_59XaevN4b9EwxRn,1,53,18,0.105100,0.15,1,2,false,1819,Number,P,training
87059,R_59XaevN4b9EwxRn,2,19,14,-0.069900,0.15,1,2,false,943,Number,Q,training
87059,R_59XaevN4b9EwxRn,3,62,20,0.140500,0.15,1,2,false,1473,Number,P,training
87059,R_59XaevN4b9EwxRn,4,51,14,0.105100,0.15,1,2,false,1024,Number,Q,training
87059,R_59XaevN4b9EwxRn,5,40,8,0.069900,0.15,1,2,true,8358,Number,P,training
87059,R_59XaevN4b9EwxRn,6,32,8,0.034900,0.15,1,2,true,952,Number,P,training
87059,R_59XaevN4b9EwxRn,7,24,8,-0.034900,0.15,1,2,false,1299,Number,Q,training
87059,R_59XaevN4b9EwxRn,8,7,22,-0.140500,0.15,1,2,false,1693,Number,P,training
87059,R_59XaevN4b9EwxRn,9,41,10,0.069900,0.15,1,2,true,3099,Number,P,training
87059,R_59XaevN4b9EwxRn,10,55,22,0.105100,0.15,1,2,true,835,Number,Q,training
87059,R_59XaevN4b9EwxRn,11,6,8,-0.140500,0.15,1,2,true,536,Number,P,main
87059,R_59XaevN4b9EwxRn,12,158,14,-0.069900,0.15,1,2,false,632,Number,Q,main
87059,R_59XaevN4b9EwxRn,13,419,16,0.105100,0.15,1,2,true,617,Number,Q,main
87059,R_59XaevN4b9EwxRn,14,373,20,0.069900,0.15,1,2,true,568,Number,Q,main
87059,R_59XaevN4b9EwxRn,15,461,10,0.140500,0.15,1,2,true,630,Number,P,main
87059,R_59XaevN4b9EwxRn,16,372,20,0.069900,0.15,1,2,true,628,Number,Q,main
87059,R_59XaevN4b9EwxRn,17,489,18,0.140500,0.15,1,2,false,629,Number,P,main
87059,R_59XaevN4b9EwxRn,18,143,10,-0.069900,0.15,1,2,false,584,Number,Q,main
87059,R_59XaevN4b9EwxRn,19,88,14,-0.105100,0.15,1,2,false,446,Number,Q,main
87059,R_59XaevN4b9EwxRn,20,188,22,-0.069900,0.15,1,2,false,1501,Number,P,main
87059,R_59XaevN4b9EwxRn,21,23,12,-0.140500,0.15,1,2,false,767,Number,Q,main
87059,R_59XaevN4b9EwxRn,22,219,14,-0.034900,0.15,1,2,true,819,Number,P,main
87059,R_59XaevN4b9EwxRn,23,279,12,0.034900,0.15,1,2,false,763,Number,Q,main
87059,R_59XaevN4b9EwxRn,24,135,8,-0.069900,0.15,1,2,true,1108,Number,P,main
87059,R_59XaevN4b9EwxRn,25,262,8,0.034900,0.15,1,2,true,1109,Number,P,main
87059,R_59XaevN4b9EwxRn,26,5,8,-0.140500,0.15,1,2,true,830,Number,P,main
87059,R_59XaevN4b9EwxRn,27,282,14,0.034900,0.15,1,2,false,618,Number,Q,main
87059,R_59XaevN4b9EwxRn,28,155,14,-0.069900,0.15,1,2,false,767,Number,Q,main
87059,R_59XaevN4b9EwxRn,29,105,18,-0.105100,0.15,1,2,true,637,Number,Q,main
87059,R_59XaevN4b9EwxRn,30,263,8,0.034900,0.15,1,2,true,474,Number,P,main
87059,R_59XaevN4b9EwxRn,31,174,18,-0.069900,0.15,1,2,true,637,Number,Q,main
87059,R_59XaevN4b9EwxRn,32,463,10,0.140500,0.15,1,2,true,601,Number,P,main
87059,R_59XaevN4b9EwxRn,33,309,20,0.034900,0.15,1,2,true,744,Number,Q,main
87059,R_59XaevN4b9EwxRn,34,310,20,0.034900,0.15,1,2,true,686,Number,Q,main
87059,R_59XaevN4b9EwxRn,35,335,10,0.069900,0.15,1,2,true,604,Number,P,main
87059,R_59XaevN4b9EwxRn,36,202,10,-0.034900,0.15,1,2,false,586,Number,Q,main
87059,R_59XaevN4b9EwxRn,37,65,8,-0.105100,0.15,1,2,true,470,Number,P,main
87059,R_59XaevN4b9EwxRn,38,403,12,0.105100,0.15,1,2,false,646,Number,Q,main
87059,R_59XaevN4b9EwxRn,39,222,14,-0.034900,0.15,1,2,false,985,Number,Q,main
87059,R_59XaevN4b9EwxRn,40,194,8,-0.034900,0.15,1,2,true,415,Number,P,main
87059,R_59XaevN4b9EwxRn,41,185,22,-0.069900,0.15,1,2,true,1656,Number,Q,main
87059,R_59XaevN4b9EwxRn,42,24,14,-0.140500,0.15,1,2,false,754,Number,Q,main
87059,R_59XaevN4b9EwxRn,43,452,8,0.140500,0.15,1,2,false,638,Number,Q,main
87059,R_59XaevN4b9EwxRn,44,498,20,0.140500,0.15,1,2,false,402,Number,P,main
87059,R_59XaevN4b9EwxRn,45,218,14,-0.034900,0.15,1,2,false,528,Number,Q,main
87059,R_59XaevN4b9EwxRn,46,292,16,0.034900,0.15,1,2,true,7,Number,Q,main
87059,R_59XaevN4b9EwxRn,47,41,18,-0.140500,0.15,1,2,true,632,Number,Q,main
87059,R_59XaevN4b9EwxRn,48,332,10,0.069900,0.15,1,2,true,820,Number,P,main
87059,R_59XaevN4b9EwxRn,49,199,8,-0.034900,0.15,1,2,true,82,Number,P,main
87059,R_59XaevN4b9EwxRn,50,324,8,0.069900,0.15,1,2,true,1747,Number,P,main
87059,R_59XaevN4b9EwxRn,51,12,10,-0.140500,0.15,1,2,true,685,Number,P,main
87059,R_59XaevN4b9EwxRn,52,40,18,-0.140500,0.15,1,2,true,633,Number,Q,main
87059,R_59XaevN4b9EwxRn,53,230,16,-0.034900,0.15,1,2,true,1132,Number,Q,main
87059,R_59XaevN4b9EwxRn,54,302,18,0.034900,0.15,1,2,true,706,Number,Q,main
87059,R_59XaevN4b9EwxRn,55,392,10,0.105100,0.15,1,2,false,697,Number,Q,main
87059,R_59XaevN4b9EwxRn,56,163,16,-0.069900,0.15,1,2,false,345,Number,P,main
87059,R_59XaevN4b9EwxRn,57,326,8,0.069900,0.15,1,2,true,627,Number,P,main
87059,R_59XaevN4b9EwxRn,58,150,12,-0.069900,0.15,1,2,false,507,Number,Q,main
87059,R_59XaevN4b9EwxRn,59,125,22,-0.105100,0.15,1,2,true,844,Number,Q,main
87059,R_59XaevN4b9EwxRn,60,289,16,0.034900,0.15,1,2,true,336,Number,Q,main
87059,R_59XaevN4b9EwxRn,61,253,22,-0.034900,0.15,1,2,true,2620,Number,Q,main
87059,R_59XaevN4b9EwxRn,62,393,10,0.105100,0.15,1,2,true,662,Number,P,main
87059,R_59XaevN4b9EwxRn,63,70,8,-0.105100,0.15,1,2,true,638,Number,P,main
87059,R_59XaevN4b9EwxRn,64,100,16,-0.105100,0.15,1,2,true,552,Number,Q,main
87059,R_59XaevN4b9EwxRn,65,79,10,-0.105100,0.15,1,2,false,750,Number,Q,main
87059,R_59XaevN4b9EwxRn,66,191,22,-0.069900,0.15,1,2,true,806,Number,Q,main
87059,R_59XaevN4b9EwxRn,67,496,20,0.140500,0.15,1,2,true,695,Number,Q,main
87059,R_59XaevN4b9EwxRn,68,214,12,-0.034900,0.15,1,2,true,785,Number,P,main
87059,R_59XaevN4b9EwxRn,69,438,20,0.105100,0.15,1,2,false,976,Number,P,main
87059,R_59XaevN4b9EwxRn,70,39,16,-0.140500,0.15,1,2,false,1265,Number,P,main
87059,R_59XaevN4b9EwxRn,71,76,10,-0.105100,0.15,1,2,true,938,Number,P,main
87059,R_59XaevN4b9EwxRn,72,172,18,-0.069900,0.15,1,2,true,716,Number,Q,main
87059,R_59XaevN4b9EwxRn,73,249,22,-0.034900,0.15,1,2,true,727,Number,Q,main
87059,R_59XaevN4b9EwxRn,74,450,8,0.140500,0.15,1,2,false,509,Number,Q,main
87059,R_59XaevN4b9EwxRn,75,32,16,-0.140500,0.15,1,2,true,752,Number,Q,main
87059,R_59XaevN4b9EwxRn,76,16,12,-0.140500,0.15,1,2,true,675,Number,P,main
87059,R_59XaevN4b9EwxRn,77,141,10,-0.069900,0.15,1,2,true,762,Number,P,main
87059,R_59XaevN4b9EwxRn,78,122,22,-0.105100,0.15,1,2,true,766,Number,Q,main
87059,R_59XaevN4b9EwxRn,79,96,16,-0.105100,0.15,1,2,false,690,Number,P,main
87059,R_59XaevN4b9EwxRn,80,142,10,-0.069900,0.15,1,2,true,577,Number,P,main
87059,R_59XaevN4b9EwxRn,81,178,20,-0.069900,0.15,1,2,false,552,Number,P,main
87059,R_59XaevN4b9EwxRn,82,64,8,-0.105100,0.15,1,2,true,534,Number,P,main
87059,R_59XaevN4b9EwxRn,83,405,12,0.105100,0.15,1,2,false,564,Number,Q,main
87059,R_59XaevN4b9EwxRn,84,166,16,-0.069900,0.15,1,2,true,1431,Number,Q,main
87059,R_59XaevN4b9EwxRn,85,18,12,-0.140500,0.15,1,2,true,740,Number,P,main
87059,R_59XaevN4b9EwxRn,86,252,22,-0.034900,0.15,1,2,true,595,Number,Q,main
87059,R_59XaevN4b9EwxRn,87,1,8,-0.140500,0.15,1,2,true,675,Number,P,main
87059,R_59XaevN4b9EwxRn,88,11,10,-0.140500,0.15,1,2,false,1107,Number,Q,main
87059,R_59XaevN4b9EwxRn,89,429,18,0.105100,0.15,1,2,true,566,Number,Q,main
87059,R_59XaevN4b9EwxRn,90,336,12,0.069900,0.15,1,2,true,419,Number,P,main
87059,R_59XaevN4b9EwxRn,91,67,8,-0.105100,0.15,1,2,true,730,Number,P,main
87059,R_59XaevN4b9EwxRn,92,52,20,-0.140500,0.15,1,2,true,426,Number,Q,main
87059,R_59XaevN4b9EwxRn,93,360,18,0.069900,0.15,1,2,true,483,Number,Q,main
87059,R_59XaevN4b9EwxRn,94,98,16,-0.105100,0.15,1,2,false,1178,Number,P,main
