sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
96633,R_5EmOo8E8l3hcwyW,1,61,18,0.140500,0.15,2,1,true,16415,Trend,P,training
96633,R_5EmOo8E8l3hcwyW,2,29,18,-0.034900,0.15,2,1,true,3334,Trend,Q,training
96633,R_5EmOo8E8l3hcwyW,3,50,12,0.105100,0.15,2,1,true,2668,Trend,P,training
96633,R_5EmOo8E8l3hcwyW,4,33,10,0.034900,0.15,2,1,true,2630,Trend,P,training
96633,R_5EmOo8E8l3hcwyW,5,27,14,-0.034900,0.15,2,1,false,2744,Trend,P,training
96633,R_5EmOo8E8l3hcwyW,6,1,10,-0.140500,0.15,2,1,true,2716,Trend,Q,training
96633,R_5EmOo8E8l3hcwyW,7,51,14,0.105100,0.15,2,1,true,2550,Trend,P,training
96633,R_5EmOo8E8l3hcwyW,8,46,20,0.069900,0.15,2,1,true,2287,Trend,P,training
96633,R_5EmOo8E8l3hcwyW,9,21,18,-0.069900,0.15,2,1,false,2668,Trend,P,training
96633,R_5EmOo8E8l3hcwyW,10,55,22,0.105100,0.15,2,1,true,2549,Trend,P,training
96633,R_5EmOo8E8l3hcwyW,11,475,14,0.140500,0.15,2,1,true,2266,Trend,P,main
96633,R_5EmOo8E8l3hcwyW,12,424,18,0.105100,0.15,2,1,true,2694,Trend,P,main
96633,R_5EmOo8E8l3hcwyW,13,270,10,0.034900,0.15,2,1,false,3220,Trend,Q,main
96633,R_5EmOo8E8l3hcwyW,14,373,20,0.069900,0.15,2,1,true,4089,Trend,P,main
96633,R_5EmOo8E8l3hcwyW,15,440,22,0.105100,0.15,2,1,false,2525,Trend,Q,main
96633,R_5EmOo8E8l3hcwyW,16,96,16,-0.105100,0.15,2,1,true,2413,Trend,Q,main
96633,R_5EmOo8E8l3hcwyW,17,397,10,0.105100,0.15,2,1,true,2141,Trend,P,main
96633,R_5EmOo8E8l3hcwyW,18,36,16,-0.140500,0.15,2,1,true,2063,Trend,Q,main
