sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
97011,R_5dFbhUskzZoeEJa,1,17,10,-0.069900,0.15,2,1,false,5558,Trend,P,training
97011,R_5dFbhUskzZoeEJa,2,63,22,0.140500,0.15,2,1,false,1391,Trend,Q,training
97011,R_5dFbhUskzZoeEJa,3,22,20,-0.069900,0.15,2,1,false,974,Trend,P,training
97011,R_5dFbhUskzZoeEJa,4,29,18,-0.034900,0.15,2,1,false,1374,Trend,P,training
97011,R_5dFbhUskzZoeEJa,5,12,16,-0.105100,0.15,2,1,true,1330,Trend,Q,training
97011,R_5dFbhUskzZoeEJa,6,0,8,-0.140500,0.15,2,1,false,4002,Trend,P,training
97011,R_5dFbhUskzZoeEJa,7,11,14,-0.105100,0.15,2,1,false,1784,Trend,P,training
97011,R_5dFbhUskzZoeEJa,8,25,10,-0.034900,0.15,2,1,true,1484,Trend,Q,training
97011,R_5dFbhUskzZoeEJa,9,57,10,0.140500,0.15,2,1,true,1847,Trend,P,training
97011,R_5dFbhUskzZoeEJa,10,26,12,-0.034900,0.15,2,1,false,1164,Trend,P,training
97011,R_5dFbhUskzZoeEJa,11,55,20,-0.140500,0.15,2,1,true,1195,Trend,Q,main
97011,R_5dFbhUskzZoeEJa,12,181,20,-0.069900,0.15,2,1,true,1223,Trend,Q,main
97011,R_5dFbhUskzZoeEJa,13,257,8,0.034900,0.15,2,1,true,1054,Trend,P,main
97011,R_5dFbhUskzZoeEJa,14,126,22,-0.105100,0.15,2,1,true,1264,Trend,Q,main
97011,R_5dFbhUskzZoeEJa,15,480,16,0.140500,0.15,2,1,true,4060,Trend,P,main
97011,R_5dFbhUskzZoeEJa,16,234,18,-0.034900,0.15,2,1,false,1011,Trend,P,main
97011,R_5dFbhUskzZoeEJa,17,499,20,0.140500,0.15,2,1,false,651,Trend,Q,main
97011,R_5dFbhUskzZoeEJa,18,504,22,0.140500,0.15,2,1,false,1011,Trend,Q,main
97011,R_5dFbhUskzZoeEJa,19,220,14,-0.034900,0.15,2,1,false,1316,Trend,P,main
97011,R_5dFbhUskzZoeEJa,20,214,12,-0.034900,0.15,2,1,false,752,Trend,P,main
97011,R_5dFbhUskzZoeEJa,21,505,22,0.140500,0.15,2,1,false,616,Trend,Q,main
97011,R_5dFbhUskzZoeEJa,22,435,20,0.105100,0.15,2,1,false,1023,Trend,Q,main
97011,R_5dFbhUskzZoeEJa,23,313,22,0.034900,0.15,2,1,false,1237,Trend,Q,main
97011,R_5dFbhUskzZoeEJa,24,210,12,-0.034900,0.15,2,1,false,778,Trend,P,main
97011,R_5dFbhUskzZoeEJa,25,330,10,0.069900,0.15,2,1,true,1602,Trend,P,main
