sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
88827,R_6D1LIf8TtwpqyTT,1,51,14,0.105100,0.15,1,1,false,15285,Trend,P,training
88827,R_6D1LIf8TtwpqyTT,2,19,14,-0.069900,0.15,1,1,false,6240,Trend,Q,training
88827,R_6D1LIf8TtwpqyTT,3,4,16,-0.140500,0.15,1,1,true,66872,Trend,P,training
88827,R_6D1LIf8TtwpqyTT,4,40,8,0.069900,0.15,1,1,true,4161,Trend,Q,training
88827,R_6D1LIf8TtwpqyTT,5,31,22,-0.034900,0.15,1,1,true,2134,Trend,P,training
88827,R_6D1LIf8TtwpqyTT,6,32,8,0.034900,0.15,1,1,true,2454,Trend,Q,training
88827,R_6D1LIf8TtwpqyTT,7,29,18,-0.034900,0.15,1,1,false,1146,Trend,Q,training
88827,R_6D1LIf8TtwpqyTT,8,62,20,0.140500,0.15,1,1,false,2752,Trend,P,training
88827,R_6D1LIf8TtwpqyTT,9,45,18,0.069900,0.15,1,1,false,11032,Trend,P,training
88827,R_6D1LIf8TtwpqyTT,10,33,10,0.034900,0.15,1,1,false,4044,Trend,P,training
88827,R_6D1LIf8TtwpqyTT,11,287,14,0.034900,0.15,1,1,false,2546,Trend,P,main
88827,R_6D1LIf8TtwpqyTT,12,70,8,-0.105100,0.15,1,1,false,5023,Trend,Q,main
88827,R_6D1LIf8TtwpqyTT,13,222,14,-0.034900,0.15,1,1,false,839,Trend,Q,main
88827,R_6D1LIf8TtwpqyTT,14,265,10,0.034900,0.15,1,1,true,2265,Trend,Q,main
88827,R_6D1LIf8TtwpqyTT,15,106,18,-0.105100,0.15,1,1,true,1177,Trend,P,main
88827,R_6D1LIf8TtwpqyTT,16,256,8,0.034900,0.15,1,1,true,1127,Trend,Q,main
88827,R_6D1LIf8TtwpqyTT,17,66,8,-0.105100,0.15,1,1,false,2378,Trend,Q,main
88827,R_6D1LIf8TtwpqyTT,18,510,22,0.140500,0.15,1,1,false,1312,Trend,P,main
88827,R_6D1LIf8TtwpqyTT,19,20,12,-0.140500,0.15,1,1,false,2973,Trend,Q,main
88827,R_6D1LIf8TtwpqyTT,20,104,18,-0.105100,0.15,1,1,true,1101,Trend,P,main
