sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
97381,R_6P0xWtDJ0UNEQIO,1,45,18,0.069900,0.15,2,1,true,74978,Trend,P,training
97381,R_6P0xWtDJ0UNEQIO,2,22,20,-0.069900,0.15,2,1,false,1252,Trend,P,training
97381,R_6P0xWtDJ0UNEQIO,3,16,8,-0.069900,0.15,2,1,false,949,Trend,P,training
97381,R_6P0xWtDJ0UNEQIO,4,55,22,0.105100,0.15,2,1,true,673,Trend,P,training
97381,R_6P0xWtDJ0UNEQIO,5,59,14,0.140500,0.15,2,1,false,776,Trend,Q,training
97381,R_6P0xWtDJ0UNEQIO,6,4,16,-0.140500,0.15,2,1,true,624,Trend,Q,training
97381,R_6P0xWtDJ0UNEQIO,7,28,16,-0.034900,0.15,2,1,false,1830,Trend,P,training
97381,R_6P0xWtDJ0UNEQIO,8,51,14,0.105100,0.15,2,1,true,530,Trend,P,training
97381,R_6P0xWtDJ0UNEQIO,9,42,12,0.069900,0.15,2,1,false,637,Trend,Q,training
97381,R_6P0xWtDJ0UNEQIO,10,5,18,-0.140500,0.15,2,1,true,664,Trend,Q,training
97381,R_6P0xWtDJ0UNEQIO,11,199,8,-0.034900,0.15,2,1,true,711,Trend,Q,main
97381,R_6P0xWtDJ0UNEQIO,12,189,22,-0.069900,0.15,2,1,true,589,Trend,Q,main
97381,R_6P0xWtDJ0UNEQIO,13,362,18,0.069900,0.15,2,1,true,508,Trend,P,main
97381,R_6P0xWtDJ0UNEQIO,14,388,8,0.105100,0.15,2,1,true,582,Trend,P,main
97381,R_6P0xWtDJ0UNEQIO,15,390,8,0.105100,0.15,2,1,true,507,Trend,P,main
97381,R_6P0xWtDJ0UNEQIO,16,70,8,-0.105100,0.15,2,1,true,593,Trend,Q,main
97381,R_6P0xWtDJ0UNEQIO,17,469,12,0.140500,0.15,2,1,true,542,Trend,P,main
97381,R_6P0xWtDJ0UNEQIO,18,248,22,-0.034900,0.15,2,1,true,489,Trend,Q,main
97381,R_6P0xWtDJ0UNEQIO,19,209,12,-0.034900,0.15,2,1,true,484,Trend,Q,main
97381,R_6P0xWtDJ0UNEQIO,20,365,18,0.069900,0.15,2,1,true,494,Trend,P,main
97381,R_6P0xWtDJ0UNEQIO,21,357,16,0.069900,0.15,2,1,true,610,Trend,P,main
97381,R_6P0xWtDJ0UNEQIO,22,376,22,0.069900,0.15,2,1,true,478,Trend,P,main
97381,R_6P0xWtDJ0UNEQIO,23,233,18,-0.034900,0.15,2,1,true,563,Trend,Q,main
97381,R_6P0xWtDJ0UNEQIO,24,402,12,0.105100,0.15,2,1,true,562,Trend,P,main
97381,R_6P0xWtDJ0UNEQIO,25,229,16,-0.034900,0.15,2,1,false,549,Trend,P,main
97381,R_6P0xWtDJ0UNEQIO,26,211,12,-0.034900,0.15,2,1,true,549,Trend,Q,main
97381,R_6P0xWtDJ0UNEQIO,27,241,20,-0.034900,0.15,2,1,true,500,Trend,Q,main
97381,R_6P0xWtDJ0UNEQIO,28,155,14,-0.069900,0.15,2,1,true,469,Trend,Q,main
97381,R_6P0xWtDJ0UNEQIO,29,242,20,-0.034900,0.15,2,1,true,412,Trend,Q,main
97381,R_6P0xWtDJ0UNEQIO,30,300,18,0.034900,0.15,2,1,true,608,Trend,P,main
97381,R_6P0xWtDJ0UNEQIO,31,8,10,-0.140500,0.15,2,1,true,705,Trend,Q,main
97381,R_6P0xWtDJ0UNEQIO,32,460,10,0.140500,0.15,2,1,true,416,Trend,P,main
