sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
89445,R_7Sw4BvGjGivYx0O,1,61,18,0.140500,0.15,2,2,true,7064,Number,P,training
89445,R_7Sw4BvGjGivYx0O,2,17,10,-0.069900,0.15,2,2,true,2379,Number,Q,training
89445,R_7Sw4BvGjGivYx0O,3,38,20,0.034900,0.15,2,2,true,1040,Number,P,training
89445,R_7Sw4BvGjGivYx0O,4,7,22,-0.140500,0.15,2,2,true,2326,Number,P,training
89445,R_7Sw4BvGjGivYx0O,5,34,12,0.034900,0.15,2,2,true,609,Number,Q,training
89445,R_7Sw4BvGjGivYx0O,6,21,18,-0.069900,0.15,2,2,false,6433,Number,Q,training
89445,R_7Sw4BvGjGivYx0O,7,43,14,0.069900,0.15,2,2,true,890,Number,Q,training
89445,R_7Sw4BvGjGivYx0O,8,53,18,0.105100,0.15,2,2,true,956,Number,P,training
89445,R_7Sw4BvGjGivYx0O,9,10,12,-0.105100,0.15,2,2,true,1258,Number,Q,training
89445,R_7Sw4BvGjGivYx0O,10,6,20,-0.140500,0.15,2,2,true,863,Number,P,training
89445,R_7Sw4BvGjGivYx0O,11,332,10,0.069900,0.15,2,2,true,639,Number,Q,main
89445,R_7Sw4BvGjGivYx0O,12,511,22,0.140500,0.15,2,2,true,562,Number,P,main
89445,R_7Sw4BvGjGivYx0O,13,260,8,0.034900,0.15,2,2,true,595,Number,Q,main
89445,R_7Sw4BvGjGivYx0O,14,328,10,0.069900,0.15,2,2,true,728,Number,Q,main
89445,R_7Sw4BvGjGivYx0O,15,186,22,-0.069900,0.15,2,2,true,654,Number,P,main
89445,R_7Sw4BvGjGivYx0O,16,135,8,-0.069900,0.15,2,2,true,567,Number,Q,main
89445,R_7Sw4BvGjGivYx0O,17,341,12,0.069900,0.15,2,2,false,641,Number,P,main
89445,R_7Sw4BvGjGivYx0O,18,117,20,-0.105100,0.15,2,2,true,1000,Number,P,main
89445,R_7Sw4BvGjGivYx0O,19,224,16,-0.034900,0.15,2,2,true,883,Number,P,main
89445,R_7Sw4BvGjGivYx0O,20,455,8,0.140500,0.15,2,2,true,821,Number,Q,main
89445,R_7Sw4BvGjGivYx0O,21,296,18,0.034900,0.15,2,2,true,1050,Number,P,main
89445,R_7Sw4BvGjGivYx0O,22,505,22,0.140500,0.15,2,2,true,707,Number,P,main
89445,R_7Sw4BvGjGivYx0O,23,151,12,-0.069900,0.15,2,2,true,573,Number,Q,main
89445,R_7Sw4BvGjGivYx0O,24,26,14,-0.140500,0.15,2,2,false,1031,Number,P,main
89445,R_7Sw4BvGjGivYx0O,25,416,16,0.105100,0.15,2,2,true,977,Number,P,main
89445,R_7Sw4BvGjGivYx0O,26,244,20,-0.034900,0.15,2,2,true,924,Number,P,main
89445,R_7Sw4BvGjGivYx0O,27,152,14,-0.069900,0.15,2,2,false,792,Number,P,main
89445,R_7Sw4BvGjGivYx0O,28,433,20,0.105100,0.15,2,2,true,871,Number,P,main
89445,R_7Sw4BvGjGivYx0O,29,425,18,0.105100,0.15,2,2,true,474,Number,P,main
89445,R_7Sw4BvGjGivYx0O,30,172,18,-0.069900,0.15,2,2,true,506,Number,P,main
89445,R_7Sw4BvGjGivYx0O,31,65,8,-0.105100,0.15,2,2,true,595,Number,Q,main
89445,R_7Sw4BvGjGivYx0O,32,350,14,0.069900,0.15,2,2,false,952,Number,P,main
89445,R_7Sw4BvGjGivYx0O,33,8,10,-0.140500,0.15,2,2,true,730,Number,Q,main
89445,R_7Sw4BvGjGivYx0O,34,257,8,0.034900,0.15,2,2,true,542,Number,Q,main
89445,R_7Sw4BvGjGivYx0O,35,384,8,0.105100,0.15,2,2,true,496,Number,Q,main
89445,R_7Sw4BvGjGivYx0O,36,396,10,0.105100,0.15,2,2,true,578,Number,Q,main
89445,R_7Sw4BvGjGivYx0O,37,14,10,-0.140500,0.15,2,2,true,1440,Number,Q,main
89445,R_7Sw4BvGjGivYx0O,38,120,22,-0.105100,0.15,2,2,true,466,Number,P,main
89445,R_7Sw4BvGjGivYx0O,39,134,8,-0.069900,0.15,2,2,true,645,Number,Q,main
89445,R_7Sw4BvGjGivYx0O,40,358,16,0.069900,0.15,2,2,true,870,Number,P,main
89445,R_7Sw4BvGjGivYx0O,41,220,14,-0.034900,0.15,2,2,false,917,Number,P,main
89445,R_7Sw4BvGjGivYx0O,42,63,22,-0.140500,0.15,2,2,true,547,Number,P,main
89445,R_7Sw4BvGjGivYx0O,43,319,22,0.034900,0.15,2,2,true,421,Number,P,main
89445,R_7Sw4BvGjGivYx0O,44,6,8,-0.140500,0.15,2,2,true,735,Number,Q,main
89445,R_7Sw4BvGjGivYx0O,45,255,22,-0.034900,0.15,2,2,false,1101,Number,Q,main
89445,R_7Sw4BvGjGivYx0O,46,42,18,-0.140500,0.15,2,2,true,894,Number,P,main
89445,R_7Sw4BvGjGivYx0O,47,382,22,0.069900,0.15,2,2,true,1285,Number,P,main
89445,R_7Sw4BvGjGivYx0O,48,87,12,-0.105100,0.15,2,2,true,4009,Number,Q,main
89445,R_7Sw4BvGjGivYx0O,49,439,20,0.105100,0.15,2,2,true,1332,Number,P,main
89445,R_7Sw4BvGjGivYx0O,50,394,10,0.105100,0.15,2,2,true,727,Number,Q,main
89445,R_7Sw4BvGjGivYx0O,51,93,14,-0.105100,0.15,2,2,true,456,Number,Q,main
89445,R_7Sw4BvGjGivYx0O,52,13,10,-0.140500,0.15,2,2,true,549,Number,Q,main
89445,R_7Sw4BvGjGivYx0O,53,77,10,-0.105100,0.15,2,2,true,433,Number,Q,main
89445,R_7Sw4BvGjGivYx0O,54,256,8,0.034900,0.15,2,2,true,541,Number,Q,main
89445,R_7Sw4BvGjGivYx0O,55,245,20,-0.034900,0.15,2,2,false,421,Number,Q,main
89445,R_7Sw4BvGjGivYx0O,56,212,12,-0.034900,0.15,2,2,false,561,Number,P,main
89445,R_7Sw4BvGjGivYx0O,57,422,16,0.105100,0.15,2,2,true,463,Number,P,main
89445,R_7Sw4BvGjGivYx0O,58,409,14,0.105100,0.15,2,2,false,475,Number,P,main
89445,R_7Sw4BvGjGivYx0O,59,262,8,0.034900,0.15,2,2,true,1033,Number,Q,main
89445,R_7Sw4BvGjGivYx0O,60,23,12,-0.140500,0.15,2,2,false,797,Number,P,main
89445,R_7Sw4BvGjGivYx0O,61,462,10,0.140500,0.15,2,2,true,827,Number,Q,main
89445,R_7Sw4BvGjGivYx0O,62,333,10,0.069900,0.15,2,2,true,838,Number,Q,main
89445,R_7Sw4BvGjGivYx0O,63,363,18,0.069900,0.15,2,2,true,594,Number,P,main
89445,R_7Sw4BvGjGivYx0O,64,325,8,0.069900,0.15,2,2,true,601,Number,Q,main
89445,R_7Sw4BvGjGivYx0O,65,105,18,-0.105100,0.15,2,2,true,583,Number,P,main
89445,R_7Sw4BvGjGivYx0O,66,64,8,-0.105100,0.15,2,2,true,610,Number,Q,main
89445,R_7Sw4BvGjGivYx0O,67,246,20,-0.034900,0.15,2,2,true,528,Number,P,main
89445,R_7Sw4BvGjGivYx0O,68,129,8,-0.069900,0.15,2,2,true,492,Number,Q,main
89445,R_7Sw4BvGjGivYx0O,69,484,16,0.140500,0.15,2,2,true,580,Number,P,main
89445,R_7Sw4BvGjGivYx0O,70,408,14,0.105100,0.15,2,2,false,759,Number,P,main
89445,R_7Sw4BvGjGivYx0O,71,293,16,0.034900,0.15,2,2,true,470,Number,P,main
89445,R_7Sw4BvGjGivYx0O,72,428,18,0.105100,0.15,2,2,true,447,Number,P,main
89445,R_7Sw4BvGjGivYx0O,73,7,8,-0.140500,0.15,2,2,false,398,Number,P,main
89445,R_7Sw4BvGjGivYx0O,74,111,18,-0.105100,0.15,2,2,false,539,Number,Q,main
89445,R_7Sw4BvGjGivYx0O,75,481,16,0.140500,0.15,2,2,true,2264,Number,P,main
89445,R_7Sw4BvGjGivYx0O,76,142,10,-0.069900,0.15,2,2,true,602,Number,Q,main
89445,R_7Sw4BvGjGivYx0O,77,241,20,-0.034900,0.15,2,2,true,467,Number,P,main
89445,R_7Sw4BvGjGivYx0O,78,432,20,0.105100,0.15,2,2,true,636,Number,P,main
89445,R_7Sw4BvGjGivYx0O,79,471,12,0.140500,0.15,2,2,false,803,Number,P,main
89445,R_7Sw4BvGjGivYx0O,80,199,8,-0.034900,0.15,2,2,true,487,Number,Q,main
89445,R_7Sw4BvGjGivYx0O,81,189,22,-0.069900,0.15,2,2,true,519,Number,P,main
89445,R_7Sw4BvGjGivYx0O,82,45,18,-0.140500,0.15,2,2,true,579,Number,P,main
89445,R_7Sw4BvGjGivYx0O,83,397,10,0.105100,0.15,2,2,true,1021,Number,Q,main
89445,R_7Sw4BvGjGivYx0O,84,483,16,0.140500,0.15,2,2,true,1334,Number,P,main
89445,R_7Sw4BvGjGivYx0O,85,85,12,-0.105100,0.15,2,2,true,1244,Number,Q,main
89445,R_7Sw4BvGjGivYx0O,86,166,16,-0.069900,0.15,2,2,true,527,Number,P,main
89445,R_7Sw4BvGjGivYx0O,87,215,12,-0.034900,0.15,2,2,true,741,Number,Q,main
89445,R_7Sw4BvGjGivYx0O,88,71,8,-0.105100,0.15,2,2,true,874,Number,Q,main
89445,R_7Sw4BvGjGivYx0O,89,62,22,-0.140500,0.15,2,2,true,5697,Number,P,main
89445,R_7Sw4BvGjGivYx0O,90,10,10,-0.140500,0.15,2,2,true,774,Number,Q,main
89445,R_7Sw4BvGjGivYx0O,91,84,12,-0.105100,0.15,2,2,true,734,Number,Q,main
89445,R_7Sw4BvGjGivYx0O,92,278,12,0.034900,0.15,2,2,true,869,Number,Q,main
89445,R_7Sw4BvGjGivYx0O,93,489,18,0.140500,0.15,2,2,true,740,Number,P,main
