StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q24,Q25,Q26,Q2,Q2_7_TEXT,Q3,Q4,Q4_1_TEXT,Q4_2_TEXT,Q5,Q6,Q7,Q8,Q8_5_TEXT,Q9,Q10,Q10_7_TEXT,Q11,Q12,Q13,C,Create New Field or Choose From Dropdown...,id
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"University of Wisconsin - Madison

Research Participant Information and Consent Form

 
                

Study Title: Dot Array Categorization Study

Principal Investigator: Martha Alibali (Phone: (608) 262-0837) (Email: mwalibali@wisc.edu)

Student Researcher: Nick Tarantino

                

Description of the research

You are invited to participate in a research study about people's perception of dot arrays.



You have been asked to participate because you are a student over the age of 18 who is taking a course at UW-Madison.



The purpose of the research is to better understand the mechanisms by which people perceive information from sets of objects.



This study will include undergraduates from the University of Wisconsin-Madison in the SONA subject pool.



Please complete the survey in a private setting. You must complete the survey in one sitting.

                

What will my participation involve?

If you agree to participate, you will complete a single 30-minute session with a series of tasks.
First, you will complete a task in which you will learn to categorize sets of dots using the keys on
your keyboard and through receiving feedback. Then, you will complete a questionnaire in
which you will be asked about your education in math and demographic information. 



Your participation will last approximately 30 minutes and will require 1 session.

                

Are there any risks to me?

There is a small possibility of breach of confidentiality until your ID from SONA is deleted from the data and replaced with a researcher-generated code.

                

Are there any benefits to me?

There are no direct benefits to you, although you may benefit from engaging in activities related to visual perception. 

                

Will I be compensated for my participation?

You will receive 1 extra credit point for participating in this study.

                

How will my confidentiality be protected?

This study is confidential. Neither your name or any other identifiable information will be published.



There may be publications as a result of this study, but your name will not be used. In all data analyses and reports of this research, you will be identified only by a code number.



Coded research data may be shared with other researchers; however, no identifying information will be shared. The data will be stored in a secure server and will be stored for at least seven years beyond the completion of the study.



The survey is hosted by the Qualtrics system and involves a secure connection. Terms of Service, addressing confidentiality, may be viewed at http://www.qualtrics.com/acceptable-use-statement.

                

Whom should I contact if I have questions?

You may ask any questions about the research at any time. If you have questions, concerns, or complaints, or think that participating in the research has hurt you, talk to the research team or contact the Principal Investigator Martha Alibali at (608) 262-0837.

                

If you have concerns about your rights as a research participant or have complaints about the research study or study team, call the confidential research compliance line at 1-833-652-2506. UW Staff not part of the study team will work with you to address concerns and assist in resolving any complaints.

                

If you decide not to participate or to withdraw from the study, you may do so without penalty.

                

If you want a copy of this consent for your records, please print this page from your web browser now.

 

If you wish to participate, please select the first option, indicating that you have read the information provided on this page and click the Next button below to begin the survey. 

 

Sincerely,

Dr. Martha Alibali

University of Wisconsin-Madison",Is your vision normal or corrected to normal?,Are you wearing corrective lenses such as contacts or glasses?,"If you have access to them, can you please wear your corrective lenses?",Highest level of math completed (check one) - Selected Choice,Highest level of math completed (check one) - Other: - Text,When was the last time you took a math course?,"What was your score on the math section of the ACT/SAT? If you took both, choose your best score. - Selected Choice","What was your score on the math section of the ACT/SAT? If you took both, choose your best score. - ACT: - Text","What was your score on the math section of the ACT/SAT? If you took both, choose your best score. - SAT: - Text",Was the number you entered above your,"Year in college (e.g., 1st, 2nd, etc.)",GPA,Gender - Selected Choice,Gender - Other - Text,"Age in years and months (e.g., 18 years, 7 months)",What is your race/ethnicity? (Please check all that apply) - Selected Choice,What is your race/ethnicity? (Please check all that apply) - Other: - Text,What language(s) did you first learn to speak as a child?,Country in which you attended elementary school?,Country in which you attended secondary school?,C,Create New Field or Choose From Dropdown...,id
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1322230992""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID1322230970""}","{""ImportId"":""QID1322230970_7_TEXT""}","{""ImportId"":""QID1322230971""}","{""ImportId"":""QID1322230972""}","{""ImportId"":""QID1322230972_1_TEXT""}","{""ImportId"":""QID1322230972_2_TEXT""}","{""ImportId"":""QID1322230973""}","{""ImportId"":""QID1322230974_TEXT""}","{""ImportId"":""QID1322230975_TEXT""}","{""ImportId"":""QID1322230976""}","{""ImportId"":""QID1322230976_5_TEXT""}","{""ImportId"":""QID1322230977_TEXT""}","{""ImportId"":""QID1322230978""}","{""ImportId"":""QID1322230978_7_TEXT""}","{""ImportId"":""QID1322230979_TEXT""}","{""ImportId"":""QID1322230980_TEXT""}","{""ImportId"":""QID1322230981_TEXT""}","{""ImportId"":""C""}","{""ImportId"":""Create New Field or Choose From Dropdown...""}","{""ImportId"":""id""}"
2/14/26 16:07,2/14/26 16:17,IP Address,35.151.111.18,100,573,TRUE,2/14/26 16:17,R_6Nk8kbT12OvmgCX,,,,,43.1205,-89.3523,anonymous,EN,Option 1: I have read through the description of the research and agree to the information provided on this page.,Normal,,,2 semesters of calculus,,Last semester,,,,,,,,,,,,,,,,,
2/14/26 13:03,2/14/26 13:03,IP Address,96.40.235.24,26,6,FALSE,2/21/26 13:03,R_5hz5foP9tJctV5x,,,,,42.4235,-88.6029,anonymous,EN,Option 1: I have read through the description of the research and agree to the information provided on this page.,Normal,,,,,,,,,,,,,,,,,,,,,,
2/14/26 13:07,2/14/26 13:07,IP Address,96.40.235.24,26,6,FALSE,2/21/26 13:07,R_1XdtTf2Ui0qP2kF,,,,,42.4235,-88.6029,anonymous,EN,Option 1: I have read through the description of the research and agree to the information provided on this page.,Normal,,,,,,,,,,,,,,,,,,,,,,
2/14/26 13:12,2/14/26 13:13,IP Address,96.40.235.24,26,14,FALSE,2/21/26 13:13,R_5R5L3MUv0uyr0Dn,,,,,42.4235,-88.6029,anonymous,EN,Option 1: I have read through the description of the research and agree to the information provided on this page.,Normal,,,,,,,,,,,,,,,,,,,,,,
2/14/26 13:24,2/14/26 13:25,IP Address,96.40.235.24,26,6,FALSE,2/21/26 13:25,R_3G95RVtxT1iGDRL,,,,,42.4235,-88.6029,anonymous,EN,Option 1: I have read through the description of the research and agree to the information provided on this page.,Normal,,,,,,,,,,,,,,,,,,,,,,
2/14/26 13:49,2/14/26 13:49,IP Address,96.40.235.24,26,7,FALSE,2/21/26 13:49,R_3inja5qDLUIosUt,,,,,42.4235,-88.6029,anonymous,EN,Option 1: I have read through the description of the research and agree to the information provided on this page.,Normal,,,,,,,,,,,,,,,,,,,,,,
3/2/26 8:46,3/2/26 8:58,IP Address,35.151.111.18,100,683,TRUE,3/2/26 8:58,R_1Ej3mSVyyo6TIbk,,,,,43.1205,-89.3523,anonymous,EN,Option 1: I have read through the description of the research and agree to the information provided on this page.,Normal,,,Beyond 2 semesters of calculus,,,,,,,,,,,,,,,,,1,Custom Value,123
2/20/26 20:24,2/24/26 23:23,IP Address,35.151.111.18,26,356345,FALSE,3/3/26 23:23,R_3pQqszE3xcjEhqp,,,,,43.1205,-89.3523,anonymous,EN,Option 1: I have read through the description of the research and agree to the information provided on this page.,Normal,,,,,,,,,,,,,,,,,,,,,,90866
