sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
94893,R_13KRhYZFbSzX8LT,1,6,20,-0.315300,0.15,1,1,false,6246,Trend,Q,training
94893,R_13KRhYZFbSzX8LT,2,8,8,-0.221700,0.15,1,1,true,1394,Trend,P,training
94893,R_13KRhYZFbSzX8LT,3,25,10,-0.043700,0.15,1,1,true,1423,Trend,P,training
94893,R_13KRhYZFbSzX8LT,4,62,20,0.315300,0.15,1,1,true,829,Trend,Q,training
94893,R_13KRhYZFbSzX8LT,5,0,8,-0.315300,0.15,1,1,true,1048,Trend,P,training
94893,R_13KRhYZFbSzX8LT,6,51,14,0.221700,0.15,1,1,true,1144,Trend,Q,training
94893,R_13KRhYZFbSzX8LT,7,46,20,0.131700,0.15,1,1,true,1170,Trend,Q,training
94893,R_13KRhYZFbSzX8LT,8,57,10,0.315300,0.15,1,1,false,784,Trend,P,training
94893,R_13KRhYZFbSzX8LT,9,38,20,0.043700,0.15,1,1,true,637,Trend,Q,training
94893,R_13KRhYZFbSzX8LT,10,16,8,-0.131700,0.15,1,1,true,675,Trend,P,training
94893,R_13KRhYZFbSzX8LT,11,163,16,-0.131700,0.15,1,1,false,3180,Trend,Q,main
94893,R_13KRhYZFbSzX8LT,12,453,8,0.315300,0.15,1,1,false,833,Trend,P,main
94893,R_13KRhYZFbSzX8LT,13,23,12,-0.315300,0.15,1,1,false,5411,Trend,Q,main
94893,R_13KRhYZFbSzX8LT,14,474,14,0.315300,0.15,1,1,false,829,Trend,P,main
94893,R_13KRhYZFbSzX8LT,15,7,8,-0.315300,0.15,1,1,true,629,Trend,P,main
94893,R_13KRhYZFbSzX8LT,16,80,12,-0.221700,0.15,1,1,true,660,Trend,P,main
94893,R_13KRhYZFbSzX8LT,17,267,10,0.043700,0.15,1,1,false,528,Trend,P,main
94893,R_13KRhYZFbSzX8LT,18,77,10,-0.221700,0.15,1,1,true,846,Trend,P,main
94893,R_13KRhYZFbSzX8LT,19,218,14,-0.043700,0.15,1,1,true,1308,Trend,P,main
94893,R_13KRhYZFbSzX8LT,20,362,18,0.131700,0.15,1,1,true,732,Trend,Q,main
94893,R_13KRhYZFbSzX8LT,21,358,16,0.131700,0.15,1,1,true,899,Trend,Q,main
94893,R_13KRhYZFbSzX8LT,22,44,18,-0.315300,0.15,1,1,false,1198,Trend,Q,main
94893,R_13KRhYZFbSzX8LT,23,353,16,0.131700,0.15,1,1,true,684,Trend,Q,main
94893,R_13KRhYZFbSzX8LT,24,28,14,-0.315300,0.15,1,1,false,733,Trend,Q,main
94893,R_13KRhYZFbSzX8LT,25,11,10,-0.315300,0.15,1,1,false,385,Trend,Q,main
94893,R_13KRhYZFbSzX8LT,26,297,18,0.043700,0.15,1,1,true,1003,Trend,Q,main
94893,R_13KRhYZFbSzX8LT,27,316,22,0.043700,0.15,1,1,true,1166,Trend,Q,main
94893,R_13KRhYZFbSzX8LT,28,323,8,0.131700,0.15,1,1,false,663,Trend,P,main
94893,R_13KRhYZFbSzX8LT,29,245,20,-0.043700,0.15,1,1,false,550,Trend,Q,main
94893,R_13KRhYZFbSzX8LT,30,107,18,-0.221700,0.15,1,1,false,1058,Trend,Q,main
94893,R_13KRhYZFbSzX8LT,31,238,18,-0.043700,0.15,1,1,true,733,Trend,P,main
94893,R_13KRhYZFbSzX8LT,32,370,20,0.131700,0.15,1,1,false,17,Trend,P,main
94893,R_13KRhYZFbSzX8LT,33,445,22,0.221700,0.15,1,1,true,856,Trend,Q,main
94893,R_13KRhYZFbSzX8LT,34,405,12,0.221700,0.15,1,1,false,578,Trend,P,main
94893,R_13KRhYZFbSzX8LT,35,143,10,-0.131700,0.15,1,1,true,1108,Trend,P,main
94893,R_13KRhYZFbSzX8LT,36,465,12,0.315300,0.15,1,1,false,685,Trend,P,main
94893,R_13KRhYZFbSzX8LT,37,73,10,-0.221700,0.15,1,1,true,570,Trend,P,main
