sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
91692,R_1AOpK4vBqmHs9yx,1,27,14,-0.043700,0.15,2,2,true,9038,Number,Q,training
91692,R_1AOpK4vBqmHs9yx,2,62,20,0.315300,0.15,2,2,true,3108,Number,P,training
91692,R_1AOpK4vBqmHs9yx,3,14,20,-0.221700,0.15,2,2,true,2697,Number,P,training
91692,R_1AOpK4vBqmHs9yx,4,12,16,-0.221700,0.15,2,2,false,2004,Number,Q,training
91692,R_1AOpK4vBqmHs9yx,5,50,12,0.221700,0.15,2,2,true,3261,Number,Q,training
91692,R_1AOpK4vBqmHs9yx,6,38,20,0.043700,0.15,2,2,true,4690,Number,P,training
91692,R_1AOpK4vBqmHs9yx,7,11,14,-0.221700,0.15,2,2,false,2140,Number,P,training
91692,R_1AOpK4vBqmHs9yx,8,30,20,-0.043700,0.15,2,2,false,2197,Number,Q,training
91692,R_1AOpK4vBqmHs9yx,9,8,8,-0.221700,0.15,2,2,true,3912,Number,Q,training
91692,R_1AOpK4vBqmHs9yx,10,35,14,0.043700,0.15,2,2,false,2401,Number,P,training
91692,R_1AOpK4vBqmHs9yx,11,140,10,-0.131700,0.15,2,2,true,2210,Number,Q,main
91692,R_1AOpK4vBqmHs9yx,12,30,14,-0.315300,0.15,2,2,false,1723,Number,P,main
91692,R_1AOpK4vBqmHs9yx,13,173,18,-0.131700,0.15,2,2,true,2378,Number,P,main
91692,R_1AOpK4vBqmHs9yx,14,257,8,0.043700,0.15,2,2,true,1856,Number,Q,main
91692,R_1AOpK4vBqmHs9yx,15,379,22,0.131700,0.15,2,2,true,2076,Number,P,main
91692,R_1AOpK4vBqmHs9yx,16,194,8,-0.043700,0.15,2,2,true,1908,Number,Q,main
91692,R_1AOpK4vBqmHs9yx,17,342,12,0.131700,0.15,2,2,true,2272,Number,Q,main
91692,R_1AOpK4vBqmHs9yx,18,469,12,0.315300,0.15,2,2,true,2004,Number,Q,main
91692,R_1AOpK4vBqmHs9yx,19,91,14,-0.221700,0.15,2,2,true,2688,Number,Q,main
91692,R_1AOpK4vBqmHs9yx,20,92,14,-0.221700,0.15,2,2,false,2115,Number,P,main
91692,R_1AOpK4vBqmHs9yx,21,434,20,0.221700,0.15,2,2,true,2622,Number,P,main
91692,R_1AOpK4vBqmHs9yx,22,460,10,0.315300,0.15,2,2,true,2109,Number,Q,main
91692,R_1AOpK4vBqmHs9yx,23,132,8,-0.131700,0.15,2,2,true,2944,Number,Q,main
91692,R_1AOpK4vBqmHs9yx,24,279,12,0.043700,0.15,2,2,false,2110,Number,P,main
91692,R_1AOpK4vBqmHs9yx,25,471,12,0.315300,0.15,2,2,false,2094,Number,P,main
91692,R_1AOpK4vBqmHs9yx,26,435,20,0.221700,0.15,2,2,true,2058,Number,P,main
91692,R_1AOpK4vBqmHs9yx,27,22,12,-0.315300,0.15,2,2,false,1662,Number,P,main
91692,R_1AOpK4vBqmHs9yx,28,102,16,-0.221700,0.15,2,2,true,3766,Number,P,main
91692,R_1AOpK4vBqmHs9yx,29,505,22,0.315300,0.15,2,2,true,902,Number,P,main
91692,R_1AOpK4vBqmHs9yx,30,307,20,0.043700,0.15,2,2,true,867,Number,P,main
91692,R_1AOpK4vBqmHs9yx,31,308,20,0.043700,0.15,2,2,true,1372,Number,P,main
91692,R_1AOpK4vBqmHs9yx,32,214,12,-0.043700,0.15,2,2,true,939,Number,Q,main
91692,R_1AOpK4vBqmHs9yx,33,100,16,-0.221700,0.15,2,2,true,1047,Number,P,main
91692,R_1AOpK4vBqmHs9yx,34,316,22,0.043700,0.15,2,2,true,1145,Number,P,main
91692,R_1AOpK4vBqmHs9yx,35,223,14,-0.043700,0.15,2,2,true,1860,Number,Q,main
91692,R_1AOpK4vBqmHs9yx,36,246,20,-0.043700,0.15,2,2,true,1022,Number,P,main
91692,R_1AOpK4vBqmHs9yx,37,51,20,-0.315300,0.15,2,2,true,1205,Number,P,main
91692,R_1AOpK4vBqmHs9yx,38,155,14,-0.131700,0.15,2,2,false,1276,Number,P,main
91692,R_1AOpK4vBqmHs9yx,39,134,8,-0.131700,0.15,2,2,true,1156,Number,Q,main
91692,R_1AOpK4vBqmHs9yx,40,193,8,-0.043700,0.15,2,2,true,1041,Number,Q,main
91692,R_1AOpK4vBqmHs9yx,41,93,14,-0.221700,0.15,2,2,true,2297,Number,Q,main
91692,R_1AOpK4vBqmHs9yx,42,75,10,-0.221700,0.15,2,2,true,1123,Number,Q,main
91692,R_1AOpK4vBqmHs9yx,43,261,8,0.043700,0.15,2,2,true,967,Number,Q,main
91692,R_1AOpK4vBqmHs9yx,44,394,10,0.221700,0.15,2,2,true,1395,Number,Q,main
91692,R_1AOpK4vBqmHs9yx,45,221,14,-0.043700,0.15,2,2,true,886,Number,Q,main
91692,R_1AOpK4vBqmHs9yx,46,275,12,0.043700,0.15,2,2,true,1011,Number,Q,main
91692,R_1AOpK4vBqmHs9yx,47,260,8,0.043700,0.15,2,2,true,1576,Number,Q,main
91692,R_1AOpK4vBqmHs9yx,48,369,20,0.131700,0.15,2,2,true,838,Number,P,main
91692,R_1AOpK4vBqmHs9yx,49,48,20,-0.315300,0.15,2,2,true,966,Number,P,main
91692,R_1AOpK4vBqmHs9yx,50,290,16,0.043700,0.15,2,2,true,1443,Number,P,main
91692,R_1AOpK4vBqmHs9yx,51,489,18,0.315300,0.15,2,2,true,815,Number,P,main
91692,R_1AOpK4vBqmHs9yx,52,70,8,-0.221700,0.15,2,2,true,1042,Number,Q,main
91692,R_1AOpK4vBqmHs9yx,53,106,18,-0.221700,0.15,2,2,true,1093,Number,P,main
91692,R_1AOpK4vBqmHs9yx,54,10,10,-0.315300,0.15,2,2,true,999,Number,Q,main
91692,R_1AOpK4vBqmHs9yx,55,266,10,0.043700,0.15,2,2,false,787,Number,P,main
91692,R_1AOpK4vBqmHs9yx,56,404,12,0.221700,0.15,2,2,false,643,Number,P,main
91692,R_1AOpK4vBqmHs9yx,57,128,8,-0.131700,0.15,2,2,true,1153,Number,Q,main
91692,R_1AOpK4vBqmHs9yx,58,182,20,-0.131700,0.15,2,2,true,836,Number,P,main
91692,R_1AOpK4vBqmHs9yx,59,412,14,0.221700,0.15,2,2,false,802,Number,P,main
91692,R_1AOpK4vBqmHs9yx,60,311,20,0.043700,0.15,2,2,true,1104,Number,P,main
91692,R_1AOpK4vBqmHs9yx,61,356,16,0.131700,0.15,2,2,false,1360,Number,Q,main
91692,R_1AOpK4vBqmHs9yx,62,161,16,-0.131700,0.15,2,2,false,2360,Number,Q,main
91692,R_1AOpK4vBqmHs9yx,63,325,8,0.131700,0.15,2,2,true,920,Number,Q,main
91692,R_1AOpK4vBqmHs9yx,64,110,18,-0.221700,0.15,2,2,true,1067,Number,P,main
91692,R_1AOpK4vBqmHs9yx,65,331,10,0.131700,0.15,2,2,true,2909,Number,Q,main
91692,R_1AOpK4vBqmHs9yx,66,43,18,-0.315300,0.15,2,2,true,955,Number,P,main
91692,R_1AOpK4vBqmHs9yx,67,107,18,-0.221700,0.15,2,2,true,1266,Number,P,main
91692,R_1AOpK4vBqmHs9yx,68,15,10,-0.315300,0.15,2,2,true,1477,Number,Q,main
91692,R_1AOpK4vBqmHs9yx,69,69,8,-0.221700,0.15,2,2,true,1029,Number,Q,main
91692,R_1AOpK4vBqmHs9yx,70,209,12,-0.043700,0.15,2,2,false,2282,Number,P,main
91692,R_1AOpK4vBqmHs9yx,71,282,14,0.043700,0.15,2,2,false,838,Number,P,main
91692,R_1AOpK4vBqmHs9yx,72,65,8,-0.221700,0.15,2,2,true,1039,Number,Q,main
91692,R_1AOpK4vBqmHs9yx,73,467,12,0.315300,0.15,2,2,false,1489,Number,P,main
91692,R_1AOpK4vBqmHs9yx,74,456,10,0.315300,0.15,2,2,false,1689,Number,P,main
91692,R_1AOpK4vBqmHs9yx,75,364,18,0.131700,0.15,2,2,true,846,Number,P,main
91692,R_1AOpK4vBqmHs9yx,76,80,12,-0.221700,0.15,2,2,false,760,Number,P,main
91692,R_1AOpK4vBqmHs9yx,77,4,8,-0.315300,0.15,2,2,true,1152,Number,Q,main
91692,R_1AOpK4vBqmHs9yx,78,19,12,-0.315300,0.15,2,2,false,1219,Number,P,main
91692,R_1AOpK4vBqmHs9yx,79,332,10,0.131700,0.15,2,2,true,1460,Number,Q,main
91692,R_1AOpK4vBqmHs9yx,80,123,22,-0.221700,0.15,2,2,true,1187,Number,P,main
91692,R_1AOpK4vBqmHs9yx,81,258,8,0.043700,0.15,2,2,true,1038,Number,Q,main
91692,R_1AOpK4vBqmHs9yx,82,99,16,-0.221700,0.15,2,2,true,818,Number,P,main
91692,R_1AOpK4vBqmHs9yx,83,286,14,0.043700,0.15,2,2,false,778,Number,P,main
91692,R_1AOpK4vBqmHs9yx,84,284,14,0.043700,0.15,2,2,false,1604,Number,P,main
91692,R_1AOpK4vBqmHs9yx,85,78,10,-0.221700,0.15,2,2,true,1291,Number,Q,main
91692,R_1AOpK4vBqmHs9yx,86,111,18,-0.221700,0.15,2,2,true,892,Number,P,main
91692,R_1AOpK4vBqmHs9yx,87,235,18,-0.043700,0.15,2,2,true,748,Number,P,main
91692,R_1AOpK4vBqmHs9yx,88,441,22,0.221700,0.15,2,2,true,660,Number,P,main
91692,R_1AOpK4vBqmHs9yx,89,177,20,-0.131700,0.15,2,2,true,511,Number,P,main
91692,R_1AOpK4vBqmHs9yx,90,287,14,0.043700,0.15,2,2,false,878,Number,P,main
91692,R_1AOpK4vBqmHs9yx,91,226,16,-0.043700,0.15,2,2,true,569,Number,P,main
91692,R_1AOpK4vBqmHs9yx,92,365,18,0.131700,0.15,2,2,true,578,Number,P,main
91692,R_1AOpK4vBqmHs9yx,93,414,14,0.221700,0.15,2,2,true,1389,Number,Q,main
91692,R_1AOpK4vBqmHs9yx,94,14,10,-0.315300,0.15,2,2,true,1565,Number,Q,main
91692,R_1AOpK4vBqmHs9yx,95,199,8,-0.043700,0.15,2,2,true,832,Number,Q,main
91692,R_1AOpK4vBqmHs9yx,96,328,10,0.131700,0.15,2,2,true,660,Number,Q,main
91692,R_1AOpK4vBqmHs9yx,97,458,10,0.315300,0.15,2,2,true,561,Number,Q,main
91692,R_1AOpK4vBqmHs9yx,98,289,16,0.043700,0.15,2,2,true,1165,Number,P,main
91692,R_1AOpK4vBqmHs9yx,99,73,10,-0.221700,0.15,2,2,true,1019,Number,Q,main
91692,R_1AOpK4vBqmHs9yx,100,232,18,-0.043700,0.15,2,2,true,1202,Number,P,main
91692,R_1AOpK4vBqmHs9yx,101,191,22,-0.131700,0.15,2,2,true,515,Number,P,main
91692,R_1AOpK4vBqmHs9yx,102,367,18,0.131700,0.15,2,2,true,666,Number,P,main
91692,R_1AOpK4vBqmHs9yx,103,335,10,0.131700,0.15,2,2,true,1095,Number,Q,main
91692,R_1AOpK4vBqmHs9yx,104,483,16,0.315300,0.15,2,2,true,1383,Number,P,main
91692,R_1AOpK4vBqmHs9yx,105,265,10,0.043700,0.15,2,2,false,847,Number,P,main
91692,R_1AOpK4vBqmHs9yx,106,302,18,0.043700,0.15,2,2,true,695,Number,P,main
91692,R_1AOpK4vBqmHs9yx,107,120,22,-0.221700,0.15,2,2,true,521,Number,P,main
91692,R_1AOpK4vBqmHs9yx,108,240,20,-0.043700,0.15,2,2,true,413,Number,P,main
91692,R_1AOpK4vBqmHs9yx,109,400,12,0.221700,0.15,2,2,false,1698,Number,P,main
91692,R_1AOpK4vBqmHs9yx,110,241,20,-0.043700,0.15,2,2,true,774,Number,P,main
91692,R_1AOpK4vBqmHs9yx,111,283,14,0.043700,0.15,2,2,false,961,Number,P,main
91692,R_1AOpK4vBqmHs9yx,112,333,10,0.131700,0.15,2,2,true,1044,Number,Q,main
91692,R_1AOpK4vBqmHs9yx,113,171,18,-0.131700,0.15,2,2,true,884,Number,P,main
91692,R_1AOpK4vBqmHs9yx,114,306,20,0.043700,0.15,2,2,true,634,Number,P,main
91692,R_1AOpK4vBqmHs9yx,115,301,18,0.043700,0.15,2,2,true,528,Number,P,main
91692,R_1AOpK4vBqmHs9yx,116,345,14,0.131700,0.15,2,2,false,655,Number,P,main
91692,R_1AOpK4vBqmHs9yx,117,493,18,0.315300,0.15,2,2,true,2881,Number,P,main
91692,R_1AOpK4vBqmHs9yx,118,208,12,-0.043700,0.15,2,2,true,1048,Number,Q,main
91692,R_1AOpK4vBqmHs9yx,119,486,16,0.315300,0.15,2,2,false,845,Number,Q,main
91692,R_1AOpK4vBqmHs9yx,120,185,22,-0.131700,0.15,2,2,true,886,Number,P,main
91692,R_1AOpK4vBqmHs9yx,121,204,10,-0.043700,0.15,2,2,true,1036,Number,Q,main
91692,R_1AOpK4vBqmHs9yx,122,476,14,0.315300,0.15,2,2,false,860,Number,P,main
91692,R_1AOpK4vBqmHs9yx,123,40,18,-0.315300,0.15,2,2,true,832,Number,P,main
91692,R_1AOpK4vBqmHs9yx,124,97,16,-0.221700,0.15,2,2,true,490,Number,P,main
91692,R_1AOpK4vBqmHs9yx,125,377,22,0.131700,0.15,2,2,true,774,Number,P,main
91692,R_1AOpK4vBqmHs9yx,126,304,20,0.043700,0.15,2,2,true,935,Number,P,main
91692,R_1AOpK4vBqmHs9yx,127,57,22,-0.315300,0.15,2,2,true,607,Number,P,main
91692,R_1AOpK4vBqmHs9yx,128,158,14,-0.131700,0.15,2,2,false,774,Number,P,main
