sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
96336,R_1HbOIosa9Xaq1Lh,1,12,16,-0.221700,0.15,1,1,true,8534,Trend,P,training
96336,R_1HbOIosa9Xaq1Lh,2,19,14,-0.131700,0.15,1,1,false,3558,Trend,Q,training
96336,R_1HbOIosa9Xaq1Lh,3,25,10,-0.043700,0.15,1,1,true,2790,Trend,P,training
96336,R_1HbOIosa9Xaq1Lh,4,9,10,-0.221700,0.15,1,1,true,2714,Trend,P,training
96336,R_1HbOIosa9Xaq1Lh,5,59,14,0.315300,0.15,1,1,true,2717,Trend,Q,training
96336,R_1HbOIosa9Xaq1Lh,6,16,8,-0.131700,0.15,1,1,true,2879,Trend,P,training
96336,R_1HbOIosa9Xaq1Lh,7,54,20,0.221700,0.15,1,1,true,2787,Trend,Q,training
96336,R_1HbOIosa9Xaq1Lh,8,57,10,0.315300,0.15,1,1,false,5791,Trend,P,training
96336,R_1HbOIosa9Xaq1Lh,9,33,10,0.043700,0.15,1,1,false,4057,Trend,P,training
96336,R_1HbOIosa9Xaq1Lh,10,38,20,0.043700,0.15,1,1,true,2757,Trend,Q,training
96336,R_1HbOIosa9Xaq1Lh,11,123,22,-0.221700,0.15,1,1,true,2683,Trend,P,main
96336,R_1HbOIosa9Xaq1Lh,12,89,14,-0.221700,0.15,1,1,true,2597,Trend,P,main
96336,R_1HbOIosa9Xaq1Lh,13,327,8,0.131700,0.15,1,1,true,2364,Trend,Q,main
96336,R_1HbOIosa9Xaq1Lh,14,390,8,0.221700,0.15,1,1,true,2347,Trend,Q,main
96336,R_1HbOIosa9Xaq1Lh,15,322,8,0.131700,0.15,1,1,true,2551,Trend,Q,main
96336,R_1HbOIosa9Xaq1Lh,16,469,12,0.315300,0.15,1,1,true,2318,Trend,Q,main
96336,R_1HbOIosa9Xaq1Lh,17,171,18,-0.131700,0.15,1,1,true,2217,Trend,P,main
96336,R_1HbOIosa9Xaq1Lh,18,285,14,0.043700,0.15,1,1,true,2972,Trend,Q,main
96336,R_1HbOIosa9Xaq1Lh,19,308,20,0.043700,0.15,1,1,false,2274,Trend,P,main
96336,R_1HbOIosa9Xaq1Lh,20,475,14,0.315300,0.15,1,1,true,2364,Trend,Q,main
96336,R_1HbOIosa9Xaq1Lh,21,218,14,-0.043700,0.15,1,1,true,2624,Trend,P,main
96336,R_1HbOIosa9Xaq1Lh,22,153,14,-0.131700,0.15,1,1,true,3559,Trend,P,main
96336,R_1HbOIosa9Xaq1Lh,23,152,14,-0.131700,0.15,1,1,true,2635,Trend,P,main
96336,R_1HbOIosa9Xaq1Lh,24,51,20,-0.315300,0.15,1,1,true,4305,Trend,P,main
96336,R_1HbOIosa9Xaq1Lh,25,248,22,-0.043700,0.15,1,1,false,2551,Trend,Q,main
96336,R_1HbOIosa9Xaq1Lh,26,351,14,0.131700,0.15,1,1,true,2362,Trend,Q,main
