sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
96606,R_1J7QZDCRd9b8Y2l,1,38,20,0.043700,0.15,1,2,true,1797,Number,Q,training
96606,R_1J7QZDCRd9b8Y2l,2,48,8,0.221700,0.15,1,2,true,1664,Number,P,training
96606,R_1J7QZDCRd9b8Y2l,3,33,10,0.043700,0.15,1,2,true,6994,Number,P,training
96606,R_1J7QZDCRd9b8Y2l,4,63,22,0.315300,0.15,1,2,true,4527,Number,Q,training
96606,R_1J7QZDCRd9b8Y2l,5,26,12,-0.043700,0.15,1,2,true,2915,Number,P,training
96606,R_1J7QZDCRd9b8Y2l,6,22,20,-0.131700,0.15,1,2,true,3169,Number,Q,training
96606,R_1J7QZDCRd9b8Y2l,7,0,8,-0.315300,0.15,1,2,true,7545,Number,P,training
96606,R_1J7QZDCRd9b8Y2l,8,47,22,0.131700,0.15,1,2,true,5492,Number,Q,training
96606,R_1J7QZDCRd9b8Y2l,9,14,20,-0.221700,0.15,1,2,true,3569,Number,Q,training
96606,R_1J7QZDCRd9b8Y2l,10,27,14,-0.043700,0.15,1,2,true,2907,Number,P,training
96606,R_1J7QZDCRd9b8Y2l,11,381,22,0.131700,0.15,1,2,true,2694,Number,Q,main
96606,R_1J7QZDCRd9b8Y2l,12,2,8,-0.315300,0.15,1,2,true,2338,Number,P,main
96606,R_1J7QZDCRd9b8Y2l,13,99,16,-0.221700,0.15,1,2,false,4024,Number,P,main
96606,R_1J7QZDCRd9b8Y2l,14,367,18,0.131700,0.15,1,2,true,2391,Number,Q,main
96606,R_1J7QZDCRd9b8Y2l,15,308,20,0.043700,0.15,1,2,true,2526,Number,Q,main
96606,R_1J7QZDCRd9b8Y2l,16,5,8,-0.315300,0.15,1,2,true,2130,Number,P,main
96606,R_1J7QZDCRd9b8Y2l,17,143,10,-0.131700,0.15,1,2,true,2239,Number,P,main
96606,R_1J7QZDCRd9b8Y2l,18,470,12,0.315300,0.15,1,2,true,2084,Number,P,main
96606,R_1J7QZDCRd9b8Y2l,19,397,10,0.221700,0.15,1,2,true,2136,Number,P,main
96606,R_1J7QZDCRd9b8Y2l,20,193,8,-0.043700,0.15,1,2,true,2187,Number,P,main
96606,R_1J7QZDCRd9b8Y2l,21,201,10,-0.043700,0.15,1,2,true,2174,Number,P,main
96606,R_1J7QZDCRd9b8Y2l,22,303,18,0.043700,0.15,1,2,true,2088,Number,Q,main
96606,R_1J7QZDCRd9b8Y2l,23,388,8,0.221700,0.15,1,2,true,2220,Number,P,main
96606,R_1J7QZDCRd9b8Y2l,24,301,18,0.043700,0.15,1,2,true,2062,Number,Q,main
96606,R_1J7QZDCRd9b8Y2l,25,227,16,-0.043700,0.15,1,2,true,2212,Number,Q,main
96606,R_1J7QZDCRd9b8Y2l,26,442,22,0.221700,0.15,1,2,true,2147,Number,Q,main
96606,R_1J7QZDCRd9b8Y2l,27,102,16,-0.221700,0.15,1,2,true,2141,Number,Q,main
96606,R_1J7QZDCRd9b8Y2l,28,90,14,-0.221700,0.15,1,2,false,2104,Number,Q,main
96606,R_1J7QZDCRd9b8Y2l,29,446,22,0.221700,0.15,1,2,true,2088,Number,Q,main
96606,R_1J7QZDCRd9b8Y2l,30,76,10,-0.221700,0.15,1,2,true,2756,Number,P,main
96606,R_1J7QZDCRd9b8Y2l,31,196,8,-0.043700,0.15,1,2,true,2117,Number,P,main
96606,R_1J7QZDCRd9b8Y2l,32,48,20,-0.315300,0.15,1,2,true,1974,Number,Q,main
96606,R_1J7QZDCRd9b8Y2l,33,73,10,-0.221700,0.15,1,2,true,1988,Number,P,main
96606,R_1J7QZDCRd9b8Y2l,34,80,12,-0.221700,0.15,1,2,true,2035,Number,P,main
96606,R_1J7QZDCRd9b8Y2l,35,348,14,0.131700,0.15,1,2,false,2438,Number,Q,main
96606,R_1J7QZDCRd9b8Y2l,36,278,12,0.043700,0.15,1,2,true,1983,Number,P,main
96606,R_1J7QZDCRd9b8Y2l,37,334,10,0.131700,0.15,1,2,true,1952,Number,P,main
96606,R_1J7QZDCRd9b8Y2l,38,370,20,0.131700,0.15,1,2,true,2025,Number,Q,main
96606,R_1J7QZDCRd9b8Y2l,39,496,20,0.315300,0.15,1,2,true,2041,Number,Q,main
96606,R_1J7QZDCRd9b8Y2l,40,61,22,-0.315300,0.15,1,2,true,2020,Number,Q,main
96606,R_1J7QZDCRd9b8Y2l,41,59,22,-0.315300,0.15,1,2,true,1849,Number,Q,main
96606,R_1J7QZDCRd9b8Y2l,42,363,18,0.131700,0.15,1,2,true,2154,Number,Q,main
96606,R_1J7QZDCRd9b8Y2l,43,401,12,0.221700,0.15,1,2,true,2184,Number,P,main
96606,R_1J7QZDCRd9b8Y2l,44,71,8,-0.221700,0.15,1,2,true,2580,Number,P,main
96606,R_1J7QZDCRd9b8Y2l,45,133,8,-0.131700,0.15,1,2,true,2365,Number,P,main
96606,R_1J7QZDCRd9b8Y2l,46,98,16,-0.221700,0.15,1,2,true,2173,Number,Q,main
96606,R_1J7QZDCRd9b8Y2l,47,494,18,0.315300,0.15,1,2,true,2174,Number,Q,main
96606,R_1J7QZDCRd9b8Y2l,48,26,14,-0.315300,0.15,1,2,false,2110,Number,Q,main
96606,R_1J7QZDCRd9b8Y2l,49,172,18,-0.131700,0.15,1,2,true,1900,Number,Q,main
96606,R_1J7QZDCRd9b8Y2l,50,331,10,0.131700,0.15,1,2,true,1978,Number,P,main
96606,R_1J7QZDCRd9b8Y2l,51,462,10,0.315300,0.15,1,2,true,2014,Number,P,main
96606,R_1J7QZDCRd9b8Y2l,52,314,22,0.043700,0.15,1,2,true,1854,Number,Q,main
96606,R_1J7QZDCRd9b8Y2l,53,3,8,-0.315300,0.15,1,2,true,2099,Number,P,main
96606,R_1J7QZDCRd9b8Y2l,54,101,16,-0.221700,0.15,1,2,true,2042,Number,Q,main
96606,R_1J7QZDCRd9b8Y2l,55,243,20,-0.043700,0.15,1,2,true,1886,Number,Q,main
96606,R_1J7QZDCRd9b8Y2l,56,276,12,0.043700,0.15,1,2,true,2363,Number,P,main
96606,R_1J7QZDCRd9b8Y2l,57,211,12,-0.043700,0.15,1,2,true,2143,Number,P,main
96606,R_1J7QZDCRd9b8Y2l,58,116,20,-0.221700,0.15,1,2,true,2177,Number,Q,main
96606,R_1J7QZDCRd9b8Y2l,59,120,22,-0.221700,0.15,1,2,true,2179,Number,Q,main
96606,R_1J7QZDCRd9b8Y2l,60,100,16,-0.221700,0.15,1,2,true,2173,Number,Q,main
96606,R_1J7QZDCRd9b8Y2l,61,70,8,-0.221700,0.15,1,2,true,2121,Number,P,main
96606,R_1J7QZDCRd9b8Y2l,62,413,14,0.221700,0.15,1,2,false,2381,Number,Q,main
96606,R_1J7QZDCRd9b8Y2l,63,246,20,-0.043700,0.15,1,2,true,2017,Number,Q,main
96606,R_1J7QZDCRd9b8Y2l,64,91,14,-0.221700,0.15,1,2,false,2058,Number,Q,main
96606,R_1J7QZDCRd9b8Y2l,65,424,18,0.221700,0.15,1,2,true,2107,Number,Q,main
96606,R_1J7QZDCRd9b8Y2l,66,239,18,-0.043700,0.15,1,2,true,2201,Number,Q,main
96606,R_1J7QZDCRd9b8Y2l,67,190,22,-0.131700,0.15,1,2,true,2037,Number,Q,main
96606,R_1J7QZDCRd9b8Y2l,68,89,14,-0.221700,0.15,1,2,true,2090,Number,P,main
96606,R_1J7QZDCRd9b8Y2l,69,110,18,-0.221700,0.15,1,2,true,2037,Number,Q,main
96606,R_1J7QZDCRd9b8Y2l,70,197,8,-0.043700,0.15,1,2,true,2105,Number,P,main
96606,R_1J7QZDCRd9b8Y2l,71,484,16,0.315300,0.15,1,2,true,2064,Number,Q,main
96606,R_1J7QZDCRd9b8Y2l,72,349,14,0.131700,0.15,1,2,true,2343,Number,P,main
96606,R_1J7QZDCRd9b8Y2l,73,436,20,0.221700,0.15,1,2,true,2077,Number,Q,main
96606,R_1J7QZDCRd9b8Y2l,74,75,10,-0.221700,0.15,1,2,true,2110,Number,P,main
96606,R_1J7QZDCRd9b8Y2l,75,480,16,0.315300,0.15,1,2,true,2030,Number,Q,main
96606,R_1J7QZDCRd9b8Y2l,76,134,8,-0.131700,0.15,1,2,true,2144,Number,P,main
