sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
96460,R_1TJ7xnSQFVNxSiR,1,11,14,-0.221700,0.15,2,1,true,8151,Trend,Q,training
96460,R_1TJ7xnSQFVNxSiR,2,3,14,-0.315300,0.15,2,1,true,2705,Trend,Q,training
96460,R_1TJ7xnSQFVNxSiR,3,41,10,0.131700,0.15,2,1,true,1042,Trend,P,training
96460,R_1TJ7xnSQFVNxSiR,4,56,8,0.315300,0.15,2,1,true,723,Trend,P,training
96460,R_1TJ7xnSQFVNxSiR,5,33,10,0.043700,0.15,2,1,true,757,Trend,P,training
96460,R_1TJ7xnSQFVNxSiR,6,40,8,0.131700,0.15,2,1,true,634,Trend,P,training
96460,R_1TJ7xnSQFVNxSiR,7,43,14,0.131700,0.15,2,1,true,900,Trend,P,training
96460,R_1TJ7xnSQFVNxSiR,8,26,12,-0.043700,0.15,2,1,true,1137,Trend,Q,training
96460,R_1TJ7xnSQFVNxSiR,9,37,18,0.043700,0.15,2,1,true,646,Trend,P,training
96460,R_1TJ7xnSQFVNxSiR,10,7,22,-0.315300,0.15,2,1,true,891,Trend,Q,training
96460,R_1TJ7xnSQFVNxSiR,11,221,14,-0.043700,0.15,2,1,false,1404,Trend,P,main
96460,R_1TJ7xnSQFVNxSiR,12,461,10,0.315300,0.15,2,1,true,588,Trend,P,main
96460,R_1TJ7xnSQFVNxSiR,13,433,20,0.221700,0.15,2,1,true,444,Trend,P,main
96460,R_1TJ7xnSQFVNxSiR,14,11,10,-0.315300,0.15,2,1,true,703,Trend,Q,main
96460,R_1TJ7xnSQFVNxSiR,15,251,22,-0.043700,0.15,2,1,true,1555,Trend,Q,main
96460,R_1TJ7xnSQFVNxSiR,16,119,20,-0.221700,0.15,2,1,true,787,Trend,Q,main
96460,R_1TJ7xnSQFVNxSiR,17,502,20,0.315300,0.15,2,1,true,474,Trend,P,main
96460,R_1TJ7xnSQFVNxSiR,18,278,12,0.043700,0.15,2,1,false,1543,Trend,Q,main
96460,R_1TJ7xnSQFVNxSiR,19,257,8,0.043700,0.15,2,1,true,519,Trend,P,main
