sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
92361,R_1XB0vsmKC5wZ6PD,1,14,20,-0.221700,0.15,2,1,false,5721,Trend,P,training
92361,R_1XB0vsmKC5wZ6PD,2,60,16,0.315300,0.15,2,1,true,1638,Trend,P,training
92361,R_1XB0vsmKC5wZ6PD,3,50,12,0.221700,0.15,2,1,true,968,Trend,P,training
92361,R_1XB0vsmKC5wZ6PD,4,52,16,0.221700,0.15,2,1,true,858,Trend,P,training
92361,R_1XB0vsmKC5wZ6PD,5,53,18,0.221700,0.15,2,1,true,748,Trend,P,training
92361,R_1XB0vsmKC5wZ6PD,6,54,20,0.221700,0.15,2,1,true,610,Trend,P,training
92361,R_1XB0vsmKC5wZ6PD,7,63,22,0.315300,0.15,2,1,true,636,Trend,P,training
92361,R_1XB0vsmKC5wZ6PD,8,44,16,0.131700,0.15,2,1,false,1596,Trend,Q,training
92361,R_1XB0vsmKC5wZ6PD,9,26,12,-0.043700,0.15,2,1,true,683,Trend,Q,training
92361,R_1XB0vsmKC5wZ6PD,10,13,18,-0.221700,0.15,2,1,false,619,Trend,P,training
92361,R_1XB0vsmKC5wZ6PD,11,277,12,0.043700,0.15,2,1,false,1092,Trend,Q,main
92361,R_1XB0vsmKC5wZ6PD,12,53,20,-0.315300,0.15,2,1,false,833,Trend,P,main
92361,R_1XB0vsmKC5wZ6PD,13,250,22,-0.043700,0.15,2,1,false,602,Trend,P,main
92361,R_1XB0vsmKC5wZ6PD,14,417,16,0.221700,0.15,2,1,true,1265,Trend,P,main
92361,R_1XB0vsmKC5wZ6PD,15,65,8,-0.221700,0.15,2,1,true,663,Trend,Q,main
92361,R_1XB0vsmKC5wZ6PD,16,78,10,-0.221700,0.15,2,1,true,851,Trend,Q,main
92361,R_1XB0vsmKC5wZ6PD,17,298,18,0.043700,0.15,2,1,true,1782,Trend,P,main
92361,R_1XB0vsmKC5wZ6PD,18,324,8,0.131700,0.15,2,1,false,758,Trend,Q,main
92361,R_1XB0vsmKC5wZ6PD,19,476,14,0.315300,0.15,2,1,true,645,Trend,P,main
92361,R_1XB0vsmKC5wZ6PD,20,253,22,-0.043700,0.15,2,1,false,627,Trend,P,main
92361,R_1XB0vsmKC5wZ6PD,21,400,12,0.221700,0.15,2,1,true,610,Trend,P,main
92361,R_1XB0vsmKC5wZ6PD,22,352,16,0.131700,0.15,2,1,true,1066,Trend,P,main
92361,R_1XB0vsmKC5wZ6PD,23,356,16,0.131700,0.15,2,1,true,1020,Trend,P,main
92361,R_1XB0vsmKC5wZ6PD,24,496,20,0.315300,0.15,2,1,true,525,Trend,P,main
