sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
96540,R_1j6fZTUZak25VGQ,1,34,12,0.043700,0.15,2,1,true,11432,Trend,P,training
96540,R_1j6fZTUZak25VGQ,2,35,14,0.043700,0.15,2,1,false,6883,Trend,Q,training
96540,R_1j6fZTUZak25VGQ,3,33,10,0.043700,0.15,2,1,false,3501,Trend,Q,training
96540,R_1j6fZTUZak25VGQ,4,38,20,0.043700,0.15,2,1,true,1489,Trend,P,training
96540,R_1j6fZTUZak25VGQ,5,46,20,0.131700,0.15,2,1,false,904,Trend,Q,training
96540,R_1j6fZTUZak25VGQ,6,4,16,-0.315300,0.15,2,1,true,665,Trend,Q,training
96540,R_1j6fZTUZak25VGQ,7,2,12,-0.315300,0.15,2,1,true,2538,Trend,Q,training
96540,R_1j6fZTUZak25VGQ,8,37,18,0.043700,0.15,2,1,false,1644,Trend,Q,training
96540,R_1j6fZTUZak25VGQ,9,1,10,-0.315300,0.15,2,1,true,1051,Trend,Q,training
96540,R_1j6fZTUZak25VGQ,10,25,10,-0.043700,0.15,2,1,true,963,Trend,Q,training
96540,R_1j6fZTUZak25VGQ,11,413,14,0.221700,0.15,2,1,true,811,Trend,P,main
96540,R_1j6fZTUZak25VGQ,12,214,12,-0.043700,0.15,2,1,true,1327,Trend,Q,main
96540,R_1j6fZTUZak25VGQ,13,462,10,0.315300,0.15,2,1,true,436,Trend,P,main
96540,R_1j6fZTUZak25VGQ,14,432,20,0.221700,0.15,2,1,true,1344,Trend,P,main
96540,R_1j6fZTUZak25VGQ,15,10,10,-0.315300,0.15,2,1,true,570,Trend,Q,main
96540,R_1j6fZTUZak25VGQ,16,509,22,0.315300,0.15,2,1,true,867,Trend,P,main
96540,R_1j6fZTUZak25VGQ,17,84,12,-0.221700,0.15,2,1,true,1037,Trend,Q,main
96540,R_1j6fZTUZak25VGQ,18,225,16,-0.043700,0.15,2,1,true,998,Trend,Q,main
96540,R_1j6fZTUZak25VGQ,19,434,20,0.221700,0.15,2,1,true,588,Trend,P,main
96540,R_1j6fZTUZak25VGQ,20,276,12,0.043700,0.15,2,1,true,1562,Trend,P,main
96540,R_1j6fZTUZak25VGQ,21,240,20,-0.043700,0.15,2,1,true,677,Trend,Q,main
96540,R_1j6fZTUZak25VGQ,22,87,12,-0.221700,0.15,2,1,true,1262,Trend,Q,main
96540,R_1j6fZTUZak25VGQ,23,218,14,-0.043700,0.15,2,1,true,1490,Trend,Q,main
96540,R_1j6fZTUZak25VGQ,24,272,12,0.043700,0.15,2,1,true,643,Trend,P,main
96540,R_1j6fZTUZak25VGQ,25,369,20,0.131700,0.15,2,1,true,716,Trend,P,main
96540,R_1j6fZTUZak25VGQ,26,178,20,-0.131700,0.15,2,1,false,1206,Trend,P,main
96540,R_1j6fZTUZak25VGQ,27,56,22,-0.315300,0.15,2,1,false,873,Trend,P,main
96540,R_1j6fZTUZak25VGQ,28,269,10,0.043700,0.15,2,1,false,694,Trend,Q,main
96540,R_1j6fZTUZak25VGQ,29,330,10,0.131700,0.15,2,1,false,1460,Trend,Q,main
96540,R_1j6fZTUZak25VGQ,30,18,12,-0.315300,0.15,2,1,true,1314,Trend,Q,main
96540,R_1j6fZTUZak25VGQ,31,257,8,0.043700,0.15,2,1,false,1591,Trend,Q,main
96540,R_1j6fZTUZak25VGQ,32,255,22,-0.043700,0.15,2,1,false,877,Trend,P,main
96540,R_1j6fZTUZak25VGQ,33,95,14,-0.221700,0.15,2,1,false,668,Trend,P,main
96540,R_1j6fZTUZak25VGQ,34,342,12,0.131700,0.15,2,1,false,628,Trend,Q,main
96540,R_1j6fZTUZak25VGQ,35,466,12,0.315300,0.15,2,1,true,1404,Trend,P,main
96540,R_1j6fZTUZak25VGQ,36,127,22,-0.221700,0.15,2,1,true,782,Trend,Q,main
96540,R_1j6fZTUZak25VGQ,37,490,18,0.315300,0.15,2,1,false,1011,Trend,Q,main
96540,R_1j6fZTUZak25VGQ,38,352,16,0.131700,0.15,2,1,false,835,Trend,Q,main
96540,R_1j6fZTUZak25VGQ,39,285,14,0.043700,0.15,2,1,false,901,Trend,Q,main
96540,R_1j6fZTUZak25VGQ,40,271,10,0.043700,0.15,2,1,true,489,Trend,P,main
96540,R_1j6fZTUZak25VGQ,41,495,18,0.315300,0.15,2,1,true,1022,Trend,P,main
96540,R_1j6fZTUZak25VGQ,42,507,22,0.315300,0.15,2,1,true,698,Trend,P,main
96540,R_1j6fZTUZak25VGQ,43,227,16,-0.043700,0.15,2,1,true,691,Trend,Q,main
96540,R_1j6fZTUZak25VGQ,44,54,20,-0.315300,0.15,2,1,true,965,Trend,Q,main
96540,R_1j6fZTUZak25VGQ,45,157,14,-0.131700,0.15,2,1,false,631,Trend,P,main
96540,R_1j6fZTUZak25VGQ,46,407,12,0.221700,0.15,2,1,false,488,Trend,Q,main
96540,R_1j6fZTUZak25VGQ,47,395,10,0.221700,0.15,2,1,true,2555,Trend,P,main
96540,R_1j6fZTUZak25VGQ,48,116,20,-0.221700,0.15,2,1,false,1272,Trend,P,main
96540,R_1j6fZTUZak25VGQ,49,118,20,-0.221700,0.15,2,1,false,386,Trend,P,main
96540,R_1j6fZTUZak25VGQ,50,75,10,-0.221700,0.15,2,1,true,1308,Trend,Q,main
96540,R_1j6fZTUZak25VGQ,51,151,12,-0.131700,0.15,2,1,true,812,Trend,Q,main
96540,R_1j6fZTUZak25VGQ,52,366,18,0.131700,0.15,2,1,true,1611,Trend,P,main
96540,R_1j6fZTUZak25VGQ,53,485,16,0.315300,0.15,2,1,true,762,Trend,P,main
96540,R_1j6fZTUZak25VGQ,54,273,12,0.043700,0.15,2,1,false,527,Trend,Q,main
96540,R_1j6fZTUZak25VGQ,55,408,14,0.221700,0.15,2,1,true,531,Trend,P,main
96540,R_1j6fZTUZak25VGQ,56,217,14,-0.043700,0.15,2,1,false,1250,Trend,P,main
96540,R_1j6fZTUZak25VGQ,57,294,16,0.043700,0.15,2,1,false,856,Trend,Q,main
96540,R_1j6fZTUZak25VGQ,58,239,18,-0.043700,0.15,2,1,true,266,Trend,Q,main
96540,R_1j6fZTUZak25VGQ,59,181,20,-0.131700,0.15,2,1,true,720,Trend,Q,main
96540,R_1j6fZTUZak25VGQ,60,455,8,0.315300,0.15,2,1,false,928,Trend,Q,main
96540,R_1j6fZTUZak25VGQ,61,143,10,-0.131700,0.15,2,1,false,641,Trend,P,main
96540,R_1j6fZTUZak25VGQ,62,298,18,0.043700,0.15,2,1,true,1700,Trend,P,main
96540,R_1j6fZTUZak25VGQ,63,419,16,0.221700,0.15,2,1,true,883,Trend,P,main
96540,R_1j6fZTUZak25VGQ,64,52,20,-0.315300,0.15,2,1,false,803,Trend,P,main
96540,R_1j6fZTUZak25VGQ,65,397,10,0.221700,0.15,2,1,true,305,Trend,P,main
96540,R_1j6fZTUZak25VGQ,66,186,22,-0.131700,0.15,2,1,false,546,Trend,P,main
96540,R_1j6fZTUZak25VGQ,67,82,12,-0.221700,0.15,2,1,false,735,Trend,P,main
96540,R_1j6fZTUZak25VGQ,68,506,22,0.315300,0.15,2,1,false,589,Trend,Q,main
96540,R_1j6fZTUZak25VGQ,69,320,8,0.131700,0.15,2,1,true,465,Trend,P,main
96540,R_1j6fZTUZak25VGQ,70,236,18,-0.043700,0.15,2,1,false,1117,Trend,P,main
96540,R_1j6fZTUZak25VGQ,71,256,8,0.043700,0.15,2,1,true,268,Trend,P,main
96540,R_1j6fZTUZak25VGQ,72,197,8,-0.043700,0.15,2,1,true,580,Trend,Q,main
96540,R_1j6fZTUZak25VGQ,73,124,22,-0.221700,0.15,2,1,false,566,Trend,P,main
96540,R_1j6fZTUZak25VGQ,74,375,20,0.131700,0.15,2,1,true,380,Trend,P,main
96540,R_1j6fZTUZak25VGQ,75,431,18,0.221700,0.15,2,1,true,607,Trend,P,main
96540,R_1j6fZTUZak25VGQ,76,301,18,0.043700,0.15,2,1,true,515,Trend,P,main
96540,R_1j6fZTUZak25VGQ,77,161,16,-0.131700,0.15,2,1,false,618,Trend,P,main
96540,R_1j6fZTUZak25VGQ,78,265,10,0.043700,0.15,2,1,true,531,Trend,P,main
96540,R_1j6fZTUZak25VGQ,79,45,18,-0.315300,0.15,2,1,false,623,Trend,P,main
96540,R_1j6fZTUZak25VGQ,80,478,14,0.315300,0.15,2,1,true,565,Trend,P,main
96540,R_1j6fZTUZak25VGQ,81,441,22,0.221700,0.15,2,1,true,617,Trend,P,main
96540,R_1j6fZTUZak25VGQ,82,36,16,-0.315300,0.15,2,1,false,664,Trend,P,main
96540,R_1j6fZTUZak25VGQ,83,353,16,0.131700,0.15,2,1,true,337,Trend,P,main
96540,R_1j6fZTUZak25VGQ,84,17,12,-0.315300,0.15,2,1,true,762,Trend,Q,main
96540,R_1j6fZTUZak25VGQ,85,261,8,0.043700,0.15,2,1,false,460,Trend,Q,main
96540,R_1j6fZTUZak25VGQ,86,32,16,-0.315300,0.15,2,1,true,608,Trend,Q,main
96540,R_1j6fZTUZak25VGQ,87,365,18,0.131700,0.15,2,1,false,505,Trend,Q,main
96540,R_1j6fZTUZak25VGQ,88,374,20,0.131700,0.15,2,1,true,395,Trend,P,main
96540,R_1j6fZTUZak25VGQ,89,409,14,0.221700,0.15,2,1,true,498,Trend,P,main
96540,R_1j6fZTUZak25VGQ,90,192,8,-0.043700,0.15,2,1,true,730,Trend,Q,main
96540,R_1j6fZTUZak25VGQ,91,12,10,-0.315300,0.15,2,1,true,950,Trend,Q,main
96540,R_1j6fZTUZak25VGQ,92,329,10,0.131700,0.15,2,1,false,727,Trend,Q,main
96540,R_1j6fZTUZak25VGQ,93,253,22,-0.043700,0.15,2,1,false,617,Trend,P,main
96540,R_1j6fZTUZak25VGQ,94,326,8,0.131700,0.15,2,1,false,826,Trend,Q,main
96540,R_1j6fZTUZak25VGQ,95,31,14,-0.315300,0.15,2,1,true,368,Trend,Q,main
96540,R_1j6fZTUZak25VGQ,96,438,20,0.221700,0.15,2,1,true,322,Trend,P,main
96540,R_1j6fZTUZak25VGQ,97,150,12,-0.131700,0.15,2,1,true,742,Trend,Q,main
96540,R_1j6fZTUZak25VGQ,98,381,22,0.131700,0.15,2,1,true,575,Trend,P,main
96540,R_1j6fZTUZak25VGQ,99,446,22,0.221700,0.15,2,1,false,495,Trend,Q,main
