sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
96675,R_1n9JQ5LwSp0jd2X,1,50,12,0.221700,0.15,1,1,false,9882,Trend,P,training
96675,R_1n9JQ5LwSp0jd2X,2,18,12,-0.131700,0.15,1,1,true,3109,Trend,P,training
96675,R_1n9JQ5LwSp0jd2X,3,60,16,0.315300,0.15,1,1,false,3209,Trend,P,training
96675,R_1n9JQ5LwSp0jd2X,4,35,14,0.043700,0.15,1,1,true,3450,Trend,Q,training
96675,R_1n9JQ5LwSp0jd2X,5,61,18,0.315300,0.15,1,1,true,5278,Trend,Q,training
96675,R_1n9JQ5LwSp0jd2X,6,46,20,0.131700,0.15,1,1,true,2750,Trend,Q,training
96675,R_1n9JQ5LwSp0jd2X,7,42,12,0.131700,0.15,1,1,true,2625,Trend,Q,training
96675,R_1n9JQ5LwSp0jd2X,8,24,8,-0.043700,0.15,1,1,true,3885,Trend,P,training
96675,R_1n9JQ5LwSp0jd2X,9,23,22,-0.131700,0.15,1,1,true,2954,Trend,P,training
96675,R_1n9JQ5LwSp0jd2X,10,37,18,0.043700,0.15,1,1,true,2086,Trend,Q,training
96675,R_1n9JQ5LwSp0jd2X,11,77,10,-0.221700,0.15,1,1,true,2370,Trend,P,main
96675,R_1n9JQ5LwSp0jd2X,12,384,8,0.221700,0.15,1,1,true,3065,Trend,Q,main
96675,R_1n9JQ5LwSp0jd2X,13,233,18,-0.043700,0.15,1,1,false,2218,Trend,Q,main
96675,R_1n9JQ5LwSp0jd2X,14,455,8,0.315300,0.15,1,1,true,2168,Trend,Q,main
96675,R_1n9JQ5LwSp0jd2X,15,266,10,0.043700,0.15,1,1,true,1843,Trend,Q,main
96675,R_1n9JQ5LwSp0jd2X,16,341,12,0.131700,0.15,1,1,true,979,Trend,Q,main
96675,R_1n9JQ5LwSp0jd2X,17,91,14,-0.221700,0.15,1,1,true,2002,Trend,P,main
96675,R_1n9JQ5LwSp0jd2X,18,108,18,-0.221700,0.15,1,1,true,1817,Trend,P,main
96675,R_1n9JQ5LwSp0jd2X,19,114,20,-0.221700,0.15,1,1,true,786,Trend,P,main
96675,R_1n9JQ5LwSp0jd2X,20,312,22,0.043700,0.15,1,1,true,4106,Trend,Q,main
96675,R_1n9JQ5LwSp0jd2X,21,102,16,-0.221700,0.15,1,1,true,722,Trend,P,main
96675,R_1n9JQ5LwSp0jd2X,22,209,12,-0.043700,0.15,1,1,true,1055,Trend,P,main
96675,R_1n9JQ5LwSp0jd2X,23,23,12,-0.315300,0.15,1,1,true,3352,Trend,P,main
96675,R_1n9JQ5LwSp0jd2X,24,225,16,-0.043700,0.15,1,1,false,845,Trend,Q,main
96675,R_1n9JQ5LwSp0jd2X,25,335,10,0.131700,0.15,1,1,true,607,Trend,Q,main
96675,R_1n9JQ5LwSp0jd2X,26,37,16,-0.315300,0.15,1,1,true,527,Trend,P,main
96675,R_1n9JQ5LwSp0jd2X,27,188,22,-0.131700,0.15,1,1,true,696,Trend,P,main
96675,R_1n9JQ5LwSp0jd2X,28,445,22,0.221700,0.15,1,1,true,747,Trend,Q,main
96675,R_1n9JQ5LwSp0jd2X,29,249,22,-0.043700,0.15,1,1,false,721,Trend,Q,main
96675,R_1n9JQ5LwSp0jd2X,30,106,18,-0.221700,0.15,1,1,true,434,Trend,P,main
96675,R_1n9JQ5LwSp0jd2X,31,277,12,0.043700,0.15,1,1,false,474,Trend,P,main
96675,R_1n9JQ5LwSp0jd2X,32,204,10,-0.043700,0.15,1,1,false,1475,Trend,Q,main
96675,R_1n9JQ5LwSp0jd2X,33,358,16,0.131700,0.15,1,1,true,3644,Trend,Q,main
96675,R_1n9JQ5LwSp0jd2X,34,261,8,0.043700,0.15,1,1,true,1079,Trend,Q,main
96675,R_1n9JQ5LwSp0jd2X,35,495,18,0.315300,0.15,1,1,true,1186,Trend,Q,main
96675,R_1n9JQ5LwSp0jd2X,36,198,8,-0.043700,0.15,1,1,true,731,Trend,P,main
96675,R_1n9JQ5LwSp0jd2X,37,250,22,-0.043700,0.15,1,1,false,2300,Trend,Q,main
96675,R_1n9JQ5LwSp0jd2X,38,43,18,-0.315300,0.15,1,1,true,748,Trend,P,main
96675,R_1n9JQ5LwSp0jd2X,39,40,18,-0.315300,0.15,1,1,true,786,Trend,P,main
96675,R_1n9JQ5LwSp0jd2X,40,325,8,0.131700,0.15,1,1,true,762,Trend,Q,main
96675,R_1n9JQ5LwSp0jd2X,41,441,22,0.221700,0.15,1,1,true,3138,Trend,Q,main
96675,R_1n9JQ5LwSp0jd2X,42,505,22,0.315300,0.15,1,1,true,977,Trend,Q,main
96675,R_1n9JQ5LwSp0jd2X,43,494,18,0.315300,0.15,1,1,true,674,Trend,Q,main
96675,R_1n9JQ5LwSp0jd2X,44,460,10,0.315300,0.15,1,1,true,841,Trend,Q,main
96675,R_1n9JQ5LwSp0jd2X,45,366,18,0.131700,0.15,1,1,true,605,Trend,Q,main
96675,R_1n9JQ5LwSp0jd2X,46,12,10,-0.315300,0.15,1,1,true,737,Trend,P,main
96675,R_1n9JQ5LwSp0jd2X,47,349,14,0.131700,0.15,1,1,true,1188,Trend,Q,main
96675,R_1n9JQ5LwSp0jd2X,48,435,20,0.221700,0.15,1,1,true,965,Trend,Q,main
