sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
96327,R_1rlGc0T6b7RJ0ln,1,2,12,-0.315300,0.15,2,2,false,8993,Number,P,training
96327,R_1rlGc0T6b7RJ0ln,2,11,14,-0.221700,0.15,2,2,false,4986,Number,P,training
96327,R_1rlGc0T6b7RJ0ln,3,38,20,0.043700,0.15,2,2,true,2732,Number,P,training
96327,R_1rlGc0T6b7RJ0ln,4,55,22,0.221700,0.15,2,2,true,2965,Number,P,training
96327,R_1rlGc0T6b7RJ0ln,5,4,16,-0.315300,0.15,2,2,true,4450,Number,P,training
96327,R_1rlGc0T6b7RJ0ln,6,18,12,-0.131700,0.15,2,2,true,2536,Number,Q,training
96327,R_1rlGc0T6b7RJ0ln,7,35,14,0.043700,0.15,2,2,true,2626,Number,Q,training
96327,R_1rlGc0T6b7RJ0ln,8,16,8,-0.131700,0.15,2,2,true,2269,Number,Q,training
96327,R_1rlGc0T6b7RJ0ln,9,37,18,0.043700,0.15,2,2,true,2097,Number,P,training
96327,R_1rlGc0T6b7RJ0ln,10,29,18,-0.043700,0.15,2,2,true,2848,Number,P,training
96327,R_1rlGc0T6b7RJ0ln,11,184,22,-0.131700,0.15,2,2,true,2505,Number,P,main
96327,R_1rlGc0T6b7RJ0ln,12,507,22,0.315300,0.15,2,2,true,2653,Number,P,main
96327,R_1rlGc0T6b7RJ0ln,13,508,22,0.315300,0.15,2,2,true,2125,Number,P,main
96327,R_1rlGc0T6b7RJ0ln,14,264,10,0.043700,0.15,2,2,true,2141,Number,Q,main
96327,R_1rlGc0T6b7RJ0ln,15,255,22,-0.043700,0.15,2,2,true,2112,Number,P,main
96327,R_1rlGc0T6b7RJ0ln,16,176,20,-0.131700,0.15,2,2,true,2565,Number,P,main
96327,R_1rlGc0T6b7RJ0ln,17,233,18,-0.043700,0.15,2,2,true,2598,Number,P,main
96327,R_1rlGc0T6b7RJ0ln,18,285,14,0.043700,0.15,2,2,true,3570,Number,Q,main
96327,R_1rlGc0T6b7RJ0ln,19,262,8,0.043700,0.15,2,2,true,2833,Number,Q,main
96327,R_1rlGc0T6b7RJ0ln,20,300,18,0.043700,0.15,2,2,true,2648,Number,P,main
96327,R_1rlGc0T6b7RJ0ln,21,40,18,-0.315300,0.15,2,2,true,3415,Number,P,main
96327,R_1rlGc0T6b7RJ0ln,22,79,10,-0.221700,0.15,2,2,true,2353,Number,Q,main
96327,R_1rlGc0T6b7RJ0ln,23,103,16,-0.221700,0.15,2,2,true,2570,Number,P,main
96327,R_1rlGc0T6b7RJ0ln,24,53,20,-0.315300,0.15,2,2,true,2250,Number,P,main
96327,R_1rlGc0T6b7RJ0ln,25,17,12,-0.315300,0.15,2,2,false,3387,Number,P,main
96327,R_1rlGc0T6b7RJ0ln,26,38,16,-0.315300,0.15,2,2,false,2661,Number,Q,main
96327,R_1rlGc0T6b7RJ0ln,27,82,12,-0.221700,0.15,2,2,true,2435,Number,Q,main
96327,R_1rlGc0T6b7RJ0ln,28,322,8,0.131700,0.15,2,2,true,2440,Number,Q,main
96327,R_1rlGc0T6b7RJ0ln,29,45,18,-0.315300,0.15,2,2,true,2198,Number,P,main
96327,R_1rlGc0T6b7RJ0ln,30,341,12,0.131700,0.15,2,2,true,2309,Number,Q,main
96327,R_1rlGc0T6b7RJ0ln,31,452,8,0.315300,0.15,2,2,true,1672,Number,Q,main
96327,R_1rlGc0T6b7RJ0ln,32,295,16,0.043700,0.15,2,2,true,1374,Number,P,main
96327,R_1rlGc0T6b7RJ0ln,33,215,12,-0.043700,0.15,2,2,true,1025,Number,Q,main
96327,R_1rlGc0T6b7RJ0ln,34,276,12,0.043700,0.15,2,2,true,1494,Number,Q,main
96327,R_1rlGc0T6b7RJ0ln,35,129,8,-0.131700,0.15,2,2,true,1000,Number,Q,main
96327,R_1rlGc0T6b7RJ0ln,36,67,8,-0.221700,0.15,2,2,true,671,Number,Q,main
96327,R_1rlGc0T6b7RJ0ln,37,411,14,0.221700,0.15,2,2,true,2007,Number,Q,main
96327,R_1rlGc0T6b7RJ0ln,38,190,22,-0.131700,0.15,2,2,true,988,Number,P,main
96327,R_1rlGc0T6b7RJ0ln,39,317,22,0.043700,0.15,2,2,true,881,Number,P,main
96327,R_1rlGc0T6b7RJ0ln,40,487,16,0.315300,0.15,2,2,true,1076,Number,P,main
