sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
93870,R_1vYCVl0hBZD6b66,1,44,16,0.131700,0.15,1,2,true,4305,Number,Q,training
93870,R_1vYCVl0hBZD6b66,2,2,12,-0.315300,0.15,1,2,false,1069,Number,Q,training
93870,R_1vYCVl0hBZD6b66,3,51,14,0.221700,0.15,1,2,false,837,Number,Q,training
93870,R_1vYCVl0hBZD6b66,4,11,14,-0.221700,0.15,1,2,false,1003,Number,Q,training
93870,R_1vYCVl0hBZD6b66,5,37,18,0.043700,0.15,1,2,false,746,Number,P,training
93870,R_1vYCVl0hBZD6b66,6,18,12,-0.131700,0.15,1,2,true,781,Number,P,training
93870,R_1vYCVl0hBZD6b66,7,4,16,-0.315300,0.15,1,2,true,5516,Number,Q,training
93870,R_1vYCVl0hBZD6b66,8,9,10,-0.221700,0.15,1,2,true,785,Number,P,training
93870,R_1vYCVl0hBZD6b66,9,6,20,-0.315300,0.15,1,2,true,633,Number,Q,training
93870,R_1vYCVl0hBZD6b66,10,35,14,0.043700,0.15,1,2,true,588,Number,P,training
93870,R_1vYCVl0hBZD6b66,11,504,22,0.315300,0.15,1,2,true,671,Number,Q,main
93870,R_1vYCVl0hBZD6b66,12,143,10,-0.131700,0.15,1,2,true,517,Number,P,main
93870,R_1vYCVl0hBZD6b66,13,311,20,0.043700,0.15,1,2,true,521,Number,Q,main
93870,R_1vYCVl0hBZD6b66,14,171,18,-0.131700,0.15,1,2,true,1382,Number,Q,main
93870,R_1vYCVl0hBZD6b66,15,454,8,0.315300,0.15,1,2,true,476,Number,P,main
93870,R_1vYCVl0hBZD6b66,16,421,16,0.221700,0.15,1,2,true,523,Number,Q,main
93870,R_1vYCVl0hBZD6b66,17,482,16,0.315300,0.15,1,2,true,1477,Number,Q,main
93870,R_1vYCVl0hBZD6b66,18,330,10,0.131700,0.15,1,2,true,932,Number,P,main
93870,R_1vYCVl0hBZD6b66,19,68,8,-0.221700,0.15,1,2,true,513,Number,P,main
93870,R_1vYCVl0hBZD6b66,20,356,16,0.131700,0.15,1,2,true,476,Number,Q,main
93870,R_1vYCVl0hBZD6b66,21,506,22,0.315300,0.15,1,2,true,591,Number,Q,main
