sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
96905,R_1wi5d6J8mfGDrNE,1,44,16,0.131700,0.15,1,1,true,9121,Trend,Q,training
96905,R_1wi5d6J8mfGDrNE,2,30,20,-0.043700,0.15,1,1,false,6235,Trend,Q,training
96905,R_1wi5d6J8mfGDrNE,3,42,12,0.131700,0.15,1,1,true,3086,Trend,Q,training
96905,R_1wi5d6J8mfGDrNE,4,24,8,-0.043700,0.15,1,1,true,2662,Trend,P,training
96905,R_1wi5d6J8mfGDrNE,5,48,8,0.221700,0.15,1,1,true,2414,Trend,Q,training
96905,R_1wi5d6J8mfGDrNE,6,52,16,0.221700,0.15,1,1,true,2498,Trend,Q,training
96905,R_1wi5d6J8mfGDrNE,7,43,14,0.131700,0.15,1,1,true,2336,Trend,Q,training
96905,R_1wi5d6J8mfGDrNE,8,19,14,-0.131700,0.15,1,1,true,2341,Trend,P,training
96905,R_1wi5d6J8mfGDrNE,9,3,14,-0.315300,0.15,1,1,true,2358,Trend,P,training
96905,R_1wi5d6J8mfGDrNE,10,13,18,-0.221700,0.15,1,1,true,2315,Trend,P,training
96905,R_1wi5d6J8mfGDrNE,11,367,18,0.131700,0.15,1,1,true,2941,Trend,Q,main
96905,R_1wi5d6J8mfGDrNE,12,184,22,-0.131700,0.15,1,1,true,2206,Trend,P,main
96905,R_1wi5d6J8mfGDrNE,13,408,14,0.221700,0.15,1,1,true,2061,Trend,Q,main
96905,R_1wi5d6J8mfGDrNE,14,333,10,0.131700,0.15,1,1,true,2074,Trend,Q,main
96905,R_1wi5d6J8mfGDrNE,15,167,16,-0.131700,0.15,1,1,true,1838,Trend,P,main
96905,R_1wi5d6J8mfGDrNE,16,275,12,0.043700,0.15,1,1,false,2094,Trend,P,main
96905,R_1wi5d6J8mfGDrNE,17,423,16,0.221700,0.15,1,1,true,2072,Trend,Q,main
96905,R_1wi5d6J8mfGDrNE,18,381,22,0.131700,0.15,1,1,true,2194,Trend,Q,main
96905,R_1wi5d6J8mfGDrNE,19,208,12,-0.043700,0.15,1,1,true,2116,Trend,P,main
96905,R_1wi5d6J8mfGDrNE,20,136,10,-0.131700,0.15,1,1,true,2108,Trend,P,main
96905,R_1wi5d6J8mfGDrNE,21,88,14,-0.221700,0.15,1,1,true,2141,Trend,P,main
