sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
97293,R_30dUk5lIO9Y1NJz,1,41,10,0.131700,0.15,2,2,true,12388,Number,Q,training
97293,R_30dUk5lIO9Y1NJz,2,39,22,0.043700,0.15,2,2,true,3016,Number,P,training
97293,R_30dUk5lIO9Y1NJz,3,42,12,0.131700,0.15,2,2,true,3019,Number,Q,training
97293,R_30dUk5lIO9Y1NJz,4,48,8,0.221700,0.15,2,2,true,1326,Number,Q,training
97293,R_30dUk5lIO9Y1NJz,5,11,14,-0.221700,0.15,2,2,true,3055,Number,Q,training
97293,R_30dUk5lIO9Y1NJz,6,53,18,0.221700,0.15,2,2,true,1128,Number,P,training
97293,R_30dUk5lIO9Y1NJz,7,57,10,0.315300,0.15,2,2,true,1103,Number,Q,training
97293,R_30dUk5lIO9Y1NJz,8,43,14,0.131700,0.15,2,2,true,3796,Number,Q,training
97293,R_30dUk5lIO9Y1NJz,9,61,18,0.315300,0.15,2,2,false,1464,Number,Q,training
97293,R_30dUk5lIO9Y1NJz,10,58,12,0.315300,0.15,2,2,true,649,Number,Q,training
97293,R_30dUk5lIO9Y1NJz,11,141,10,-0.131700,0.15,2,2,true,599,Number,Q,main
97293,R_30dUk5lIO9Y1NJz,12,105,18,-0.221700,0.15,2,2,true,713,Number,P,main
97293,R_30dUk5lIO9Y1NJz,13,52,20,-0.315300,0.15,2,2,true,718,Number,P,main
97293,R_30dUk5lIO9Y1NJz,14,455,8,0.315300,0.15,2,2,true,694,Number,Q,main
97293,R_30dUk5lIO9Y1NJz,15,376,22,0.131700,0.15,2,2,true,811,Number,P,main
97293,R_30dUk5lIO9Y1NJz,16,111,18,-0.221700,0.15,2,2,true,625,Number,P,main
97293,R_30dUk5lIO9Y1NJz,17,10,10,-0.315300,0.15,2,2,true,772,Number,Q,main
97293,R_30dUk5lIO9Y1NJz,18,401,12,0.221700,0.15,2,2,true,1300,Number,Q,main
97293,R_30dUk5lIO9Y1NJz,19,362,18,0.131700,0.15,2,2,true,728,Number,P,main
97293,R_30dUk5lIO9Y1NJz,20,221,14,-0.043700,0.15,2,2,true,1135,Number,Q,main
97293,R_30dUk5lIO9Y1NJz,21,410,14,0.221700,0.15,2,2,false,1085,Number,P,main
97293,R_30dUk5lIO9Y1NJz,22,210,12,-0.043700,0.15,2,2,true,769,Number,Q,main
97293,R_30dUk5lIO9Y1NJz,23,231,16,-0.043700,0.15,2,2,true,789,Number,P,main
97293,R_30dUk5lIO9Y1NJz,24,372,20,0.131700,0.15,2,2,true,632,Number,P,main
97293,R_30dUk5lIO9Y1NJz,25,358,16,0.131700,0.15,2,2,true,892,Number,P,main
97293,R_30dUk5lIO9Y1NJz,26,208,12,-0.043700,0.15,2,2,true,1339,Number,Q,main
97293,R_30dUk5lIO9Y1NJz,27,31,14,-0.315300,0.15,2,2,true,1325,Number,Q,main
97293,R_30dUk5lIO9Y1NJz,28,16,12,-0.315300,0.15,2,2,true,902,Number,Q,main
97293,R_30dUk5lIO9Y1NJz,29,47,18,-0.315300,0.15,2,2,true,854,Number,P,main
97293,R_30dUk5lIO9Y1NJz,30,93,14,-0.221700,0.15,2,2,true,886,Number,Q,main
97293,R_30dUk5lIO9Y1NJz,31,403,12,0.221700,0.15,2,2,true,751,Number,Q,main
97293,R_30dUk5lIO9Y1NJz,32,398,10,0.221700,0.15,2,2,true,696,Number,Q,main
97293,R_30dUk5lIO9Y1NJz,33,347,14,0.131700,0.15,2,2,true,780,Number,Q,main
97293,R_30dUk5lIO9Y1NJz,34,260,8,0.043700,0.15,2,2,true,701,Number,Q,main
97293,R_30dUk5lIO9Y1NJz,35,495,18,0.315300,0.15,2,2,true,553,Number,P,main
97293,R_30dUk5lIO9Y1NJz,36,438,20,0.221700,0.15,2,2,true,438,Number,P,main
97293,R_30dUk5lIO9Y1NJz,37,280,14,0.043700,0.15,2,2,false,527,Number,P,main
97293,R_30dUk5lIO9Y1NJz,38,431,18,0.221700,0.15,2,2,true,476,Number,P,main
97293,R_30dUk5lIO9Y1NJz,39,361,18,0.131700,0.15,2,2,true,642,Number,P,main
97293,R_30dUk5lIO9Y1NJz,40,67,8,-0.221700,0.15,2,2,true,871,Number,Q,main
97293,R_30dUk5lIO9Y1NJz,41,39,16,-0.315300,0.15,2,2,false,752,Number,Q,main
97293,R_30dUk5lIO9Y1NJz,42,134,8,-0.131700,0.15,2,2,true,611,Number,Q,main
97293,R_30dUk5lIO9Y1NJz,43,367,18,0.131700,0.15,2,2,true,620,Number,P,main
97293,R_30dUk5lIO9Y1NJz,44,298,18,0.043700,0.15,2,2,true,672,Number,P,main
97293,R_30dUk5lIO9Y1NJz,45,72,10,-0.221700,0.15,2,2,true,639,Number,Q,main
97293,R_30dUk5lIO9Y1NJz,46,489,18,0.315300,0.15,2,2,true,860,Number,P,main
97293,R_30dUk5lIO9Y1NJz,47,315,22,0.043700,0.15,2,2,true,561,Number,P,main
97293,R_30dUk5lIO9Y1NJz,48,494,18,0.315300,0.15,2,2,true,475,Number,P,main
97293,R_30dUk5lIO9Y1NJz,49,55,20,-0.315300,0.15,2,2,true,565,Number,P,main
97293,R_30dUk5lIO9Y1NJz,50,490,18,0.315300,0.15,2,2,true,466,Number,P,main
97293,R_30dUk5lIO9Y1NJz,51,461,10,0.315300,0.15,2,2,true,585,Number,Q,main
97293,R_30dUk5lIO9Y1NJz,52,133,8,-0.131700,0.15,2,2,true,584,Number,Q,main
97293,R_30dUk5lIO9Y1NJz,53,41,18,-0.315300,0.15,2,2,true,1106,Number,P,main
97293,R_30dUk5lIO9Y1NJz,54,286,14,0.043700,0.15,2,2,false,1082,Number,P,main
97293,R_30dUk5lIO9Y1NJz,55,113,20,-0.221700,0.15,2,2,true,1453,Number,P,main
97293,R_30dUk5lIO9Y1NJz,56,123,22,-0.221700,0.15,2,2,true,568,Number,P,main
97293,R_30dUk5lIO9Y1NJz,57,391,8,0.221700,0.15,2,2,true,642,Number,Q,main
