sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
96826,R_36kCmpHAP16PKbf,1,53,18,0.221700,0.15,2,2,false,5313,Number,Q,training
96826,R_36kCmpHAP16PKbf,2,31,22,-0.043700,0.15,2,2,true,3545,Number,P,training
96826,R_36kCmpHAP16PKbf,3,19,14,-0.131700,0.15,2,2,true,3846,Number,Q,training
96826,R_36kCmpHAP16PKbf,4,40,8,0.131700,0.15,2,2,true,2879,Number,Q,training
96826,R_36kCmpHAP16PKbf,5,6,20,-0.315300,0.15,2,2,true,2087,Number,P,training
96826,R_36kCmpHAP16PKbf,6,3,14,-0.315300,0.15,2,2,false,2788,Number,P,training
96826,R_36kCmpHAP16PKbf,7,32,8,0.043700,0.15,2,2,true,3198,Number,Q,training
96826,R_36kCmpHAP16PKbf,8,59,14,0.315300,0.15,2,2,true,3403,Number,Q,training
96826,R_36kCmpHAP16PKbf,9,27,14,-0.043700,0.15,2,2,false,1368,Number,P,training
96826,R_36kCmpHAP16PKbf,10,4,16,-0.315300,0.15,2,2,false,2274,Number,Q,training
96826,R_36kCmpHAP16PKbf,11,358,16,0.131700,0.15,2,2,true,3984,Number,P,main
96826,R_36kCmpHAP16PKbf,12,303,18,0.043700,0.15,2,2,true,2696,Number,P,main
96826,R_36kCmpHAP16PKbf,13,361,18,0.131700,0.15,2,2,true,1527,Number,P,main
96826,R_36kCmpHAP16PKbf,14,490,18,0.315300,0.15,2,2,false,1392,Number,Q,main
96826,R_36kCmpHAP16PKbf,15,160,16,-0.131700,0.15,2,2,true,1411,Number,P,main
96826,R_36kCmpHAP16PKbf,16,460,10,0.315300,0.15,2,2,true,1365,Number,Q,main
96826,R_36kCmpHAP16PKbf,17,293,16,0.043700,0.15,2,2,true,1290,Number,P,main
96826,R_36kCmpHAP16PKbf,18,343,12,0.131700,0.15,2,2,true,1358,Number,Q,main
96826,R_36kCmpHAP16PKbf,19,321,8,0.131700,0.15,2,2,true,1638,Number,Q,main
96826,R_36kCmpHAP16PKbf,20,209,12,-0.043700,0.15,2,2,true,1740,Number,Q,main
96826,R_36kCmpHAP16PKbf,21,493,18,0.315300,0.15,2,2,true,1569,Number,P,main
96826,R_36kCmpHAP16PKbf,22,179,20,-0.131700,0.15,2,2,true,1524,Number,P,main
96826,R_36kCmpHAP16PKbf,23,379,22,0.131700,0.15,2,2,true,1417,Number,P,main
96826,R_36kCmpHAP16PKbf,24,314,22,0.043700,0.15,2,2,true,1583,Number,P,main
96826,R_36kCmpHAP16PKbf,25,462,10,0.315300,0.15,2,2,true,1227,Number,Q,main
96826,R_36kCmpHAP16PKbf,26,149,12,-0.131700,0.15,2,2,true,1627,Number,Q,main
96826,R_36kCmpHAP16PKbf,27,167,16,-0.131700,0.15,2,2,true,1327,Number,P,main
96826,R_36kCmpHAP16PKbf,28,5,8,-0.315300,0.15,2,2,true,1059,Number,Q,main
96826,R_36kCmpHAP16PKbf,29,100,16,-0.221700,0.15,2,2,true,858,Number,P,main
96826,R_36kCmpHAP16PKbf,30,159,14,-0.131700,0.15,2,2,false,1132,Number,P,main
96826,R_36kCmpHAP16PKbf,31,272,12,0.043700,0.15,2,2,true,602,Number,Q,main
96826,R_36kCmpHAP16PKbf,32,102,16,-0.221700,0.15,2,2,true,849,Number,P,main
96826,R_36kCmpHAP16PKbf,33,181,20,-0.131700,0.15,2,2,true,1094,Number,P,main
96826,R_36kCmpHAP16PKbf,34,340,12,0.131700,0.15,2,2,true,656,Number,Q,main
96826,R_36kCmpHAP16PKbf,35,54,20,-0.315300,0.15,2,2,true,1090,Number,P,main
96826,R_36kCmpHAP16PKbf,36,25,14,-0.315300,0.15,2,2,false,718,Number,P,main
96826,R_36kCmpHAP16PKbf,37,269,10,0.043700,0.15,2,2,true,845,Number,Q,main
96826,R_36kCmpHAP16PKbf,38,139,10,-0.131700,0.15,2,2,true,716,Number,Q,main
96826,R_36kCmpHAP16PKbf,39,177,20,-0.131700,0.15,2,2,true,1034,Number,P,main
96826,R_36kCmpHAP16PKbf,40,312,22,0.043700,0.15,2,2,true,607,Number,P,main
96826,R_36kCmpHAP16PKbf,41,120,22,-0.221700,0.15,2,2,true,668,Number,P,main
96826,R_36kCmpHAP16PKbf,42,184,22,-0.131700,0.15,2,2,true,1001,Number,P,main
96826,R_36kCmpHAP16PKbf,43,77,10,-0.221700,0.15,2,2,true,652,Number,Q,main
96826,R_36kCmpHAP16PKbf,44,478,14,0.315300,0.15,2,2,true,942,Number,Q,main
96826,R_36kCmpHAP16PKbf,45,499,20,0.315300,0.15,2,2,true,687,Number,P,main
96826,R_36kCmpHAP16PKbf,46,205,10,-0.043700,0.15,2,2,true,742,Number,Q,main
96826,R_36kCmpHAP16PKbf,47,82,12,-0.221700,0.15,2,2,true,1303,Number,Q,main
96826,R_36kCmpHAP16PKbf,48,362,18,0.131700,0.15,2,2,true,528,Number,P,main
96826,R_36kCmpHAP16PKbf,49,378,22,0.131700,0.15,2,2,true,957,Number,P,main
96826,R_36kCmpHAP16PKbf,50,319,22,0.043700,0.15,2,2,true,678,Number,P,main
96826,R_36kCmpHAP16PKbf,51,430,18,0.221700,0.15,2,2,false,494,Number,Q,main
96826,R_36kCmpHAP16PKbf,52,390,8,0.221700,0.15,2,2,true,599,Number,Q,main
96826,R_36kCmpHAP16PKbf,53,497,20,0.315300,0.15,2,2,true,450,Number,P,main
96826,R_36kCmpHAP16PKbf,54,64,8,-0.221700,0.15,2,2,true,689,Number,Q,main
96826,R_36kCmpHAP16PKbf,55,252,22,-0.043700,0.15,2,2,true,510,Number,P,main
96826,R_36kCmpHAP16PKbf,56,240,20,-0.043700,0.15,2,2,true,720,Number,P,main
96826,R_36kCmpHAP16PKbf,57,344,14,0.131700,0.15,2,2,false,813,Number,P,main
96826,R_36kCmpHAP16PKbf,58,96,16,-0.221700,0.15,2,2,false,634,Number,Q,main
96826,R_36kCmpHAP16PKbf,59,315,22,0.043700,0.15,2,2,true,458,Number,P,main
96826,R_36kCmpHAP16PKbf,60,23,12,-0.315300,0.15,2,2,true,603,Number,Q,main
96826,R_36kCmpHAP16PKbf,61,483,16,0.315300,0.15,2,2,true,644,Number,P,main
96826,R_36kCmpHAP16PKbf,62,137,10,-0.131700,0.15,2,2,true,1033,Number,Q,main
96826,R_36kCmpHAP16PKbf,63,289,16,0.043700,0.15,2,2,true,540,Number,P,main
96826,R_36kCmpHAP16PKbf,64,316,22,0.043700,0.15,2,2,true,552,Number,P,main
96826,R_36kCmpHAP16PKbf,65,476,14,0.315300,0.15,2,2,false,570,Number,P,main
96826,R_36kCmpHAP16PKbf,66,435,20,0.221700,0.15,2,2,true,723,Number,P,main
96826,R_36kCmpHAP16PKbf,67,306,20,0.043700,0.15,2,2,true,681,Number,P,main
96826,R_36kCmpHAP16PKbf,68,103,16,-0.221700,0.15,2,2,false,828,Number,Q,main
96826,R_36kCmpHAP16PKbf,69,392,10,0.221700,0.15,2,2,true,678,Number,Q,main
96826,R_36kCmpHAP16PKbf,70,52,20,-0.315300,0.15,2,2,true,593,Number,P,main
96826,R_36kCmpHAP16PKbf,71,147,12,-0.131700,0.15,2,2,true,804,Number,Q,main
96826,R_36kCmpHAP16PKbf,72,45,18,-0.315300,0.15,2,2,true,609,Number,P,main
96826,R_36kCmpHAP16PKbf,73,401,12,0.221700,0.15,2,2,true,672,Number,Q,main
96826,R_36kCmpHAP16PKbf,74,11,10,-0.315300,0.15,2,2,true,594,Number,Q,main
96826,R_36kCmpHAP16PKbf,75,107,18,-0.221700,0.15,2,2,true,527,Number,P,main
96826,R_36kCmpHAP16PKbf,76,443,22,0.221700,0.15,2,2,true,623,Number,P,main
96826,R_36kCmpHAP16PKbf,77,197,8,-0.043700,0.15,2,2,true,535,Number,Q,main
96826,R_36kCmpHAP16PKbf,78,356,16,0.131700,0.15,2,2,true,1118,Number,P,main
96826,R_36kCmpHAP16PKbf,79,418,16,0.221700,0.15,2,2,false,2814,Number,Q,main
96826,R_36kCmpHAP16PKbf,80,471,12,0.315300,0.15,2,2,true,1114,Number,Q,main
96826,R_36kCmpHAP16PKbf,81,79,10,-0.221700,0.15,2,2,true,826,Number,Q,main
96826,R_36kCmpHAP16PKbf,82,360,18,0.131700,0.15,2,2,true,600,Number,P,main
96826,R_36kCmpHAP16PKbf,83,170,18,-0.131700,0.15,2,2,true,656,Number,P,main
96826,R_36kCmpHAP16PKbf,84,93,14,-0.221700,0.15,2,2,true,596,Number,Q,main
96826,R_36kCmpHAP16PKbf,85,258,8,0.043700,0.15,2,2,true,667,Number,Q,main
96826,R_36kCmpHAP16PKbf,86,172,18,-0.131700,0.15,2,2,true,590,Number,P,main
96826,R_36kCmpHAP16PKbf,87,155,14,-0.131700,0.15,2,2,false,692,Number,P,main
96826,R_36kCmpHAP16PKbf,88,227,16,-0.043700,0.15,2,2,true,619,Number,P,main
96826,R_36kCmpHAP16PKbf,89,297,18,0.043700,0.15,2,2,true,539,Number,P,main
96826,R_36kCmpHAP16PKbf,90,73,10,-0.221700,0.15,2,2,true,416,Number,Q,main
96826,R_36kCmpHAP16PKbf,91,151,12,-0.131700,0.15,2,2,true,566,Number,Q,main
96826,R_36kCmpHAP16PKbf,92,345,14,0.131700,0.15,2,2,true,692,Number,Q,main
96826,R_36kCmpHAP16PKbf,93,60,22,-0.315300,0.15,2,2,true,763,Number,P,main
96826,R_36kCmpHAP16PKbf,94,486,16,0.315300,0.15,2,2,true,570,Number,P,main
96826,R_36kCmpHAP16PKbf,95,496,20,0.315300,0.15,2,2,true,577,Number,P,main
96826,R_36kCmpHAP16PKbf,96,458,10,0.315300,0.15,2,2,false,462,Number,P,main
96826,R_36kCmpHAP16PKbf,97,285,14,0.043700,0.15,2,2,true,4879,Number,Q,main
96826,R_36kCmpHAP16PKbf,98,135,8,-0.131700,0.15,2,2,true,505,Number,Q,main
96826,R_36kCmpHAP16PKbf,99,87,12,-0.221700,0.15,2,2,true,503,Number,Q,main
96826,R_36kCmpHAP16PKbf,100,189,22,-0.131700,0.15,2,2,true,1037,Number,P,main
96826,R_36kCmpHAP16PKbf,101,18,12,-0.315300,0.15,2,2,false,1004,Number,P,main
96826,R_36kCmpHAP16PKbf,102,207,10,-0.043700,0.15,2,2,true,607,Number,Q,main
96826,R_36kCmpHAP16PKbf,103,353,16,0.131700,0.15,2,2,true,901,Number,P,main
96826,R_36kCmpHAP16PKbf,104,47,18,-0.315300,0.15,2,2,false,12703,Number,Q,main
96826,R_36kCmpHAP16PKbf,105,153,14,-0.131700,0.15,2,2,true,3056,Number,Q,main
96826,R_36kCmpHAP16PKbf,106,385,8,0.221700,0.15,2,2,true,569,Number,Q,main
96826,R_36kCmpHAP16PKbf,107,434,20,0.221700,0.15,2,2,true,713,Number,P,main
96826,R_36kCmpHAP16PKbf,108,3,8,-0.315300,0.15,2,2,true,588,Number,Q,main
96826,R_36kCmpHAP16PKbf,109,7,8,-0.315300,0.15,2,2,true,525,Number,Q,main
96826,R_36kCmpHAP16PKbf,110,191,22,-0.131700,0.15,2,2,true,576,Number,P,main
96826,R_36kCmpHAP16PKbf,111,255,22,-0.043700,0.15,2,2,true,585,Number,P,main
96826,R_36kCmpHAP16PKbf,112,130,8,-0.131700,0.15,2,2,true,545,Number,Q,main
96826,R_36kCmpHAP16PKbf,113,152,14,-0.131700,0.15,2,2,false,714,Number,P,main
96826,R_36kCmpHAP16PKbf,114,279,12,0.043700,0.15,2,2,false,770,Number,P,main
96826,R_36kCmpHAP16PKbf,115,44,18,-0.315300,0.15,2,2,true,489,Number,P,main
96826,R_36kCmpHAP16PKbf,116,450,8,0.315300,0.15,2,2,true,583,Number,Q,main
96826,R_36kCmpHAP16PKbf,117,104,18,-0.221700,0.15,2,2,true,763,Number,P,main
96826,R_36kCmpHAP16PKbf,118,200,10,-0.043700,0.15,2,2,true,1298,Number,Q,main
