sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
96390,R_3GdCdNesilz4dLb,1,5,18,-0.315300,0.15,2,2,true,6406,Number,P,training
96390,R_3GdCdNesilz4dLb,2,32,8,0.043700,0.15,2,2,true,2331,Number,Q,training
96390,R_3GdCdNesilz4dLb,3,21,18,-0.131700,0.15,2,2,true,2708,Number,P,training
96390,R_3GdCdNesilz4dLb,4,6,20,-0.315300,0.15,2,2,true,2236,Number,P,training
96390,R_3GdCdNesilz4dLb,5,24,8,-0.043700,0.15,2,2,true,2362,Number,Q,training
96390,R_3GdCdNesilz4dLb,6,46,20,0.131700,0.15,2,2,true,2275,Number,P,training
96390,R_3GdCdNesilz4dLb,7,10,12,-0.221700,0.15,2,2,true,2222,Number,Q,training
96390,R_3GdCdNesilz4dLb,8,23,22,-0.131700,0.15,2,2,true,2425,Number,P,training
96390,R_3GdCdNesilz4dLb,9,40,8,0.131700,0.15,2,2,true,2445,Number,Q,training
96390,R_3GdCdNesilz4dLb,10,43,14,0.131700,0.15,2,2,true,2282,Number,Q,training
96390,R_3GdCdNesilz4dLb,11,395,10,0.221700,0.15,2,2,true,2731,Number,Q,main
96390,R_3GdCdNesilz4dLb,12,439,20,0.221700,0.15,2,2,true,2572,Number,P,main
96390,R_3GdCdNesilz4dLb,13,254,22,-0.043700,0.15,2,2,true,2543,Number,P,main
96390,R_3GdCdNesilz4dLb,14,208,12,-0.043700,0.15,2,2,true,3916,Number,Q,main
96390,R_3GdCdNesilz4dLb,15,229,16,-0.043700,0.15,2,2,false,2764,Number,Q,main
96390,R_3GdCdNesilz4dLb,16,355,16,0.131700,0.15,2,2,true,2728,Number,P,main
96390,R_3GdCdNesilz4dLb,17,423,16,0.221700,0.15,2,2,true,3919,Number,P,main
96390,R_3GdCdNesilz4dLb,18,434,20,0.221700,0.15,2,2,true,3002,Number,P,main
96390,R_3GdCdNesilz4dLb,19,485,16,0.315300,0.15,2,2,false,2392,Number,Q,main
96390,R_3GdCdNesilz4dLb,20,4,8,-0.315300,0.15,2,2,true,2357,Number,Q,main
96390,R_3GdCdNesilz4dLb,21,288,16,0.043700,0.15,2,2,true,2414,Number,P,main
96390,R_3GdCdNesilz4dLb,22,129,8,-0.131700,0.15,2,2,true,2555,Number,Q,main
96390,R_3GdCdNesilz4dLb,23,107,18,-0.221700,0.15,2,2,true,2383,Number,P,main
96390,R_3GdCdNesilz4dLb,24,350,14,0.131700,0.15,2,2,true,2294,Number,Q,main
96390,R_3GdCdNesilz4dLb,25,393,10,0.221700,0.15,2,2,true,2645,Number,Q,main
96390,R_3GdCdNesilz4dLb,26,456,10,0.315300,0.15,2,2,true,2301,Number,Q,main
96390,R_3GdCdNesilz4dLb,27,89,14,-0.221700,0.15,2,2,true,2271,Number,Q,main
96390,R_3GdCdNesilz4dLb,28,361,18,0.131700,0.15,2,2,true,2473,Number,P,main
96390,R_3GdCdNesilz4dLb,29,126,22,-0.221700,0.15,2,2,true,2417,Number,P,main
96390,R_3GdCdNesilz4dLb,30,326,8,0.131700,0.15,2,2,true,2391,Number,Q,main
96390,R_3GdCdNesilz4dLb,31,280,14,0.043700,0.15,2,2,true,2289,Number,Q,main
96390,R_3GdCdNesilz4dLb,32,80,12,-0.221700,0.15,2,2,true,2427,Number,Q,main
96390,R_3GdCdNesilz4dLb,33,33,16,-0.315300,0.15,2,2,true,2327,Number,P,main
96390,R_3GdCdNesilz4dLb,34,454,8,0.315300,0.15,2,2,true,2567,Number,Q,main
96390,R_3GdCdNesilz4dLb,35,419,16,0.221700,0.15,2,2,true,2351,Number,P,main
96390,R_3GdCdNesilz4dLb,36,227,16,-0.043700,0.15,2,2,false,2173,Number,Q,main
96390,R_3GdCdNesilz4dLb,37,198,8,-0.043700,0.15,2,2,true,2228,Number,Q,main
96390,R_3GdCdNesilz4dLb,38,43,18,-0.315300,0.15,2,2,true,2573,Number,P,main
96390,R_3GdCdNesilz4dLb,39,28,14,-0.315300,0.15,2,2,true,2422,Number,Q,main
96390,R_3GdCdNesilz4dLb,40,411,14,0.221700,0.15,2,2,true,2111,Number,Q,main
96390,R_3GdCdNesilz4dLb,41,25,14,-0.315300,0.15,2,2,true,2081,Number,Q,main
96390,R_3GdCdNesilz4dLb,42,248,22,-0.043700,0.15,2,2,true,2188,Number,P,main
96390,R_3GdCdNesilz4dLb,43,59,22,-0.315300,0.15,2,2,true,2227,Number,P,main
96390,R_3GdCdNesilz4dLb,44,495,18,0.315300,0.15,2,2,true,2221,Number,P,main
