sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
87959,R_3M3Vank2F3V4R3f,1,28,16,-0.043700,0.15,1,1,false,5878,Trend,Q,training
87959,R_3M3Vank2F3V4R3f,2,12,16,-0.221700,0.15,1,1,true,2728,Trend,P,training
87959,R_3M3Vank2F3V4R3f,3,5,18,-0.315300,0.15,1,1,false,2221,Trend,Q,training
87959,R_3M3Vank2F3V4R3f,4,20,16,-0.131700,0.15,1,1,false,2042,Trend,Q,training
87959,R_3M3Vank2F3V4R3f,5,42,12,0.131700,0.15,1,1,false,2131,Trend,P,training
87959,R_3M3Vank2F3V4R3f,6,7,22,-0.315300,0.15,1,1,false,1677,Trend,Q,training
87959,R_3M3Vank2F3V4R3f,7,10,12,-0.221700,0.15,1,1,true,2089,Trend,P,training
87959,R_3M3Vank2F3V4R3f,8,23,22,-0.131700,0.15,1,1,false,1773,Trend,Q,training
87959,R_3M3Vank2F3V4R3f,9,48,8,0.221700,0.15,1,1,false,1071,Trend,P,training
87959,R_3M3Vank2F3V4R3f,10,54,20,0.221700,0.15,1,1,false,1201,Trend,P,training
87959,R_3M3Vank2F3V4R3f,11,446,22,0.221700,0.15,1,1,false,3409,Trend,P,main
87959,R_3M3Vank2F3V4R3f,12,41,18,-0.315300,0.15,1,1,false,995,Trend,Q,main
87959,R_3M3Vank2F3V4R3f,13,25,14,-0.315300,0.15,1,1,false,661,Trend,Q,main
87959,R_3M3Vank2F3V4R3f,14,184,22,-0.131700,0.15,1,1,true,1389,Trend,P,main
87959,R_3M3Vank2F3V4R3f,15,57,22,-0.315300,0.15,1,1,false,532,Trend,Q,main
87959,R_3M3Vank2F3V4R3f,16,492,18,0.315300,0.15,1,1,true,1997,Trend,Q,main
87959,R_3M3Vank2F3V4R3f,17,140,10,-0.131700,0.15,1,1,true,2090,Trend,P,main
87959,R_3M3Vank2F3V4R3f,18,296,18,0.043700,0.15,1,1,true,1521,Trend,Q,main
87959,R_3M3Vank2F3V4R3f,19,30,14,-0.315300,0.15,1,1,true,1290,Trend,P,main
87959,R_3M3Vank2F3V4R3f,20,31,14,-0.315300,0.15,1,1,true,1213,Trend,P,main
87959,R_3M3Vank2F3V4R3f,21,366,18,0.131700,0.15,1,1,true,809,Trend,Q,main
87959,R_3M3Vank2F3V4R3f,22,83,12,-0.221700,0.15,1,1,true,545,Trend,P,main
87959,R_3M3Vank2F3V4R3f,23,260,8,0.043700,0.15,1,1,true,746,Trend,Q,main
87959,R_3M3Vank2F3V4R3f,24,466,12,0.315300,0.15,1,1,true,742,Trend,Q,main
87959,R_3M3Vank2F3V4R3f,25,362,18,0.131700,0.15,1,1,false,854,Trend,P,main
87959,R_3M3Vank2F3V4R3f,26,374,20,0.131700,0.15,1,1,true,1224,Trend,Q,main
87959,R_3M3Vank2F3V4R3f,27,210,12,-0.043700,0.15,1,1,true,683,Trend,P,main
87959,R_3M3Vank2F3V4R3f,28,51,20,-0.315300,0.15,1,1,true,1123,Trend,P,main
87959,R_3M3Vank2F3V4R3f,29,325,8,0.131700,0.15,1,1,true,555,Trend,Q,main
87959,R_3M3Vank2F3V4R3f,30,502,20,0.315300,0.15,1,1,true,1073,Trend,Q,main
87959,R_3M3Vank2F3V4R3f,31,481,16,0.315300,0.15,1,1,true,736,Trend,Q,main
87959,R_3M3Vank2F3V4R3f,32,504,22,0.315300,0.15,1,1,true,647,Trend,Q,main
87959,R_3M3Vank2F3V4R3f,33,56,22,-0.315300,0.15,1,1,true,520,Trend,P,main
87959,R_3M3Vank2F3V4R3f,34,36,16,-0.315300,0.15,1,1,true,490,Trend,P,main
87959,R_3M3Vank2F3V4R3f,35,402,12,0.221700,0.15,1,1,true,769,Trend,Q,main
87959,R_3M3Vank2F3V4R3f,36,217,14,-0.043700,0.15,1,1,false,1099,Trend,Q,main
87959,R_3M3Vank2F3V4R3f,37,180,20,-0.131700,0.15,1,1,true,492,Trend,P,main
87959,R_3M3Vank2F3V4R3f,38,232,18,-0.043700,0.15,1,1,true,560,Trend,P,main
87959,R_3M3Vank2F3V4R3f,39,281,14,0.043700,0.15,1,1,true,659,Trend,Q,main
87959,R_3M3Vank2F3V4R3f,40,161,16,-0.131700,0.15,1,1,true,769,Trend,P,main
87959,R_3M3Vank2F3V4R3f,41,344,14,0.131700,0.15,1,1,true,689,Trend,Q,main
87959,R_3M3Vank2F3V4R3f,42,341,12,0.131700,0.15,1,1,true,1046,Trend,Q,main
87959,R_3M3Vank2F3V4R3f,43,211,12,-0.043700,0.15,1,1,true,551,Trend,P,main
87959,R_3M3Vank2F3V4R3f,44,107,18,-0.221700,0.15,1,1,true,970,Trend,P,main
87959,R_3M3Vank2F3V4R3f,45,510,22,0.315300,0.15,1,1,true,475,Trend,Q,main
87959,R_3M3Vank2F3V4R3f,46,80,12,-0.221700,0.15,1,1,true,479,Trend,P,main
87959,R_3M3Vank2F3V4R3f,47,333,10,0.131700,0.15,1,1,true,438,Trend,Q,main
87959,R_3M3Vank2F3V4R3f,48,99,16,-0.221700,0.15,1,1,true,588,Trend,P,main
87959,R_3M3Vank2F3V4R3f,49,185,22,-0.131700,0.15,1,1,true,628,Trend,P,main
87959,R_3M3Vank2F3V4R3f,50,177,20,-0.131700,0.15,1,1,true,595,Trend,P,main
87959,R_3M3Vank2F3V4R3f,51,131,8,-0.131700,0.15,1,1,true,1032,Trend,P,main
