sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
96717,R_3Om0XmpPA5x9Sju,1,2,12,-0.315300,0.15,2,1,false,11111,Trend,P,training
96717,R_3Om0XmpPA5x9Sju,2,28,16,-0.043700,0.15,2,1,true,5307,Trend,Q,training
96717,R_3Om0XmpPA5x9Sju,3,55,22,0.221700,0.15,2,1,false,2902,Trend,Q,training
96717,R_3Om0XmpPA5x9Sju,4,54,20,0.221700,0.15,2,1,false,7035,Trend,Q,training
96717,R_3Om0XmpPA5x9Sju,5,61,18,0.315300,0.15,2,1,true,7904,Trend,P,training
96717,R_3Om0XmpPA5x9Sju,6,59,14,0.315300,0.15,2,1,true,3171,Trend,P,training
96717,R_3Om0XmpPA5x9Sju,7,51,14,0.221700,0.15,2,1,true,3074,Trend,P,training
96717,R_3Om0XmpPA5x9Sju,8,37,18,0.043700,0.15,2,1,true,2675,Trend,P,training
96717,R_3Om0XmpPA5x9Sju,9,41,10,0.131700,0.15,2,1,false,3437,Trend,Q,training
96717,R_3Om0XmpPA5x9Sju,10,1,10,-0.315300,0.15,2,1,true,2169,Trend,Q,training
96717,R_3Om0XmpPA5x9Sju,11,454,8,0.315300,0.15,2,1,false,6939,Trend,Q,main
96717,R_3Om0XmpPA5x9Sju,12,225,16,-0.043700,0.15,2,1,false,3717,Trend,P,main
96717,R_3Om0XmpPA5x9Sju,13,200,10,-0.043700,0.15,2,1,false,2686,Trend,P,main
96717,R_3Om0XmpPA5x9Sju,14,444,22,0.221700,0.15,2,1,true,920,Trend,P,main
96717,R_3Om0XmpPA5x9Sju,15,34,16,-0.315300,0.15,2,1,true,1028,Trend,Q,main
96717,R_3Om0XmpPA5x9Sju,16,445,22,0.221700,0.15,2,1,true,800,Trend,P,main
96717,R_3Om0XmpPA5x9Sju,17,226,16,-0.043700,0.15,2,1,true,2707,Trend,Q,main
96717,R_3Om0XmpPA5x9Sju,18,181,20,-0.131700,0.15,2,1,true,2091,Trend,Q,main
96717,R_3Om0XmpPA5x9Sju,19,237,18,-0.043700,0.15,2,1,false,2690,Trend,P,main
96717,R_3Om0XmpPA5x9Sju,20,469,12,0.315300,0.15,2,1,true,2110,Trend,P,main
96717,R_3Om0XmpPA5x9Sju,21,363,18,0.131700,0.15,2,1,true,2149,Trend,P,main
96717,R_3Om0XmpPA5x9Sju,22,155,14,-0.131700,0.15,2,1,true,3754,Trend,Q,main
96717,R_3Om0XmpPA5x9Sju,23,439,20,0.221700,0.15,2,1,true,2028,Trend,P,main
96717,R_3Om0XmpPA5x9Sju,24,198,8,-0.043700,0.15,2,1,true,2456,Trend,Q,main
96717,R_3Om0XmpPA5x9Sju,25,296,18,0.043700,0.15,2,1,true,2094,Trend,P,main
96717,R_3Om0XmpPA5x9Sju,26,36,16,-0.315300,0.15,2,1,true,2396,Trend,Q,main
96717,R_3Om0XmpPA5x9Sju,27,335,10,0.131700,0.15,2,1,true,1553,Trend,P,main
96717,R_3Om0XmpPA5x9Sju,28,20,12,-0.315300,0.15,2,1,true,1088,Trend,Q,main
96717,R_3Om0XmpPA5x9Sju,29,402,12,0.221700,0.15,2,1,true,836,Trend,P,main
96717,R_3Om0XmpPA5x9Sju,30,380,22,0.131700,0.15,2,1,true,630,Trend,P,main
96717,R_3Om0XmpPA5x9Sju,31,443,22,0.221700,0.15,2,1,true,539,Trend,P,main
96717,R_3Om0XmpPA5x9Sju,32,425,18,0.221700,0.15,2,1,true,514,Trend,P,main
96717,R_3Om0XmpPA5x9Sju,33,272,12,0.043700,0.15,2,1,false,939,Trend,Q,main
96717,R_3Om0XmpPA5x9Sju,34,313,22,0.043700,0.15,2,1,true,997,Trend,P,main
96717,R_3Om0XmpPA5x9Sju,35,118,20,-0.221700,0.15,2,1,true,1260,Trend,Q,main
96717,R_3Om0XmpPA5x9Sju,36,455,8,0.315300,0.15,2,1,true,557,Trend,P,main
96717,R_3Om0XmpPA5x9Sju,37,52,20,-0.315300,0.15,2,1,true,749,Trend,Q,main
96717,R_3Om0XmpPA5x9Sju,38,377,22,0.131700,0.15,2,1,true,1357,Trend,P,main
96717,R_3Om0XmpPA5x9Sju,39,393,10,0.221700,0.15,2,1,true,638,Trend,P,main
96717,R_3Om0XmpPA5x9Sju,40,426,18,0.221700,0.15,2,1,true,611,Trend,P,main
96717,R_3Om0XmpPA5x9Sju,41,157,14,-0.131700,0.15,2,1,true,805,Trend,Q,main
96717,R_3Om0XmpPA5x9Sju,42,297,18,0.043700,0.15,2,1,true,1358,Trend,P,main
96717,R_3Om0XmpPA5x9Sju,43,395,10,0.221700,0.15,2,1,true,628,Trend,P,main
96717,R_3Om0XmpPA5x9Sju,44,412,14,0.221700,0.15,2,1,true,659,Trend,P,main
96717,R_3Om0XmpPA5x9Sju,45,379,22,0.131700,0.15,2,1,true,523,Trend,P,main
96717,R_3Om0XmpPA5x9Sju,46,326,8,0.131700,0.15,2,1,false,763,Trend,Q,main
96717,R_3Om0XmpPA5x9Sju,47,430,18,0.221700,0.15,2,1,true,623,Trend,P,main
96717,R_3Om0XmpPA5x9Sju,48,255,22,-0.043700,0.15,2,1,false,680,Trend,P,main
96717,R_3Om0XmpPA5x9Sju,49,292,16,0.043700,0.15,2,1,true,671,Trend,P,main
96717,R_3Om0XmpPA5x9Sju,50,449,8,0.315300,0.15,2,1,true,839,Trend,P,main
96717,R_3Om0XmpPA5x9Sju,51,500,20,0.315300,0.15,2,1,true,589,Trend,P,main
96717,R_3Om0XmpPA5x9Sju,52,62,22,-0.315300,0.15,2,1,true,608,Trend,Q,main
96717,R_3Om0XmpPA5x9Sju,53,30,14,-0.315300,0.15,2,1,true,544,Trend,Q,main
96717,R_3Om0XmpPA5x9Sju,54,178,20,-0.131700,0.15,2,1,true,1521,Trend,Q,main
96717,R_3Om0XmpPA5x9Sju,55,184,22,-0.131700,0.15,2,1,true,1651,Trend,Q,main
96717,R_3Om0XmpPA5x9Sju,56,209,12,-0.043700,0.15,2,1,true,783,Trend,Q,main
96717,R_3Om0XmpPA5x9Sju,57,190,22,-0.131700,0.15,2,1,true,706,Trend,Q,main
96717,R_3Om0XmpPA5x9Sju,58,6,8,-0.315300,0.15,2,1,true,735,Trend,Q,main
96717,R_3Om0XmpPA5x9Sju,59,483,16,0.315300,0.15,2,1,true,491,Trend,P,main
96717,R_3Om0XmpPA5x9Sju,60,431,18,0.221700,0.15,2,1,true,448,Trend,P,main
96717,R_3Om0XmpPA5x9Sju,61,260,8,0.043700,0.15,2,1,false,606,Trend,Q,main
96717,R_3Om0XmpPA5x9Sju,62,362,18,0.131700,0.15,2,1,false,612,Trend,Q,main
96717,R_3Om0XmpPA5x9Sju,63,273,12,0.043700,0.15,2,1,false,726,Trend,Q,main
96717,R_3Om0XmpPA5x9Sju,64,339,12,0.131700,0.15,2,1,false,2548,Trend,Q,main
96717,R_3Om0XmpPA5x9Sju,65,182,20,-0.131700,0.15,2,1,true,676,Trend,Q,main
96717,R_3Om0XmpPA5x9Sju,66,45,18,-0.315300,0.15,2,1,true,641,Trend,Q,main
96717,R_3Om0XmpPA5x9Sju,67,137,10,-0.131700,0.15,2,1,true,520,Trend,Q,main
96717,R_3Om0XmpPA5x9Sju,68,257,8,0.043700,0.15,2,1,false,1181,Trend,Q,main
96717,R_3Om0XmpPA5x9Sju,69,350,14,0.131700,0.15,2,1,false,648,Trend,Q,main
96717,R_3Om0XmpPA5x9Sju,70,11,10,-0.315300,0.15,2,1,true,962,Trend,Q,main
96717,R_3Om0XmpPA5x9Sju,71,188,22,-0.131700,0.15,2,1,true,625,Trend,Q,main
96717,R_3Om0XmpPA5x9Sju,72,324,8,0.131700,0.15,2,1,false,884,Trend,Q,main
96717,R_3Om0XmpPA5x9Sju,73,205,10,-0.043700,0.15,2,1,true,505,Trend,Q,main
96717,R_3Om0XmpPA5x9Sju,74,329,10,0.131700,0.15,2,1,true,663,Trend,P,main
96717,R_3Om0XmpPA5x9Sju,75,83,12,-0.221700,0.15,2,1,true,733,Trend,Q,main
96717,R_3Om0XmpPA5x9Sju,76,403,12,0.221700,0.15,2,1,true,519,Trend,P,main
96717,R_3Om0XmpPA5x9Sju,77,98,16,-0.221700,0.15,2,1,true,1753,Trend,Q,main
96717,R_3Om0XmpPA5x9Sju,78,206,10,-0.043700,0.15,2,1,true,650,Trend,Q,main
96717,R_3Om0XmpPA5x9Sju,79,267,10,0.043700,0.15,2,1,false,548,Trend,Q,main
96717,R_3Om0XmpPA5x9Sju,80,113,20,-0.221700,0.15,2,1,true,545,Trend,Q,main
96717,R_3Om0XmpPA5x9Sju,81,250,22,-0.043700,0.15,2,1,true,632,Trend,Q,main
96717,R_3Om0XmpPA5x9Sju,82,85,12,-0.221700,0.15,2,1,true,734,Trend,Q,main
96717,R_3Om0XmpPA5x9Sju,83,139,10,-0.131700,0.15,2,1,true,576,Trend,Q,main
96717,R_3Om0XmpPA5x9Sju,84,134,8,-0.131700,0.15,2,1,true,580,Trend,Q,main
96717,R_3Om0XmpPA5x9Sju,85,415,14,0.221700,0.15,2,1,true,573,Trend,P,main
96717,R_3Om0XmpPA5x9Sju,86,246,20,-0.043700,0.15,2,1,true,829,Trend,Q,main
96717,R_3Om0XmpPA5x9Sju,87,410,14,0.221700,0.15,2,1,true,629,Trend,P,main
96717,R_3Om0XmpPA5x9Sju,88,119,20,-0.221700,0.15,2,1,true,698,Trend,Q,main
96717,R_3Om0XmpPA5x9Sju,89,477,14,0.315300,0.15,2,1,true,593,Trend,P,main
96717,R_3Om0XmpPA5x9Sju,90,368,20,0.131700,0.15,2,1,true,487,Trend,P,main
96717,R_3Om0XmpPA5x9Sju,91,187,22,-0.131700,0.15,2,1,true,972,Trend,Q,main
96717,R_3Om0XmpPA5x9Sju,92,216,14,-0.043700,0.15,2,1,false,2162,Trend,P,main
