sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
97566,R_3ZwZhNPSDCl1nAR,1,31,22,-0.043700,0.15,2,1,true,9163,Trend,Q,training
97566,R_3ZwZhNPSDCl1nAR,2,43,14,0.131700,0.15,2,1,true,7497,Trend,P,training
97566,R_3ZwZhNPSDCl1nAR,3,61,18,0.315300,0.15,2,1,true,2074,Trend,P,training
97566,R_3ZwZhNPSDCl1nAR,4,56,8,0.315300,0.15,2,1,true,2100,Trend,P,training
97566,R_3ZwZhNPSDCl1nAR,5,13,18,-0.221700,0.15,2,1,true,2023,Trend,Q,training
97566,R_3ZwZhNPSDCl1nAR,6,2,12,-0.315300,0.15,2,1,true,2171,Trend,Q,training
97566,R_3ZwZhNPSDCl1nAR,7,4,16,-0.315300,0.15,2,1,true,2076,Trend,Q,training
97566,R_3ZwZhNPSDCl1nAR,8,29,18,-0.043700,0.15,2,1,true,2967,Trend,Q,training
97566,R_3ZwZhNPSDCl1nAR,9,24,8,-0.043700,0.15,2,1,true,2916,Trend,Q,training
97566,R_3ZwZhNPSDCl1nAR,10,23,22,-0.131700,0.15,2,1,true,2109,Trend,Q,training
97566,R_3ZwZhNPSDCl1nAR,11,424,18,0.221700,0.15,2,1,true,2149,Trend,P,main
97566,R_3ZwZhNPSDCl1nAR,12,52,20,-0.315300,0.15,2,1,true,2049,Trend,Q,main
97566,R_3ZwZhNPSDCl1nAR,13,111,18,-0.221700,0.15,2,1,true,2081,Trend,Q,main
97566,R_3ZwZhNPSDCl1nAR,14,479,14,0.315300,0.15,2,1,true,2074,Trend,P,main
97566,R_3ZwZhNPSDCl1nAR,15,16,12,-0.315300,0.15,2,1,true,2000,Trend,Q,main
97566,R_3ZwZhNPSDCl1nAR,16,123,22,-0.221700,0.15,2,1,true,1912,Trend,Q,main
97566,R_3ZwZhNPSDCl1nAR,17,378,22,0.131700,0.15,2,1,true,2414,Trend,P,main
97566,R_3ZwZhNPSDCl1nAR,18,212,12,-0.043700,0.15,2,1,true,1979,Trend,Q,main
97566,R_3ZwZhNPSDCl1nAR,19,160,16,-0.131700,0.15,2,1,true,1995,Trend,Q,main
97566,R_3ZwZhNPSDCl1nAR,20,453,8,0.315300,0.15,2,1,true,1878,Trend,P,main
97566,R_3ZwZhNPSDCl1nAR,21,98,16,-0.221700,0.15,2,1,true,1848,Trend,Q,main
97566,R_3ZwZhNPSDCl1nAR,22,74,10,-0.221700,0.15,2,1,true,1996,Trend,Q,main
97566,R_3ZwZhNPSDCl1nAR,23,78,10,-0.221700,0.15,2,1,true,1992,Trend,Q,main
97566,R_3ZwZhNPSDCl1nAR,24,141,10,-0.131700,0.15,2,1,true,2014,Trend,Q,main
97566,R_3ZwZhNPSDCl1nAR,25,12,10,-0.315300,0.15,2,1,true,794,Trend,Q,main
97566,R_3ZwZhNPSDCl1nAR,26,49,20,-0.315300,0.15,2,1,true,614,Trend,Q,main
97566,R_3ZwZhNPSDCl1nAR,27,487,16,0.315300,0.15,2,1,true,729,Trend,P,main
97566,R_3ZwZhNPSDCl1nAR,28,326,8,0.131700,0.15,2,1,true,608,Trend,P,main
97566,R_3ZwZhNPSDCl1nAR,29,476,14,0.315300,0.15,2,1,true,502,Trend,P,main
97566,R_3ZwZhNPSDCl1nAR,30,401,12,0.221700,0.15,2,1,true,445,Trend,P,main
97566,R_3ZwZhNPSDCl1nAR,31,436,20,0.221700,0.15,2,1,true,417,Trend,P,main
97566,R_3ZwZhNPSDCl1nAR,32,419,16,0.221700,0.15,2,1,true,401,Trend,P,main
97566,R_3ZwZhNPSDCl1nAR,33,169,18,-0.131700,0.15,2,1,true,706,Trend,Q,main
97566,R_3ZwZhNPSDCl1nAR,34,205,10,-0.043700,0.15,2,1,true,1202,Trend,Q,main
97566,R_3ZwZhNPSDCl1nAR,35,131,8,-0.131700,0.15,2,1,true,580,Trend,Q,main
97566,R_3ZwZhNPSDCl1nAR,36,354,16,0.131700,0.15,2,1,true,710,Trend,P,main
97566,R_3ZwZhNPSDCl1nAR,37,315,22,0.043700,0.15,2,1,true,40823,Trend,P,main
97566,R_3ZwZhNPSDCl1nAR,38,181,20,-0.131700,0.15,2,1,true,1063,Trend,Q,main
97566,R_3ZwZhNPSDCl1nAR,39,116,20,-0.221700,0.15,2,1,true,1069,Trend,Q,main
97566,R_3ZwZhNPSDCl1nAR,40,438,20,0.221700,0.15,2,1,true,602,Trend,P,main
97566,R_3ZwZhNPSDCl1nAR,41,187,22,-0.131700,0.15,2,1,true,591,Trend,Q,main
97566,R_3ZwZhNPSDCl1nAR,42,51,20,-0.315300,0.15,2,1,true,459,Trend,Q,main
97566,R_3ZwZhNPSDCl1nAR,43,313,22,0.043700,0.15,2,1,false,934,Trend,Q,main
