sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
91593,R_3cww234UMvTMqqp,1,52,16,0.221700,0.15,1,2,false,1950,Number,P,training
91593,R_3cww234UMvTMqqp,2,63,22,0.315300,0.15,1,2,false,1223,Number,P,training
91593,R_3cww234UMvTMqqp,3,45,18,0.131700,0.15,1,2,true,811,Number,Q,training
91593,R_3cww234UMvTMqqp,4,0,8,-0.315300,0.15,1,2,true,610,Number,P,training
91593,R_3cww234UMvTMqqp,5,14,20,-0.221700,0.15,1,2,true,730,Number,Q,training
91593,R_3cww234UMvTMqqp,6,42,12,0.131700,0.15,1,2,true,1121,Number,P,training
91593,R_3cww234UMvTMqqp,7,18,12,-0.131700,0.15,1,2,true,655,Number,P,training
91593,R_3cww234UMvTMqqp,8,8,8,-0.221700,0.15,1,2,true,694,Number,P,training
91593,R_3cww234UMvTMqqp,9,56,8,0.315300,0.15,1,2,true,495,Number,P,training
91593,R_3cww234UMvTMqqp,10,21,18,-0.131700,0.15,1,2,true,480,Number,Q,training
91593,R_3cww234UMvTMqqp,11,109,18,-0.221700,0.15,1,2,true,658,Number,Q,main
91593,R_3cww234UMvTMqqp,12,380,22,0.131700,0.15,1,2,true,814,Number,Q,main
91593,R_3cww234UMvTMqqp,13,175,18,-0.131700,0.15,1,2,true,687,Number,Q,main
91593,R_3cww234UMvTMqqp,14,331,10,0.131700,0.15,1,2,true,695,Number,P,main
91593,R_3cww234UMvTMqqp,15,478,14,0.315300,0.15,1,2,true,794,Number,P,main
91593,R_3cww234UMvTMqqp,16,418,16,0.221700,0.15,1,2,false,2275,Number,P,main
91593,R_3cww234UMvTMqqp,17,240,20,-0.043700,0.15,1,2,true,786,Number,Q,main
91593,R_3cww234UMvTMqqp,18,358,16,0.131700,0.15,1,2,false,1036,Number,P,main
91593,R_3cww234UMvTMqqp,19,423,16,0.221700,0.15,1,2,true,570,Number,Q,main
91593,R_3cww234UMvTMqqp,20,387,8,0.221700,0.15,1,2,true,762,Number,P,main
91593,R_3cww234UMvTMqqp,21,60,22,-0.315300,0.15,1,2,true,543,Number,Q,main
91593,R_3cww234UMvTMqqp,22,377,22,0.131700,0.15,1,2,true,544,Number,Q,main
91593,R_3cww234UMvTMqqp,23,451,8,0.315300,0.15,1,2,true,665,Number,P,main
91593,R_3cww234UMvTMqqp,24,312,22,0.043700,0.15,1,2,true,689,Number,Q,main
91593,R_3cww234UMvTMqqp,25,156,14,-0.131700,0.15,1,2,true,905,Number,P,main
91593,R_3cww234UMvTMqqp,26,283,14,0.043700,0.15,1,2,true,919,Number,P,main
91593,R_3cww234UMvTMqqp,27,462,10,0.315300,0.15,1,2,true,832,Number,P,main
91593,R_3cww234UMvTMqqp,28,484,16,0.315300,0.15,1,2,true,1249,Number,Q,main
91593,R_3cww234UMvTMqqp,29,291,16,0.043700,0.15,1,2,true,580,Number,Q,main
91593,R_3cww234UMvTMqqp,30,128,8,-0.131700,0.15,1,2,true,630,Number,P,main
91593,R_3cww234UMvTMqqp,31,144,12,-0.131700,0.15,1,2,true,692,Number,P,main
91593,R_3cww234UMvTMqqp,32,85,12,-0.221700,0.15,1,2,true,629,Number,P,main
91593,R_3cww234UMvTMqqp,33,222,14,-0.043700,0.15,1,2,false,537,Number,Q,main
91593,R_3cww234UMvTMqqp,34,329,10,0.131700,0.15,1,2,true,442,Number,P,main
91593,R_3cww234UMvTMqqp,35,9,10,-0.315300,0.15,1,2,true,694,Number,P,main
91593,R_3cww234UMvTMqqp,36,213,12,-0.043700,0.15,1,2,true,509,Number,P,main
91593,R_3cww234UMvTMqqp,37,111,18,-0.221700,0.15,1,2,true,595,Number,Q,main
91593,R_3cww234UMvTMqqp,38,137,10,-0.131700,0.15,1,2,true,449,Number,P,main
91593,R_3cww234UMvTMqqp,39,477,14,0.315300,0.15,1,2,false,841,Number,Q,main
91593,R_3cww234UMvTMqqp,40,204,10,-0.043700,0.15,1,2,true,628,Number,P,main
91593,R_3cww234UMvTMqqp,41,193,8,-0.043700,0.15,1,2,true,564,Number,P,main
91593,R_3cww234UMvTMqqp,42,234,18,-0.043700,0.15,1,2,true,552,Number,Q,main
91593,R_3cww234UMvTMqqp,43,250,22,-0.043700,0.15,1,2,true,877,Number,Q,main
91593,R_3cww234UMvTMqqp,44,372,20,0.131700,0.15,1,2,true,419,Number,Q,main
91593,R_3cww234UMvTMqqp,45,52,20,-0.315300,0.15,1,2,true,512,Number,Q,main
91593,R_3cww234UMvTMqqp,46,310,20,0.043700,0.15,1,2,true,756,Number,Q,main
91593,R_3cww234UMvTMqqp,47,316,22,0.043700,0.15,1,2,true,522,Number,Q,main
91593,R_3cww234UMvTMqqp,48,143,10,-0.131700,0.15,1,2,true,473,Number,P,main
