sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
96244,R_3dYIK5npErBhGmO,1,0,8,-0.315300,0.15,2,1,true,4791,Trend,Q,training
96244,R_3dYIK5npErBhGmO,2,30,20,-0.043700,0.15,2,1,false,3772,Trend,P,training
96244,R_3dYIK5npErBhGmO,3,48,8,0.221700,0.15,2,1,true,2737,Trend,P,training
96244,R_3dYIK5npErBhGmO,4,18,12,-0.131700,0.15,2,1,true,2446,Trend,Q,training
96244,R_3dYIK5npErBhGmO,5,15,22,-0.221700,0.15,2,1,true,2743,Trend,Q,training
96244,R_3dYIK5npErBhGmO,6,50,12,0.221700,0.15,2,1,true,2540,Trend,P,training
96244,R_3dYIK5npErBhGmO,7,52,16,0.221700,0.15,2,1,true,2318,Trend,P,training
96244,R_3dYIK5npErBhGmO,8,28,16,-0.043700,0.15,2,1,true,2629,Trend,Q,training
96244,R_3dYIK5npErBhGmO,9,53,18,0.221700,0.15,2,1,true,2373,Trend,P,training
96244,R_3dYIK5npErBhGmO,10,34,12,0.043700,0.15,2,1,true,2295,Trend,P,training
96244,R_3dYIK5npErBhGmO,11,417,16,0.221700,0.15,2,1,true,2165,Trend,P,main
96244,R_3dYIK5npErBhGmO,12,54,20,-0.315300,0.15,2,1,true,2174,Trend,Q,main
96244,R_3dYIK5npErBhGmO,13,74,10,-0.221700,0.15,2,1,true,2119,Trend,Q,main
96244,R_3dYIK5npErBhGmO,14,107,18,-0.221700,0.15,2,1,true,2149,Trend,Q,main
96244,R_3dYIK5npErBhGmO,15,62,22,-0.315300,0.15,2,1,true,2176,Trend,Q,main
96244,R_3dYIK5npErBhGmO,16,345,14,0.131700,0.15,2,1,true,2083,Trend,P,main
96244,R_3dYIK5npErBhGmO,17,325,8,0.131700,0.15,2,1,true,2962,Trend,P,main
96244,R_3dYIK5npErBhGmO,18,444,22,0.221700,0.15,2,1,true,2110,Trend,P,main
96244,R_3dYIK5npErBhGmO,19,150,12,-0.131700,0.15,2,1,true,2128,Trend,Q,main
96244,R_3dYIK5npErBhGmO,20,154,14,-0.131700,0.15,2,1,false,2485,Trend,P,main
96244,R_3dYIK5npErBhGmO,21,334,10,0.131700,0.15,2,1,true,2521,Trend,P,main
96244,R_3dYIK5npErBhGmO,22,12,10,-0.315300,0.15,2,1,true,2081,Trend,Q,main
96244,R_3dYIK5npErBhGmO,23,274,12,0.043700,0.15,2,1,true,2077,Trend,P,main
96244,R_3dYIK5npErBhGmO,24,220,14,-0.043700,0.15,2,1,false,2147,Trend,P,main
96244,R_3dYIK5npErBhGmO,25,170,18,-0.131700,0.15,2,1,true,2217,Trend,Q,main
96244,R_3dYIK5npErBhGmO,26,121,22,-0.221700,0.15,2,1,false,3073,Trend,P,main
96244,R_3dYIK5npErBhGmO,27,189,22,-0.131700,0.15,2,1,true,2747,Trend,Q,main
96244,R_3dYIK5npErBhGmO,28,350,14,0.131700,0.15,2,1,false,3330,Trend,Q,main
96244,R_3dYIK5npErBhGmO,29,411,14,0.221700,0.15,2,1,true,2326,Trend,P,main
96244,R_3dYIK5npErBhGmO,30,122,22,-0.221700,0.15,2,1,true,2183,Trend,Q,main
96244,R_3dYIK5npErBhGmO,31,324,8,0.131700,0.15,2,1,false,2273,Trend,Q,main
96244,R_3dYIK5npErBhGmO,32,109,18,-0.221700,0.15,2,1,true,2121,Trend,Q,main
96244,R_3dYIK5npErBhGmO,33,1,8,-0.315300,0.15,2,1,true,2114,Trend,Q,main
96244,R_3dYIK5npErBhGmO,34,191,22,-0.131700,0.15,2,1,true,2343,Trend,Q,main
96244,R_3dYIK5npErBhGmO,35,125,22,-0.221700,0.15,2,1,true,2246,Trend,Q,main
96244,R_3dYIK5npErBhGmO,36,67,8,-0.221700,0.15,2,1,true,3230,Trend,Q,main
96244,R_3dYIK5npErBhGmO,37,139,10,-0.131700,0.15,2,1,true,2361,Trend,Q,main
96244,R_3dYIK5npErBhGmO,38,104,18,-0.221700,0.15,2,1,true,3155,Trend,Q,main
96244,R_3dYIK5npErBhGmO,39,63,22,-0.315300,0.15,2,1,true,2608,Trend,Q,main
96244,R_3dYIK5npErBhGmO,40,313,22,0.043700,0.15,2,1,true,2449,Trend,P,main
96244,R_3dYIK5npErBhGmO,41,453,8,0.315300,0.15,2,1,true,2383,Trend,P,main
96244,R_3dYIK5npErBhGmO,42,28,14,-0.315300,0.15,2,1,true,2070,Trend,Q,main
96244,R_3dYIK5npErBhGmO,43,87,12,-0.221700,0.15,2,1,true,2114,Trend,Q,main
96244,R_3dYIK5npErBhGmO,44,396,10,0.221700,0.15,2,1,true,974,Trend,P,main
96244,R_3dYIK5npErBhGmO,45,256,8,0.043700,0.15,2,1,true,2287,Trend,P,main
96244,R_3dYIK5npErBhGmO,46,329,10,0.131700,0.15,2,1,true,755,Trend,P,main
96244,R_3dYIK5npErBhGmO,47,111,18,-0.221700,0.15,2,1,true,859,Trend,Q,main
96244,R_3dYIK5npErBhGmO,48,35,16,-0.315300,0.15,2,1,true,739,Trend,Q,main
96244,R_3dYIK5npErBhGmO,49,283,14,0.043700,0.15,2,1,false,1033,Trend,Q,main
96244,R_3dYIK5npErBhGmO,50,134,8,-0.131700,0.15,2,1,true,854,Trend,Q,main
96244,R_3dYIK5npErBhGmO,51,5,8,-0.315300,0.15,2,1,true,1041,Trend,Q,main
96244,R_3dYIK5npErBhGmO,52,287,14,0.043700,0.15,2,1,false,2562,Trend,Q,main
96244,R_3dYIK5npErBhGmO,53,72,10,-0.221700,0.15,2,1,true,591,Trend,Q,main
96244,R_3dYIK5npErBhGmO,54,505,22,0.315300,0.15,2,1,true,587,Trend,P,main
96244,R_3dYIK5npErBhGmO,55,209,12,-0.043700,0.15,2,1,true,919,Trend,Q,main
96244,R_3dYIK5npErBhGmO,56,130,8,-0.131700,0.15,2,1,true,796,Trend,Q,main
96244,R_3dYIK5npErBhGmO,57,299,18,0.043700,0.15,2,1,true,894,Trend,P,main
96244,R_3dYIK5npErBhGmO,58,461,10,0.315300,0.15,2,1,true,794,Trend,P,main
96244,R_3dYIK5npErBhGmO,59,100,16,-0.221700,0.15,2,1,true,921,Trend,Q,main
96244,R_3dYIK5npErBhGmO,60,108,18,-0.221700,0.15,2,1,true,825,Trend,Q,main
96244,R_3dYIK5npErBhGmO,61,459,10,0.315300,0.15,2,1,true,620,Trend,P,main
96244,R_3dYIK5npErBhGmO,62,190,22,-0.131700,0.15,2,1,true,796,Trend,Q,main
96244,R_3dYIK5npErBhGmO,63,172,18,-0.131700,0.15,2,1,true,567,Trend,Q,main
96244,R_3dYIK5npErBhGmO,64,508,22,0.315300,0.15,2,1,true,670,Trend,P,main
96244,R_3dYIK5npErBhGmO,65,204,10,-0.043700,0.15,2,1,false,845,Trend,P,main
96244,R_3dYIK5npErBhGmO,66,210,12,-0.043700,0.15,2,1,true,3070,Trend,Q,main
96244,R_3dYIK5npErBhGmO,67,366,18,0.131700,0.15,2,1,true,659,Trend,P,main
96244,R_3dYIK5npErBhGmO,68,94,14,-0.221700,0.15,2,1,true,740,Trend,Q,main
96244,R_3dYIK5npErBhGmO,69,344,14,0.131700,0.15,2,1,true,550,Trend,P,main
96244,R_3dYIK5npErBhGmO,70,472,14,0.315300,0.15,2,1,true,1005,Trend,P,main
96244,R_3dYIK5npErBhGmO,71,502,20,0.315300,0.15,2,1,true,636,Trend,P,main
96244,R_3dYIK5npErBhGmO,72,88,14,-0.221700,0.15,2,1,false,789,Trend,P,main
96244,R_3dYIK5npErBhGmO,73,193,8,-0.043700,0.15,2,1,true,1637,Trend,Q,main
96244,R_3dYIK5npErBhGmO,74,436,20,0.221700,0.15,2,1,true,729,Trend,P,main
96244,R_3dYIK5npErBhGmO,75,427,18,0.221700,0.15,2,1,true,2540,Trend,P,main
96244,R_3dYIK5npErBhGmO,76,185,22,-0.131700,0.15,2,1,true,712,Trend,Q,main
96244,R_3dYIK5npErBhGmO,77,456,10,0.315300,0.15,2,1,true,596,Trend,P,main
96244,R_3dYIK5npErBhGmO,78,318,22,0.043700,0.15,2,1,false,3110,Trend,Q,main
