sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
96083,R_3pCLlvf6zgh39fj,1,399,10,0.221700,0.15,2,2,false,9742,Number,P,main
96083,R_3pCLlvf6zgh39fj,2,24,14,-0.315300,0.15,2,2,true,2979,Number,Q,main
96083,R_3pCLlvf6zgh39fj,3,200,10,-0.043700,0.15,2,2,true,6631,Number,Q,main
96083,R_3pCLlvf6zgh39fj,4,241,20,-0.043700,0.15,2,2,true,2328,Number,P,main
96083,R_3pCLlvf6zgh39fj,5,308,20,0.043700,0.15,2,2,true,1082,Number,P,main
96083,R_3pCLlvf6zgh39fj,6,201,10,-0.043700,0.15,2,2,true,1042,Number,Q,main
96083,R_3pCLlvf6zgh39fj,7,378,22,0.131700,0.15,2,2,true,864,Number,P,main
96083,R_3pCLlvf6zgh39fj,8,397,10,0.221700,0.15,2,2,true,1359,Number,Q,main
96083,R_3pCLlvf6zgh39fj,9,116,20,-0.221700,0.15,2,2,true,3464,Number,P,main
96083,R_3pCLlvf6zgh39fj,10,466,12,0.315300,0.15,2,2,true,1906,Number,Q,main
96083,R_3pCLlvf6zgh39fj,11,57,22,-0.315300,0.15,2,2,true,857,Number,P,main
96083,R_3pCLlvf6zgh39fj,12,210,12,-0.043700,0.15,2,2,true,11876,Number,Q,main
96083,R_3pCLlvf6zgh39fj,13,122,22,-0.221700,0.15,2,2,true,1787,Number,P,main
96083,R_3pCLlvf6zgh39fj,14,446,22,0.221700,0.15,2,2,true,1084,Number,P,main
96083,R_3pCLlvf6zgh39fj,15,371,20,0.131700,0.15,2,2,true,1907,Number,P,main
96083,R_3pCLlvf6zgh39fj,16,228,16,-0.043700,0.15,2,2,true,1241,Number,P,main
96083,R_3pCLlvf6zgh39fj,17,205,10,-0.043700,0.15,2,2,true,536,Number,Q,main
96083,R_3pCLlvf6zgh39fj,18,409,14,0.221700,0.15,2,2,true,2048,Number,Q,main
96083,R_3pCLlvf6zgh39fj,19,192,8,-0.043700,0.15,2,2,true,732,Number,Q,main
