sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
96698,R_50J0MeauWkToJTT,1,50,12,0.221700,0.15,2,1,false,24566,Trend,Q,training
96698,R_50J0MeauWkToJTT,2,21,18,-0.131700,0.15,2,1,true,5379,Trend,Q,training
96698,R_50J0MeauWkToJTT,3,51,14,0.221700,0.15,2,1,true,2970,Trend,P,training
96698,R_50J0MeauWkToJTT,4,11,14,-0.221700,0.15,2,1,true,2329,Trend,Q,training
96698,R_50J0MeauWkToJTT,5,40,8,0.131700,0.15,2,1,true,2091,Trend,P,training
96698,R_50J0MeauWkToJTT,6,10,12,-0.221700,0.15,2,1,true,1597,Trend,Q,training
96698,R_50J0MeauWkToJTT,7,26,12,-0.043700,0.15,2,1,true,2276,Trend,Q,training
96698,R_50J0MeauWkToJTT,8,9,10,-0.221700,0.15,2,1,true,1650,Trend,Q,training
96698,R_50J0MeauWkToJTT,9,33,10,0.043700,0.15,2,1,false,2882,Trend,Q,training
96698,R_50J0MeauWkToJTT,10,34,12,0.043700,0.15,2,1,true,2059,Trend,P,training
96698,R_50J0MeauWkToJTT,11,326,8,0.131700,0.15,2,1,true,1572,Trend,P,main
96698,R_50J0MeauWkToJTT,12,321,8,0.131700,0.15,2,1,true,1001,Trend,P,main
96698,R_50J0MeauWkToJTT,13,193,8,-0.043700,0.15,2,1,true,2337,Trend,Q,main
96698,R_50J0MeauWkToJTT,14,127,22,-0.221700,0.15,2,1,true,1470,Trend,Q,main
96698,R_50J0MeauWkToJTT,15,322,8,0.131700,0.15,2,1,true,1045,Trend,P,main
96698,R_50J0MeauWkToJTT,16,496,20,0.315300,0.15,2,1,true,703,Trend,P,main
96698,R_50J0MeauWkToJTT,17,255,22,-0.043700,0.15,2,1,true,4420,Trend,Q,main
96698,R_50J0MeauWkToJTT,18,506,22,0.315300,0.15,2,1,true,729,Trend,P,main
96698,R_50J0MeauWkToJTT,19,13,10,-0.315300,0.15,2,1,true,1149,Trend,Q,main
96698,R_50J0MeauWkToJTT,20,474,14,0.315300,0.15,2,1,true,1063,Trend,P,main
96698,R_50J0MeauWkToJTT,21,166,16,-0.131700,0.15,2,1,true,991,Trend,Q,main
96698,R_50J0MeauWkToJTT,22,459,10,0.315300,0.15,2,1,true,1176,Trend,P,main
96698,R_50J0MeauWkToJTT,23,153,14,-0.131700,0.15,2,1,true,1162,Trend,Q,main
96698,R_50J0MeauWkToJTT,24,84,12,-0.221700,0.15,2,1,true,741,Trend,Q,main
96698,R_50J0MeauWkToJTT,25,63,22,-0.315300,0.15,2,1,true,861,Trend,Q,main
96698,R_50J0MeauWkToJTT,26,124,22,-0.221700,0.15,2,1,true,765,Trend,Q,main
96698,R_50J0MeauWkToJTT,27,247,20,-0.043700,0.15,2,1,true,1876,Trend,Q,main
96698,R_50J0MeauWkToJTT,28,397,10,0.221700,0.15,2,1,true,704,Trend,P,main
96698,R_50J0MeauWkToJTT,29,57,22,-0.315300,0.15,2,1,true,668,Trend,Q,main
96698,R_50J0MeauWkToJTT,30,43,18,-0.315300,0.15,2,1,true,565,Trend,Q,main
96698,R_50J0MeauWkToJTT,31,483,16,0.315300,0.15,2,1,true,833,Trend,P,main
