sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
96842,R_5JFoASJzup9njCo,1,24,8,-0.043700,0.15,1,1,true,4648,Trend,P,training
96842,R_5JFoASJzup9njCo,2,11,14,-0.221700,0.15,1,1,false,3486,Trend,Q,training
96842,R_5JFoASJzup9njCo,3,39,22,0.043700,0.15,1,1,true,5525,Trend,Q,training
96842,R_5JFoASJzup9njCo,4,43,14,0.131700,0.15,1,1,false,2877,Trend,P,training
96842,R_5JFoASJzup9njCo,5,38,20,0.043700,0.15,1,1,true,2590,Trend,Q,training
96842,R_5JFoASJzup9njCo,6,31,22,-0.043700,0.15,1,1,false,2416,Trend,Q,training
96842,R_5JFoASJzup9njCo,7,0,8,-0.315300,0.15,1,1,true,1973,Trend,P,training
96842,R_5JFoASJzup9njCo,8,16,8,-0.131700,0.15,1,1,true,4532,Trend,P,training
96842,R_5JFoASJzup9njCo,9,36,16,0.043700,0.15,1,1,true,2234,Trend,Q,training
96842,R_5JFoASJzup9njCo,10,51,14,0.221700,0.15,1,1,true,3715,Trend,Q,training
96842,R_5JFoASJzup9njCo,11,365,18,0.131700,0.15,1,1,true,2155,Trend,Q,main
96842,R_5JFoASJzup9njCo,12,203,10,-0.043700,0.15,1,1,true,2414,Trend,P,main
96842,R_5JFoASJzup9njCo,13,502,20,0.315300,0.15,1,1,true,2474,Trend,Q,main
96842,R_5JFoASJzup9njCo,14,68,8,-0.221700,0.15,1,1,true,2744,Trend,P,main
96842,R_5JFoASJzup9njCo,15,445,22,0.221700,0.15,1,1,true,2483,Trend,Q,main
96842,R_5JFoASJzup9njCo,16,362,18,0.131700,0.15,1,1,true,2421,Trend,Q,main
96842,R_5JFoASJzup9njCo,17,404,12,0.221700,0.15,1,1,false,2315,Trend,P,main
96842,R_5JFoASJzup9njCo,18,393,10,0.221700,0.15,1,1,false,2070,Trend,P,main
96842,R_5JFoASJzup9njCo,19,392,10,0.221700,0.15,1,1,false,2360,Trend,P,main
96842,R_5JFoASJzup9njCo,20,405,12,0.221700,0.15,1,1,false,3383,Trend,P,main
96842,R_5JFoASJzup9njCo,21,273,12,0.043700,0.15,1,1,false,2317,Trend,P,main
96842,R_5JFoASJzup9njCo,22,462,10,0.315300,0.15,1,1,false,2107,Trend,P,main
96842,R_5JFoASJzup9njCo,23,140,10,-0.131700,0.15,1,1,true,2088,Trend,P,main
96842,R_5JFoASJzup9njCo,24,312,22,0.043700,0.15,1,1,true,2227,Trend,Q,main
96842,R_5JFoASJzup9njCo,25,234,18,-0.043700,0.15,1,1,false,2266,Trend,Q,main
96842,R_5JFoASJzup9njCo,26,416,16,0.221700,0.15,1,1,true,3372,Trend,Q,main
96842,R_5JFoASJzup9njCo,27,243,20,-0.043700,0.15,1,1,false,2508,Trend,Q,main
96842,R_5JFoASJzup9njCo,28,304,20,0.043700,0.15,1,1,true,2338,Trend,Q,main
96842,R_5JFoASJzup9njCo,29,278,12,0.043700,0.15,1,1,false,2249,Trend,P,main
96842,R_5JFoASJzup9njCo,30,202,10,-0.043700,0.15,1,1,true,2515,Trend,P,main
96842,R_5JFoASJzup9njCo,31,444,22,0.221700,0.15,1,1,true,2144,Trend,Q,main
96842,R_5JFoASJzup9njCo,32,384,8,0.221700,0.15,1,1,false,2102,Trend,P,main
96842,R_5JFoASJzup9njCo,33,320,8,0.131700,0.15,1,1,false,2482,Trend,P,main
96842,R_5JFoASJzup9njCo,34,477,14,0.315300,0.15,1,1,true,3986,Trend,Q,main
96842,R_5JFoASJzup9njCo,35,298,18,0.043700,0.15,1,1,true,2301,Trend,Q,main
96842,R_5JFoASJzup9njCo,36,204,10,-0.043700,0.15,1,1,true,2069,Trend,P,main
96842,R_5JFoASJzup9njCo,37,347,14,0.131700,0.15,1,1,true,2488,Trend,Q,main
96842,R_5JFoASJzup9njCo,38,491,18,0.315300,0.15,1,1,true,2315,Trend,Q,main
96842,R_5JFoASJzup9njCo,39,239,18,-0.043700,0.15,1,1,false,2360,Trend,Q,main
96842,R_5JFoASJzup9njCo,40,481,16,0.315300,0.15,1,1,true,3413,Trend,Q,main
