sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
95028,R_5Mg37D7ZI1Fjl3H,1,8,8,-0.221700,0.15,1,1,true,5152,Trend,P,training
95028,R_5Mg37D7ZI1Fjl3H,2,15,22,-0.221700,0.15,1,1,true,2309,Trend,P,training
95028,R_5Mg37D7ZI1Fjl3H,3,35,14,0.043700,0.15,1,1,false,2674,Trend,P,training
95028,R_5Mg37D7ZI1Fjl3H,4,33,10,0.043700,0.15,1,1,false,2352,Trend,P,training
95028,R_5Mg37D7ZI1Fjl3H,5,48,8,0.221700,0.15,1,1,true,1874,Trend,Q,training
95028,R_5Mg37D7ZI1Fjl3H,6,52,16,0.221700,0.15,1,1,true,3289,Trend,Q,training
95028,R_5Mg37D7ZI1Fjl3H,7,14,20,-0.221700,0.15,1,1,true,2371,Trend,P,training
95028,R_5Mg37D7ZI1Fjl3H,8,38,20,0.043700,0.15,1,1,true,2456,Trend,Q,training
95028,R_5Mg37D7ZI1Fjl3H,9,3,14,-0.315300,0.15,1,1,true,2111,Trend,P,training
95028,R_5Mg37D7ZI1Fjl3H,10,16,8,-0.131700,0.15,1,1,true,8078,Trend,P,training
95028,R_5Mg37D7ZI1Fjl3H,11,200,10,-0.043700,0.15,1,1,true,2372,Trend,P,main
95028,R_5Mg37D7ZI1Fjl3H,12,46,18,-0.315300,0.15,1,1,true,2408,Trend,P,main
95028,R_5Mg37D7ZI1Fjl3H,13,283,14,0.043700,0.15,1,1,false,2103,Trend,P,main
95028,R_5Mg37D7ZI1Fjl3H,14,85,12,-0.221700,0.15,1,1,true,2104,Trend,P,main
95028,R_5Mg37D7ZI1Fjl3H,15,490,18,0.315300,0.15,1,1,true,1844,Trend,Q,main
95028,R_5Mg37D7ZI1Fjl3H,16,407,12,0.221700,0.15,1,1,true,1886,Trend,Q,main
95028,R_5Mg37D7ZI1Fjl3H,17,248,22,-0.043700,0.15,1,1,true,1835,Trend,P,main
95028,R_5Mg37D7ZI1Fjl3H,18,359,16,0.131700,0.15,1,1,true,1610,Trend,Q,main
95028,R_5Mg37D7ZI1Fjl3H,19,437,20,0.221700,0.15,1,1,true,870,Trend,Q,main
95028,R_5Mg37D7ZI1Fjl3H,20,83,12,-0.221700,0.15,1,1,true,777,Trend,P,main
95028,R_5Mg37D7ZI1Fjl3H,21,201,10,-0.043700,0.15,1,1,false,1097,Trend,Q,main
95028,R_5Mg37D7ZI1Fjl3H,22,166,16,-0.131700,0.15,1,1,true,643,Trend,P,main
