sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
96639,R_5NCYzn7vXFEC53a,1,32,8,0.043700,0.15,1,2,true,2040,Number,P,training
96639,R_5NCYzn7vXFEC53a,2,36,16,0.043700,0.15,1,2,true,695,Number,Q,training
96639,R_5NCYzn7vXFEC53a,3,14,20,-0.221700,0.15,1,2,true,955,Number,Q,training
96639,R_5NCYzn7vXFEC53a,4,51,14,0.221700,0.15,1,2,true,814,Number,P,training
96639,R_5NCYzn7vXFEC53a,5,21,18,-0.131700,0.15,1,2,true,527,Number,Q,training
96639,R_5NCYzn7vXFEC53a,6,27,14,-0.043700,0.15,1,2,false,649,Number,Q,training
96639,R_5NCYzn7vXFEC53a,7,7,22,-0.315300,0.15,1,2,true,874,Number,Q,training
96639,R_5NCYzn7vXFEC53a,8,8,8,-0.221700,0.15,1,2,true,551,Number,P,training
96639,R_5NCYzn7vXFEC53a,9,19,14,-0.131700,0.15,1,2,true,1128,Number,P,training
96639,R_5NCYzn7vXFEC53a,10,37,18,0.043700,0.15,1,2,true,624,Number,Q,training
96639,R_5NCYzn7vXFEC53a,11,207,10,-0.043700,0.15,1,2,true,856,Number,P,main
96639,R_5NCYzn7vXFEC53a,12,191,22,-0.131700,0.15,1,2,true,715,Number,Q,main
96639,R_5NCYzn7vXFEC53a,13,51,20,-0.315300,0.15,1,2,true,770,Number,Q,main
96639,R_5NCYzn7vXFEC53a,14,432,20,0.221700,0.15,1,2,true,697,Number,Q,main
96639,R_5NCYzn7vXFEC53a,15,292,16,0.043700,0.15,1,2,false,907,Number,P,main
96639,R_5NCYzn7vXFEC53a,16,159,14,-0.131700,0.15,1,2,true,9782,Number,P,main
96639,R_5NCYzn7vXFEC53a,17,299,18,0.043700,0.15,1,2,true,1375,Number,Q,main
96639,R_5NCYzn7vXFEC53a,18,218,14,-0.043700,0.15,1,2,true,2093,Number,P,main
96639,R_5NCYzn7vXFEC53a,19,24,14,-0.315300,0.15,1,2,true,686,Number,P,main
96639,R_5NCYzn7vXFEC53a,20,305,20,0.043700,0.15,1,2,true,977,Number,Q,main
96639,R_5NCYzn7vXFEC53a,21,72,10,-0.221700,0.15,1,2,true,730,Number,P,main
96639,R_5NCYzn7vXFEC53a,22,464,12,0.315300,0.15,1,2,true,525,Number,P,main
96639,R_5NCYzn7vXFEC53a,23,208,12,-0.043700,0.15,1,2,true,1766,Number,P,main
96639,R_5NCYzn7vXFEC53a,24,342,12,0.131700,0.15,1,2,false,610,Number,Q,main
96639,R_5NCYzn7vXFEC53a,25,296,18,0.043700,0.15,1,2,true,1068,Number,Q,main
96639,R_5NCYzn7vXFEC53a,26,118,20,-0.221700,0.15,1,2,true,807,Number,Q,main
96639,R_5NCYzn7vXFEC53a,27,354,16,0.131700,0.15,1,2,true,712,Number,Q,main
96639,R_5NCYzn7vXFEC53a,28,382,22,0.131700,0.15,1,2,true,636,Number,Q,main
96639,R_5NCYzn7vXFEC53a,29,427,18,0.221700,0.15,1,2,true,548,Number,Q,main
96639,R_5NCYzn7vXFEC53a,30,431,18,0.221700,0.15,1,2,true,772,Number,Q,main
96639,R_5NCYzn7vXFEC53a,31,423,16,0.221700,0.15,1,2,false,1291,Number,P,main
96639,R_5NCYzn7vXFEC53a,32,422,16,0.221700,0.15,1,2,true,986,Number,Q,main
96639,R_5NCYzn7vXFEC53a,33,470,12,0.315300,0.15,1,2,true,724,Number,P,main
96639,R_5NCYzn7vXFEC53a,34,203,10,-0.043700,0.15,1,2,true,725,Number,P,main
96639,R_5NCYzn7vXFEC53a,35,65,8,-0.221700,0.15,1,2,true,585,Number,P,main
96639,R_5NCYzn7vXFEC53a,36,93,14,-0.221700,0.15,1,2,true,1305,Number,P,main
96639,R_5NCYzn7vXFEC53a,37,251,22,-0.043700,0.15,1,2,true,569,Number,Q,main
96639,R_5NCYzn7vXFEC53a,38,298,18,0.043700,0.15,1,2,true,678,Number,Q,main
96639,R_5NCYzn7vXFEC53a,39,149,12,-0.131700,0.15,1,2,true,869,Number,P,main
96639,R_5NCYzn7vXFEC53a,40,429,18,0.221700,0.15,1,2,true,983,Number,Q,main
96639,R_5NCYzn7vXFEC53a,41,227,16,-0.043700,0.15,1,2,true,796,Number,Q,main
96639,R_5NCYzn7vXFEC53a,42,295,16,0.043700,0.15,1,2,true,1166,Number,Q,main
96639,R_5NCYzn7vXFEC53a,43,484,16,0.315300,0.15,1,2,true,854,Number,Q,main
96639,R_5NCYzn7vXFEC53a,44,332,10,0.131700,0.15,1,2,true,614,Number,P,main
96639,R_5NCYzn7vXFEC53a,45,2,8,-0.315300,0.15,1,2,true,656,Number,P,main
96639,R_5NCYzn7vXFEC53a,46,123,22,-0.221700,0.15,1,2,true,789,Number,Q,main
96639,R_5NCYzn7vXFEC53a,47,13,10,-0.315300,0.15,1,2,true,644,Number,P,main
96639,R_5NCYzn7vXFEC53a,48,349,14,0.131700,0.15,1,2,true,895,Number,P,main
96639,R_5NCYzn7vXFEC53a,49,217,14,-0.043700,0.15,1,2,true,1420,Number,P,main
96639,R_5NCYzn7vXFEC53a,50,150,12,-0.131700,0.15,1,2,true,842,Number,P,main
96639,R_5NCYzn7vXFEC53a,51,358,16,0.131700,0.15,1,2,true,1120,Number,Q,main
96639,R_5NCYzn7vXFEC53a,52,344,14,0.131700,0.15,1,2,false,788,Number,Q,main
96639,R_5NCYzn7vXFEC53a,53,472,14,0.315300,0.15,1,2,true,1456,Number,P,main
96639,R_5NCYzn7vXFEC53a,54,272,12,0.043700,0.15,1,2,true,1517,Number,P,main
96639,R_5NCYzn7vXFEC53a,55,105,18,-0.221700,0.15,1,2,true,1227,Number,Q,main
96639,R_5NCYzn7vXFEC53a,56,303,18,0.043700,0.15,1,2,true,1393,Number,Q,main
96639,R_5NCYzn7vXFEC53a,57,138,10,-0.131700,0.15,1,2,true,642,Number,P,main
96639,R_5NCYzn7vXFEC53a,58,293,16,0.043700,0.15,1,2,false,1573,Number,P,main
96639,R_5NCYzn7vXFEC53a,59,39,16,-0.315300,0.15,1,2,true,988,Number,Q,main
96639,R_5NCYzn7vXFEC53a,60,259,8,0.043700,0.15,1,2,true,834,Number,P,main
96639,R_5NCYzn7vXFEC53a,61,109,18,-0.221700,0.15,1,2,true,1082,Number,Q,main
96639,R_5NCYzn7vXFEC53a,62,301,18,0.043700,0.15,1,2,true,910,Number,Q,main
96639,R_5NCYzn7vXFEC53a,63,12,10,-0.315300,0.15,1,2,true,749,Number,P,main
96639,R_5NCYzn7vXFEC53a,64,428,18,0.221700,0.15,1,2,true,1106,Number,Q,main
96639,R_5NCYzn7vXFEC53a,65,318,22,0.043700,0.15,1,2,true,622,Number,Q,main
96639,R_5NCYzn7vXFEC53a,66,43,18,-0.315300,0.15,1,2,true,1185,Number,Q,main
96639,R_5NCYzn7vXFEC53a,67,45,18,-0.315300,0.15,1,2,false,1289,Number,P,main
96639,R_5NCYzn7vXFEC53a,68,234,18,-0.043700,0.15,1,2,true,610,Number,Q,main
96639,R_5NCYzn7vXFEC53a,69,320,8,0.131700,0.15,1,2,true,694,Number,P,main
96639,R_5NCYzn7vXFEC53a,70,41,18,-0.315300,0.15,1,2,true,912,Number,Q,main
96639,R_5NCYzn7vXFEC53a,71,181,20,-0.131700,0.15,1,2,true,940,Number,Q,main
96639,R_5NCYzn7vXFEC53a,72,113,20,-0.221700,0.15,1,2,true,769,Number,Q,main
96639,R_5NCYzn7vXFEC53a,73,144,12,-0.131700,0.15,1,2,true,1334,Number,P,main
96639,R_5NCYzn7vXFEC53a,74,410,14,0.221700,0.15,1,2,false,1275,Number,Q,main
96639,R_5NCYzn7vXFEC53a,75,262,8,0.043700,0.15,1,2,true,1068,Number,P,main
96639,R_5NCYzn7vXFEC53a,76,183,20,-0.131700,0.15,1,2,true,773,Number,Q,main
96639,R_5NCYzn7vXFEC53a,77,128,8,-0.131700,0.15,1,2,true,659,Number,P,main
96639,R_5NCYzn7vXFEC53a,78,339,12,0.131700,0.15,1,2,false,705,Number,Q,main
96639,R_5NCYzn7vXFEC53a,79,270,10,0.043700,0.15,1,2,true,1250,Number,P,main
96639,R_5NCYzn7vXFEC53a,80,494,18,0.315300,0.15,1,2,true,1045,Number,Q,main
96639,R_5NCYzn7vXFEC53a,81,37,16,-0.315300,0.15,1,2,true,2038,Number,Q,main
96639,R_5NCYzn7vXFEC53a,82,475,14,0.315300,0.15,1,2,false,712,Number,Q,main
96639,R_5NCYzn7vXFEC53a,83,96,16,-0.221700,0.15,1,2,true,825,Number,Q,main
96639,R_5NCYzn7vXFEC53a,84,242,20,-0.043700,0.15,1,2,true,913,Number,Q,main
96639,R_5NCYzn7vXFEC53a,85,277,12,0.043700,0.15,1,2,false,1228,Number,Q,main
96639,R_5NCYzn7vXFEC53a,86,322,8,0.131700,0.15,1,2,true,642,Number,P,main
96639,R_5NCYzn7vXFEC53a,87,421,16,0.221700,0.15,1,2,true,1088,Number,Q,main
