sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
96704,R_5NgD3IWRMouvUAm,1,16,8,-0.131700,0.15,1,1,false,15545,Trend,Q,training
96704,R_5NgD3IWRMouvUAm,2,0,8,-0.315300,0.15,1,1,true,6195,Trend,P,training
96704,R_5NgD3IWRMouvUAm,3,53,18,0.221700,0.15,1,1,true,2169,Trend,Q,training
96704,R_5NgD3IWRMouvUAm,4,1,10,-0.315300,0.15,1,1,true,977,Trend,P,training
96704,R_5NgD3IWRMouvUAm,5,10,12,-0.221700,0.15,1,1,true,3291,Trend,P,training
96704,R_5NgD3IWRMouvUAm,6,22,20,-0.131700,0.15,1,1,true,4793,Trend,P,training
96704,R_5NgD3IWRMouvUAm,7,23,22,-0.131700,0.15,1,1,true,2234,Trend,P,training
96704,R_5NgD3IWRMouvUAm,8,37,18,0.043700,0.15,1,1,true,3923,Trend,Q,training
96704,R_5NgD3IWRMouvUAm,9,3,14,-0.315300,0.15,1,1,true,1089,Trend,P,training
96704,R_5NgD3IWRMouvUAm,10,31,22,-0.043700,0.15,1,1,true,2402,Trend,P,training
96704,R_5NgD3IWRMouvUAm,11,251,22,-0.043700,0.15,1,1,true,2759,Trend,P,main
96704,R_5NgD3IWRMouvUAm,12,242,20,-0.043700,0.15,1,1,false,2163,Trend,Q,main
96704,R_5NgD3IWRMouvUAm,13,75,10,-0.221700,0.15,1,1,true,3595,Trend,P,main
96704,R_5NgD3IWRMouvUAm,14,406,12,0.221700,0.15,1,1,true,801,Trend,Q,main
96704,R_5NgD3IWRMouvUAm,15,504,22,0.315300,0.15,1,1,true,1424,Trend,Q,main
96704,R_5NgD3IWRMouvUAm,16,308,20,0.043700,0.15,1,1,true,1722,Trend,Q,main
96704,R_5NgD3IWRMouvUAm,17,507,22,0.315300,0.15,1,1,true,1011,Trend,Q,main
96704,R_5NgD3IWRMouvUAm,18,265,10,0.043700,0.15,1,1,true,1737,Trend,Q,main
96704,R_5NgD3IWRMouvUAm,19,486,16,0.315300,0.15,1,1,true,1188,Trend,Q,main
96704,R_5NgD3IWRMouvUAm,20,212,12,-0.043700,0.15,1,1,true,2698,Trend,P,main
96704,R_5NgD3IWRMouvUAm,21,412,14,0.221700,0.15,1,1,true,1486,Trend,Q,main
96704,R_5NgD3IWRMouvUAm,22,226,16,-0.043700,0.15,1,1,false,2174,Trend,Q,main
96704,R_5NgD3IWRMouvUAm,23,77,10,-0.221700,0.15,1,1,true,934,Trend,P,main
96704,R_5NgD3IWRMouvUAm,24,393,10,0.221700,0.15,1,1,true,1966,Trend,Q,main
96704,R_5NgD3IWRMouvUAm,25,109,18,-0.221700,0.15,1,1,true,1455,Trend,P,main
96704,R_5NgD3IWRMouvUAm,26,214,12,-0.043700,0.15,1,1,false,3191,Trend,Q,main
96704,R_5NgD3IWRMouvUAm,27,497,20,0.315300,0.15,1,1,true,782,Trend,Q,main
96704,R_5NgD3IWRMouvUAm,28,93,14,-0.221700,0.15,1,1,true,3843,Trend,P,main
96704,R_5NgD3IWRMouvUAm,29,222,14,-0.043700,0.15,1,1,false,1799,Trend,Q,main
96704,R_5NgD3IWRMouvUAm,30,346,14,0.131700,0.15,1,1,true,781,Trend,Q,main
96704,R_5NgD3IWRMouvUAm,31,312,22,0.043700,0.15,1,1,true,3817,Trend,Q,main
96704,R_5NgD3IWRMouvUAm,32,415,14,0.221700,0.15,1,1,true,700,Trend,Q,main
96704,R_5NgD3IWRMouvUAm,33,156,14,-0.131700,0.15,1,1,true,923,Trend,P,main
96704,R_5NgD3IWRMouvUAm,34,377,22,0.131700,0.15,1,1,true,654,Trend,Q,main
96704,R_5NgD3IWRMouvUAm,35,465,12,0.315300,0.15,1,1,true,694,Trend,Q,main
96704,R_5NgD3IWRMouvUAm,36,223,14,-0.043700,0.15,1,1,true,1265,Trend,P,main
96704,R_5NgD3IWRMouvUAm,37,97,16,-0.221700,0.15,1,1,true,1195,Trend,P,main
96704,R_5NgD3IWRMouvUAm,38,350,14,0.131700,0.15,1,1,true,1028,Trend,Q,main
96704,R_5NgD3IWRMouvUAm,39,336,12,0.131700,0.15,1,1,true,1384,Trend,Q,main
96704,R_5NgD3IWRMouvUAm,40,509,22,0.315300,0.15,1,1,true,768,Trend,Q,main
96704,R_5NgD3IWRMouvUAm,41,390,8,0.221700,0.15,1,1,true,786,Trend,Q,main
96704,R_5NgD3IWRMouvUAm,42,117,20,-0.221700,0.15,1,1,true,774,Trend,P,main
96704,R_5NgD3IWRMouvUAm,43,431,18,0.221700,0.15,1,1,true,653,Trend,Q,main
96704,R_5NgD3IWRMouvUAm,44,368,20,0.131700,0.15,1,1,true,4265,Trend,Q,main
96704,R_5NgD3IWRMouvUAm,45,206,10,-0.043700,0.15,1,1,false,1957,Trend,Q,main
96704,R_5NgD3IWRMouvUAm,46,321,8,0.131700,0.15,1,1,false,1298,Trend,P,main
96704,R_5NgD3IWRMouvUAm,47,475,14,0.315300,0.15,1,1,true,1802,Trend,Q,main
96704,R_5NgD3IWRMouvUAm,48,229,16,-0.043700,0.15,1,1,true,1292,Trend,P,main
96704,R_5NgD3IWRMouvUAm,49,159,14,-0.131700,0.15,1,1,true,1288,Trend,P,main
96704,R_5NgD3IWRMouvUAm,50,73,10,-0.221700,0.15,1,1,true,832,Trend,P,main
96704,R_5NgD3IWRMouvUAm,51,287,14,0.043700,0.15,1,1,true,851,Trend,Q,main
96704,R_5NgD3IWRMouvUAm,52,300,18,0.043700,0.15,1,1,false,2598,Trend,P,main
96704,R_5NgD3IWRMouvUAm,53,112,20,-0.221700,0.15,1,1,true,1374,Trend,P,main
96704,R_5NgD3IWRMouvUAm,54,342,12,0.131700,0.15,1,1,true,746,Trend,Q,main
96704,R_5NgD3IWRMouvUAm,55,157,14,-0.131700,0.15,1,1,true,926,Trend,P,main
96704,R_5NgD3IWRMouvUAm,56,257,8,0.043700,0.15,1,1,false,802,Trend,P,main
96704,R_5NgD3IWRMouvUAm,57,322,8,0.131700,0.15,1,1,true,647,Trend,Q,main
96704,R_5NgD3IWRMouvUAm,58,180,20,-0.131700,0.15,1,1,true,858,Trend,P,main
96704,R_5NgD3IWRMouvUAm,59,144,12,-0.131700,0.15,1,1,true,706,Trend,P,main
96704,R_5NgD3IWRMouvUAm,60,446,22,0.221700,0.15,1,1,true,545,Trend,Q,main
96704,R_5NgD3IWRMouvUAm,61,370,20,0.131700,0.15,1,1,true,1723,Trend,Q,main
96704,R_5NgD3IWRMouvUAm,62,163,16,-0.131700,0.15,1,1,true,644,Trend,P,main
96704,R_5NgD3IWRMouvUAm,63,133,8,-0.131700,0.15,1,1,false,2235,Trend,Q,main
96704,R_5NgD3IWRMouvUAm,64,57,22,-0.315300,0.15,1,1,true,980,Trend,P,main
96704,R_5NgD3IWRMouvUAm,65,219,14,-0.043700,0.15,1,1,true,2609,Trend,P,main
96704,R_5NgD3IWRMouvUAm,66,266,10,0.043700,0.15,1,1,true,543,Trend,Q,main
96704,R_5NgD3IWRMouvUAm,67,286,14,0.043700,0.15,1,1,false,677,Trend,P,main
96704,R_5NgD3IWRMouvUAm,68,194,8,-0.043700,0.15,1,1,true,771,Trend,P,main
96704,R_5NgD3IWRMouvUAm,69,9,10,-0.315300,0.15,1,1,true,652,Trend,P,main
96704,R_5NgD3IWRMouvUAm,70,84,12,-0.221700,0.15,1,1,true,766,Trend,P,main
96704,R_5NgD3IWRMouvUAm,71,314,22,0.043700,0.15,1,1,true,1253,Trend,Q,main
96704,R_5NgD3IWRMouvUAm,72,203,10,-0.043700,0.15,1,1,false,654,Trend,Q,main
96704,R_5NgD3IWRMouvUAm,73,176,20,-0.131700,0.15,1,1,true,1963,Trend,P,main
96704,R_5NgD3IWRMouvUAm,74,64,8,-0.221700,0.15,1,1,true,1373,Trend,P,main
96704,R_5NgD3IWRMouvUAm,75,172,18,-0.131700,0.15,1,1,true,717,Trend,P,main
96704,R_5NgD3IWRMouvUAm,76,328,10,0.131700,0.15,1,1,true,501,Trend,Q,main
96704,R_5NgD3IWRMouvUAm,77,338,12,0.131700,0.15,1,1,true,734,Trend,Q,main
