sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
97564,R_5YQa9GIoHUPtoIz,1,43,14,0.131700,0.15,1,2,true,4747,Number,P,training
97564,R_5YQa9GIoHUPtoIz,2,49,10,0.221700,0.15,1,2,true,7925,Number,P,training
97564,R_5YQa9GIoHUPtoIz,3,50,12,0.221700,0.15,1,2,true,3064,Number,P,training
97564,R_5YQa9GIoHUPtoIz,4,12,16,-0.221700,0.15,1,2,true,3389,Number,Q,training
97564,R_5YQa9GIoHUPtoIz,5,31,22,-0.043700,0.15,1,2,true,2556,Number,Q,training
97564,R_5YQa9GIoHUPtoIz,6,11,14,-0.221700,0.15,1,2,true,3255,Number,P,training
97564,R_5YQa9GIoHUPtoIz,7,20,16,-0.131700,0.15,1,2,true,4082,Number,Q,training
97564,R_5YQa9GIoHUPtoIz,8,46,20,0.131700,0.15,1,2,true,2492,Number,Q,training
97564,R_5YQa9GIoHUPtoIz,9,35,14,0.043700,0.15,1,2,true,2357,Number,P,training
97564,R_5YQa9GIoHUPtoIz,10,57,10,0.315300,0.15,1,2,true,2811,Number,P,training
97564,R_5YQa9GIoHUPtoIz,11,455,8,0.315300,0.15,1,2,true,2371,Number,P,main
97564,R_5YQa9GIoHUPtoIz,12,274,12,0.043700,0.15,1,2,true,2159,Number,P,main
97564,R_5YQa9GIoHUPtoIz,13,421,16,0.221700,0.15,1,2,false,2369,Number,P,main
97564,R_5YQa9GIoHUPtoIz,14,169,18,-0.131700,0.15,1,2,true,2377,Number,Q,main
97564,R_5YQa9GIoHUPtoIz,15,495,18,0.315300,0.15,1,2,true,4303,Number,Q,main
97564,R_5YQa9GIoHUPtoIz,16,126,22,-0.221700,0.15,1,2,true,2288,Number,Q,main
97564,R_5YQa9GIoHUPtoIz,17,502,20,0.315300,0.15,1,2,true,2162,Number,Q,main
97564,R_5YQa9GIoHUPtoIz,18,27,14,-0.315300,0.15,1,2,false,2762,Number,Q,main
97564,R_5YQa9GIoHUPtoIz,19,272,12,0.043700,0.15,1,2,true,2316,Number,P,main
97564,R_5YQa9GIoHUPtoIz,20,201,10,-0.043700,0.15,1,2,true,2301,Number,P,main
97564,R_5YQa9GIoHUPtoIz,21,335,10,0.131700,0.15,1,2,true,2439,Number,P,main
97564,R_5YQa9GIoHUPtoIz,22,91,14,-0.221700,0.15,1,2,false,2964,Number,Q,main
97564,R_5YQa9GIoHUPtoIz,23,134,8,-0.131700,0.15,1,2,true,2099,Number,P,main
97564,R_5YQa9GIoHUPtoIz,24,71,8,-0.221700,0.15,1,2,true,2065,Number,P,main
97564,R_5YQa9GIoHUPtoIz,25,501,20,0.315300,0.15,1,2,true,2149,Number,Q,main
97564,R_5YQa9GIoHUPtoIz,26,433,20,0.221700,0.15,1,2,true,2606,Number,Q,main
97564,R_5YQa9GIoHUPtoIz,27,257,8,0.043700,0.15,1,2,true,1856,Number,P,main
