sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
97608,R_5hSuJBArBI0LfKN,1,35,14,0.043700,0.15,2,1,false,2298,Trend,Q,training
97608,R_5hSuJBArBI0LfKN,2,2,12,-0.315300,0.15,2,1,true,3012,Trend,Q,training
97608,R_5hSuJBArBI0LfKN,3,50,12,0.221700,0.15,2,1,true,2456,Trend,P,training
97608,R_5hSuJBArBI0LfKN,4,31,22,-0.043700,0.15,2,1,true,1646,Trend,Q,training
97608,R_5hSuJBArBI0LfKN,5,4,16,-0.315300,0.15,2,1,true,876,Trend,Q,training
97608,R_5hSuJBArBI0LfKN,6,9,10,-0.221700,0.15,2,1,true,720,Trend,Q,training
97608,R_5hSuJBArBI0LfKN,7,60,16,0.315300,0.15,2,1,true,593,Trend,P,training
97608,R_5hSuJBArBI0LfKN,8,57,10,0.315300,0.15,2,1,true,612,Trend,P,training
97608,R_5hSuJBArBI0LfKN,9,6,20,-0.315300,0.15,2,1,true,705,Trend,Q,training
97608,R_5hSuJBArBI0LfKN,10,14,20,-0.221700,0.15,2,1,true,780,Trend,Q,training
97608,R_5hSuJBArBI0LfKN,11,187,22,-0.131700,0.15,2,1,true,732,Trend,Q,main
97608,R_5hSuJBArBI0LfKN,12,193,8,-0.043700,0.15,2,1,false,739,Trend,P,main
97608,R_5hSuJBArBI0LfKN,13,111,18,-0.221700,0.15,2,1,true,618,Trend,Q,main
97608,R_5hSuJBArBI0LfKN,14,444,22,0.221700,0.15,2,1,true,632,Trend,P,main
97608,R_5hSuJBArBI0LfKN,15,9,10,-0.315300,0.15,2,1,true,589,Trend,Q,main
97608,R_5hSuJBArBI0LfKN,16,436,20,0.221700,0.15,2,1,true,578,Trend,P,main
97608,R_5hSuJBArBI0LfKN,17,211,12,-0.043700,0.15,2,1,true,820,Trend,Q,main
97608,R_5hSuJBArBI0LfKN,18,245,20,-0.043700,0.15,2,1,false,757,Trend,P,main
97608,R_5hSuJBArBI0LfKN,19,155,14,-0.131700,0.15,2,1,false,575,Trend,P,main
97608,R_5hSuJBArBI0LfKN,20,309,20,0.043700,0.15,2,1,false,3788,Trend,Q,main
97608,R_5hSuJBArBI0LfKN,21,493,18,0.315300,0.15,2,1,true,1237,Trend,P,main
97608,R_5hSuJBArBI0LfKN,22,151,12,-0.131700,0.15,2,1,true,611,Trend,Q,main
97608,R_5hSuJBArBI0LfKN,23,225,16,-0.043700,0.15,2,1,true,986,Trend,Q,main
97608,R_5hSuJBArBI0LfKN,24,479,14,0.315300,0.15,2,1,true,602,Trend,P,main
97608,R_5hSuJBArBI0LfKN,25,212,12,-0.043700,0.15,2,1,true,609,Trend,Q,main
97608,R_5hSuJBArBI0LfKN,26,18,12,-0.315300,0.15,2,1,true,510,Trend,Q,main
97608,R_5hSuJBArBI0LfKN,27,39,16,-0.315300,0.15,2,1,true,432,Trend,Q,main
97608,R_5hSuJBArBI0LfKN,28,48,20,-0.315300,0.15,2,1,true,504,Trend,Q,main
97608,R_5hSuJBArBI0LfKN,29,417,16,0.221700,0.15,2,1,false,431,Trend,Q,main
97608,R_5hSuJBArBI0LfKN,30,40,18,-0.315300,0.15,2,1,true,815,Trend,Q,main
97608,R_5hSuJBArBI0LfKN,31,322,8,0.131700,0.15,2,1,true,489,Trend,P,main
97608,R_5hSuJBArBI0LfKN,32,65,8,-0.221700,0.15,2,1,true,643,Trend,Q,main
97608,R_5hSuJBArBI0LfKN,33,447,22,0.221700,0.15,2,1,true,719,Trend,P,main
97608,R_5hSuJBArBI0LfKN,34,502,20,0.315300,0.15,2,1,true,508,Trend,P,main
97608,R_5hSuJBArBI0LfKN,35,511,22,0.315300,0.15,2,1,true,403,Trend,P,main
97608,R_5hSuJBArBI0LfKN,36,435,20,0.221700,0.15,2,1,true,424,Trend,P,main
97608,R_5hSuJBArBI0LfKN,37,141,10,-0.131700,0.15,2,1,true,536,Trend,Q,main
97608,R_5hSuJBArBI0LfKN,38,29,14,-0.315300,0.15,2,1,true,594,Trend,Q,main
97608,R_5hSuJBArBI0LfKN,39,219,14,-0.043700,0.15,2,1,false,1554,Trend,P,main
97608,R_5hSuJBArBI0LfKN,40,240,20,-0.043700,0.15,2,1,true,1002,Trend,Q,main
97608,R_5hSuJBArBI0LfKN,41,428,18,0.221700,0.15,2,1,true,529,Trend,P,main
97608,R_5hSuJBArBI0LfKN,42,231,16,-0.043700,0.15,2,1,true,1036,Trend,Q,main
97608,R_5hSuJBArBI0LfKN,43,153,14,-0.131700,0.15,2,1,false,600,Trend,P,main
97608,R_5hSuJBArBI0LfKN,44,277,12,0.043700,0.15,2,1,true,2426,Trend,P,main
97608,R_5hSuJBArBI0LfKN,45,60,22,-0.315300,0.15,2,1,true,633,Trend,Q,main
97608,R_5hSuJBArBI0LfKN,46,475,14,0.315300,0.15,2,1,true,676,Trend,P,main
97608,R_5hSuJBArBI0LfKN,47,244,20,-0.043700,0.15,2,1,true,1178,Trend,Q,main
97608,R_5hSuJBArBI0LfKN,48,112,20,-0.221700,0.15,2,1,true,583,Trend,Q,main
97608,R_5hSuJBArBI0LfKN,49,215,12,-0.043700,0.15,2,1,false,1016,Trend,P,main
97608,R_5hSuJBArBI0LfKN,50,385,8,0.221700,0.15,2,1,true,911,Trend,P,main
97608,R_5hSuJBArBI0LfKN,51,303,18,0.043700,0.15,2,1,true,627,Trend,P,main
97608,R_5hSuJBArBI0LfKN,52,117,20,-0.221700,0.15,2,1,true,671,Trend,Q,main
97608,R_5hSuJBArBI0LfKN,53,338,12,0.131700,0.15,2,1,true,662,Trend,P,main
97608,R_5hSuJBArBI0LfKN,54,430,18,0.221700,0.15,2,1,true,479,Trend,P,main
