sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
97672,R_5mF4ttL5dRziSrh,1,38,20,0.043700,0.15,2,2,true,4920,Number,P,training
97672,R_5mF4ttL5dRziSrh,2,49,10,0.221700,0.15,2,2,true,795,Number,Q,training
97672,R_5mF4ttL5dRziSrh,3,29,18,-0.043700,0.15,2,2,true,765,Number,P,training
97672,R_5mF4ttL5dRziSrh,4,16,8,-0.131700,0.15,2,2,false,626,Number,P,training
97672,R_5mF4ttL5dRziSrh,5,35,14,0.043700,0.15,2,2,false,1404,Number,P,training
97672,R_5mF4ttL5dRziSrh,6,6,20,-0.315300,0.15,2,2,true,681,Number,P,training
97672,R_5mF4ttL5dRziSrh,7,0,8,-0.315300,0.15,2,2,true,607,Number,Q,training
97672,R_5mF4ttL5dRziSrh,8,61,18,0.315300,0.15,2,2,true,873,Number,P,training
97672,R_5mF4ttL5dRziSrh,9,10,12,-0.221700,0.15,2,2,true,1078,Number,Q,training
97672,R_5mF4ttL5dRziSrh,10,58,12,0.315300,0.15,2,2,true,5561,Number,Q,training
97672,R_5mF4ttL5dRziSrh,11,169,18,-0.131700,0.15,2,2,true,792,Number,P,main
97672,R_5mF4ttL5dRziSrh,12,281,14,0.043700,0.15,2,2,true,1034,Number,Q,main
97672,R_5mF4ttL5dRziSrh,13,72,10,-0.221700,0.15,2,2,true,727,Number,Q,main
97672,R_5mF4ttL5dRziSrh,14,374,20,0.131700,0.15,2,2,true,525,Number,P,main
97672,R_5mF4ttL5dRziSrh,15,51,20,-0.315300,0.15,2,2,true,1593,Number,P,main
97672,R_5mF4ttL5dRziSrh,16,423,16,0.221700,0.15,2,2,true,928,Number,P,main
97672,R_5mF4ttL5dRziSrh,17,451,8,0.315300,0.15,2,2,true,524,Number,Q,main
97672,R_5mF4ttL5dRziSrh,18,459,10,0.315300,0.15,2,2,true,565,Number,Q,main
97672,R_5mF4ttL5dRziSrh,19,402,12,0.221700,0.15,2,2,true,847,Number,Q,main
97672,R_5mF4ttL5dRziSrh,20,219,14,-0.043700,0.15,2,2,false,1024,Number,P,main
97672,R_5mF4ttL5dRziSrh,21,67,8,-0.221700,0.15,2,2,true,615,Number,Q,main
97672,R_5mF4ttL5dRziSrh,22,466,12,0.315300,0.15,2,2,true,913,Number,Q,main
97672,R_5mF4ttL5dRziSrh,23,421,16,0.221700,0.15,2,2,false,1168,Number,Q,main
97672,R_5mF4ttL5dRziSrh,24,327,8,0.131700,0.15,2,2,false,631,Number,P,main
97672,R_5mF4ttL5dRziSrh,25,511,22,0.315300,0.15,2,2,true,1524,Number,P,main
97672,R_5mF4ttL5dRziSrh,26,152,14,-0.131700,0.15,2,2,false,1148,Number,P,main
97672,R_5mF4ttL5dRziSrh,27,269,10,0.043700,0.15,2,2,true,624,Number,Q,main
97672,R_5mF4ttL5dRziSrh,28,254,22,-0.043700,0.15,2,2,true,613,Number,P,main
97672,R_5mF4ttL5dRziSrh,29,494,18,0.315300,0.15,2,2,true,880,Number,P,main
97672,R_5mF4ttL5dRziSrh,30,506,22,0.315300,0.15,2,2,true,812,Number,P,main
97672,R_5mF4ttL5dRziSrh,31,132,8,-0.131700,0.15,2,2,true,466,Number,Q,main
97672,R_5mF4ttL5dRziSrh,32,435,20,0.221700,0.15,2,2,true,636,Number,P,main
97672,R_5mF4ttL5dRziSrh,33,446,22,0.221700,0.15,2,2,true,656,Number,P,main
97672,R_5mF4ttL5dRziSrh,34,257,8,0.043700,0.15,2,2,true,609,Number,Q,main
97672,R_5mF4ttL5dRziSrh,35,189,22,-0.131700,0.15,2,2,true,459,Number,P,main
97672,R_5mF4ttL5dRziSrh,36,181,20,-0.131700,0.15,2,2,true,570,Number,P,main
97672,R_5mF4ttL5dRziSrh,37,411,14,0.221700,0.15,2,2,false,1008,Number,P,main
97672,R_5mF4ttL5dRziSrh,38,378,22,0.131700,0.15,2,2,true,465,Number,P,main
97672,R_5mF4ttL5dRziSrh,39,47,18,-0.315300,0.15,2,2,true,560,Number,P,main
97672,R_5mF4ttL5dRziSrh,40,275,12,0.043700,0.15,2,2,true,586,Number,Q,main
97672,R_5mF4ttL5dRziSrh,41,231,16,-0.043700,0.15,2,2,true,724,Number,P,main
97672,R_5mF4ttL5dRziSrh,42,138,10,-0.131700,0.15,2,2,true,590,Number,Q,main
97672,R_5mF4ttL5dRziSrh,43,279,12,0.043700,0.15,2,2,false,665,Number,P,main
97672,R_5mF4ttL5dRziSrh,44,182,20,-0.131700,0.15,2,2,true,492,Number,P,main
97672,R_5mF4ttL5dRziSrh,45,110,18,-0.221700,0.15,2,2,true,607,Number,P,main
97672,R_5mF4ttL5dRziSrh,46,370,20,0.131700,0.15,2,2,true,571,Number,P,main
97672,R_5mF4ttL5dRziSrh,47,136,10,-0.131700,0.15,2,2,true,644,Number,Q,main
97672,R_5mF4ttL5dRziSrh,48,390,8,0.221700,0.15,2,2,true,852,Number,Q,main
97672,R_5mF4ttL5dRziSrh,49,318,22,0.043700,0.15,2,2,true,611,Number,P,main
97672,R_5mF4ttL5dRziSrh,50,112,20,-0.221700,0.15,2,2,true,588,Number,P,main
97672,R_5mF4ttL5dRziSrh,51,107,18,-0.221700,0.15,2,2,true,651,Number,P,main
97672,R_5mF4ttL5dRziSrh,52,93,14,-0.221700,0.15,2,2,true,744,Number,Q,main
97672,R_5mF4ttL5dRziSrh,53,493,18,0.315300,0.15,2,2,true,784,Number,P,main
97672,R_5mF4ttL5dRziSrh,54,442,22,0.221700,0.15,2,2,true,616,Number,P,main
97672,R_5mF4ttL5dRziSrh,55,6,8,-0.315300,0.15,2,2,true,604,Number,Q,main
97672,R_5mF4ttL5dRziSrh,56,364,18,0.131700,0.15,2,2,true,528,Number,P,main
97672,R_5mF4ttL5dRziSrh,57,36,16,-0.315300,0.15,2,2,true,723,Number,P,main
97672,R_5mF4ttL5dRziSrh,58,54,20,-0.315300,0.15,2,2,true,664,Number,P,main
97672,R_5mF4ttL5dRziSrh,59,159,14,-0.131700,0.15,2,2,true,766,Number,Q,main
97672,R_5mF4ttL5dRziSrh,60,251,22,-0.043700,0.15,2,2,true,554,Number,P,main
97672,R_5mF4ttL5dRziSrh,61,306,20,0.043700,0.15,2,2,true,581,Number,P,main
97672,R_5mF4ttL5dRziSrh,62,55,20,-0.315300,0.15,2,2,true,991,Number,P,main
97672,R_5mF4ttL5dRziSrh,63,346,14,0.131700,0.15,2,2,false,916,Number,P,main
97672,R_5mF4ttL5dRziSrh,64,188,22,-0.131700,0.15,2,2,true,535,Number,P,main
97672,R_5mF4ttL5dRziSrh,65,287,14,0.043700,0.15,2,2,true,931,Number,Q,main
97672,R_5mF4ttL5dRziSrh,66,487,16,0.315300,0.15,2,2,true,927,Number,P,main
97672,R_5mF4ttL5dRziSrh,67,12,10,-0.315300,0.15,2,2,true,1228,Number,Q,main
97672,R_5mF4ttL5dRziSrh,68,301,18,0.043700,0.15,2,2,true,802,Number,P,main
97672,R_5mF4ttL5dRziSrh,69,304,20,0.043700,0.15,2,2,true,655,Number,P,main
97672,R_5mF4ttL5dRziSrh,70,363,18,0.131700,0.15,2,2,true,659,Number,P,main
97672,R_5mF4ttL5dRziSrh,71,142,10,-0.131700,0.15,2,2,true,655,Number,Q,main
97672,R_5mF4ttL5dRziSrh,72,39,16,-0.315300,0.15,2,2,true,756,Number,P,main
97672,R_5mF4ttL5dRziSrh,73,382,22,0.131700,0.15,2,2,true,521,Number,P,main
97672,R_5mF4ttL5dRziSrh,74,199,8,-0.043700,0.15,2,2,true,588,Number,Q,main
97672,R_5mF4ttL5dRziSrh,75,111,18,-0.221700,0.15,2,2,true,582,Number,P,main
97672,R_5mF4ttL5dRziSrh,76,235,18,-0.043700,0.15,2,2,true,524,Number,P,main
97672,R_5mF4ttL5dRziSrh,77,365,18,0.131700,0.15,2,2,true,587,Number,P,main
97672,R_5mF4ttL5dRziSrh,78,95,14,-0.221700,0.15,2,2,false,690,Number,P,main
97672,R_5mF4ttL5dRziSrh,79,102,16,-0.221700,0.15,2,2,false,1221,Number,Q,main
97672,R_5mF4ttL5dRziSrh,80,193,8,-0.043700,0.15,2,2,true,826,Number,Q,main
97672,R_5mF4ttL5dRziSrh,81,391,8,0.221700,0.15,2,2,true,598,Number,Q,main
97672,R_5mF4ttL5dRziSrh,82,455,8,0.315300,0.15,2,2,true,443,Number,Q,main
97672,R_5mF4ttL5dRziSrh,83,236,18,-0.043700,0.15,2,2,true,548,Number,P,main
97672,R_5mF4ttL5dRziSrh,84,217,14,-0.043700,0.15,2,2,false,484,Number,P,main
97672,R_5mF4ttL5dRziSrh,85,218,14,-0.043700,0.15,2,2,true,464,Number,Q,main
97672,R_5mF4ttL5dRziSrh,86,179,20,-0.131700,0.15,2,2,true,494,Number,P,main
97672,R_5mF4ttL5dRziSrh,87,356,16,0.131700,0.15,2,2,true,611,Number,P,main
97672,R_5mF4ttL5dRziSrh,88,334,10,0.131700,0.15,2,2,true,613,Number,Q,main
97672,R_5mF4ttL5dRziSrh,89,250,22,-0.043700,0.15,2,2,true,510,Number,P,main
97672,R_5mF4ttL5dRziSrh,90,325,8,0.131700,0.15,2,2,true,572,Number,Q,main
97672,R_5mF4ttL5dRziSrh,91,131,8,-0.131700,0.15,2,2,true,779,Number,Q,main
97672,R_5mF4ttL5dRziSrh,92,362,18,0.131700,0.15,2,2,true,608,Number,P,main
97672,R_5mF4ttL5dRziSrh,93,176,20,-0.131700,0.15,2,2,true,462,Number,P,main
97672,R_5mF4ttL5dRziSrh,94,11,10,-0.315300,0.15,2,2,false,1185,Number,P,main
97672,R_5mF4ttL5dRziSrh,95,308,20,0.043700,0.15,2,2,true,748,Number,P,main
97672,R_5mF4ttL5dRziSrh,96,143,10,-0.131700,0.15,2,2,true,714,Number,Q,main
97672,R_5mF4ttL5dRziSrh,97,4,8,-0.315300,0.15,2,2,true,679,Number,Q,main
97672,R_5mF4ttL5dRziSrh,98,376,22,0.131700,0.15,2,2,true,476,Number,P,main
97672,R_5mF4ttL5dRziSrh,99,180,20,-0.131700,0.15,2,2,true,634,Number,P,main
97672,R_5mF4ttL5dRziSrh,100,61,22,-0.315300,0.15,2,2,true,580,Number,P,main
97672,R_5mF4ttL5dRziSrh,101,409,14,0.221700,0.15,2,2,false,1135,Number,P,main
97672,R_5mF4ttL5dRziSrh,102,505,22,0.315300,0.15,2,2,true,447,Number,P,main
97672,R_5mF4ttL5dRziSrh,103,311,20,0.043700,0.15,2,2,true,515,Number,P,main
97672,R_5mF4ttL5dRziSrh,104,212,12,-0.043700,0.15,2,2,true,530,Number,Q,main
97672,R_5mF4ttL5dRziSrh,105,418,16,0.221700,0.15,2,2,true,2435,Number,P,main
97672,R_5mF4ttL5dRziSrh,106,187,22,-0.131700,0.15,2,2,true,590,Number,P,main
97672,R_5mF4ttL5dRziSrh,107,48,20,-0.315300,0.15,2,2,true,648,Number,P,main
97672,R_5mF4ttL5dRziSrh,108,317,22,0.043700,0.15,2,2,true,435,Number,P,main
97672,R_5mF4ttL5dRziSrh,109,352,16,0.131700,0.15,2,2,true,406,Number,P,main
97672,R_5mF4ttL5dRziSrh,110,53,20,-0.315300,0.15,2,2,true,466,Number,P,main
97672,R_5mF4ttL5dRziSrh,111,0,8,-0.315300,0.15,2,2,true,533,Number,Q,main
97672,R_5mF4ttL5dRziSrh,112,298,18,0.043700,0.15,2,2,true,822,Number,P,main
97672,R_5mF4ttL5dRziSrh,113,97,16,-0.221700,0.15,2,2,false,607,Number,Q,main
97672,R_5mF4ttL5dRziSrh,114,440,22,0.221700,0.15,2,2,true,634,Number,P,main
97672,R_5mF4ttL5dRziSrh,115,173,18,-0.131700,0.15,2,2,false,776,Number,Q,main
97672,R_5mF4ttL5dRziSrh,116,37,16,-0.315300,0.15,2,2,true,463,Number,P,main
97672,R_5mF4ttL5dRziSrh,117,399,10,0.221700,0.15,2,2,true,585,Number,Q,main
97672,R_5mF4ttL5dRziSrh,118,297,18,0.043700,0.15,2,2,true,683,Number,P,main
97672,R_5mF4ttL5dRziSrh,119,271,10,0.043700,0.15,2,2,false,754,Number,P,main
97672,R_5mF4ttL5dRziSrh,120,17,12,-0.315300,0.15,2,2,true,1365,Number,Q,main
97672,R_5mF4ttL5dRziSrh,121,290,16,0.043700,0.15,2,2,false,4557,Number,Q,main
97672,R_5mF4ttL5dRziSrh,122,141,10,-0.131700,0.15,2,2,true,902,Number,Q,main
97672,R_5mF4ttL5dRziSrh,123,66,8,-0.221700,0.15,2,2,true,578,Number,Q,main
97672,R_5mF4ttL5dRziSrh,124,349,14,0.131700,0.15,2,2,true,605,Number,Q,main
97672,R_5mF4ttL5dRziSrh,125,452,8,0.315300,0.15,2,2,true,646,Number,Q,main
97672,R_5mF4ttL5dRziSrh,126,412,14,0.221700,0.15,2,2,false,577,Number,P,main
97672,R_5mF4ttL5dRziSrh,127,38,16,-0.315300,0.15,2,2,true,1065,Number,P,main
97672,R_5mF4ttL5dRziSrh,128,351,14,0.131700,0.15,2,2,true,1216,Number,Q,main
97672,R_5mF4ttL5dRziSrh,129,135,8,-0.131700,0.15,2,2,true,627,Number,Q,main
97672,R_5mF4ttL5dRziSrh,130,210,12,-0.043700,0.15,2,2,true,731,Number,Q,main
97672,R_5mF4ttL5dRziSrh,131,389,8,0.221700,0.15,2,2,true,471,Number,Q,main
97672,R_5mF4ttL5dRziSrh,132,24,14,-0.315300,0.15,2,2,false,634,Number,P,main
97672,R_5mF4ttL5dRziSrh,133,75,10,-0.221700,0.15,2,2,true,976,Number,Q,main
97672,R_5mF4ttL5dRziSrh,134,91,14,-0.221700,0.15,2,2,false,1187,Number,P,main
97672,R_5mF4ttL5dRziSrh,135,108,18,-0.221700,0.15,2,2,false,2389,Number,Q,main
97672,R_5mF4ttL5dRziSrh,136,70,8,-0.221700,0.15,2,2,true,816,Number,Q,main
97672,R_5mF4ttL5dRziSrh,137,59,22,-0.315300,0.15,2,2,true,670,Number,P,main
97672,R_5mF4ttL5dRziSrh,138,283,14,0.043700,0.15,2,2,false,1581,Number,P,main
97672,R_5mF4ttL5dRziSrh,139,162,16,-0.131700,0.15,2,2,true,829,Number,P,main
97672,R_5mF4ttL5dRziSrh,140,276,12,0.043700,0.15,2,2,true,778,Number,Q,main
97672,R_5mF4ttL5dRziSrh,141,416,16,0.221700,0.15,2,2,false,768,Number,Q,main
97672,R_5mF4ttL5dRziSrh,142,465,12,0.315300,0.15,2,2,true,559,Number,Q,main
97672,R_5mF4ttL5dRziSrh,143,9,10,-0.315300,0.15,2,2,true,720,Number,Q,main
97672,R_5mF4ttL5dRziSrh,144,468,12,0.315300,0.15,2,2,true,537,Number,Q,main
97672,R_5mF4ttL5dRziSrh,145,230,16,-0.043700,0.15,2,2,false,499,Number,Q,main
97672,R_5mF4ttL5dRziSrh,146,425,18,0.221700,0.15,2,2,false,461,Number,Q,main
97672,R_5mF4ttL5dRziSrh,147,154,14,-0.131700,0.15,2,2,true,1083,Number,Q,main
97672,R_5mF4ttL5dRziSrh,148,130,8,-0.131700,0.15,2,2,true,619,Number,Q,main
97672,R_5mF4ttL5dRziSrh,149,371,20,0.131700,0.15,2,2,false,365,Number,Q,main
97672,R_5mF4ttL5dRziSrh,150,101,16,-0.221700,0.15,2,2,true,393,Number,P,main
97672,R_5mF4ttL5dRziSrh,151,77,10,-0.221700,0.15,2,2,false,499,Number,P,main
97672,R_5mF4ttL5dRziSrh,152,502,20,0.315300,0.15,2,2,true,415,Number,P,main
97672,R_5mF4ttL5dRziSrh,153,150,12,-0.131700,0.15,2,2,true,345,Number,Q,main
97672,R_5mF4ttL5dRziSrh,154,227,16,-0.043700,0.15,2,2,true,277,Number,P,main
97672,R_5mF4ttL5dRziSrh,155,460,10,0.315300,0.15,2,2,true,474,Number,Q,main
97672,R_5mF4ttL5dRziSrh,156,413,14,0.221700,0.15,2,2,false,347,Number,P,main
97672,R_5mF4ttL5dRziSrh,157,331,10,0.131700,0.15,2,2,true,412,Number,Q,main
97672,R_5mF4ttL5dRziSrh,158,432,20,0.221700,0.15,2,2,false,322,Number,Q,main
97672,R_5mF4ttL5dRziSrh,159,497,20,0.315300,0.15,2,2,true,732,Number,P,main
97672,R_5mF4ttL5dRziSrh,160,153,14,-0.131700,0.15,2,2,false,910,Number,P,main
97672,R_5mF4ttL5dRziSrh,161,117,20,-0.221700,0.15,2,2,true,852,Number,P,main
97672,R_5mF4ttL5dRziSrh,162,264,10,0.043700,0.15,2,2,true,715,Number,Q,main
97672,R_5mF4ttL5dRziSrh,163,368,20,0.131700,0.15,2,2,true,457,Number,P,main
97672,R_5mF4ttL5dRziSrh,164,461,10,0.315300,0.15,2,2,true,521,Number,Q,main
97672,R_5mF4ttL5dRziSrh,165,123,22,-0.221700,0.15,2,2,true,460,Number,P,main
97672,R_5mF4ttL5dRziSrh,166,464,12,0.315300,0.15,2,2,true,362,Number,Q,main
97672,R_5mF4ttL5dRziSrh,167,397,10,0.221700,0.15,2,2,false,308,Number,P,main
97672,R_5mF4ttL5dRziSrh,168,68,8,-0.221700,0.15,2,2,true,368,Number,Q,main
97672,R_5mF4ttL5dRziSrh,169,498,20,0.315300,0.15,2,2,true,330,Number,P,main
97672,R_5mF4ttL5dRziSrh,170,200,10,-0.043700,0.15,2,2,true,293,Number,Q,main
97672,R_5mF4ttL5dRziSrh,171,158,14,-0.131700,0.15,2,2,false,1186,Number,P,main
97672,R_5mF4ttL5dRziSrh,172,146,12,-0.131700,0.15,2,2,true,965,Number,Q,main
97672,R_5mF4ttL5dRziSrh,173,386,8,0.221700,0.15,2,2,true,677,Number,Q,main
97672,R_5mF4ttL5dRziSrh,174,443,22,0.221700,0.15,2,2,true,610,Number,P,main
97672,R_5mF4ttL5dRziSrh,175,383,22,0.131700,0.15,2,2,true,429,Number,P,main
97672,R_5mF4ttL5dRziSrh,176,121,22,-0.221700,0.15,2,2,true,539,Number,P,main
97672,R_5mF4ttL5dRziSrh,177,184,22,-0.131700,0.15,2,2,true,462,Number,P,main
97672,R_5mF4ttL5dRziSrh,178,345,14,0.131700,0.15,2,2,true,871,Number,Q,main
97672,R_5mF4ttL5dRziSrh,179,124,22,-0.221700,0.15,2,2,true,587,Number,P,main
97672,R_5mF4ttL5dRziSrh,180,467,12,0.315300,0.15,2,2,true,1032,Number,Q,main
97672,R_5mF4ttL5dRziSrh,181,375,20,0.131700,0.15,2,2,true,735,Number,P,main
97672,R_5mF4ttL5dRziSrh,182,417,16,0.221700,0.15,2,2,true,406,Number,P,main
97672,R_5mF4ttL5dRziSrh,183,23,12,-0.315300,0.15,2,2,true,904,Number,Q,main
97672,R_5mF4ttL5dRziSrh,184,339,12,0.131700,0.15,2,2,false,507,Number,P,main
97672,R_5mF4ttL5dRziSrh,185,27,14,-0.315300,0.15,2,2,false,423,Number,P,main
97672,R_5mF4ttL5dRziSrh,186,58,22,-0.315300,0.15,2,2,true,677,Number,P,main
97672,R_5mF4ttL5dRziSrh,187,305,20,0.043700,0.15,2,2,true,614,Number,P,main
97672,R_5mF4ttL5dRziSrh,188,504,22,0.315300,0.15,2,2,true,616,Number,P,main
97672,R_5mF4ttL5dRziSrh,189,128,8,-0.131700,0.15,2,2,true,688,Number,Q,main
97672,R_5mF4ttL5dRziSrh,190,448,8,0.315300,0.15,2,2,true,731,Number,Q,main
97672,R_5mF4ttL5dRziSrh,191,127,22,-0.221700,0.15,2,2,true,590,Number,P,main
97672,R_5mF4ttL5dRziSrh,192,483,16,0.315300,0.15,2,2,true,739,Number,P,main
97672,R_5mF4ttL5dRziSrh,193,43,18,-0.315300,0.15,2,2,true,916,Number,P,main
97672,R_5mF4ttL5dRziSrh,194,319,22,0.043700,0.15,2,2,true,470,Number,P,main
97672,R_5mF4ttL5dRziSrh,195,144,12,-0.131700,0.15,2,2,true,807,Number,Q,main
97672,R_5mF4ttL5dRziSrh,196,420,16,0.221700,0.15,2,2,false,1517,Number,Q,main
97672,R_5mF4ttL5dRziSrh,197,381,22,0.131700,0.15,2,2,true,1107,Number,P,main
97672,R_5mF4ttL5dRziSrh,198,32,16,-0.315300,0.15,2,2,true,1425,Number,P,main
97672,R_5mF4ttL5dRziSrh,199,255,22,-0.043700,0.15,2,2,true,540,Number,P,main
97672,R_5mF4ttL5dRziSrh,200,167,16,-0.131700,0.15,2,2,true,1175,Number,P,main
97672,R_5mF4ttL5dRziSrh,201,292,16,0.043700,0.15,2,2,false,878,Number,Q,main
97672,R_5mF4ttL5dRziSrh,202,90,14,-0.221700,0.15,2,2,false,1020,Number,P,main
97672,R_5mF4ttL5dRziSrh,203,105,18,-0.221700,0.15,2,2,true,589,Number,P,main
97672,R_5mF4ttL5dRziSrh,204,172,18,-0.131700,0.15,2,2,true,958,Number,P,main
97672,R_5mF4ttL5dRziSrh,205,509,22,0.315300,0.15,2,2,true,828,Number,P,main
97672,R_5mF4ttL5dRziSrh,206,485,16,0.315300,0.15,2,2,true,1014,Number,P,main
97672,R_5mF4ttL5dRziSrh,207,343,12,0.131700,0.15,2,2,true,437,Number,Q,main
97672,R_5mF4ttL5dRziSrh,208,245,20,-0.043700,0.15,2,2,true,826,Number,P,main
97672,R_5mF4ttL5dRziSrh,209,295,16,0.043700,0.15,2,2,true,1195,Number,P,main
97672,R_5mF4ttL5dRziSrh,210,20,12,-0.315300,0.15,2,2,true,684,Number,Q,main
97672,R_5mF4ttL5dRziSrh,211,192,8,-0.043700,0.15,2,2,false,406,Number,P,main
97672,R_5mF4ttL5dRziSrh,212,261,8,0.043700,0.15,2,2,true,566,Number,Q,main
97672,R_5mF4ttL5dRziSrh,213,202,10,-0.043700,0.15,2,2,true,499,Number,Q,main
97672,R_5mF4ttL5dRziSrh,214,247,20,-0.043700,0.15,2,2,true,807,Number,P,main
97672,R_5mF4ttL5dRziSrh,215,500,20,0.315300,0.15,2,2,true,836,Number,P,main
97672,R_5mF4ttL5dRziSrh,216,116,20,-0.221700,0.15,2,2,true,500,Number,P,main
97672,R_5mF4ttL5dRziSrh,217,348,14,0.131700,0.15,2,2,false,631,Number,P,main
97672,R_5mF4ttL5dRziSrh,218,203,10,-0.043700,0.15,2,2,true,458,Number,Q,main
97672,R_5mF4ttL5dRziSrh,219,395,10,0.221700,0.15,2,2,true,561,Number,Q,main
97672,R_5mF4ttL5dRziSrh,220,424,18,0.221700,0.15,2,2,false,1073,Number,Q,main
97672,R_5mF4ttL5dRziSrh,221,299,18,0.043700,0.15,2,2,true,821,Number,P,main
97672,R_5mF4ttL5dRziSrh,222,453,8,0.315300,0.15,2,2,true,556,Number,Q,main
97672,R_5mF4ttL5dRziSrh,223,373,20,0.131700,0.15,2,2,false,478,Number,Q,main
97672,R_5mF4ttL5dRziSrh,224,474,14,0.315300,0.15,2,2,true,721,Number,Q,main
97672,R_5mF4ttL5dRziSrh,225,2,8,-0.315300,0.15,2,2,true,595,Number,Q,main
97672,R_5mF4ttL5dRziSrh,226,28,14,-0.315300,0.15,2,2,true,396,Number,Q,main
97672,R_5mF4ttL5dRziSrh,227,367,18,0.131700,0.15,2,2,true,647,Number,P,main
