sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
97619,R_5nT4PATfSmanU9P,1,13,18,-0.221700,0.15,2,2,true,943,Number,P,training
97619,R_5nT4PATfSmanU9P,2,58,12,0.315300,0.15,2,2,true,885,Number,Q,training
97619,R_5nT4PATfSmanU9P,3,49,10,0.221700,0.15,2,2,true,710,Number,Q,training
97619,R_5nT4PATfSmanU9P,4,53,18,0.221700,0.15,2,2,true,621,Number,P,training
97619,R_5nT4PATfSmanU9P,5,8,8,-0.221700,0.15,2,2,true,630,Number,Q,training
97619,R_5nT4PATfSmanU9P,6,48,8,0.221700,0.15,2,2,true,585,Number,Q,training
97619,R_5nT4PATfSmanU9P,7,17,10,-0.131700,0.15,2,2,true,743,Number,Q,training
97619,R_5nT4PATfSmanU9P,8,30,20,-0.043700,0.15,2,2,true,585,Number,P,training
97619,R_5nT4PATfSmanU9P,9,42,12,0.131700,0.15,2,2,true,1240,Number,Q,training
97619,R_5nT4PATfSmanU9P,10,19,14,-0.131700,0.15,2,2,false,3928,Number,P,training
97619,R_5nT4PATfSmanU9P,11,342,12,0.131700,0.15,2,2,true,662,Number,Q,main
97619,R_5nT4PATfSmanU9P,12,36,16,-0.315300,0.15,2,2,true,802,Number,P,main
97619,R_5nT4PATfSmanU9P,13,392,10,0.221700,0.15,2,2,true,768,Number,Q,main
97619,R_5nT4PATfSmanU9P,14,457,10,0.315300,0.15,2,2,true,509,Number,Q,main
97619,R_5nT4PATfSmanU9P,15,509,22,0.315300,0.15,2,2,true,745,Number,P,main
97619,R_5nT4PATfSmanU9P,16,318,22,0.043700,0.15,2,2,true,440,Number,P,main
97619,R_5nT4PATfSmanU9P,17,493,18,0.315300,0.15,2,2,false,740,Number,Q,main
97619,R_5nT4PATfSmanU9P,18,190,22,-0.131700,0.15,2,2,true,746,Number,P,main
97619,R_5nT4PATfSmanU9P,19,331,10,0.131700,0.15,2,2,false,452,Number,P,main
97619,R_5nT4PATfSmanU9P,20,154,14,-0.131700,0.15,2,2,true,1250,Number,Q,main
97619,R_5nT4PATfSmanU9P,21,3,8,-0.315300,0.15,2,2,true,592,Number,Q,main
97619,R_5nT4PATfSmanU9P,22,76,10,-0.221700,0.15,2,2,true,813,Number,Q,main
97619,R_5nT4PATfSmanU9P,23,239,18,-0.043700,0.15,2,2,true,579,Number,P,main
97619,R_5nT4PATfSmanU9P,24,284,14,0.043700,0.15,2,2,true,573,Number,Q,main
97619,R_5nT4PATfSmanU9P,25,491,18,0.315300,0.15,2,2,true,503,Number,P,main
97619,R_5nT4PATfSmanU9P,26,173,18,-0.131700,0.15,2,2,false,524,Number,Q,main
97619,R_5nT4PATfSmanU9P,27,303,18,0.043700,0.15,2,2,false,840,Number,Q,main
97619,R_5nT4PATfSmanU9P,28,334,10,0.131700,0.15,2,2,true,569,Number,Q,main
97619,R_5nT4PATfSmanU9P,29,419,16,0.221700,0.15,2,2,false,905,Number,Q,main
97619,R_5nT4PATfSmanU9P,30,422,16,0.221700,0.15,2,2,true,1520,Number,P,main
97619,R_5nT4PATfSmanU9P,31,22,12,-0.315300,0.15,2,2,true,788,Number,Q,main
97619,R_5nT4PATfSmanU9P,32,345,14,0.131700,0.15,2,2,true,714,Number,Q,main
97619,R_5nT4PATfSmanU9P,33,95,14,-0.221700,0.15,2,2,true,631,Number,Q,main
97619,R_5nT4PATfSmanU9P,34,107,18,-0.221700,0.15,2,2,true,786,Number,P,main
97619,R_5nT4PATfSmanU9P,35,507,22,0.315300,0.15,2,2,true,578,Number,P,main
97619,R_5nT4PATfSmanU9P,36,492,18,0.315300,0.15,2,2,true,691,Number,P,main
97619,R_5nT4PATfSmanU9P,37,264,10,0.043700,0.15,2,2,true,643,Number,Q,main
97619,R_5nT4PATfSmanU9P,38,137,10,-0.131700,0.15,2,2,true,842,Number,Q,main
97619,R_5nT4PATfSmanU9P,39,31,14,-0.315300,0.15,2,2,true,664,Number,Q,main
97619,R_5nT4PATfSmanU9P,40,147,12,-0.131700,0.15,2,2,true,656,Number,Q,main
97619,R_5nT4PATfSmanU9P,41,39,16,-0.315300,0.15,2,2,true,1084,Number,P,main
97619,R_5nT4PATfSmanU9P,42,44,18,-0.315300,0.15,2,2,true,875,Number,P,main
97619,R_5nT4PATfSmanU9P,43,216,14,-0.043700,0.15,2,2,true,909,Number,Q,main
97619,R_5nT4PATfSmanU9P,44,163,16,-0.131700,0.15,2,2,false,709,Number,Q,main
97619,R_5nT4PATfSmanU9P,45,394,10,0.221700,0.15,2,2,false,496,Number,P,main
97619,R_5nT4PATfSmanU9P,46,139,10,-0.131700,0.15,2,2,true,688,Number,Q,main
97619,R_5nT4PATfSmanU9P,47,106,18,-0.221700,0.15,2,2,true,867,Number,P,main
97619,R_5nT4PATfSmanU9P,48,89,14,-0.221700,0.15,2,2,false,1147,Number,P,main
97619,R_5nT4PATfSmanU9P,49,195,8,-0.043700,0.15,2,2,true,626,Number,Q,main
97619,R_5nT4PATfSmanU9P,50,455,8,0.315300,0.15,2,2,true,498,Number,Q,main
97619,R_5nT4PATfSmanU9P,51,414,14,0.221700,0.15,2,2,true,1031,Number,Q,main
97619,R_5nT4PATfSmanU9P,52,42,18,-0.315300,0.15,2,2,true,536,Number,P,main
97619,R_5nT4PATfSmanU9P,53,292,16,0.043700,0.15,2,2,false,782,Number,Q,main
97619,R_5nT4PATfSmanU9P,54,90,14,-0.221700,0.15,2,2,true,782,Number,Q,main
97619,R_5nT4PATfSmanU9P,55,290,16,0.043700,0.15,2,2,false,736,Number,Q,main
97619,R_5nT4PATfSmanU9P,56,61,22,-0.315300,0.15,2,2,true,610,Number,P,main
97619,R_5nT4PATfSmanU9P,57,377,22,0.131700,0.15,2,2,true,515,Number,P,main
97619,R_5nT4PATfSmanU9P,58,466,12,0.315300,0.15,2,2,true,573,Number,Q,main
97619,R_5nT4PATfSmanU9P,59,468,12,0.315300,0.15,2,2,true,675,Number,Q,main
97619,R_5nT4PATfSmanU9P,60,176,20,-0.131700,0.15,2,2,true,707,Number,P,main
97619,R_5nT4PATfSmanU9P,61,62,22,-0.315300,0.15,2,2,true,680,Number,P,main
97619,R_5nT4PATfSmanU9P,62,243,20,-0.043700,0.15,2,2,true,608,Number,P,main
97619,R_5nT4PATfSmanU9P,63,232,18,-0.043700,0.15,2,2,true,1083,Number,P,main
97619,R_5nT4PATfSmanU9P,64,300,18,0.043700,0.15,2,2,true,648,Number,P,main
97619,R_5nT4PATfSmanU9P,65,271,10,0.043700,0.15,2,2,true,461,Number,Q,main
97619,R_5nT4PATfSmanU9P,66,286,14,0.043700,0.15,2,2,true,687,Number,Q,main
97619,R_5nT4PATfSmanU9P,67,23,12,-0.315300,0.15,2,2,false,1169,Number,P,main
97619,R_5nT4PATfSmanU9P,68,497,20,0.315300,0.15,2,2,true,662,Number,P,main
97619,R_5nT4PATfSmanU9P,69,324,8,0.131700,0.15,2,2,true,766,Number,Q,main
97619,R_5nT4PATfSmanU9P,70,186,22,-0.131700,0.15,2,2,true,698,Number,P,main
97619,R_5nT4PATfSmanU9P,71,427,18,0.221700,0.15,2,2,true,598,Number,P,main
97619,R_5nT4PATfSmanU9P,72,476,14,0.315300,0.15,2,2,false,1453,Number,P,main
97619,R_5nT4PATfSmanU9P,73,96,16,-0.221700,0.15,2,2,true,1065,Number,P,main
97619,R_5nT4PATfSmanU9P,74,55,20,-0.315300,0.15,2,2,true,699,Number,P,main
97619,R_5nT4PATfSmanU9P,75,225,16,-0.043700,0.15,2,2,false,819,Number,Q,main
97619,R_5nT4PATfSmanU9P,76,0,8,-0.315300,0.15,2,2,true,536,Number,Q,main
97619,R_5nT4PATfSmanU9P,77,314,22,0.043700,0.15,2,2,true,668,Number,P,main
97619,R_5nT4PATfSmanU9P,78,230,16,-0.043700,0.15,2,2,false,1217,Number,Q,main
97619,R_5nT4PATfSmanU9P,79,16,12,-0.315300,0.15,2,2,true,671,Number,Q,main
97619,R_5nT4PATfSmanU9P,80,475,14,0.315300,0.15,2,2,false,1498,Number,P,main
97619,R_5nT4PATfSmanU9P,81,210,12,-0.043700,0.15,2,2,true,1995,Number,Q,main
97619,R_5nT4PATfSmanU9P,82,354,16,0.131700,0.15,2,2,false,1138,Number,Q,main
97619,R_5nT4PATfSmanU9P,83,127,22,-0.221700,0.15,2,2,true,759,Number,P,main
97619,R_5nT4PATfSmanU9P,84,481,16,0.315300,0.15,2,2,false,648,Number,Q,main
97619,R_5nT4PATfSmanU9P,85,417,16,0.221700,0.15,2,2,true,758,Number,P,main
97619,R_5nT4PATfSmanU9P,86,54,20,-0.315300,0.15,2,2,true,504,Number,P,main
97619,R_5nT4PATfSmanU9P,87,134,8,-0.131700,0.15,2,2,true,552,Number,Q,main
97619,R_5nT4PATfSmanU9P,88,99,16,-0.221700,0.15,2,2,true,839,Number,P,main
97619,R_5nT4PATfSmanU9P,89,487,16,0.315300,0.15,2,2,true,455,Number,P,main
97619,R_5nT4PATfSmanU9P,90,188,22,-0.131700,0.15,2,2,true,499,Number,P,main
97619,R_5nT4PATfSmanU9P,91,371,20,0.131700,0.15,2,2,true,1038,Number,P,main
97619,R_5nT4PATfSmanU9P,92,34,16,-0.315300,0.15,2,2,false,707,Number,Q,main
97619,R_5nT4PATfSmanU9P,93,295,16,0.043700,0.15,2,2,true,1022,Number,P,main
97619,R_5nT4PATfSmanU9P,94,490,18,0.315300,0.15,2,2,true,858,Number,P,main
97619,R_5nT4PATfSmanU9P,95,40,18,-0.315300,0.15,2,2,true,469,Number,P,main
97619,R_5nT4PATfSmanU9P,96,172,18,-0.131700,0.15,2,2,false,965,Number,Q,main
97619,R_5nT4PATfSmanU9P,97,79,10,-0.221700,0.15,2,2,true,548,Number,Q,main
97619,R_5nT4PATfSmanU9P,98,14,10,-0.315300,0.15,2,2,true,517,Number,Q,main
97619,R_5nT4PATfSmanU9P,99,132,8,-0.131700,0.15,2,2,true,552,Number,Q,main
97619,R_5nT4PATfSmanU9P,100,126,22,-0.221700,0.15,2,2,true,731,Number,P,main
97619,R_5nT4PATfSmanU9P,101,102,16,-0.221700,0.15,2,2,true,980,Number,P,main
97619,R_5nT4PATfSmanU9P,102,265,10,0.043700,0.15,2,2,true,560,Number,Q,main
97619,R_5nT4PATfSmanU9P,103,6,8,-0.315300,0.15,2,2,true,542,Number,Q,main
97619,R_5nT4PATfSmanU9P,104,353,16,0.131700,0.15,2,2,false,727,Number,Q,main
97619,R_5nT4PATfSmanU9P,105,431,18,0.221700,0.15,2,2,false,520,Number,Q,main
97619,R_5nT4PATfSmanU9P,106,447,22,0.221700,0.15,2,2,true,787,Number,P,main
97619,R_5nT4PATfSmanU9P,107,366,18,0.131700,0.15,2,2,true,516,Number,P,main
97619,R_5nT4PATfSmanU9P,108,281,14,0.043700,0.15,2,2,false,382,Number,P,main
97619,R_5nT4PATfSmanU9P,109,179,20,-0.131700,0.15,2,2,true,735,Number,P,main
97619,R_5nT4PATfSmanU9P,110,470,12,0.315300,0.15,2,2,true,656,Number,Q,main
97619,R_5nT4PATfSmanU9P,111,237,18,-0.043700,0.15,2,2,true,648,Number,P,main
97619,R_5nT4PATfSmanU9P,112,389,8,0.221700,0.15,2,2,false,538,Number,P,main
97619,R_5nT4PATfSmanU9P,113,1,8,-0.315300,0.15,2,2,true,663,Number,Q,main
97619,R_5nT4PATfSmanU9P,114,84,12,-0.221700,0.15,2,2,true,485,Number,Q,main
97619,R_5nT4PATfSmanU9P,115,250,22,-0.043700,0.15,2,2,true,1189,Number,P,main
97619,R_5nT4PATfSmanU9P,116,296,18,0.043700,0.15,2,2,false,813,Number,Q,main
97619,R_5nT4PATfSmanU9P,117,204,10,-0.043700,0.15,2,2,true,469,Number,Q,main
97619,R_5nT4PATfSmanU9P,118,363,18,0.131700,0.15,2,2,false,675,Number,Q,main
97619,R_5nT4PATfSmanU9P,119,20,12,-0.315300,0.15,2,2,true,849,Number,Q,main
97619,R_5nT4PATfSmanU9P,120,463,10,0.315300,0.15,2,2,true,565,Number,Q,main
97619,R_5nT4PATfSmanU9P,121,489,18,0.315300,0.15,2,2,true,623,Number,P,main
97619,R_5nT4PATfSmanU9P,122,46,18,-0.315300,0.15,2,2,true,1171,Number,P,main
97619,R_5nT4PATfSmanU9P,123,272,12,0.043700,0.15,2,2,false,1283,Number,P,main
97619,R_5nT4PATfSmanU9P,124,502,20,0.315300,0.15,2,2,true,623,Number,P,main
97619,R_5nT4PATfSmanU9P,125,378,22,0.131700,0.15,2,2,true,736,Number,P,main
97619,R_5nT4PATfSmanU9P,126,145,12,-0.131700,0.15,2,2,true,523,Number,Q,main
97619,R_5nT4PATfSmanU9P,127,217,14,-0.043700,0.15,2,2,true,632,Number,Q,main
97619,R_5nT4PATfSmanU9P,128,315,22,0.043700,0.15,2,2,true,721,Number,P,main
97619,R_5nT4PATfSmanU9P,129,500,20,0.315300,0.15,2,2,true,889,Number,P,main
97619,R_5nT4PATfSmanU9P,130,136,10,-0.131700,0.15,2,2,true,597,Number,Q,main
97619,R_5nT4PATfSmanU9P,131,429,18,0.221700,0.15,2,2,false,658,Number,Q,main
97619,R_5nT4PATfSmanU9P,132,65,8,-0.221700,0.15,2,2,true,591,Number,Q,main
97619,R_5nT4PATfSmanU9P,133,391,8,0.221700,0.15,2,2,true,536,Number,Q,main
97619,R_5nT4PATfSmanU9P,134,73,10,-0.221700,0.15,2,2,true,521,Number,Q,main
97619,R_5nT4PATfSmanU9P,135,321,8,0.131700,0.15,2,2,true,586,Number,Q,main
97619,R_5nT4PATfSmanU9P,136,214,12,-0.043700,0.15,2,2,true,398,Number,Q,main
97619,R_5nT4PATfSmanU9P,137,83,12,-0.221700,0.15,2,2,true,395,Number,Q,main
97619,R_5nT4PATfSmanU9P,138,406,12,0.221700,0.15,2,2,true,873,Number,Q,main
97619,R_5nT4PATfSmanU9P,139,267,10,0.043700,0.15,2,2,true,822,Number,Q,main
97619,R_5nT4PATfSmanU9P,140,183,20,-0.131700,0.15,2,2,true,1247,Number,P,main
97619,R_5nT4PATfSmanU9P,141,171,18,-0.131700,0.15,2,2,true,1090,Number,P,main
97619,R_5nT4PATfSmanU9P,142,348,14,0.131700,0.15,2,2,true,660,Number,Q,main
97619,R_5nT4PATfSmanU9P,143,276,12,0.043700,0.15,2,2,true,534,Number,Q,main
97619,R_5nT4PATfSmanU9P,144,402,12,0.221700,0.15,2,2,true,476,Number,Q,main
97619,R_5nT4PATfSmanU9P,145,82,12,-0.221700,0.15,2,2,true,504,Number,Q,main
97619,R_5nT4PATfSmanU9P,146,298,18,0.043700,0.15,2,2,true,532,Number,P,main
97619,R_5nT4PATfSmanU9P,147,444,22,0.221700,0.15,2,2,true,465,Number,P,main
97619,R_5nT4PATfSmanU9P,148,350,14,0.131700,0.15,2,2,true,679,Number,Q,main
97619,R_5nT4PATfSmanU9P,149,185,22,-0.131700,0.15,2,2,true,1258,Number,P,main
97619,R_5nT4PATfSmanU9P,150,408,14,0.221700,0.15,2,2,true,695,Number,Q,main
97619,R_5nT4PATfSmanU9P,151,146,12,-0.131700,0.15,2,2,true,548,Number,Q,main
97619,R_5nT4PATfSmanU9P,152,78,10,-0.221700,0.15,2,2,true,490,Number,Q,main
97619,R_5nT4PATfSmanU9P,153,49,20,-0.315300,0.15,2,2,true,848,Number,P,main
97619,R_5nT4PATfSmanU9P,154,268,10,0.043700,0.15,2,2,true,618,Number,Q,main
97619,R_5nT4PATfSmanU9P,155,28,14,-0.315300,0.15,2,2,false,876,Number,P,main
97619,R_5nT4PATfSmanU9P,156,196,8,-0.043700,0.15,2,2,true,753,Number,Q,main
97619,R_5nT4PATfSmanU9P,157,124,22,-0.221700,0.15,2,2,true,635,Number,P,main
