sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
94737,R_5rjeg3NfuYz4XeK,1,49,10,0.221700,0.15,1,1,false,4736,Trend,P,training
94737,R_5rjeg3NfuYz4XeK,2,45,18,0.131700,0.15,1,1,true,983,Trend,Q,training
94737,R_5rjeg3NfuYz4XeK,3,57,10,0.315300,0.15,1,1,false,830,Trend,P,training
94737,R_5rjeg3NfuYz4XeK,4,41,10,0.131700,0.15,1,1,false,692,Trend,P,training
94737,R_5rjeg3NfuYz4XeK,5,43,14,0.131700,0.15,1,1,true,948,Trend,Q,training
94737,R_5rjeg3NfuYz4XeK,6,0,8,-0.315300,0.15,1,1,true,699,Trend,P,training
94737,R_5rjeg3NfuYz4XeK,7,38,20,0.043700,0.15,1,1,false,1317,Trend,P,training
94737,R_5rjeg3NfuYz4XeK,8,28,16,-0.043700,0.15,1,1,false,1331,Trend,Q,training
94737,R_5rjeg3NfuYz4XeK,9,10,12,-0.221700,0.15,1,1,false,1146,Trend,Q,training
94737,R_5rjeg3NfuYz4XeK,10,17,10,-0.131700,0.15,1,1,true,5729,Trend,P,training
94737,R_5rjeg3NfuYz4XeK,11,498,20,0.315300,0.15,1,1,true,727,Trend,Q,main
94737,R_5rjeg3NfuYz4XeK,12,376,22,0.131700,0.15,1,1,true,722,Trend,Q,main
94737,R_5rjeg3NfuYz4XeK,13,205,10,-0.043700,0.15,1,1,true,549,Trend,P,main
94737,R_5rjeg3NfuYz4XeK,14,294,16,0.043700,0.15,1,1,true,825,Trend,Q,main
94737,R_5rjeg3NfuYz4XeK,15,350,14,0.131700,0.15,1,1,true,1275,Trend,Q,main
94737,R_5rjeg3NfuYz4XeK,16,258,8,0.043700,0.15,1,1,false,707,Trend,P,main
94737,R_5rjeg3NfuYz4XeK,17,338,12,0.131700,0.15,1,1,false,1061,Trend,P,main
94737,R_5rjeg3NfuYz4XeK,18,222,14,-0.043700,0.15,1,1,true,1009,Trend,P,main
94737,R_5rjeg3NfuYz4XeK,19,247,20,-0.043700,0.15,1,1,false,663,Trend,Q,main
94737,R_5rjeg3NfuYz4XeK,20,494,18,0.315300,0.15,1,1,true,988,Trend,Q,main
94737,R_5rjeg3NfuYz4XeK,21,115,20,-0.221700,0.15,1,1,false,701,Trend,Q,main
94737,R_5rjeg3NfuYz4XeK,22,445,22,0.221700,0.15,1,1,true,575,Trend,Q,main
94737,R_5rjeg3NfuYz4XeK,23,194,8,-0.043700,0.15,1,1,true,498,Trend,P,main
94737,R_5rjeg3NfuYz4XeK,24,166,16,-0.131700,0.15,1,1,false,721,Trend,Q,main
94737,R_5rjeg3NfuYz4XeK,25,151,12,-0.131700,0.15,1,1,true,875,Trend,P,main
94737,R_5rjeg3NfuYz4XeK,26,479,14,0.315300,0.15,1,1,false,761,Trend,P,main
94737,R_5rjeg3NfuYz4XeK,27,431,18,0.221700,0.15,1,1,true,833,Trend,Q,main
94737,R_5rjeg3NfuYz4XeK,28,23,12,-0.315300,0.15,1,1,true,627,Trend,P,main
94737,R_5rjeg3NfuYz4XeK,29,301,18,0.043700,0.15,1,1,true,792,Trend,Q,main
94737,R_5rjeg3NfuYz4XeK,30,156,14,-0.131700,0.15,1,1,true,646,Trend,P,main
94737,R_5rjeg3NfuYz4XeK,31,401,12,0.221700,0.15,1,1,false,712,Trend,P,main
94737,R_5rjeg3NfuYz4XeK,32,131,8,-0.131700,0.15,1,1,true,632,Trend,P,main
94737,R_5rjeg3NfuYz4XeK,33,233,18,-0.043700,0.15,1,1,false,744,Trend,Q,main
94737,R_5rjeg3NfuYz4XeK,34,358,16,0.131700,0.15,1,1,true,932,Trend,Q,main
94737,R_5rjeg3NfuYz4XeK,35,373,20,0.131700,0.15,1,1,true,794,Trend,Q,main
94737,R_5rjeg3NfuYz4XeK,36,418,16,0.221700,0.15,1,1,true,973,Trend,Q,main
94737,R_5rjeg3NfuYz4XeK,37,319,22,0.043700,0.15,1,1,true,528,Trend,Q,main
