sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
97483,R_5tL1XmKvx8GTrtu,1,12,16,-0.221700,0.15,2,2,false,6550,Number,Q,training
97483,R_5tL1XmKvx8GTrtu,2,31,22,-0.043700,0.15,2,2,true,4661,Number,P,training
97483,R_5tL1XmKvx8GTrtu,3,19,14,-0.131700,0.15,2,2,false,4464,Number,P,training
97483,R_5tL1XmKvx8GTrtu,4,54,20,0.221700,0.15,2,2,true,3722,Number,P,training
97483,R_5tL1XmKvx8GTrtu,5,56,8,0.315300,0.15,2,2,true,2752,Number,Q,training
97483,R_5tL1XmKvx8GTrtu,6,34,12,0.043700,0.15,2,2,true,2825,Number,Q,training
97483,R_5tL1XmKvx8GTrtu,7,33,10,0.043700,0.15,2,2,true,2669,Number,Q,training
97483,R_5tL1XmKvx8GTrtu,8,21,18,-0.131700,0.15,2,2,true,2916,Number,P,training
97483,R_5tL1XmKvx8GTrtu,9,17,10,-0.131700,0.15,2,2,true,2985,Number,Q,training
97483,R_5tL1XmKvx8GTrtu,10,61,18,0.315300,0.15,2,2,true,2599,Number,P,training
97483,R_5tL1XmKvx8GTrtu,11,462,10,0.315300,0.15,2,2,true,2724,Number,Q,main
97483,R_5tL1XmKvx8GTrtu,12,477,14,0.315300,0.15,2,2,true,2690,Number,Q,main
97483,R_5tL1XmKvx8GTrtu,13,414,14,0.221700,0.15,2,2,false,2632,Number,P,main
97483,R_5tL1XmKvx8GTrtu,14,245,20,-0.043700,0.15,2,2,true,2285,Number,P,main
97483,R_5tL1XmKvx8GTrtu,15,43,18,-0.315300,0.15,2,2,true,2631,Number,P,main
97483,R_5tL1XmKvx8GTrtu,16,334,10,0.131700,0.15,2,2,true,2388,Number,Q,main
97483,R_5tL1XmKvx8GTrtu,17,283,14,0.043700,0.15,2,2,true,2359,Number,Q,main
97483,R_5tL1XmKvx8GTrtu,18,226,16,-0.043700,0.15,2,2,true,2715,Number,P,main
97483,R_5tL1XmKvx8GTrtu,19,24,14,-0.315300,0.15,2,2,true,2389,Number,Q,main
97483,R_5tL1XmKvx8GTrtu,20,437,20,0.221700,0.15,2,2,true,2313,Number,P,main
97483,R_5tL1XmKvx8GTrtu,21,70,8,-0.221700,0.15,2,2,true,2163,Number,Q,main
97483,R_5tL1XmKvx8GTrtu,22,144,12,-0.131700,0.15,2,2,true,2123,Number,Q,main
97483,R_5tL1XmKvx8GTrtu,23,177,20,-0.131700,0.15,2,2,true,2103,Number,P,main
97483,R_5tL1XmKvx8GTrtu,24,404,12,0.221700,0.15,2,2,true,2251,Number,Q,main
97483,R_5tL1XmKvx8GTrtu,25,336,12,0.131700,0.15,2,2,true,2189,Number,Q,main
97483,R_5tL1XmKvx8GTrtu,26,297,18,0.043700,0.15,2,2,true,2170,Number,P,main
97483,R_5tL1XmKvx8GTrtu,27,365,18,0.131700,0.15,2,2,false,2331,Number,Q,main
97483,R_5tL1XmKvx8GTrtu,28,444,22,0.221700,0.15,2,2,true,2186,Number,P,main
97483,R_5tL1XmKvx8GTrtu,29,223,14,-0.043700,0.15,2,2,true,2147,Number,Q,main
97483,R_5tL1XmKvx8GTrtu,30,205,10,-0.043700,0.15,2,2,true,2036,Number,Q,main
97483,R_5tL1XmKvx8GTrtu,31,193,8,-0.043700,0.15,2,2,true,2170,Number,Q,main
97483,R_5tL1XmKvx8GTrtu,32,426,18,0.221700,0.15,2,2,true,2209,Number,P,main
97483,R_5tL1XmKvx8GTrtu,33,470,12,0.315300,0.15,2,2,true,2049,Number,Q,main
97483,R_5tL1XmKvx8GTrtu,34,379,22,0.131700,0.15,2,2,true,2139,Number,P,main
97483,R_5tL1XmKvx8GTrtu,35,7,8,-0.315300,0.15,2,2,true,2074,Number,Q,main
97483,R_5tL1XmKvx8GTrtu,36,60,22,-0.315300,0.15,2,2,true,2020,Number,P,main
97483,R_5tL1XmKvx8GTrtu,37,38,16,-0.315300,0.15,2,2,false,2057,Number,Q,main
97483,R_5tL1XmKvx8GTrtu,38,490,18,0.315300,0.15,2,2,true,2046,Number,P,main
97483,R_5tL1XmKvx8GTrtu,39,302,18,0.043700,0.15,2,2,true,2062,Number,P,main
97483,R_5tL1XmKvx8GTrtu,40,267,10,0.043700,0.15,2,2,true,2032,Number,Q,main
97483,R_5tL1XmKvx8GTrtu,41,249,22,-0.043700,0.15,2,2,true,2018,Number,P,main
97483,R_5tL1XmKvx8GTrtu,42,413,14,0.221700,0.15,2,2,true,2111,Number,Q,main
97483,R_5tL1XmKvx8GTrtu,43,111,18,-0.221700,0.15,2,2,true,2110,Number,P,main
97483,R_5tL1XmKvx8GTrtu,44,256,8,0.043700,0.15,2,2,true,2036,Number,Q,main
97483,R_5tL1XmKvx8GTrtu,45,158,14,-0.131700,0.15,2,2,true,1820,Number,Q,main
97483,R_5tL1XmKvx8GTrtu,46,45,18,-0.315300,0.15,2,2,false,2057,Number,Q,main
97483,R_5tL1XmKvx8GTrtu,47,201,10,-0.043700,0.15,2,2,true,2017,Number,Q,main
97483,R_5tL1XmKvx8GTrtu,48,271,10,0.043700,0.15,2,2,true,2011,Number,Q,main
97483,R_5tL1XmKvx8GTrtu,49,83,12,-0.221700,0.15,2,2,true,2079,Number,Q,main
97483,R_5tL1XmKvx8GTrtu,50,364,18,0.131700,0.15,2,2,true,1938,Number,P,main
97483,R_5tL1XmKvx8GTrtu,51,190,22,-0.131700,0.15,2,2,true,1973,Number,P,main
97483,R_5tL1XmKvx8GTrtu,52,326,8,0.131700,0.15,2,2,true,1934,Number,Q,main
97483,R_5tL1XmKvx8GTrtu,53,362,18,0.131700,0.15,2,2,true,1972,Number,P,main
97483,R_5tL1XmKvx8GTrtu,54,109,18,-0.221700,0.15,2,2,true,2019,Number,P,main
97483,R_5tL1XmKvx8GTrtu,55,350,14,0.131700,0.15,2,2,true,1919,Number,Q,main
97483,R_5tL1XmKvx8GTrtu,56,39,16,-0.315300,0.15,2,2,false,2134,Number,Q,main
97483,R_5tL1XmKvx8GTrtu,57,339,12,0.131700,0.15,2,2,true,2222,Number,Q,main
97483,R_5tL1XmKvx8GTrtu,58,295,16,0.043700,0.15,2,2,true,1953,Number,P,main
97483,R_5tL1XmKvx8GTrtu,59,76,10,-0.221700,0.15,2,2,true,2034,Number,Q,main
97483,R_5tL1XmKvx8GTrtu,60,371,20,0.131700,0.15,2,2,true,1772,Number,P,main
97483,R_5tL1XmKvx8GTrtu,61,236,18,-0.043700,0.15,2,2,false,1963,Number,Q,main
97483,R_5tL1XmKvx8GTrtu,62,461,10,0.315300,0.15,2,2,true,2091,Number,Q,main
97483,R_5tL1XmKvx8GTrtu,63,356,16,0.131700,0.15,2,2,true,2010,Number,P,main
97483,R_5tL1XmKvx8GTrtu,64,503,20,0.315300,0.15,2,2,true,1479,Number,P,main
97483,R_5tL1XmKvx8GTrtu,65,74,10,-0.221700,0.15,2,2,true,1054,Number,Q,main
97483,R_5tL1XmKvx8GTrtu,66,492,18,0.315300,0.15,2,2,true,864,Number,P,main
