sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
96558,R_5v1Xh5lAGz2v9vo,1,11,14,-0.221700,0.15,2,1,false,853,Trend,P,training
96558,R_5v1Xh5lAGz2v9vo,2,36,16,0.043700,0.15,2,1,true,609,Trend,P,training
96558,R_5v1Xh5lAGz2v9vo,3,62,20,0.315300,0.15,2,1,true,477,Trend,P,training
96558,R_5v1Xh5lAGz2v9vo,4,60,16,0.315300,0.15,2,1,true,487,Trend,P,training
96558,R_5v1Xh5lAGz2v9vo,5,41,10,0.131700,0.15,2,1,true,1770,Trend,P,training
96558,R_5v1Xh5lAGz2v9vo,6,49,10,0.221700,0.15,2,1,true,976,Trend,P,training
96558,R_5v1Xh5lAGz2v9vo,7,34,12,0.043700,0.15,2,1,true,620,Trend,P,training
96558,R_5v1Xh5lAGz2v9vo,8,58,12,0.315300,0.15,2,1,true,1187,Trend,P,training
96558,R_5v1Xh5lAGz2v9vo,9,59,14,0.315300,0.15,2,1,true,611,Trend,P,training
96558,R_5v1Xh5lAGz2v9vo,10,5,18,-0.315300,0.15,2,1,false,977,Trend,P,training
96558,R_5v1Xh5lAGz2v9vo,11,336,12,0.131700,0.15,2,1,true,1011,Trend,P,main
96558,R_5v1Xh5lAGz2v9vo,12,105,18,-0.221700,0.15,2,1,true,1404,Trend,Q,main
96558,R_5v1Xh5lAGz2v9vo,13,211,12,-0.043700,0.15,2,1,false,442,Trend,P,main
96558,R_5v1Xh5lAGz2v9vo,14,404,12,0.221700,0.15,2,1,false,1400,Trend,Q,main
96558,R_5v1Xh5lAGz2v9vo,15,360,18,0.131700,0.15,2,1,false,16546,Trend,Q,main
96558,R_5v1Xh5lAGz2v9vo,16,353,16,0.131700,0.15,2,1,false,9472,Trend,Q,main
96558,R_5v1Xh5lAGz2v9vo,17,58,22,-0.315300,0.15,2,1,true,3820,Trend,Q,main
96558,R_5v1Xh5lAGz2v9vo,18,408,14,0.221700,0.15,2,1,true,2074,Trend,P,main
96558,R_5v1Xh5lAGz2v9vo,19,484,16,0.315300,0.15,2,1,true,903,Trend,P,main
96558,R_5v1Xh5lAGz2v9vo,20,55,20,-0.315300,0.15,2,1,true,774,Trend,Q,main
96558,R_5v1Xh5lAGz2v9vo,21,460,10,0.315300,0.15,2,1,true,756,Trend,P,main
96558,R_5v1Xh5lAGz2v9vo,22,64,8,-0.221700,0.15,2,1,true,602,Trend,Q,main
96558,R_5v1Xh5lAGz2v9vo,23,479,14,0.315300,0.15,2,1,true,1969,Trend,P,main
96558,R_5v1Xh5lAGz2v9vo,24,342,12,0.131700,0.15,2,1,true,801,Trend,P,main
96558,R_5v1Xh5lAGz2v9vo,25,507,22,0.315300,0.15,2,1,true,860,Trend,P,main
96558,R_5v1Xh5lAGz2v9vo,26,205,10,-0.043700,0.15,2,1,true,832,Trend,Q,main
96558,R_5v1Xh5lAGz2v9vo,27,410,14,0.221700,0.15,2,1,true,629,Trend,P,main
96558,R_5v1Xh5lAGz2v9vo,28,5,8,-0.315300,0.15,2,1,true,476,Trend,Q,main
96558,R_5v1Xh5lAGz2v9vo,29,295,16,0.043700,0.15,2,1,true,1034,Trend,P,main
96558,R_5v1Xh5lAGz2v9vo,30,324,8,0.131700,0.15,2,1,true,1681,Trend,P,main
96558,R_5v1Xh5lAGz2v9vo,31,492,18,0.315300,0.15,2,1,true,678,Trend,P,main
96558,R_5v1Xh5lAGz2v9vo,32,276,12,0.043700,0.15,2,1,false,4150,Trend,Q,main
96558,R_5v1Xh5lAGz2v9vo,33,54,20,-0.315300,0.15,2,1,true,604,Trend,Q,main
96558,R_5v1Xh5lAGz2v9vo,34,158,14,-0.131700,0.15,2,1,false,901,Trend,P,main
96558,R_5v1Xh5lAGz2v9vo,35,104,18,-0.221700,0.15,2,1,true,792,Trend,Q,main
96558,R_5v1Xh5lAGz2v9vo,36,287,14,0.043700,0.15,2,1,false,899,Trend,Q,main
96558,R_5v1Xh5lAGz2v9vo,37,401,12,0.221700,0.15,2,1,true,668,Trend,P,main
96558,R_5v1Xh5lAGz2v9vo,38,19,12,-0.315300,0.15,2,1,true,474,Trend,Q,main
96558,R_5v1Xh5lAGz2v9vo,39,106,18,-0.221700,0.15,2,1,true,438,Trend,Q,main
96558,R_5v1Xh5lAGz2v9vo,40,62,22,-0.315300,0.15,2,1,true,573,Trend,Q,main
96558,R_5v1Xh5lAGz2v9vo,41,307,20,0.043700,0.15,2,1,true,951,Trend,P,main
96558,R_5v1Xh5lAGz2v9vo,42,419,16,0.221700,0.15,2,1,true,527,Trend,P,main
96558,R_5v1Xh5lAGz2v9vo,43,133,8,-0.131700,0.15,2,1,false,2356,Trend,P,main
96558,R_5v1Xh5lAGz2v9vo,44,386,8,0.221700,0.15,2,1,true,563,Trend,P,main
96558,R_5v1Xh5lAGz2v9vo,45,487,16,0.315300,0.15,2,1,true,508,Trend,P,main
96558,R_5v1Xh5lAGz2v9vo,46,493,18,0.315300,0.15,2,1,true,457,Trend,P,main
96558,R_5v1Xh5lAGz2v9vo,47,110,18,-0.221700,0.15,2,1,true,460,Trend,Q,main
96558,R_5v1Xh5lAGz2v9vo,48,365,18,0.131700,0.15,2,1,true,479,Trend,P,main
96558,R_5v1Xh5lAGz2v9vo,49,165,16,-0.131700,0.15,2,1,true,828,Trend,Q,main
96558,R_5v1Xh5lAGz2v9vo,50,503,20,0.315300,0.15,2,1,true,473,Trend,P,main
96558,R_5v1Xh5lAGz2v9vo,51,89,14,-0.221700,0.15,2,1,true,501,Trend,Q,main
96558,R_5v1Xh5lAGz2v9vo,52,202,10,-0.043700,0.15,2,1,false,486,Trend,P,main
96558,R_5v1Xh5lAGz2v9vo,53,452,8,0.315300,0.15,2,1,true,769,Trend,P,main
96558,R_5v1Xh5lAGz2v9vo,54,338,12,0.131700,0.15,2,1,true,479,Trend,P,main
96558,R_5v1Xh5lAGz2v9vo,55,71,8,-0.221700,0.15,2,1,true,511,Trend,Q,main
96558,R_5v1Xh5lAGz2v9vo,56,301,18,0.043700,0.15,2,1,true,501,Trend,P,main
96558,R_5v1Xh5lAGz2v9vo,57,14,10,-0.315300,0.15,2,1,true,494,Trend,Q,main
96558,R_5v1Xh5lAGz2v9vo,58,39,16,-0.315300,0.15,2,1,true,533,Trend,Q,main
96558,R_5v1Xh5lAGz2v9vo,59,332,10,0.131700,0.15,2,1,true,508,Trend,P,main
96558,R_5v1Xh5lAGz2v9vo,60,134,8,-0.131700,0.15,2,1,true,804,Trend,Q,main
96558,R_5v1Xh5lAGz2v9vo,61,314,22,0.043700,0.15,2,1,false,1395,Trend,Q,main
96558,R_5v1Xh5lAGz2v9vo,62,280,14,0.043700,0.15,2,1,true,631,Trend,P,main
96558,R_5v1Xh5lAGz2v9vo,63,238,18,-0.043700,0.15,2,1,true,546,Trend,Q,main
96558,R_5v1Xh5lAGz2v9vo,64,25,14,-0.315300,0.15,2,1,true,515,Trend,Q,main
96558,R_5v1Xh5lAGz2v9vo,65,108,18,-0.221700,0.15,2,1,true,465,Trend,Q,main
96558,R_5v1Xh5lAGz2v9vo,66,494,18,0.315300,0.15,2,1,true,635,Trend,P,main
96558,R_5v1Xh5lAGz2v9vo,67,454,8,0.315300,0.15,2,1,false,765,Trend,Q,main
96558,R_5v1Xh5lAGz2v9vo,68,121,22,-0.221700,0.15,2,1,false,789,Trend,P,main
96558,R_5v1Xh5lAGz2v9vo,69,448,8,0.315300,0.15,2,1,true,551,Trend,P,main
96558,R_5v1Xh5lAGz2v9vo,70,81,12,-0.221700,0.15,2,1,false,489,Trend,P,main
96558,R_5v1Xh5lAGz2v9vo,71,402,12,0.221700,0.15,2,1,true,1499,Trend,P,main
96558,R_5v1Xh5lAGz2v9vo,72,176,20,-0.131700,0.15,2,1,false,3117,Trend,P,main
96558,R_5v1Xh5lAGz2v9vo,73,328,10,0.131700,0.15,2,1,true,481,Trend,P,main
96558,R_5v1Xh5lAGz2v9vo,74,112,20,-0.221700,0.15,2,1,true,489,Trend,Q,main
96558,R_5v1Xh5lAGz2v9vo,75,388,8,0.221700,0.15,2,1,true,480,Trend,P,main
