sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
95865,R_5wtcCLOiPtWj7I9,1,6,20,-0.315300,0.15,1,1,false,4741,Trend,Q,training
95865,R_5wtcCLOiPtWj7I9,2,24,8,-0.043700,0.15,1,1,false,2059,Trend,Q,training
95865,R_5wtcCLOiPtWj7I9,3,26,12,-0.043700,0.15,1,1,true,6826,Trend,P,training
95865,R_5wtcCLOiPtWj7I9,4,8,8,-0.221700,0.15,1,1,true,1110,Trend,P,training
95865,R_5wtcCLOiPtWj7I9,5,0,8,-0.315300,0.15,1,1,true,950,Trend,P,training
95865,R_5wtcCLOiPtWj7I9,6,59,14,0.315300,0.15,1,1,true,679,Trend,Q,training
95865,R_5wtcCLOiPtWj7I9,7,53,18,0.221700,0.15,1,1,true,1418,Trend,Q,training
95865,R_5wtcCLOiPtWj7I9,8,42,12,0.131700,0.15,1,1,true,930,Trend,Q,training
95865,R_5wtcCLOiPtWj7I9,9,2,12,-0.315300,0.15,1,1,true,526,Trend,P,training
95865,R_5wtcCLOiPtWj7I9,10,12,16,-0.221700,0.15,1,1,true,1981,Trend,P,training
95865,R_5wtcCLOiPtWj7I9,11,313,22,0.043700,0.15,1,1,false,5867,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,12,348,14,0.131700,0.15,1,1,true,733,Trend,Q,main
95865,R_5wtcCLOiPtWj7I9,13,128,8,-0.131700,0.15,1,1,true,1026,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,14,214,12,-0.043700,0.15,1,1,false,704,Trend,Q,main
95865,R_5wtcCLOiPtWj7I9,15,90,14,-0.221700,0.15,1,1,true,531,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,16,139,10,-0.131700,0.15,1,1,true,761,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,17,241,20,-0.043700,0.15,1,1,false,1090,Trend,Q,main
95865,R_5wtcCLOiPtWj7I9,18,281,14,0.043700,0.15,1,1,true,628,Trend,Q,main
95865,R_5wtcCLOiPtWj7I9,19,3,8,-0.315300,0.15,1,1,true,606,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,20,157,14,-0.131700,0.15,1,1,true,677,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,21,151,12,-0.131700,0.15,1,1,true,713,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,22,485,16,0.315300,0.15,1,1,true,774,Trend,Q,main
95865,R_5wtcCLOiPtWj7I9,23,186,22,-0.131700,0.15,1,1,true,1122,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,24,421,16,0.221700,0.15,1,1,true,735,Trend,Q,main
95865,R_5wtcCLOiPtWj7I9,25,428,18,0.221700,0.15,1,1,true,465,Trend,Q,main
95865,R_5wtcCLOiPtWj7I9,26,245,20,-0.043700,0.15,1,1,true,538,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,27,328,10,0.131700,0.15,1,1,true,869,Trend,Q,main
95865,R_5wtcCLOiPtWj7I9,28,262,8,0.043700,0.15,1,1,false,508,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,29,210,12,-0.043700,0.15,1,1,true,621,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,30,85,12,-0.221700,0.15,1,1,true,642,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,31,268,10,0.043700,0.15,1,1,false,1680,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,32,319,22,0.043700,0.15,1,1,false,643,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,33,167,16,-0.131700,0.15,1,1,true,979,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,34,1,8,-0.315300,0.15,1,1,true,717,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,35,314,22,0.043700,0.15,1,1,false,684,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,36,57,22,-0.315300,0.15,1,1,true,424,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,37,212,12,-0.043700,0.15,1,1,true,467,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,38,140,10,-0.131700,0.15,1,1,true,402,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,39,31,14,-0.315300,0.15,1,1,true,515,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,40,347,14,0.131700,0.15,1,1,false,467,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,41,219,14,-0.043700,0.15,1,1,true,596,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,42,492,18,0.315300,0.15,1,1,true,647,Trend,Q,main
95865,R_5wtcCLOiPtWj7I9,43,103,16,-0.221700,0.15,1,1,true,832,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,44,331,10,0.131700,0.15,1,1,true,914,Trend,Q,main
95865,R_5wtcCLOiPtWj7I9,45,445,22,0.221700,0.15,1,1,true,735,Trend,Q,main
95865,R_5wtcCLOiPtWj7I9,46,48,20,-0.315300,0.15,1,1,true,937,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,47,184,22,-0.131700,0.15,1,1,true,724,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,48,96,16,-0.221700,0.15,1,1,true,517,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,49,154,14,-0.131700,0.15,1,1,true,515,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,50,51,20,-0.315300,0.15,1,1,true,527,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,51,86,12,-0.221700,0.15,1,1,true,458,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,52,249,22,-0.043700,0.15,1,1,false,700,Trend,Q,main
95865,R_5wtcCLOiPtWj7I9,53,476,14,0.315300,0.15,1,1,true,489,Trend,Q,main
95865,R_5wtcCLOiPtWj7I9,54,95,14,-0.221700,0.15,1,1,true,467,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,55,218,14,-0.043700,0.15,1,1,true,428,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,56,412,14,0.221700,0.15,1,1,true,483,Trend,Q,main
95865,R_5wtcCLOiPtWj7I9,57,232,18,-0.043700,0.15,1,1,false,619,Trend,Q,main
95865,R_5wtcCLOiPtWj7I9,58,397,10,0.221700,0.15,1,1,true,513,Trend,Q,main
95865,R_5wtcCLOiPtWj7I9,59,451,8,0.315300,0.15,1,1,false,437,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,60,234,18,-0.043700,0.15,1,1,true,616,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,61,121,22,-0.221700,0.15,1,1,true,485,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,62,368,20,0.131700,0.15,1,1,true,547,Trend,Q,main
95865,R_5wtcCLOiPtWj7I9,63,496,20,0.315300,0.15,1,1,true,556,Trend,Q,main
95865,R_5wtcCLOiPtWj7I9,64,147,12,-0.131700,0.15,1,1,true,521,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,65,436,20,0.221700,0.15,1,1,true,765,Trend,Q,main
95865,R_5wtcCLOiPtWj7I9,66,429,18,0.221700,0.15,1,1,true,475,Trend,Q,main
95865,R_5wtcCLOiPtWj7I9,67,257,8,0.043700,0.15,1,1,false,727,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,68,404,12,0.221700,0.15,1,1,true,481,Trend,Q,main
95865,R_5wtcCLOiPtWj7I9,69,266,10,0.043700,0.15,1,1,false,582,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,70,50,20,-0.315300,0.15,1,1,true,686,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,71,500,20,0.315300,0.15,1,1,true,502,Trend,Q,main
95865,R_5wtcCLOiPtWj7I9,72,406,12,0.221700,0.15,1,1,true,453,Trend,Q,main
95865,R_5wtcCLOiPtWj7I9,73,102,16,-0.221700,0.15,1,1,true,551,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,74,190,22,-0.131700,0.15,1,1,true,721,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,75,0,8,-0.315300,0.15,1,1,true,752,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,76,273,12,0.043700,0.15,1,1,false,499,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,77,101,16,-0.221700,0.15,1,1,true,641,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,78,316,22,0.043700,0.15,1,1,false,457,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,79,156,14,-0.131700,0.15,1,1,true,578,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,80,388,8,0.221700,0.15,1,1,true,826,Trend,Q,main
95865,R_5wtcCLOiPtWj7I9,81,304,20,0.043700,0.15,1,1,false,743,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,82,471,12,0.315300,0.15,1,1,true,1188,Trend,Q,main
95865,R_5wtcCLOiPtWj7I9,83,345,14,0.131700,0.15,1,1,true,636,Trend,Q,main
95865,R_5wtcCLOiPtWj7I9,84,7,8,-0.315300,0.15,1,1,true,1068,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,85,472,14,0.315300,0.15,1,1,true,512,Trend,Q,main
95865,R_5wtcCLOiPtWj7I9,86,337,12,0.131700,0.15,1,1,true,483,Trend,Q,main
95865,R_5wtcCLOiPtWj7I9,87,72,10,-0.221700,0.15,1,1,true,549,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,88,201,10,-0.043700,0.15,1,1,true,674,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,89,258,8,0.043700,0.15,1,1,true,783,Trend,Q,main
95865,R_5wtcCLOiPtWj7I9,90,125,22,-0.221700,0.15,1,1,true,534,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,91,137,10,-0.131700,0.15,1,1,true,494,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,92,242,20,-0.043700,0.15,1,1,true,475,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,93,226,16,-0.043700,0.15,1,1,true,449,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,94,228,16,-0.043700,0.15,1,1,true,713,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,95,196,8,-0.043700,0.15,1,1,false,672,Trend,Q,main
95865,R_5wtcCLOiPtWj7I9,96,182,20,-0.131700,0.15,1,1,false,641,Trend,Q,main
95865,R_5wtcCLOiPtWj7I9,97,484,16,0.315300,0.15,1,1,true,455,Trend,Q,main
95865,R_5wtcCLOiPtWj7I9,98,100,16,-0.221700,0.15,1,1,true,397,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,99,83,12,-0.221700,0.15,1,1,true,450,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,100,221,14,-0.043700,0.15,1,1,true,468,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,101,188,22,-0.131700,0.15,1,1,true,518,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,102,430,18,0.221700,0.15,1,1,true,465,Trend,Q,main
95865,R_5wtcCLOiPtWj7I9,103,318,22,0.043700,0.15,1,1,true,628,Trend,Q,main
95865,R_5wtcCLOiPtWj7I9,104,197,8,-0.043700,0.15,1,1,true,1714,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,105,399,10,0.221700,0.15,1,1,true,1158,Trend,Q,main
95865,R_5wtcCLOiPtWj7I9,106,434,20,0.221700,0.15,1,1,true,489,Trend,Q,main
95865,R_5wtcCLOiPtWj7I9,107,416,16,0.221700,0.15,1,1,true,639,Trend,Q,main
95865,R_5wtcCLOiPtWj7I9,108,473,14,0.315300,0.15,1,1,true,607,Trend,Q,main
95865,R_5wtcCLOiPtWj7I9,109,133,8,-0.131700,0.15,1,1,true,739,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,110,61,22,-0.315300,0.15,1,1,true,687,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,111,324,8,0.131700,0.15,1,1,false,838,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,112,213,12,-0.043700,0.15,1,1,true,497,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,113,373,20,0.131700,0.15,1,1,true,552,Trend,Q,main
95865,R_5wtcCLOiPtWj7I9,114,474,14,0.315300,0.15,1,1,true,434,Trend,Q,main
95865,R_5wtcCLOiPtWj7I9,115,487,16,0.315300,0.15,1,1,true,557,Trend,Q,main
95865,R_5wtcCLOiPtWj7I9,116,459,10,0.315300,0.15,1,1,true,464,Trend,Q,main
95865,R_5wtcCLOiPtWj7I9,117,98,16,-0.221700,0.15,1,1,false,863,Trend,Q,main
95865,R_5wtcCLOiPtWj7I9,118,408,14,0.221700,0.15,1,1,true,897,Trend,Q,main
95865,R_5wtcCLOiPtWj7I9,119,312,22,0.043700,0.15,1,1,false,813,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,120,216,14,-0.043700,0.15,1,1,true,803,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,121,146,12,-0.131700,0.15,1,1,true,790,Trend,P,main
95865,R_5wtcCLOiPtWj7I9,122,493,18,0.315300,0.15,1,1,true,576,Trend,Q,main
