sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
96680,R_67DLqzusfRB2z6G,1,37,18,0.043700,0.15,1,1,true,8439,Trend,Q,training
96680,R_67DLqzusfRB2z6G,2,21,18,-0.131700,0.15,1,1,false,5566,Trend,Q,training
96680,R_67DLqzusfRB2z6G,3,7,22,-0.315300,0.15,1,1,false,2909,Trend,Q,training
96680,R_67DLqzusfRB2z6G,4,39,22,0.043700,0.15,1,1,true,1441,Trend,Q,training
96680,R_67DLqzusfRB2z6G,5,18,12,-0.131700,0.15,1,1,true,814,Trend,P,training
96680,R_67DLqzusfRB2z6G,6,36,16,0.043700,0.15,1,1,true,757,Trend,Q,training
96680,R_67DLqzusfRB2z6G,7,45,18,0.131700,0.15,1,1,true,957,Trend,Q,training
96680,R_67DLqzusfRB2z6G,8,53,18,0.221700,0.15,1,1,true,968,Trend,Q,training
96680,R_67DLqzusfRB2z6G,9,38,20,0.043700,0.15,1,1,true,1093,Trend,Q,training
96680,R_67DLqzusfRB2z6G,10,60,16,0.315300,0.15,1,1,false,870,Trend,P,training
96680,R_67DLqzusfRB2z6G,11,179,20,-0.131700,0.15,1,1,true,751,Trend,P,main
96680,R_67DLqzusfRB2z6G,12,431,18,0.221700,0.15,1,1,true,628,Trend,Q,main
96680,R_67DLqzusfRB2z6G,13,345,14,0.131700,0.15,1,1,false,971,Trend,P,main
96680,R_67DLqzusfRB2z6G,14,182,20,-0.131700,0.15,1,1,false,507,Trend,Q,main
96680,R_67DLqzusfRB2z6G,15,185,22,-0.131700,0.15,1,1,true,476,Trend,P,main
96680,R_67DLqzusfRB2z6G,16,227,16,-0.043700,0.15,1,1,false,383,Trend,Q,main
96680,R_67DLqzusfRB2z6G,17,495,18,0.315300,0.15,1,1,true,1539,Trend,Q,main
96680,R_67DLqzusfRB2z6G,18,483,16,0.315300,0.15,1,1,true,717,Trend,Q,main
96680,R_67DLqzusfRB2z6G,19,26,14,-0.315300,0.15,1,1,false,661,Trend,Q,main
96680,R_67DLqzusfRB2z6G,20,328,10,0.131700,0.15,1,1,false,1427,Trend,P,main
96680,R_67DLqzusfRB2z6G,21,409,14,0.221700,0.15,1,1,true,935,Trend,Q,main
96680,R_67DLqzusfRB2z6G,22,247,20,-0.043700,0.15,1,1,true,573,Trend,P,main
96680,R_67DLqzusfRB2z6G,23,266,10,0.043700,0.15,1,1,true,878,Trend,Q,main
96680,R_67DLqzusfRB2z6G,24,53,20,-0.315300,0.15,1,1,true,416,Trend,P,main
96680,R_67DLqzusfRB2z6G,25,40,18,-0.315300,0.15,1,1,false,993,Trend,Q,main
96680,R_67DLqzusfRB2z6G,26,337,12,0.131700,0.15,1,1,false,833,Trend,P,main
96680,R_67DLqzusfRB2z6G,27,395,10,0.221700,0.15,1,1,false,726,Trend,P,main
96680,R_67DLqzusfRB2z6G,28,37,16,-0.315300,0.15,1,1,false,775,Trend,Q,main
96680,R_67DLqzusfRB2z6G,29,212,12,-0.043700,0.15,1,1,true,764,Trend,P,main
96680,R_67DLqzusfRB2z6G,30,20,12,-0.315300,0.15,1,1,true,462,Trend,P,main
96680,R_67DLqzusfRB2z6G,31,120,22,-0.221700,0.15,1,1,true,567,Trend,P,main
96680,R_67DLqzusfRB2z6G,32,500,20,0.315300,0.15,1,1,false,869,Trend,P,main
96680,R_67DLqzusfRB2z6G,33,381,22,0.131700,0.15,1,1,true,543,Trend,Q,main
96680,R_67DLqzusfRB2z6G,34,75,10,-0.221700,0.15,1,1,true,571,Trend,P,main
96680,R_67DLqzusfRB2z6G,35,331,10,0.131700,0.15,1,1,false,625,Trend,P,main
96680,R_67DLqzusfRB2z6G,36,434,20,0.221700,0.15,1,1,true,629,Trend,Q,main
96680,R_67DLqzusfRB2z6G,37,275,12,0.043700,0.15,1,1,false,1149,Trend,P,main
96680,R_67DLqzusfRB2z6G,38,410,14,0.221700,0.15,1,1,false,720,Trend,P,main
96680,R_67DLqzusfRB2z6G,39,5,8,-0.315300,0.15,1,1,false,487,Trend,Q,main
96680,R_67DLqzusfRB2z6G,40,313,22,0.043700,0.15,1,1,true,578,Trend,Q,main
96680,R_67DLqzusfRB2z6G,41,45,18,-0.315300,0.15,1,1,true,490,Trend,P,main
96680,R_67DLqzusfRB2z6G,42,17,12,-0.315300,0.15,1,1,true,614,Trend,P,main
96680,R_67DLqzusfRB2z6G,43,117,20,-0.221700,0.15,1,1,false,1195,Trend,Q,main
96680,R_67DLqzusfRB2z6G,44,142,10,-0.131700,0.15,1,1,true,860,Trend,P,main
96680,R_67DLqzusfRB2z6G,45,373,20,0.131700,0.15,1,1,true,1033,Trend,Q,main
96680,R_67DLqzusfRB2z6G,46,198,8,-0.043700,0.15,1,1,true,697,Trend,P,main
96680,R_67DLqzusfRB2z6G,47,78,10,-0.221700,0.15,1,1,true,643,Trend,P,main
96680,R_67DLqzusfRB2z6G,48,396,10,0.221700,0.15,1,1,false,803,Trend,P,main
96680,R_67DLqzusfRB2z6G,49,276,12,0.043700,0.15,1,1,false,1894,Trend,P,main
96680,R_67DLqzusfRB2z6G,50,168,18,-0.131700,0.15,1,1,true,697,Trend,P,main
96680,R_67DLqzusfRB2z6G,51,113,20,-0.221700,0.15,1,1,false,8165,Trend,Q,main
96680,R_67DLqzusfRB2z6G,52,427,18,0.221700,0.15,1,1,false,2548,Trend,P,main
96680,R_67DLqzusfRB2z6G,53,491,18,0.315300,0.15,1,1,true,722,Trend,Q,main
96680,R_67DLqzusfRB2z6G,54,189,22,-0.131700,0.15,1,1,true,487,Trend,P,main
96680,R_67DLqzusfRB2z6G,55,289,16,0.043700,0.15,1,1,false,393,Trend,P,main
96680,R_67DLqzusfRB2z6G,56,241,20,-0.043700,0.15,1,1,false,383,Trend,Q,main
96680,R_67DLqzusfRB2z6G,57,174,18,-0.131700,0.15,1,1,true,295,Trend,P,main
96680,R_67DLqzusfRB2z6G,58,485,16,0.315300,0.15,1,1,true,318,Trend,Q,main
96680,R_67DLqzusfRB2z6G,59,201,10,-0.043700,0.15,1,1,true,437,Trend,P,main
96680,R_67DLqzusfRB2z6G,60,443,22,0.221700,0.15,1,1,false,340,Trend,P,main
96680,R_67DLqzusfRB2z6G,61,502,20,0.315300,0.15,1,1,false,490,Trend,P,main
96680,R_67DLqzusfRB2z6G,62,139,10,-0.131700,0.15,1,1,true,588,Trend,P,main
96680,R_67DLqzusfRB2z6G,63,147,12,-0.131700,0.15,1,1,true,490,Trend,P,main
96680,R_67DLqzusfRB2z6G,64,256,8,0.043700,0.15,1,1,false,502,Trend,P,main
96680,R_67DLqzusfRB2z6G,65,322,8,0.131700,0.15,1,1,false,652,Trend,P,main
96680,R_67DLqzusfRB2z6G,66,314,22,0.043700,0.15,1,1,true,504,Trend,Q,main
96680,R_67DLqzusfRB2z6G,67,238,18,-0.043700,0.15,1,1,true,469,Trend,P,main
96680,R_67DLqzusfRB2z6G,68,285,14,0.043700,0.15,1,1,true,667,Trend,Q,main
96680,R_67DLqzusfRB2z6G,69,315,22,0.043700,0.15,1,1,true,465,Trend,Q,main
96680,R_67DLqzusfRB2z6G,70,211,12,-0.043700,0.15,1,1,true,705,Trend,P,main
96680,R_67DLqzusfRB2z6G,71,307,20,0.043700,0.15,1,1,true,521,Trend,Q,main
96680,R_67DLqzusfRB2z6G,72,361,18,0.131700,0.15,1,1,false,1066,Trend,P,main
96680,R_67DLqzusfRB2z6G,73,441,22,0.221700,0.15,1,1,true,729,Trend,Q,main
96680,R_67DLqzusfRB2z6G,74,66,8,-0.221700,0.15,1,1,true,588,Trend,P,main
96680,R_67DLqzusfRB2z6G,75,219,14,-0.043700,0.15,1,1,true,708,Trend,P,main
96680,R_67DLqzusfRB2z6G,76,418,16,0.221700,0.15,1,1,false,793,Trend,P,main
96680,R_67DLqzusfRB2z6G,77,404,12,0.221700,0.15,1,1,false,947,Trend,P,main
96680,R_67DLqzusfRB2z6G,78,509,22,0.315300,0.15,1,1,true,1900,Trend,Q,main
96680,R_67DLqzusfRB2z6G,79,297,18,0.043700,0.15,1,1,true,579,Trend,Q,main
96680,R_67DLqzusfRB2z6G,80,352,16,0.131700,0.15,1,1,false,601,Trend,P,main
96680,R_67DLqzusfRB2z6G,81,132,8,-0.131700,0.15,1,1,true,568,Trend,P,main
96680,R_67DLqzusfRB2z6G,82,70,8,-0.221700,0.15,1,1,true,453,Trend,P,main
96680,R_67DLqzusfRB2z6G,83,165,16,-0.131700,0.15,1,1,false,621,Trend,Q,main
