sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
97609,R_6Bc5PrkoUt2Kh57,1,25,10,-0.043700,0.15,1,1,true,2108,Trend,P,training
97609,R_6Bc5PrkoUt2Kh57,2,8,8,-0.221700,0.15,1,1,true,624,Trend,P,training
97609,R_6Bc5PrkoUt2Kh57,3,54,20,0.221700,0.15,1,1,true,1494,Trend,Q,training
97609,R_6Bc5PrkoUt2Kh57,4,53,18,0.221700,0.15,1,1,true,590,Trend,Q,training
97609,R_6Bc5PrkoUt2Kh57,5,51,14,0.221700,0.15,1,1,true,672,Trend,Q,training
97609,R_6Bc5PrkoUt2Kh57,6,31,22,-0.043700,0.15,1,1,true,595,Trend,P,training
97609,R_6Bc5PrkoUt2Kh57,7,1,10,-0.315300,0.15,1,1,true,505,Trend,P,training
97609,R_6Bc5PrkoUt2Kh57,8,37,18,0.043700,0.15,1,1,true,768,Trend,Q,training
97609,R_6Bc5PrkoUt2Kh57,9,30,20,-0.043700,0.15,1,1,false,568,Trend,Q,training
97609,R_6Bc5PrkoUt2Kh57,10,57,10,0.315300,0.15,1,1,true,600,Trend,Q,training
97609,R_6Bc5PrkoUt2Kh57,11,382,22,0.131700,0.15,1,1,true,764,Trend,Q,main
97609,R_6Bc5PrkoUt2Kh57,12,217,14,-0.043700,0.15,1,1,false,654,Trend,Q,main
97609,R_6Bc5PrkoUt2Kh57,13,209,12,-0.043700,0.15,1,1,true,773,Trend,P,main
97609,R_6Bc5PrkoUt2Kh57,14,41,18,-0.315300,0.15,1,1,true,586,Trend,P,main
97609,R_6Bc5PrkoUt2Kh57,15,366,18,0.131700,0.15,1,1,true,684,Trend,Q,main
97609,R_6Bc5PrkoUt2Kh57,16,13,10,-0.315300,0.15,1,1,true,583,Trend,P,main
97609,R_6Bc5PrkoUt2Kh57,17,306,20,0.043700,0.15,1,1,true,739,Trend,Q,main
97609,R_6Bc5PrkoUt2Kh57,18,12,10,-0.315300,0.15,1,1,true,407,Trend,P,main
97609,R_6Bc5PrkoUt2Kh57,19,502,20,0.315300,0.15,1,1,true,591,Trend,Q,main
97609,R_6Bc5PrkoUt2Kh57,20,504,22,0.315300,0.15,1,1,true,557,Trend,Q,main
97609,R_6Bc5PrkoUt2Kh57,21,466,12,0.315300,0.15,1,1,true,497,Trend,Q,main
97609,R_6Bc5PrkoUt2Kh57,22,241,20,-0.043700,0.15,1,1,true,696,Trend,P,main
97609,R_6Bc5PrkoUt2Kh57,23,302,18,0.043700,0.15,1,1,false,663,Trend,P,main
