sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
97387,R_6HcQjkHRar7B3Jb,1,39,22,0.043700,0.15,2,2,true,1584,Number,P,training
97387,R_6HcQjkHRar7B3Jb,2,8,8,-0.221700,0.15,2,2,true,1086,Number,Q,training
97387,R_6HcQjkHRar7B3Jb,3,26,12,-0.043700,0.15,2,2,true,1371,Number,Q,training
97387,R_6HcQjkHRar7B3Jb,4,19,14,-0.131700,0.15,2,2,false,1718,Number,P,training
97387,R_6HcQjkHRar7B3Jb,5,36,16,0.043700,0.15,2,2,true,753,Number,P,training
97387,R_6HcQjkHRar7B3Jb,6,59,14,0.315300,0.15,2,2,false,1012,Number,P,training
97387,R_6HcQjkHRar7B3Jb,7,35,14,0.043700,0.15,2,2,false,1314,Number,P,training
97387,R_6HcQjkHRar7B3Jb,8,27,14,-0.043700,0.15,2,2,true,1074,Number,Q,training
97387,R_6HcQjkHRar7B3Jb,9,62,20,0.315300,0.15,2,2,true,671,Number,P,training
97387,R_6HcQjkHRar7B3Jb,10,30,20,-0.043700,0.15,2,2,true,832,Number,P,training
97387,R_6HcQjkHRar7B3Jb,11,69,8,-0.221700,0.15,2,2,true,669,Number,Q,main
97387,R_6HcQjkHRar7B3Jb,12,55,20,-0.315300,0.15,2,2,true,627,Number,P,main
97387,R_6HcQjkHRar7B3Jb,13,402,12,0.221700,0.15,2,2,true,1127,Number,Q,main
97387,R_6HcQjkHRar7B3Jb,14,135,8,-0.131700,0.15,2,2,true,902,Number,Q,main
97387,R_6HcQjkHRar7B3Jb,15,318,22,0.043700,0.15,2,2,true,626,Number,P,main
97387,R_6HcQjkHRar7B3Jb,16,504,22,0.315300,0.15,2,2,true,718,Number,P,main
97387,R_6HcQjkHRar7B3Jb,17,126,22,-0.221700,0.15,2,2,true,1046,Number,P,main
97387,R_6HcQjkHRar7B3Jb,18,462,10,0.315300,0.15,2,2,true,687,Number,Q,main
97387,R_6HcQjkHRar7B3Jb,19,329,10,0.131700,0.15,2,2,true,721,Number,Q,main
97387,R_6HcQjkHRar7B3Jb,20,442,22,0.221700,0.15,2,2,true,836,Number,P,main
97387,R_6HcQjkHRar7B3Jb,21,40,18,-0.315300,0.15,2,2,true,1457,Number,P,main
97387,R_6HcQjkHRar7B3Jb,22,427,18,0.221700,0.15,2,2,true,936,Number,P,main
