sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
94677,R_6I2uFiny3birvCV,1,58,12,0.315300,0.15,1,1,false,6855,Trend,P,training
94677,R_6I2uFiny3birvCV,2,19,14,-0.131700,0.15,1,1,false,3284,Trend,Q,training
94677,R_6I2uFiny3birvCV,3,62,20,0.315300,0.15,1,1,true,3466,Trend,Q,training
94677,R_6I2uFiny3birvCV,4,29,18,-0.043700,0.15,1,1,true,2312,Trend,P,training
94677,R_6I2uFiny3birvCV,5,33,10,0.043700,0.15,1,1,false,3423,Trend,P,training
94677,R_6I2uFiny3birvCV,6,9,10,-0.221700,0.15,1,1,true,2102,Trend,P,training
94677,R_6I2uFiny3birvCV,7,31,22,-0.043700,0.15,1,1,true,4157,Trend,P,training
94677,R_6I2uFiny3birvCV,8,52,16,0.221700,0.15,1,1,true,2087,Trend,Q,training
94677,R_6I2uFiny3birvCV,9,10,12,-0.221700,0.15,1,1,false,1982,Trend,Q,training
94677,R_6I2uFiny3birvCV,10,51,14,0.221700,0.15,1,1,true,1446,Trend,Q,training
94677,R_6I2uFiny3birvCV,11,373,20,0.131700,0.15,1,1,true,876,Trend,Q,main
94677,R_6I2uFiny3birvCV,12,2,8,-0.315300,0.15,1,1,true,548,Trend,P,main
94677,R_6I2uFiny3birvCV,13,440,22,0.221700,0.15,1,1,true,987,Trend,Q,main
94677,R_6I2uFiny3birvCV,14,314,22,0.043700,0.15,1,1,true,880,Trend,Q,main
94677,R_6I2uFiny3birvCV,15,216,14,-0.043700,0.15,1,1,true,1024,Trend,P,main
94677,R_6I2uFiny3birvCV,16,191,22,-0.131700,0.15,1,1,false,1352,Trend,Q,main
94677,R_6I2uFiny3birvCV,17,77,10,-0.221700,0.15,1,1,true,763,Trend,P,main
94677,R_6I2uFiny3birvCV,18,28,14,-0.315300,0.15,1,1,false,992,Trend,Q,main
94677,R_6I2uFiny3birvCV,19,172,18,-0.131700,0.15,1,1,false,819,Trend,Q,main
94677,R_6I2uFiny3birvCV,20,211,12,-0.043700,0.15,1,1,true,1053,Trend,P,main
94677,R_6I2uFiny3birvCV,21,413,14,0.221700,0.15,1,1,true,1555,Trend,Q,main
94677,R_6I2uFiny3birvCV,22,21,12,-0.315300,0.15,1,1,false,709,Trend,Q,main
94677,R_6I2uFiny3birvCV,23,118,20,-0.221700,0.15,1,1,true,707,Trend,P,main
94677,R_6I2uFiny3birvCV,24,150,12,-0.131700,0.15,1,1,true,580,Trend,P,main
94677,R_6I2uFiny3birvCV,25,297,18,0.043700,0.15,1,1,true,556,Trend,Q,main
94677,R_6I2uFiny3birvCV,26,109,18,-0.221700,0.15,1,1,false,1745,Trend,Q,main
94677,R_6I2uFiny3birvCV,27,353,16,0.131700,0.15,1,1,false,1066,Trend,P,main
94677,R_6I2uFiny3birvCV,28,71,8,-0.221700,0.15,1,1,true,1520,Trend,P,main
94677,R_6I2uFiny3birvCV,29,284,14,0.043700,0.15,1,1,true,1783,Trend,Q,main
94677,R_6I2uFiny3birvCV,30,355,16,0.131700,0.15,1,1,true,4555,Trend,Q,main
94677,R_6I2uFiny3birvCV,31,270,10,0.043700,0.15,1,1,false,1060,Trend,P,main
94677,R_6I2uFiny3birvCV,32,312,22,0.043700,0.15,1,1,true,627,Trend,Q,main
94677,R_6I2uFiny3birvCV,33,217,14,-0.043700,0.15,1,1,false,1350,Trend,Q,main
94677,R_6I2uFiny3birvCV,34,177,20,-0.131700,0.15,1,1,false,832,Trend,Q,main
94677,R_6I2uFiny3birvCV,35,359,16,0.131700,0.15,1,1,false,1462,Trend,P,main
94677,R_6I2uFiny3birvCV,36,188,22,-0.131700,0.15,1,1,true,769,Trend,P,main
94677,R_6I2uFiny3birvCV,37,375,20,0.131700,0.15,1,1,true,610,Trend,Q,main
94677,R_6I2uFiny3birvCV,38,120,22,-0.221700,0.15,1,1,false,548,Trend,Q,main
94677,R_6I2uFiny3birvCV,39,273,12,0.043700,0.15,1,1,false,772,Trend,P,main
94677,R_6I2uFiny3birvCV,40,18,12,-0.315300,0.15,1,1,false,718,Trend,Q,main
94677,R_6I2uFiny3birvCV,41,35,16,-0.315300,0.15,1,1,true,826,Trend,P,main
94677,R_6I2uFiny3birvCV,42,180,20,-0.131700,0.15,1,1,true,608,Trend,P,main
94677,R_6I2uFiny3birvCV,43,447,22,0.221700,0.15,1,1,false,454,Trend,P,main
94677,R_6I2uFiny3birvCV,44,278,12,0.043700,0.15,1,1,true,409,Trend,Q,main
94677,R_6I2uFiny3birvCV,45,469,12,0.315300,0.15,1,1,true,476,Trend,Q,main
94677,R_6I2uFiny3birvCV,46,414,14,0.221700,0.15,1,1,true,848,Trend,Q,main
94677,R_6I2uFiny3birvCV,47,48,20,-0.315300,0.15,1,1,false,750,Trend,Q,main
94677,R_6I2uFiny3birvCV,48,501,20,0.315300,0.15,1,1,false,737,Trend,P,main
94677,R_6I2uFiny3birvCV,49,264,10,0.043700,0.15,1,1,false,2521,Trend,P,main
94677,R_6I2uFiny3birvCV,50,461,10,0.315300,0.15,1,1,false,523,Trend,P,main
94677,R_6I2uFiny3birvCV,51,90,14,-0.221700,0.15,1,1,true,469,Trend,P,main
94677,R_6I2uFiny3birvCV,52,483,16,0.315300,0.15,1,1,true,403,Trend,Q,main
94677,R_6I2uFiny3birvCV,53,507,22,0.315300,0.15,1,1,false,340,Trend,P,main
94677,R_6I2uFiny3birvCV,54,57,22,-0.315300,0.15,1,1,true,816,Trend,P,main
94677,R_6I2uFiny3birvCV,55,415,14,0.221700,0.15,1,1,false,1204,Trend,P,main
94677,R_6I2uFiny3birvCV,56,220,14,-0.043700,0.15,1,1,true,850,Trend,P,main
94677,R_6I2uFiny3birvCV,57,91,14,-0.221700,0.15,1,1,true,821,Trend,P,main
94677,R_6I2uFiny3birvCV,58,382,22,0.131700,0.15,1,1,true,514,Trend,Q,main
94677,R_6I2uFiny3birvCV,59,462,10,0.315300,0.15,1,1,false,613,Trend,P,main
94677,R_6I2uFiny3birvCV,60,78,10,-0.221700,0.15,1,1,false,455,Trend,Q,main
94677,R_6I2uFiny3birvCV,61,426,18,0.221700,0.15,1,1,false,452,Trend,P,main
94677,R_6I2uFiny3birvCV,62,158,14,-0.131700,0.15,1,1,false,1175,Trend,Q,main
94677,R_6I2uFiny3birvCV,63,407,12,0.221700,0.15,1,1,false,1094,Trend,P,main
94677,R_6I2uFiny3birvCV,64,166,16,-0.131700,0.15,1,1,true,741,Trend,P,main
94677,R_6I2uFiny3birvCV,65,343,12,0.131700,0.15,1,1,false,1195,Trend,P,main
94677,R_6I2uFiny3birvCV,66,322,8,0.131700,0.15,1,1,true,699,Trend,Q,main
94677,R_6I2uFiny3birvCV,67,383,22,0.131700,0.15,1,1,false,2214,Trend,P,main
94677,R_6I2uFiny3birvCV,68,280,14,0.043700,0.15,1,1,true,617,Trend,Q,main
94677,R_6I2uFiny3birvCV,69,310,20,0.043700,0.15,1,1,true,489,Trend,Q,main
94677,R_6I2uFiny3birvCV,70,229,16,-0.043700,0.15,1,1,false,1189,Trend,Q,main
94677,R_6I2uFiny3birvCV,71,246,20,-0.043700,0.15,1,1,false,621,Trend,Q,main
94677,R_6I2uFiny3birvCV,72,159,14,-0.131700,0.15,1,1,false,662,Trend,Q,main
94677,R_6I2uFiny3birvCV,73,165,16,-0.131700,0.15,1,1,false,1801,Trend,Q,main
94677,R_6I2uFiny3birvCV,74,260,8,0.043700,0.15,1,1,true,826,Trend,Q,main
94677,R_6I2uFiny3birvCV,75,384,8,0.221700,0.15,1,1,false,4518,Trend,P,main
94677,R_6I2uFiny3birvCV,76,367,18,0.131700,0.15,1,1,true,2101,Trend,Q,main
94677,R_6I2uFiny3birvCV,77,308,20,0.043700,0.15,1,1,true,756,Trend,Q,main
94677,R_6I2uFiny3birvCV,78,309,20,0.043700,0.15,1,1,true,672,Trend,Q,main
94677,R_6I2uFiny3birvCV,79,204,10,-0.043700,0.15,1,1,true,754,Trend,P,main
94677,R_6I2uFiny3birvCV,80,66,8,-0.221700,0.15,1,1,true,626,Trend,P,main
94677,R_6I2uFiny3birvCV,81,98,16,-0.221700,0.15,1,1,false,1244,Trend,Q,main
