sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
97419,R_6JS3qjXSDx3f2tH,1,15,22,-0.221700,0.15,1,2,true,1957,Number,Q,training
97419,R_6JS3qjXSDx3f2tH,2,0,8,-0.315300,0.15,1,2,true,1187,Number,P,training
97419,R_6JS3qjXSDx3f2tH,3,17,10,-0.131700,0.15,1,2,true,1936,Number,P,training
97419,R_6JS3qjXSDx3f2tH,4,18,12,-0.131700,0.15,1,2,false,1161,Number,Q,training
97419,R_6JS3qjXSDx3f2tH,5,50,12,0.221700,0.15,1,2,true,865,Number,P,training
97419,R_6JS3qjXSDx3f2tH,6,42,12,0.131700,0.15,1,2,true,901,Number,P,training
97419,R_6JS3qjXSDx3f2tH,7,37,18,0.043700,0.15,1,2,true,1518,Number,Q,training
97419,R_6JS3qjXSDx3f2tH,8,30,20,-0.043700,0.15,1,2,true,1684,Number,Q,training
97419,R_6JS3qjXSDx3f2tH,9,39,22,0.043700,0.15,1,2,true,796,Number,Q,training
97419,R_6JS3qjXSDx3f2tH,10,8,8,-0.221700,0.15,1,2,true,619,Number,P,training
97419,R_6JS3qjXSDx3f2tH,11,53,20,-0.315300,0.15,1,2,true,755,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,12,230,16,-0.043700,0.15,1,2,false,956,Number,P,main
97419,R_6JS3qjXSDx3f2tH,13,78,10,-0.221700,0.15,1,2,true,894,Number,P,main
97419,R_6JS3qjXSDx3f2tH,14,88,14,-0.221700,0.15,1,2,false,1432,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,15,41,18,-0.315300,0.15,1,2,true,806,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,16,458,10,0.315300,0.15,1,2,true,979,Number,P,main
97419,R_6JS3qjXSDx3f2tH,17,473,14,0.315300,0.15,1,2,false,1538,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,18,500,20,0.315300,0.15,1,2,true,861,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,19,424,18,0.221700,0.15,1,2,true,1253,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,20,13,10,-0.315300,0.15,1,2,true,737,Number,P,main
97419,R_6JS3qjXSDx3f2tH,21,425,18,0.221700,0.15,1,2,true,876,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,22,355,16,0.131700,0.15,1,2,true,1209,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,23,331,10,0.131700,0.15,1,2,true,751,Number,P,main
97419,R_6JS3qjXSDx3f2tH,24,312,22,0.043700,0.15,1,2,true,1130,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,25,443,22,0.221700,0.15,1,2,true,1082,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,26,170,18,-0.131700,0.15,1,2,true,1467,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,27,261,8,0.043700,0.15,1,2,true,692,Number,P,main
97419,R_6JS3qjXSDx3f2tH,28,483,16,0.315300,0.15,1,2,true,1087,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,29,474,14,0.315300,0.15,1,2,true,888,Number,P,main
97419,R_6JS3qjXSDx3f2tH,30,274,12,0.043700,0.15,1,2,true,1129,Number,P,main
97419,R_6JS3qjXSDx3f2tH,31,55,20,-0.315300,0.15,1,2,true,1014,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,32,449,8,0.315300,0.15,1,2,true,835,Number,P,main
97419,R_6JS3qjXSDx3f2tH,33,387,8,0.221700,0.15,1,2,true,811,Number,P,main
97419,R_6JS3qjXSDx3f2tH,34,505,22,0.315300,0.15,1,2,true,1035,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,35,153,14,-0.131700,0.15,1,2,false,826,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,36,142,10,-0.131700,0.15,1,2,true,787,Number,P,main
97419,R_6JS3qjXSDx3f2tH,37,408,14,0.221700,0.15,1,2,true,1305,Number,P,main
97419,R_6JS3qjXSDx3f2tH,38,493,18,0.315300,0.15,1,2,true,1105,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,39,10,10,-0.315300,0.15,1,2,true,925,Number,P,main
97419,R_6JS3qjXSDx3f2tH,40,182,20,-0.131700,0.15,1,2,true,920,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,41,51,20,-0.315300,0.15,1,2,true,845,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,42,451,8,0.315300,0.15,1,2,true,732,Number,P,main
97419,R_6JS3qjXSDx3f2tH,43,421,16,0.221700,0.15,1,2,true,814,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,44,278,12,0.043700,0.15,1,2,true,962,Number,P,main
97419,R_6JS3qjXSDx3f2tH,45,339,12,0.131700,0.15,1,2,true,1158,Number,P,main
97419,R_6JS3qjXSDx3f2tH,46,43,18,-0.315300,0.15,1,2,true,893,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,47,360,18,0.131700,0.15,1,2,true,1683,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,48,94,14,-0.221700,0.15,1,2,true,839,Number,P,main
97419,R_6JS3qjXSDx3f2tH,49,61,22,-0.315300,0.15,1,2,true,872,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,50,471,12,0.315300,0.15,1,2,true,813,Number,P,main
97419,R_6JS3qjXSDx3f2tH,51,406,12,0.221700,0.15,1,2,true,843,Number,P,main
97419,R_6JS3qjXSDx3f2tH,52,344,14,0.131700,0.15,1,2,false,832,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,53,44,18,-0.315300,0.15,1,2,true,738,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,54,326,8,0.131700,0.15,1,2,true,769,Number,P,main
97419,R_6JS3qjXSDx3f2tH,55,27,14,-0.315300,0.15,1,2,false,1346,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,56,202,10,-0.043700,0.15,1,2,true,1005,Number,P,main
97419,R_6JS3qjXSDx3f2tH,57,460,10,0.315300,0.15,1,2,true,1149,Number,P,main
97419,R_6JS3qjXSDx3f2tH,58,275,12,0.043700,0.15,1,2,true,1526,Number,P,main
97419,R_6JS3qjXSDx3f2tH,59,152,14,-0.131700,0.15,1,2,false,772,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,60,308,20,0.043700,0.15,1,2,true,780,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,61,188,22,-0.131700,0.15,1,2,true,783,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,62,433,20,0.221700,0.15,1,2,true,920,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,63,298,18,0.043700,0.15,1,2,true,1080,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,64,123,22,-0.221700,0.15,1,2,true,877,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,65,65,8,-0.221700,0.15,1,2,true,680,Number,P,main
97419,R_6JS3qjXSDx3f2tH,66,404,12,0.221700,0.15,1,2,true,1173,Number,P,main
97419,R_6JS3qjXSDx3f2tH,67,456,10,0.315300,0.15,1,2,true,827,Number,P,main
97419,R_6JS3qjXSDx3f2tH,68,316,22,0.043700,0.15,1,2,true,691,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,69,190,22,-0.131700,0.15,1,2,true,931,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,70,96,16,-0.221700,0.15,1,2,true,2867,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,71,323,8,0.131700,0.15,1,2,true,760,Number,P,main
97419,R_6JS3qjXSDx3f2tH,72,374,20,0.131700,0.15,1,2,true,850,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,73,457,10,0.315300,0.15,1,2,true,788,Number,P,main
97419,R_6JS3qjXSDx3f2tH,74,140,10,-0.131700,0.15,1,2,true,781,Number,P,main
97419,R_6JS3qjXSDx3f2tH,75,299,18,0.043700,0.15,1,2,true,829,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,76,124,22,-0.221700,0.15,1,2,true,764,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,77,119,20,-0.221700,0.15,1,2,true,850,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,78,193,8,-0.043700,0.15,1,2,true,691,Number,P,main
97419,R_6JS3qjXSDx3f2tH,79,383,22,0.131700,0.15,1,2,true,803,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,80,205,10,-0.043700,0.15,1,2,true,743,Number,P,main
97419,R_6JS3qjXSDx3f2tH,81,342,12,0.131700,0.15,1,2,true,1395,Number,P,main
97419,R_6JS3qjXSDx3f2tH,82,361,18,0.131700,0.15,1,2,true,741,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,83,6,8,-0.315300,0.15,1,2,true,1140,Number,P,main
97419,R_6JS3qjXSDx3f2tH,84,184,22,-0.131700,0.15,1,2,true,839,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,85,105,18,-0.221700,0.15,1,2,true,842,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,86,25,14,-0.315300,0.15,1,2,false,791,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,87,92,14,-0.221700,0.15,1,2,false,717,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,88,465,12,0.315300,0.15,1,2,false,887,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,89,384,8,0.221700,0.15,1,2,true,1186,Number,P,main
97419,R_6JS3qjXSDx3f2tH,90,220,14,-0.043700,0.15,1,2,false,801,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,91,23,12,-0.315300,0.15,1,2,false,1473,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,92,343,12,0.131700,0.15,1,2,false,1047,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,93,111,18,-0.221700,0.15,1,2,true,1110,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,94,327,8,0.131700,0.15,1,2,true,644,Number,P,main
97419,R_6JS3qjXSDx3f2tH,95,488,18,0.315300,0.15,1,2,true,834,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,96,313,22,0.043700,0.15,1,2,true,712,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,97,104,18,-0.221700,0.15,1,2,true,771,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,98,0,8,-0.315300,0.15,1,2,true,733,Number,P,main
97419,R_6JS3qjXSDx3f2tH,99,478,14,0.315300,0.15,1,2,false,1458,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,100,289,16,0.043700,0.15,1,2,true,902,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,101,201,10,-0.043700,0.15,1,2,true,1049,Number,P,main
97419,R_6JS3qjXSDx3f2tH,102,411,14,0.221700,0.15,1,2,false,1371,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,103,502,20,0.315300,0.15,1,2,true,768,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,104,109,18,-0.221700,0.15,1,2,true,898,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,105,141,10,-0.131700,0.15,1,2,true,862,Number,P,main
97419,R_6JS3qjXSDx3f2tH,106,91,14,-0.221700,0.15,1,2,false,1066,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,107,122,22,-0.221700,0.15,1,2,true,695,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,108,67,8,-0.221700,0.15,1,2,true,667,Number,P,main
97419,R_6JS3qjXSDx3f2tH,109,332,10,0.131700,0.15,1,2,true,859,Number,P,main
97419,R_6JS3qjXSDx3f2tH,110,95,14,-0.221700,0.15,1,2,false,1661,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,111,368,20,0.131700,0.15,1,2,true,782,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,112,147,12,-0.131700,0.15,1,2,true,861,Number,P,main
97419,R_6JS3qjXSDx3f2tH,113,5,8,-0.315300,0.15,1,2,true,748,Number,P,main
97419,R_6JS3qjXSDx3f2tH,114,24,14,-0.315300,0.15,1,2,false,872,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,115,264,10,0.043700,0.15,1,2,true,782,Number,P,main
97419,R_6JS3qjXSDx3f2tH,116,373,20,0.131700,0.15,1,2,true,695,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,117,429,18,0.221700,0.15,1,2,true,864,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,118,254,22,-0.043700,0.15,1,2,true,776,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,119,20,12,-0.315300,0.15,1,2,false,1346,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,120,251,22,-0.043700,0.15,1,2,true,830,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,121,317,22,0.043700,0.15,1,2,true,835,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,122,221,14,-0.043700,0.15,1,2,false,1116,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,123,31,14,-0.315300,0.15,1,2,true,1175,Number,P,main
97419,R_6JS3qjXSDx3f2tH,124,3,8,-0.315300,0.15,1,2,true,781,Number,P,main
97419,R_6JS3qjXSDx3f2tH,125,273,12,0.043700,0.15,1,2,true,1080,Number,P,main
97419,R_6JS3qjXSDx3f2tH,126,100,16,-0.221700,0.15,1,2,true,1006,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,127,54,20,-0.315300,0.15,1,2,true,749,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,128,85,12,-0.221700,0.15,1,2,true,818,Number,P,main
97419,R_6JS3qjXSDx3f2tH,129,115,20,-0.221700,0.15,1,2,true,647,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,130,108,18,-0.221700,0.15,1,2,true,790,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,131,103,16,-0.221700,0.15,1,2,true,882,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,132,235,18,-0.043700,0.15,1,2,true,1063,Number,Q,main
97419,R_6JS3qjXSDx3f2tH,133,287,14,0.043700,0.15,1,2,false,856,Number,Q,main
