sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
96617,R_6O83UyL1ks7n5rM,1,22,20,-0.131700,0.15,1,1,true,10953,Trend,P,training
96617,R_6O83UyL1ks7n5rM,2,6,20,-0.315300,0.15,1,1,false,1979,Trend,Q,training
96617,R_6O83UyL1ks7n5rM,3,20,16,-0.131700,0.15,1,1,false,5495,Trend,Q,training
96617,R_6O83UyL1ks7n5rM,4,30,20,-0.043700,0.15,1,1,true,3060,Trend,P,training
96617,R_6O83UyL1ks7n5rM,5,19,14,-0.131700,0.15,1,1,false,2318,Trend,Q,training
96617,R_6O83UyL1ks7n5rM,6,1,10,-0.315300,0.15,1,1,true,955,Trend,P,training
96617,R_6O83UyL1ks7n5rM,7,39,22,0.043700,0.15,1,1,true,1974,Trend,Q,training
96617,R_6O83UyL1ks7n5rM,8,63,22,0.315300,0.15,1,1,true,3077,Trend,Q,training
96617,R_6O83UyL1ks7n5rM,9,26,12,-0.043700,0.15,1,1,true,1175,Trend,P,training
96617,R_6O83UyL1ks7n5rM,10,5,18,-0.315300,0.15,1,1,true,786,Trend,P,training
96617,R_6O83UyL1ks7n5rM,11,62,22,-0.315300,0.15,1,1,true,688,Trend,P,main
96617,R_6O83UyL1ks7n5rM,12,220,14,-0.043700,0.15,1,1,true,1391,Trend,P,main
96617,R_6O83UyL1ks7n5rM,13,165,16,-0.131700,0.15,1,1,true,625,Trend,P,main
96617,R_6O83UyL1ks7n5rM,14,107,18,-0.221700,0.15,1,1,true,576,Trend,P,main
96617,R_6O83UyL1ks7n5rM,15,47,18,-0.315300,0.15,1,1,true,2020,Trend,P,main
96617,R_6O83UyL1ks7n5rM,16,67,8,-0.221700,0.15,1,1,true,3436,Trend,P,main
96617,R_6O83UyL1ks7n5rM,17,131,8,-0.131700,0.15,1,1,false,732,Trend,Q,main
96617,R_6O83UyL1ks7n5rM,18,205,10,-0.043700,0.15,1,1,false,857,Trend,Q,main
96617,R_6O83UyL1ks7n5rM,19,184,22,-0.131700,0.15,1,1,true,617,Trend,P,main
96617,R_6O83UyL1ks7n5rM,20,29,14,-0.315300,0.15,1,1,true,1096,Trend,P,main
96617,R_6O83UyL1ks7n5rM,21,473,14,0.315300,0.15,1,1,false,1164,Trend,P,main
96617,R_6O83UyL1ks7n5rM,22,484,16,0.315300,0.15,1,1,true,1111,Trend,Q,main
96617,R_6O83UyL1ks7n5rM,23,78,10,-0.221700,0.15,1,1,true,926,Trend,P,main
96617,R_6O83UyL1ks7n5rM,24,134,8,-0.131700,0.15,1,1,true,589,Trend,P,main
96617,R_6O83UyL1ks7n5rM,25,357,16,0.131700,0.15,1,1,true,820,Trend,Q,main
96617,R_6O83UyL1ks7n5rM,26,376,22,0.131700,0.15,1,1,true,641,Trend,Q,main
96617,R_6O83UyL1ks7n5rM,27,118,20,-0.221700,0.15,1,1,true,811,Trend,P,main
96617,R_6O83UyL1ks7n5rM,28,301,18,0.043700,0.15,1,1,false,728,Trend,P,main
96617,R_6O83UyL1ks7n5rM,29,76,10,-0.221700,0.15,1,1,false,612,Trend,Q,main
