sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
89536,R_6V3abpz12hm1bBE,1,36,16,0.043700,0.15,2,1,false,1350,Trend,Q,training
89536,R_6V3abpz12hm1bBE,2,40,8,0.131700,0.15,2,1,false,5701,Trend,Q,training
89536,R_6V3abpz12hm1bBE,3,34,12,0.043700,0.15,2,1,false,1184,Trend,Q,training
89536,R_6V3abpz12hm1bBE,4,9,10,-0.221700,0.15,2,1,true,976,Trend,Q,training
89536,R_6V3abpz12hm1bBE,5,2,12,-0.315300,0.15,2,1,false,1171,Trend,P,training
89536,R_6V3abpz12hm1bBE,6,50,12,0.221700,0.15,2,1,false,1439,Trend,Q,training
89536,R_6V3abpz12hm1bBE,7,27,14,-0.043700,0.15,2,1,true,1301,Trend,Q,training
89536,R_6V3abpz12hm1bBE,8,5,18,-0.315300,0.15,2,1,false,537,Trend,P,training
89536,R_6V3abpz12hm1bBE,9,13,18,-0.221700,0.15,2,1,false,804,Trend,P,training
89536,R_6V3abpz12hm1bBE,10,18,12,-0.131700,0.15,2,1,true,867,Trend,Q,training
89536,R_6V3abpz12hm1bBE,11,326,8,0.131700,0.15,2,1,false,754,Trend,Q,main
89536,R_6V3abpz12hm1bBE,12,77,10,-0.221700,0.15,2,1,true,649,Trend,Q,main
89536,R_6V3abpz12hm1bBE,13,296,18,0.043700,0.15,2,1,true,659,Trend,P,main
89536,R_6V3abpz12hm1bBE,14,410,14,0.221700,0.15,2,1,true,1033,Trend,P,main
89536,R_6V3abpz12hm1bBE,15,364,18,0.131700,0.15,2,1,true,601,Trend,P,main
89536,R_6V3abpz12hm1bBE,16,196,8,-0.043700,0.15,2,1,true,580,Trend,Q,main
89536,R_6V3abpz12hm1bBE,17,295,16,0.043700,0.15,2,1,true,767,Trend,P,main
89536,R_6V3abpz12hm1bBE,18,225,16,-0.043700,0.15,2,1,false,752,Trend,P,main
89536,R_6V3abpz12hm1bBE,19,223,14,-0.043700,0.15,2,1,false,661,Trend,P,main
89536,R_6V3abpz12hm1bBE,20,302,18,0.043700,0.15,2,1,true,647,Trend,P,main
89536,R_6V3abpz12hm1bBE,21,476,14,0.315300,0.15,2,1,true,621,Trend,P,main
89536,R_6V3abpz12hm1bBE,22,358,16,0.131700,0.15,2,1,true,657,Trend,P,main
89536,R_6V3abpz12hm1bBE,23,90,14,-0.221700,0.15,2,1,false,687,Trend,P,main
89536,R_6V3abpz12hm1bBE,24,17,12,-0.315300,0.15,2,1,true,1320,Trend,Q,main
89536,R_6V3abpz12hm1bBE,25,30,14,-0.315300,0.15,2,1,false,1128,Trend,P,main
89536,R_6V3abpz12hm1bBE,26,389,8,0.221700,0.15,2,1,false,1145,Trend,Q,main
89536,R_6V3abpz12hm1bBE,27,121,22,-0.221700,0.15,2,1,false,855,Trend,P,main
89536,R_6V3abpz12hm1bBE,28,110,18,-0.221700,0.15,2,1,false,1151,Trend,P,main
89536,R_6V3abpz12hm1bBE,29,58,22,-0.315300,0.15,2,1,false,1128,Trend,P,main
89536,R_6V3abpz12hm1bBE,30,241,20,-0.043700,0.15,2,1,false,1095,Trend,P,main
89536,R_6V3abpz12hm1bBE,31,419,16,0.221700,0.15,2,1,true,1040,Trend,P,main
89536,R_6V3abpz12hm1bBE,32,387,8,0.221700,0.15,2,1,false,572,Trend,Q,main
89536,R_6V3abpz12hm1bBE,33,467,12,0.315300,0.15,2,1,false,1065,Trend,Q,main
89536,R_6V3abpz12hm1bBE,34,332,10,0.131700,0.15,2,1,false,960,Trend,Q,main
89536,R_6V3abpz12hm1bBE,35,395,10,0.221700,0.15,2,1,false,1056,Trend,Q,main
89536,R_6V3abpz12hm1bBE,36,392,10,0.221700,0.15,2,1,false,984,Trend,Q,main
89536,R_6V3abpz12hm1bBE,37,81,12,-0.221700,0.15,2,1,true,1006,Trend,Q,main
89536,R_6V3abpz12hm1bBE,38,210,12,-0.043700,0.15,2,1,true,1128,Trend,Q,main
89536,R_6V3abpz12hm1bBE,39,256,8,0.043700,0.15,2,1,false,948,Trend,Q,main
89536,R_6V3abpz12hm1bBE,40,134,8,-0.131700,0.15,2,1,true,851,Trend,Q,main
89536,R_6V3abpz12hm1bBE,41,509,22,0.315300,0.15,2,1,true,899,Trend,P,main
89536,R_6V3abpz12hm1bBE,42,42,18,-0.315300,0.15,2,1,false,882,Trend,P,main
89536,R_6V3abpz12hm1bBE,43,219,14,-0.043700,0.15,2,1,false,893,Trend,P,main
89536,R_6V3abpz12hm1bBE,44,348,14,0.131700,0.15,2,1,true,810,Trend,P,main
89536,R_6V3abpz12hm1bBE,45,29,14,-0.315300,0.15,2,1,false,873,Trend,P,main
89536,R_6V3abpz12hm1bBE,46,429,18,0.221700,0.15,2,1,true,710,Trend,P,main
89536,R_6V3abpz12hm1bBE,47,491,18,0.315300,0.15,2,1,true,890,Trend,P,main
89536,R_6V3abpz12hm1bBE,48,469,12,0.315300,0.15,2,1,false,825,Trend,Q,main
89536,R_6V3abpz12hm1bBE,49,198,8,-0.043700,0.15,2,1,true,811,Trend,Q,main
89536,R_6V3abpz12hm1bBE,50,25,14,-0.315300,0.15,2,1,false,758,Trend,P,main
89536,R_6V3abpz12hm1bBE,51,127,22,-0.221700,0.15,2,1,false,909,Trend,P,main
89536,R_6V3abpz12hm1bBE,52,319,22,0.043700,0.15,2,1,true,998,Trend,P,main
89536,R_6V3abpz12hm1bBE,53,450,8,0.315300,0.15,2,1,false,1018,Trend,Q,main
89536,R_6V3abpz12hm1bBE,54,367,18,0.131700,0.15,2,1,true,897,Trend,P,main
89536,R_6V3abpz12hm1bBE,55,112,20,-0.221700,0.15,2,1,false,910,Trend,P,main
89536,R_6V3abpz12hm1bBE,56,80,12,-0.221700,0.15,2,1,true,872,Trend,Q,main
89536,R_6V3abpz12hm1bBE,57,15,10,-0.315300,0.15,2,1,true,923,Trend,Q,main
89536,R_6V3abpz12hm1bBE,58,76,10,-0.221700,0.15,2,1,true,711,Trend,Q,main
89536,R_6V3abpz12hm1bBE,59,204,10,-0.043700,0.15,2,1,true,941,Trend,Q,main
89536,R_6V3abpz12hm1bBE,60,402,12,0.221700,0.15,2,1,false,984,Trend,Q,main
89536,R_6V3abpz12hm1bBE,61,283,14,0.043700,0.15,2,1,true,855,Trend,P,main
89536,R_6V3abpz12hm1bBE,62,123,22,-0.221700,0.15,2,1,false,846,Trend,P,main
89536,R_6V3abpz12hm1bBE,63,37,16,-0.315300,0.15,2,1,false,842,Trend,P,main
89536,R_6V3abpz12hm1bBE,64,259,8,0.043700,0.15,2,1,false,1079,Trend,Q,main
89536,R_6V3abpz12hm1bBE,65,97,16,-0.221700,0.15,2,1,false,824,Trend,P,main
89536,R_6V3abpz12hm1bBE,66,448,8,0.315300,0.15,2,1,false,794,Trend,Q,main
89536,R_6V3abpz12hm1bBE,67,27,14,-0.315300,0.15,2,1,false,775,Trend,P,main
89536,R_6V3abpz12hm1bBE,68,445,22,0.221700,0.15,2,1,true,739,Trend,P,main
89536,R_6V3abpz12hm1bBE,69,386,8,0.221700,0.15,2,1,false,811,Trend,Q,main
89536,R_6V3abpz12hm1bBE,70,250,22,-0.043700,0.15,2,1,false,825,Trend,P,main
89536,R_6V3abpz12hm1bBE,71,71,8,-0.221700,0.15,2,1,true,748,Trend,Q,main
89536,R_6V3abpz12hm1bBE,72,72,10,-0.221700,0.15,2,1,true,743,Trend,Q,main
89536,R_6V3abpz12hm1bBE,73,257,8,0.043700,0.15,2,1,false,770,Trend,Q,main
89536,R_6V3abpz12hm1bBE,74,5,8,-0.315300,0.15,2,1,true,789,Trend,Q,main
89536,R_6V3abpz12hm1bBE,75,372,20,0.131700,0.15,2,1,true,755,Trend,P,main
89536,R_6V3abpz12hm1bBE,76,61,22,-0.315300,0.15,2,1,false,881,Trend,P,main
89536,R_6V3abpz12hm1bBE,77,453,8,0.315300,0.15,2,1,false,596,Trend,Q,main
89536,R_6V3abpz12hm1bBE,78,449,8,0.315300,0.15,2,1,false,809,Trend,Q,main
89536,R_6V3abpz12hm1bBE,79,161,16,-0.131700,0.15,2,1,false,796,Trend,P,main
89536,R_6V3abpz12hm1bBE,80,111,18,-0.221700,0.15,2,1,false,641,Trend,P,main
89536,R_6V3abpz12hm1bBE,81,511,22,0.315300,0.15,2,1,true,919,Trend,P,main
89536,R_6V3abpz12hm1bBE,82,321,8,0.131700,0.15,2,1,false,783,Trend,Q,main
89536,R_6V3abpz12hm1bBE,83,462,10,0.315300,0.15,2,1,false,880,Trend,Q,main
89536,R_6V3abpz12hm1bBE,84,266,10,0.043700,0.15,2,1,false,1140,Trend,Q,main
89536,R_6V3abpz12hm1bBE,85,465,12,0.315300,0.15,2,1,false,900,Trend,Q,main
89536,R_6V3abpz12hm1bBE,86,183,20,-0.131700,0.15,2,1,false,901,Trend,P,main
89536,R_6V3abpz12hm1bBE,87,116,20,-0.221700,0.15,2,1,false,908,Trend,P,main
89536,R_6V3abpz12hm1bBE,88,361,18,0.131700,0.15,2,1,true,964,Trend,P,main
89536,R_6V3abpz12hm1bBE,89,351,14,0.131700,0.15,2,1,true,936,Trend,P,main
89536,R_6V3abpz12hm1bBE,90,428,18,0.221700,0.15,2,1,true,704,Trend,P,main
89536,R_6V3abpz12hm1bBE,91,265,10,0.043700,0.15,2,1,false,942,Trend,Q,main
89536,R_6V3abpz12hm1bBE,92,34,16,-0.315300,0.15,2,1,false,940,Trend,P,main
89536,R_6V3abpz12hm1bBE,93,164,16,-0.131700,0.15,2,1,false,916,Trend,P,main
89536,R_6V3abpz12hm1bBE,94,75,10,-0.221700,0.15,2,1,true,899,Trend,Q,main
89536,R_6V3abpz12hm1bBE,95,212,12,-0.043700,0.15,2,1,true,873,Trend,Q,main
89536,R_6V3abpz12hm1bBE,96,510,22,0.315300,0.15,2,1,true,825,Trend,P,main
89536,R_6V3abpz12hm1bBE,97,35,16,-0.315300,0.15,2,1,false,1341,Trend,P,main
89536,R_6V3abpz12hm1bBE,98,393,10,0.221700,0.15,2,1,false,941,Trend,Q,main
89536,R_6V3abpz12hm1bBE,99,154,14,-0.131700,0.15,2,1,false,927,Trend,P,main
89536,R_6V3abpz12hm1bBE,100,273,12,0.043700,0.15,2,1,false,806,Trend,Q,main
89536,R_6V3abpz12hm1bBE,101,249,22,-0.043700,0.15,2,1,false,913,Trend,P,main
89536,R_6V3abpz12hm1bBE,102,2,8,-0.315300,0.15,2,1,true,846,Trend,Q,main
89536,R_6V3abpz12hm1bBE,103,433,20,0.221700,0.15,2,1,true,856,Trend,P,main
