sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
96186,R_6c0LAHqxtzZUZmJ,1,16,8,-0.131700,0.15,1,2,true,8563,Number,P,training
96186,R_6c0LAHqxtzZUZmJ,2,14,20,-0.221700,0.15,1,2,true,818,Number,Q,training
96186,R_6c0LAHqxtzZUZmJ,3,58,12,0.315300,0.15,1,2,true,3265,Number,P,training
96186,R_6c0LAHqxtzZUZmJ,4,41,10,0.131700,0.15,1,2,true,698,Number,P,training
96186,R_6c0LAHqxtzZUZmJ,5,28,16,-0.043700,0.15,1,2,true,894,Number,Q,training
96186,R_6c0LAHqxtzZUZmJ,6,39,22,0.043700,0.15,1,2,true,675,Number,Q,training
96186,R_6c0LAHqxtzZUZmJ,7,46,20,0.131700,0.15,1,2,true,834,Number,Q,training
96186,R_6c0LAHqxtzZUZmJ,8,37,18,0.043700,0.15,1,2,true,1281,Number,Q,training
96186,R_6c0LAHqxtzZUZmJ,9,60,16,0.315300,0.15,1,2,false,852,Number,P,training
96186,R_6c0LAHqxtzZUZmJ,10,11,14,-0.221700,0.15,1,2,true,959,Number,P,training
96186,R_6c0LAHqxtzZUZmJ,11,153,14,-0.131700,0.15,1,2,true,804,Number,P,main
96186,R_6c0LAHqxtzZUZmJ,12,204,10,-0.043700,0.15,1,2,true,1097,Number,P,main
96186,R_6c0LAHqxtzZUZmJ,13,342,12,0.131700,0.15,1,2,true,605,Number,P,main
96186,R_6c0LAHqxtzZUZmJ,14,145,12,-0.131700,0.15,1,2,true,1062,Number,P,main
96186,R_6c0LAHqxtzZUZmJ,15,140,10,-0.131700,0.15,1,2,true,552,Number,P,main
96186,R_6c0LAHqxtzZUZmJ,16,116,20,-0.221700,0.15,1,2,true,1010,Number,Q,main
96186,R_6c0LAHqxtzZUZmJ,17,255,22,-0.043700,0.15,1,2,true,890,Number,Q,main
96186,R_6c0LAHqxtzZUZmJ,18,276,12,0.043700,0.15,1,2,true,808,Number,P,main
96186,R_6c0LAHqxtzZUZmJ,19,268,10,0.043700,0.15,1,2,true,625,Number,P,main
96186,R_6c0LAHqxtzZUZmJ,20,43,18,-0.315300,0.15,1,2,true,712,Number,Q,main
96186,R_6c0LAHqxtzZUZmJ,21,259,8,0.043700,0.15,1,2,true,701,Number,P,main
96186,R_6c0LAHqxtzZUZmJ,22,487,16,0.315300,0.15,1,2,false,907,Number,P,main
96186,R_6c0LAHqxtzZUZmJ,23,423,16,0.221700,0.15,1,2,false,619,Number,P,main
96186,R_6c0LAHqxtzZUZmJ,24,425,18,0.221700,0.15,1,2,false,783,Number,P,main
96186,R_6c0LAHqxtzZUZmJ,25,301,18,0.043700,0.15,1,2,true,3838,Number,Q,main
96186,R_6c0LAHqxtzZUZmJ,26,256,8,0.043700,0.15,1,2,true,935,Number,P,main
96186,R_6c0LAHqxtzZUZmJ,27,260,8,0.043700,0.15,1,2,true,845,Number,P,main
96186,R_6c0LAHqxtzZUZmJ,28,213,12,-0.043700,0.15,1,2,true,948,Number,P,main
96186,R_6c0LAHqxtzZUZmJ,29,226,16,-0.043700,0.15,1,2,false,1096,Number,P,main
96186,R_6c0LAHqxtzZUZmJ,30,16,12,-0.315300,0.15,1,2,true,1258,Number,P,main
96186,R_6c0LAHqxtzZUZmJ,31,184,22,-0.131700,0.15,1,2,true,653,Number,Q,main
96186,R_6c0LAHqxtzZUZmJ,32,249,22,-0.043700,0.15,1,2,true,696,Number,Q,main
96186,R_6c0LAHqxtzZUZmJ,33,28,14,-0.315300,0.15,1,2,true,1432,Number,P,main
96186,R_6c0LAHqxtzZUZmJ,34,33,16,-0.315300,0.15,1,2,false,859,Number,P,main
96186,R_6c0LAHqxtzZUZmJ,35,238,18,-0.043700,0.15,1,2,false,1417,Number,P,main
96186,R_6c0LAHqxtzZUZmJ,36,306,20,0.043700,0.15,1,2,true,740,Number,Q,main
96186,R_6c0LAHqxtzZUZmJ,37,229,16,-0.043700,0.15,1,2,false,791,Number,P,main
96186,R_6c0LAHqxtzZUZmJ,38,123,22,-0.221700,0.15,1,2,true,2575,Number,Q,main
96186,R_6c0LAHqxtzZUZmJ,39,297,18,0.043700,0.15,1,2,true,2234,Number,Q,main
96186,R_6c0LAHqxtzZUZmJ,40,106,18,-0.221700,0.15,1,2,true,627,Number,Q,main
96186,R_6c0LAHqxtzZUZmJ,41,104,18,-0.221700,0.15,1,2,false,774,Number,P,main
96186,R_6c0LAHqxtzZUZmJ,42,279,12,0.043700,0.15,1,2,true,948,Number,P,main
96186,R_6c0LAHqxtzZUZmJ,43,361,18,0.131700,0.15,1,2,true,804,Number,Q,main
96186,R_6c0LAHqxtzZUZmJ,44,421,16,0.221700,0.15,1,2,true,695,Number,Q,main
96186,R_6c0LAHqxtzZUZmJ,45,73,10,-0.221700,0.15,1,2,true,634,Number,P,main
96186,R_6c0LAHqxtzZUZmJ,46,382,22,0.131700,0.15,1,2,true,578,Number,Q,main
96186,R_6c0LAHqxtzZUZmJ,47,180,20,-0.131700,0.15,1,2,true,843,Number,Q,main
96186,R_6c0LAHqxtzZUZmJ,48,51,20,-0.315300,0.15,1,2,true,668,Number,Q,main
96186,R_6c0LAHqxtzZUZmJ,49,328,10,0.131700,0.15,1,2,true,743,Number,P,main
96186,R_6c0LAHqxtzZUZmJ,50,363,18,0.131700,0.15,1,2,false,1153,Number,P,main
96186,R_6c0LAHqxtzZUZmJ,51,311,20,0.043700,0.15,1,2,true,574,Number,Q,main
96186,R_6c0LAHqxtzZUZmJ,52,87,12,-0.221700,0.15,1,2,true,726,Number,P,main
96186,R_6c0LAHqxtzZUZmJ,53,187,22,-0.131700,0.15,1,2,true,560,Number,Q,main
96186,R_6c0LAHqxtzZUZmJ,54,380,22,0.131700,0.15,1,2,true,483,Number,Q,main
96186,R_6c0LAHqxtzZUZmJ,55,75,10,-0.221700,0.15,1,2,true,726,Number,P,main
96186,R_6c0LAHqxtzZUZmJ,56,68,8,-0.221700,0.15,1,2,true,719,Number,P,main
96186,R_6c0LAHqxtzZUZmJ,57,337,12,0.131700,0.15,1,2,true,848,Number,P,main
96186,R_6c0LAHqxtzZUZmJ,58,59,22,-0.315300,0.15,1,2,true,609,Number,Q,main
96186,R_6c0LAHqxtzZUZmJ,59,96,16,-0.221700,0.15,1,2,false,1023,Number,P,main
96186,R_6c0LAHqxtzZUZmJ,60,206,10,-0.043700,0.15,1,2,true,863,Number,P,main
96186,R_6c0LAHqxtzZUZmJ,61,37,16,-0.315300,0.15,1,2,false,967,Number,P,main
96186,R_6c0LAHqxtzZUZmJ,62,414,14,0.221700,0.15,1,2,true,737,Number,P,main
96186,R_6c0LAHqxtzZUZmJ,63,55,20,-0.315300,0.15,1,2,true,758,Number,Q,main
96186,R_6c0LAHqxtzZUZmJ,64,289,16,0.043700,0.15,1,2,false,698,Number,P,main
96186,R_6c0LAHqxtzZUZmJ,65,500,20,0.315300,0.15,1,2,true,1549,Number,Q,main
96186,R_6c0LAHqxtzZUZmJ,66,332,10,0.131700,0.15,1,2,true,824,Number,P,main
96186,R_6c0LAHqxtzZUZmJ,67,457,10,0.315300,0.15,1,2,true,676,Number,P,main
96186,R_6c0LAHqxtzZUZmJ,68,357,16,0.131700,0.15,1,2,true,1206,Number,Q,main
96186,R_6c0LAHqxtzZUZmJ,69,185,22,-0.131700,0.15,1,2,true,718,Number,Q,main
96186,R_6c0LAHqxtzZUZmJ,70,296,18,0.043700,0.15,1,2,false,1028,Number,P,main
96186,R_6c0LAHqxtzZUZmJ,71,370,20,0.131700,0.15,1,2,true,778,Number,Q,main
96186,R_6c0LAHqxtzZUZmJ,72,378,22,0.131700,0.15,1,2,true,850,Number,Q,main
96186,R_6c0LAHqxtzZUZmJ,73,449,8,0.315300,0.15,1,2,true,730,Number,P,main
96186,R_6c0LAHqxtzZUZmJ,74,82,12,-0.221700,0.15,1,2,true,1044,Number,P,main
96186,R_6c0LAHqxtzZUZmJ,75,44,18,-0.315300,0.15,1,2,true,738,Number,Q,main
96186,R_6c0LAHqxtzZUZmJ,76,365,18,0.131700,0.15,1,2,false,861,Number,P,main
96186,R_6c0LAHqxtzZUZmJ,77,154,14,-0.131700,0.15,1,2,true,948,Number,P,main
96186,R_6c0LAHqxtzZUZmJ,78,324,8,0.131700,0.15,1,2,true,640,Number,P,main
96186,R_6c0LAHqxtzZUZmJ,79,199,8,-0.043700,0.15,1,2,true,529,Number,P,main
