sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
96457,R_6c6nAIMC3JIYC8r,1,59,14,0.315300,0.15,2,2,false,7430,Number,P,training
96457,R_6c6nAIMC3JIYC8r,2,23,22,-0.131700,0.15,2,2,false,960,Number,Q,training
96457,R_6c6nAIMC3JIYC8r,3,42,12,0.131700,0.15,2,2,false,1007,Number,P,training
96457,R_6c6nAIMC3JIYC8r,4,40,8,0.131700,0.15,2,2,false,1053,Number,P,training
96457,R_6c6nAIMC3JIYC8r,5,16,8,-0.131700,0.15,2,2,false,1294,Number,P,training
96457,R_6c6nAIMC3JIYC8r,6,45,18,0.131700,0.15,2,2,false,1147,Number,Q,training
96457,R_6c6nAIMC3JIYC8r,7,49,10,0.221700,0.15,2,2,true,1740,Number,Q,training
96457,R_6c6nAIMC3JIYC8r,8,47,22,0.131700,0.15,2,2,true,1020,Number,P,training
96457,R_6c6nAIMC3JIYC8r,9,51,14,0.221700,0.15,2,2,true,798,Number,Q,training
96457,R_6c6nAIMC3JIYC8r,10,25,10,-0.043700,0.15,2,2,true,757,Number,Q,training
96457,R_6c6nAIMC3JIYC8r,11,508,22,0.315300,0.15,2,2,true,828,Number,P,main
96457,R_6c6nAIMC3JIYC8r,12,461,10,0.315300,0.15,2,2,true,710,Number,Q,main
96457,R_6c6nAIMC3JIYC8r,13,77,10,-0.221700,0.15,2,2,true,671,Number,Q,main
96457,R_6c6nAIMC3JIYC8r,14,184,22,-0.131700,0.15,2,2,true,604,Number,P,main
96457,R_6c6nAIMC3JIYC8r,15,260,8,0.043700,0.15,2,2,true,642,Number,Q,main
96457,R_6c6nAIMC3JIYC8r,16,340,12,0.131700,0.15,2,2,true,941,Number,Q,main
96457,R_6c6nAIMC3JIYC8r,17,285,14,0.043700,0.15,2,2,false,861,Number,P,main
