sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
96624,R_6cYYzPKJhLijyUh,1,31,22,-0.043700,0.15,2,1,false,9170,Trend,P,training
96624,R_6cYYzPKJhLijyUh,2,51,14,0.221700,0.15,2,1,false,3844,Trend,Q,training
96624,R_6cYYzPKJhLijyUh,3,20,16,-0.131700,0.15,2,1,false,5097,Trend,P,training
96624,R_6cYYzPKJhLijyUh,4,5,18,-0.315300,0.15,2,1,true,4220,Trend,Q,training
96624,R_6cYYzPKJhLijyUh,5,10,12,-0.221700,0.15,2,1,false,3051,Trend,P,training
96624,R_6cYYzPKJhLijyUh,6,34,12,0.043700,0.15,2,1,true,4950,Trend,P,training
96624,R_6cYYzPKJhLijyUh,7,26,12,-0.043700,0.15,2,1,true,2737,Trend,Q,training
96624,R_6cYYzPKJhLijyUh,8,46,20,0.131700,0.15,2,1,true,2207,Trend,P,training
96624,R_6cYYzPKJhLijyUh,9,4,16,-0.315300,0.15,2,1,true,2430,Trend,Q,training
96624,R_6cYYzPKJhLijyUh,10,45,18,0.131700,0.15,2,1,true,2518,Trend,P,training
96624,R_6cYYzPKJhLijyUh,11,221,14,-0.043700,0.15,2,1,true,2056,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,12,244,20,-0.043700,0.15,2,1,false,2056,Trend,P,main
96624,R_6cYYzPKJhLijyUh,13,337,12,0.131700,0.15,2,1,true,2429,Trend,P,main
96624,R_6cYYzPKJhLijyUh,14,315,22,0.043700,0.15,2,1,false,3155,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,15,135,8,-0.131700,0.15,2,1,false,2486,Trend,P,main
96624,R_6cYYzPKJhLijyUh,16,479,14,0.315300,0.15,2,1,true,2089,Trend,P,main
96624,R_6cYYzPKJhLijyUh,17,463,10,0.315300,0.15,2,1,true,2168,Trend,P,main
96624,R_6cYYzPKJhLijyUh,18,446,22,0.221700,0.15,2,1,true,2699,Trend,P,main
96624,R_6cYYzPKJhLijyUh,19,451,8,0.315300,0.15,2,1,true,2080,Trend,P,main
96624,R_6cYYzPKJhLijyUh,20,410,14,0.221700,0.15,2,1,true,1854,Trend,P,main
96624,R_6cYYzPKJhLijyUh,21,23,12,-0.315300,0.15,2,1,true,2010,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,22,172,18,-0.131700,0.15,2,1,true,2450,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,23,382,22,0.131700,0.15,2,1,true,2114,Trend,P,main
96624,R_6cYYzPKJhLijyUh,24,320,8,0.131700,0.15,2,1,true,2225,Trend,P,main
96624,R_6cYYzPKJhLijyUh,25,301,18,0.043700,0.15,2,1,true,2190,Trend,P,main
96624,R_6cYYzPKJhLijyUh,26,263,8,0.043700,0.15,2,1,true,2020,Trend,P,main
96624,R_6cYYzPKJhLijyUh,27,127,22,-0.221700,0.15,2,1,true,1853,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,28,459,10,0.315300,0.15,2,1,true,1786,Trend,P,main
96624,R_6cYYzPKJhLijyUh,29,275,12,0.043700,0.15,2,1,false,2290,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,30,502,20,0.315300,0.15,2,1,true,1834,Trend,P,main
96624,R_6cYYzPKJhLijyUh,31,37,16,-0.315300,0.15,2,1,true,1986,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,32,177,20,-0.131700,0.15,2,1,true,1950,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,33,394,10,0.221700,0.15,2,1,false,2267,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,34,82,12,-0.221700,0.15,2,1,true,1809,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,35,458,10,0.315300,0.15,2,1,true,1915,Trend,P,main
96624,R_6cYYzPKJhLijyUh,36,83,12,-0.221700,0.15,2,1,true,1412,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,37,17,12,-0.315300,0.15,2,1,true,1190,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,38,72,10,-0.221700,0.15,2,1,true,910,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,39,431,18,0.221700,0.15,2,1,true,718,Trend,P,main
96624,R_6cYYzPKJhLijyUh,40,57,22,-0.315300,0.15,2,1,true,835,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,41,378,22,0.131700,0.15,2,1,true,1321,Trend,P,main
96624,R_6cYYzPKJhLijyUh,42,374,20,0.131700,0.15,2,1,true,715,Trend,P,main
96624,R_6cYYzPKJhLijyUh,43,203,10,-0.043700,0.15,2,1,true,1572,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,44,259,8,0.043700,0.15,2,1,false,1453,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,45,97,16,-0.221700,0.15,2,1,true,938,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,46,385,8,0.221700,0.15,2,1,true,704,Trend,P,main
96624,R_6cYYzPKJhLijyUh,47,220,14,-0.043700,0.15,2,1,false,1215,Trend,P,main
96624,R_6cYYzPKJhLijyUh,48,65,8,-0.221700,0.15,2,1,true,719,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,49,91,14,-0.221700,0.15,2,1,true,601,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,50,58,22,-0.315300,0.15,2,1,true,603,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,51,212,12,-0.043700,0.15,2,1,false,1074,Trend,P,main
96624,R_6cYYzPKJhLijyUh,52,414,14,0.221700,0.15,2,1,true,786,Trend,P,main
96624,R_6cYYzPKJhLijyUh,53,78,10,-0.221700,0.15,2,1,true,1603,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,54,496,20,0.315300,0.15,2,1,true,721,Trend,P,main
96624,R_6cYYzPKJhLijyUh,55,380,22,0.131700,0.15,2,1,true,787,Trend,P,main
96624,R_6cYYzPKJhLijyUh,56,102,16,-0.221700,0.15,2,1,true,638,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,57,230,16,-0.043700,0.15,2,1,false,725,Trend,P,main
96624,R_6cYYzPKJhLijyUh,58,390,8,0.221700,0.15,2,1,true,721,Trend,P,main
96624,R_6cYYzPKJhLijyUh,59,381,22,0.131700,0.15,2,1,true,1353,Trend,P,main
96624,R_6cYYzPKJhLijyUh,60,142,10,-0.131700,0.15,2,1,false,837,Trend,P,main
96624,R_6cYYzPKJhLijyUh,61,122,22,-0.221700,0.15,2,1,true,784,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,62,168,18,-0.131700,0.15,2,1,true,995,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,63,86,12,-0.221700,0.15,2,1,true,655,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,64,322,8,0.131700,0.15,2,1,true,665,Trend,P,main
96624,R_6cYYzPKJhLijyUh,65,210,12,-0.043700,0.15,2,1,true,4259,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,66,443,22,0.221700,0.15,2,1,true,817,Trend,P,main
96624,R_6cYYzPKJhLijyUh,67,110,18,-0.221700,0.15,2,1,true,717,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,68,510,22,0.315300,0.15,2,1,true,583,Trend,P,main
96624,R_6cYYzPKJhLijyUh,69,232,18,-0.043700,0.15,2,1,true,916,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,70,319,22,0.043700,0.15,2,1,false,1130,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,71,306,20,0.043700,0.15,2,1,true,1501,Trend,P,main
96624,R_6cYYzPKJhLijyUh,72,370,20,0.131700,0.15,2,1,true,666,Trend,P,main
96624,R_6cYYzPKJhLijyUh,73,288,16,0.043700,0.15,2,1,true,677,Trend,P,main
96624,R_6cYYzPKJhLijyUh,74,228,16,-0.043700,0.15,2,1,false,713,Trend,P,main
96624,R_6cYYzPKJhLijyUh,75,183,20,-0.131700,0.15,2,1,true,665,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,76,312,22,0.043700,0.15,2,1,false,1099,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,77,280,14,0.043700,0.15,2,1,true,747,Trend,P,main
96624,R_6cYYzPKJhLijyUh,78,30,14,-0.315300,0.15,2,1,true,629,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,79,461,10,0.315300,0.15,2,1,true,580,Trend,P,main
96624,R_6cYYzPKJhLijyUh,80,9,10,-0.315300,0.15,2,1,true,559,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,81,506,22,0.315300,0.15,2,1,true,512,Trend,P,main
96624,R_6cYYzPKJhLijyUh,82,139,10,-0.131700,0.15,2,1,true,614,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,83,444,22,0.221700,0.15,2,1,true,579,Trend,P,main
96624,R_6cYYzPKJhLijyUh,84,125,22,-0.221700,0.15,2,1,true,622,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,85,12,10,-0.315300,0.15,2,1,false,614,Trend,P,main
96624,R_6cYYzPKJhLijyUh,86,313,22,0.043700,0.15,2,1,false,580,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,87,209,12,-0.043700,0.15,2,1,true,751,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,88,45,18,-0.315300,0.15,2,1,true,480,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,89,63,22,-0.315300,0.15,2,1,true,582,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,90,252,22,-0.043700,0.15,2,1,false,1099,Trend,P,main
96624,R_6cYYzPKJhLijyUh,91,159,14,-0.131700,0.15,2,1,true,1308,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,92,462,10,0.315300,0.15,2,1,true,658,Trend,P,main
96624,R_6cYYzPKJhLijyUh,93,29,14,-0.315300,0.15,2,1,true,543,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,94,140,10,-0.131700,0.15,2,1,true,686,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,95,182,20,-0.131700,0.15,2,1,true,728,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,96,95,14,-0.221700,0.15,2,1,true,645,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,97,257,8,0.043700,0.15,2,1,true,565,Trend,P,main
96624,R_6cYYzPKJhLijyUh,98,175,18,-0.131700,0.15,2,1,true,758,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,99,113,20,-0.221700,0.15,2,1,true,582,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,100,350,14,0.131700,0.15,2,1,true,602,Trend,P,main
96624,R_6cYYzPKJhLijyUh,101,296,18,0.043700,0.15,2,1,true,598,Trend,P,main
96624,R_6cYYzPKJhLijyUh,102,147,12,-0.131700,0.15,2,1,true,1281,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,103,93,14,-0.221700,0.15,2,1,true,897,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,104,149,12,-0.131700,0.15,2,1,true,880,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,105,133,8,-0.131700,0.15,2,1,false,1004,Trend,P,main
96624,R_6cYYzPKJhLijyUh,106,267,10,0.043700,0.15,2,1,true,1174,Trend,P,main
96624,R_6cYYzPKJhLijyUh,107,486,16,0.315300,0.15,2,1,true,644,Trend,P,main
96624,R_6cYYzPKJhLijyUh,108,251,22,-0.043700,0.15,2,1,true,1056,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,109,262,8,0.043700,0.15,2,1,false,1307,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,110,40,18,-0.315300,0.15,2,1,true,789,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,111,316,22,0.043700,0.15,2,1,true,808,Trend,P,main
96624,R_6cYYzPKJhLijyUh,112,44,18,-0.315300,0.15,2,1,true,824,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,113,26,14,-0.315300,0.15,2,1,true,544,Trend,Q,main
96624,R_6cYYzPKJhLijyUh,114,294,16,0.043700,0.15,2,1,false,2569,Trend,Q,main
