sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
96861,R_6msDWT1hmaP5aUm,1,54,20,0.221700,0.15,1,1,false,6415,Trend,P,training
96861,R_6msDWT1hmaP5aUm,2,61,18,0.315300,0.15,1,1,true,2726,Trend,Q,training
96861,R_6msDWT1hmaP5aUm,3,59,14,0.315300,0.15,1,1,true,2648,Trend,Q,training
96861,R_6msDWT1hmaP5aUm,4,12,16,-0.221700,0.15,1,1,true,1434,Trend,P,training
96861,R_6msDWT1hmaP5aUm,5,51,14,0.221700,0.15,1,1,true,849,Trend,Q,training
96861,R_6msDWT1hmaP5aUm,6,43,14,0.131700,0.15,1,1,false,1424,Trend,P,training
96861,R_6msDWT1hmaP5aUm,7,5,18,-0.315300,0.15,1,1,true,1700,Trend,P,training
96861,R_6msDWT1hmaP5aUm,8,27,14,-0.043700,0.15,1,1,true,4803,Trend,P,training
96861,R_6msDWT1hmaP5aUm,9,39,22,0.043700,0.15,1,1,false,2237,Trend,P,training
96861,R_6msDWT1hmaP5aUm,10,62,20,0.315300,0.15,1,1,true,2056,Trend,Q,training
96861,R_6msDWT1hmaP5aUm,11,335,10,0.131700,0.15,1,1,true,1003,Trend,Q,main
96861,R_6msDWT1hmaP5aUm,12,465,12,0.315300,0.15,1,1,true,700,Trend,Q,main
96861,R_6msDWT1hmaP5aUm,13,67,8,-0.221700,0.15,1,1,true,646,Trend,P,main
96861,R_6msDWT1hmaP5aUm,14,477,14,0.315300,0.15,1,1,true,592,Trend,Q,main
96861,R_6msDWT1hmaP5aUm,15,225,16,-0.043700,0.15,1,1,false,1584,Trend,Q,main
96861,R_6msDWT1hmaP5aUm,16,244,20,-0.043700,0.15,1,1,true,1252,Trend,P,main
96861,R_6msDWT1hmaP5aUm,17,100,16,-0.221700,0.15,1,1,true,782,Trend,P,main
96861,R_6msDWT1hmaP5aUm,18,200,10,-0.043700,0.15,1,1,true,700,Trend,P,main
96861,R_6msDWT1hmaP5aUm,19,276,12,0.043700,0.15,1,1,false,1221,Trend,P,main
96861,R_6msDWT1hmaP5aUm,20,159,14,-0.131700,0.15,1,1,true,693,Trend,P,main
96861,R_6msDWT1hmaP5aUm,21,206,10,-0.043700,0.15,1,1,true,647,Trend,P,main
96861,R_6msDWT1hmaP5aUm,22,226,16,-0.043700,0.15,1,1,true,759,Trend,P,main
96861,R_6msDWT1hmaP5aUm,23,354,16,0.131700,0.15,1,1,true,662,Trend,Q,main
96861,R_6msDWT1hmaP5aUm,24,305,20,0.043700,0.15,1,1,true,429,Trend,Q,main
96861,R_6msDWT1hmaP5aUm,25,297,18,0.043700,0.15,1,1,false,735,Trend,P,main
96861,R_6msDWT1hmaP5aUm,26,327,8,0.131700,0.15,1,1,true,574,Trend,Q,main
96861,R_6msDWT1hmaP5aUm,27,380,22,0.131700,0.15,1,1,false,1243,Trend,P,main
96861,R_6msDWT1hmaP5aUm,28,87,12,-0.221700,0.15,1,1,true,1105,Trend,P,main
96861,R_6msDWT1hmaP5aUm,29,498,20,0.315300,0.15,1,1,true,634,Trend,Q,main
96861,R_6msDWT1hmaP5aUm,30,0,8,-0.315300,0.15,1,1,true,645,Trend,P,main
96861,R_6msDWT1hmaP5aUm,31,309,20,0.043700,0.15,1,1,false,844,Trend,P,main
96861,R_6msDWT1hmaP5aUm,32,208,12,-0.043700,0.15,1,1,true,904,Trend,P,main
96861,R_6msDWT1hmaP5aUm,33,372,20,0.131700,0.15,1,1,true,586,Trend,Q,main
96861,R_6msDWT1hmaP5aUm,34,161,16,-0.131700,0.15,1,1,true,535,Trend,P,main
96861,R_6msDWT1hmaP5aUm,35,445,22,0.221700,0.15,1,1,true,633,Trend,Q,main
96861,R_6msDWT1hmaP5aUm,36,506,22,0.315300,0.15,1,1,true,599,Trend,Q,main
96861,R_6msDWT1hmaP5aUm,37,329,10,0.131700,0.15,1,1,false,624,Trend,P,main
96861,R_6msDWT1hmaP5aUm,38,314,22,0.043700,0.15,1,1,false,647,Trend,P,main
96861,R_6msDWT1hmaP5aUm,39,121,22,-0.221700,0.15,1,1,true,614,Trend,P,main
96861,R_6msDWT1hmaP5aUm,40,53,20,-0.315300,0.15,1,1,true,419,Trend,P,main
96861,R_6msDWT1hmaP5aUm,41,386,8,0.221700,0.15,1,1,true,589,Trend,Q,main
96861,R_6msDWT1hmaP5aUm,42,505,22,0.315300,0.15,1,1,true,814,Trend,Q,main
96861,R_6msDWT1hmaP5aUm,43,83,12,-0.221700,0.15,1,1,true,611,Trend,P,main
96861,R_6msDWT1hmaP5aUm,44,44,18,-0.315300,0.15,1,1,true,513,Trend,P,main
96861,R_6msDWT1hmaP5aUm,45,311,20,0.043700,0.15,1,1,true,1123,Trend,Q,main
96861,R_6msDWT1hmaP5aUm,46,89,14,-0.221700,0.15,1,1,true,424,Trend,P,main
96861,R_6msDWT1hmaP5aUm,47,463,10,0.315300,0.15,1,1,true,404,Trend,Q,main
96861,R_6msDWT1hmaP5aUm,48,376,22,0.131700,0.15,1,1,true,589,Trend,Q,main
96861,R_6msDWT1hmaP5aUm,49,468,12,0.315300,0.15,1,1,true,739,Trend,Q,main
96861,R_6msDWT1hmaP5aUm,50,30,14,-0.315300,0.15,1,1,true,440,Trend,P,main
96861,R_6msDWT1hmaP5aUm,51,476,14,0.315300,0.15,1,1,true,478,Trend,Q,main
96861,R_6msDWT1hmaP5aUm,52,312,22,0.043700,0.15,1,1,true,892,Trend,Q,main
96861,R_6msDWT1hmaP5aUm,53,307,20,0.043700,0.15,1,1,false,603,Trend,P,main
96861,R_6msDWT1hmaP5aUm,54,472,14,0.315300,0.15,1,1,true,929,Trend,Q,main
96861,R_6msDWT1hmaP5aUm,55,371,20,0.131700,0.15,1,1,true,481,Trend,Q,main
96861,R_6msDWT1hmaP5aUm,56,184,22,-0.131700,0.15,1,1,true,589,Trend,P,main
96861,R_6msDWT1hmaP5aUm,57,10,10,-0.315300,0.15,1,1,true,902,Trend,P,main
96861,R_6msDWT1hmaP5aUm,58,80,12,-0.221700,0.15,1,1,false,599,Trend,Q,main
96861,R_6msDWT1hmaP5aUm,59,173,18,-0.131700,0.15,1,1,true,2612,Trend,P,main
96861,R_6msDWT1hmaP5aUm,60,122,22,-0.221700,0.15,1,1,true,486,Trend,P,main
96861,R_6msDWT1hmaP5aUm,61,51,20,-0.315300,0.15,1,1,true,659,Trend,P,main
96861,R_6msDWT1hmaP5aUm,62,278,12,0.043700,0.15,1,1,false,597,Trend,P,main
96861,R_6msDWT1hmaP5aUm,63,279,12,0.043700,0.15,1,1,true,484,Trend,Q,main
96861,R_6msDWT1hmaP5aUm,64,20,12,-0.315300,0.15,1,1,true,425,Trend,P,main
96861,R_6msDWT1hmaP5aUm,65,96,16,-0.221700,0.15,1,1,true,439,Trend,P,main
96861,R_6msDWT1hmaP5aUm,66,290,16,0.043700,0.15,1,1,false,501,Trend,P,main
96861,R_6msDWT1hmaP5aUm,67,126,22,-0.221700,0.15,1,1,true,551,Trend,P,main
96861,R_6msDWT1hmaP5aUm,68,42,18,-0.315300,0.15,1,1,true,631,Trend,P,main
96861,R_6msDWT1hmaP5aUm,69,75,10,-0.221700,0.15,1,1,true,843,Trend,P,main
96861,R_6msDWT1hmaP5aUm,70,392,10,0.221700,0.15,1,1,true,560,Trend,Q,main
96861,R_6msDWT1hmaP5aUm,71,501,20,0.315300,0.15,1,1,true,549,Trend,Q,main
96861,R_6msDWT1hmaP5aUm,72,485,16,0.315300,0.15,1,1,true,481,Trend,Q,main
96861,R_6msDWT1hmaP5aUm,73,222,14,-0.043700,0.15,1,1,true,501,Trend,P,main
96861,R_6msDWT1hmaP5aUm,74,146,12,-0.131700,0.15,1,1,true,719,Trend,P,main
96861,R_6msDWT1hmaP5aUm,75,119,20,-0.221700,0.15,1,1,true,488,Trend,P,main
96861,R_6msDWT1hmaP5aUm,76,284,14,0.043700,0.15,1,1,false,857,Trend,P,main
96861,R_6msDWT1hmaP5aUm,77,294,16,0.043700,0.15,1,1,false,538,Trend,P,main
96861,R_6msDWT1hmaP5aUm,78,29,14,-0.315300,0.15,1,1,true,543,Trend,P,main
96861,R_6msDWT1hmaP5aUm,79,356,16,0.131700,0.15,1,1,true,438,Trend,Q,main
96861,R_6msDWT1hmaP5aUm,80,164,16,-0.131700,0.15,1,1,true,877,Trend,P,main
96861,R_6msDWT1hmaP5aUm,81,480,16,0.315300,0.15,1,1,true,455,Trend,Q,main
96861,R_6msDWT1hmaP5aUm,82,340,12,0.131700,0.15,1,1,true,646,Trend,Q,main
96861,R_6msDWT1hmaP5aUm,83,334,10,0.131700,0.15,1,1,true,989,Trend,Q,main
96861,R_6msDWT1hmaP5aUm,84,483,16,0.315300,0.15,1,1,true,544,Trend,Q,main
96861,R_6msDWT1hmaP5aUm,85,308,20,0.043700,0.15,1,1,false,425,Trend,P,main
96861,R_6msDWT1hmaP5aUm,86,129,8,-0.131700,0.15,1,1,true,466,Trend,P,main
96861,R_6msDWT1hmaP5aUm,87,263,8,0.043700,0.15,1,1,false,526,Trend,P,main
